time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1029989.2425537109,-1148306.4889907837,-789460.4206085205,-525092.6613807678,-920690.0000572205,-1157229.9003601074,-590920.2098846436,-526531.3386917114,-480795.59206962585,-225133.31472873688,-616284.4896316528,-959891.0808563232,-1524410.9630584717,-1267439.365386963,-904721.3196754456,-732219.6364402771,-520283.2818031311,-556272.1490859985,-562353.6109924316,-795877.1586418152,-952965.9748077393,-1235484.7192764282,-2767030.954360962,-879118.9789772034,-962040.7819747925,-932001.4715194702,-623205.2445411682,-756607.4728965759,-860474.1096496582,-1242781.5198898315,-1274925.1127243042,-2608483.5529327393,-1241895.4372406006,-564777.1954536438,-618901.3719558716,167035.9969139099,-924132.1682929993,-780041.9330596924,-1630502.700805664,-1547074.317932129,-1221823.4539031982,-1231725.573539734,-1223558.783531189,-629245.9964752197,-994147.002696991,-1644139.1706466675,-1509457.1113586426,-1444560.6470108032,-1649868.2498931885,-1781848.3114242554,-1755653.8581848145,-1727732.1815490723,-1757885.9329223633,-1438326.0011672974,-2817417.621612549,-1731957.3163986206,-1897243.0229187012,-1731390.357017517,-1759965.181350708,-1623069.0479278564,-2248935.6994628906,-1923449.2778778076
0.005,-4380139.350891113,-6645315.647125244,-6968582.1533203125,-4217917.919158936,-6320498.943328857,-17876916.885375977,-7259724.140167236,-4974078.65524292,-3586360.9313964844,-1813282.1321487427,-3652706.3846588135,-5798882.484436035,-8051067.352294922,1781807.0650100708,-11314624.786376953,-11224641.799926758,-5818908.69140625,-5477460.3843688965,-1797500.729560852,2148871.1833953857,-3103645.3247070312,-3070947.6470947266,-9668949.127197266,-10286813.735961914,-10274868.01147461,-17867540.35949707,-9592452.049255371,18095.526844263077,-1838751.196861267,-4629963.8748168945,-6333625.316619873,-13817921.63848877,-13479526.51977539,-10886687.278747559,-12252947.807312012,-4285395.14541626,849075.9134292603,-588739.9315834045,-2537155.866622925,-6221233.84475708,-7931289.6728515625,-13756607.055664062,-13833533.28704834,-12187365.531921387,-7189889.907836914,-8365748.405456543,683154.2253494263,-2287778.615951538,-7652084.3505859375,-4641891.956329346,-16857948.303222656,-15797832.489013672,-16170518.87512207,-12249951.362609863,-5640308.856964111,-5101033.2107543945,-7572732.925415039,-15613492.965698242,-16316171.646118164,-10924089.431762695,-11120555.877685547,-6340400.695800781
0.01,-5562650.203704834,-8604603.76739502,-9139873.504638672,-5179495.811462402,-7386351.108551025,-26143419.26574707,-9878007.888793945,-6654361.248016357,-4769994.258880615,-2077925.682067871,-4398385.047912598,-8234886.169433594,-11239854.81262207,1667109.9662780762,-18033477.783203125,-17144416.80908203,-7921036.720275879,-7354781.627655029,-2669260.025024414,3259853.6014556885,-3824426.8894195557,-4723142.623901367,-13536905.288696289,-16608634.948730469,-16751550.674438477,-26257108.688354492,-14946543.69354248,-199195.90651988983,-2800622.4632263184,-7001011.371612549,-9609171.867370605,-20327316.284179688,-22036481.857299805,-17285619.735717773,-19232915.8782959,-8408432.006835938,545771.4796066284,-1535362.8396987915,-4453457.832336426,-8692969.32220459,-10927999.496459961,-22333139.419555664,-22326076.50756836,-19237413.40637207,-11950570.106506348,-11639101.028442383,162295.26698589325,-3626415.729522705,-9927223.205566406,-6415409.564971924,-26114006.04248047,-24688955.307006836,-25238855.361938477,-19193181.99157715,-9229820.251464844,-8116718.292236328,-11001380.920410156,-24546344.757080078,-25415981.29272461,-18328510.284423828,-16834096.908569336,-12627732.276916504
0.015,-5188954.830169678,-7749391.555786133,-7094121.45614624,-4348090.171813965,-4808494.567871094,-25736366.271972656,-9195133.209228516,-6266551.494598389,-4642950.534820557,-1324290.2755737305,-3306482.5534820557,-8611038.208007812,-11347401.61895752,-768867.4926757812,-19628162.384033203,-17907697.677612305,-7440770.149230957,-6935328.960418701,-3459588.5276794434,1840554.5949935913,-3884287.3573303223,-6404930.591583252,-14728128.433227539,-18351804.733276367,-19163696.2890625,-26082370.75805664,-16746589.660644531,-1417257.0705413818,-4545775.890350342,-8814908.981323242,-11106546.401977539,-22319864.27307129,-25635730.743408203,-19207258.224487305,-21032876.96838379,-10799635.887145996,-2281134.1285705566,-4190496.9215393066,-8063024.520874023,-9575204.849243164,-10474374.771118164,-25664289.474487305,-25550771.713256836,-21186803.817749023,-14906019.21081543,-13343374.252319336,-4310057.640075684,-6395294.666290283,-10681309.700012207,-7949316.501617432,-29212329.864501953,-28035581.588745117,-28614049.911499023,-23104885.10131836,-15128211.02142334,-12516646.385192871,-13519138.33618164,-28057207.107543945,-28733314.514160156,-23302530.28869629,-20301345.825195312,-18346345.901489258
0.02,-3745201.1108398438,-5722117.4240112305,-3007318.4967041016,-3559500.6942749023,-1475452.3038864136,-21742095.947265625,-7981585.502624512,-5507307.052612305,-4201106.071472168,-214683.23469161987,-1693155.7655334473,-7756151.19934082,-9332533.836364746,-681896.9249725342,-16132610.321044922,-15384045.600891113,-6454995.632171631,-6176715.850830078,-3919726.3717651367,-347242.0871257782,-3744090.0802612305,-6538368.701934814,-13258300.78125,-15064303.398132324,-17556776.04675293,-23387378.692626953,-17003444.67163086,-2657307.1479797363,-6566557.40737915,-9681909.561157227,-10414614.6774292,-21214914.321899414,-23573259.353637695,-17754318.237304688,-19359016.41845703,-10638096.809387207,-5340940.952301025,-6895129.203796387,-11202654.838562012,-9059445.38116455,-7982869.1482543945,-23267929.077148438,-23260236.740112305,-19547964.096069336,-15717030.52520752,-16061517.715454102,-9799658.77532959,-9155069.351196289,-12625399.589538574,-8425724.029541016,-27753828.048706055,-26816549.30114746,-27470161.43798828,-25547264.099121094,-21324825.286865234,-17220455.169677734,-15091814.994812012,-26875564.575195312,-27513088.22631836,-24535949.70703125,-21943862.915039062,-17141996.383666992
0.025,515140.8314704895,-1445539.2360687256,1544440.1502609253,-1819651.9613265991,2188215.732574463,-16908800.12512207,-6197466.3734436035,-3634909.152984619,-2367568.7313079834,1670224.905014038,787168.6816215515,-4746336.936950684,-4178503.99017334,5281105.041503906,-8358179.092407227,-10710002.899169922,-4695949.077606201,-4456284.523010254,-2802735.0902557373,-309868.63374710083,-1625687.7183914185,-2228189.706802368,-6714295.864105225,-7317451.477050781,-12861780.166625977,-21942178.72619629,-16253978.729248047,-2991712.3317718506,-6248142.242431641,-7346233.367919922,-5880904.674530029,-15801389.694213867,-15201079.368591309,-13399203.300476074,-15074713.706970215,-9521869.659423828,-5497141.8380737305,-6402106.285095215,-9629696.8460083,-4857644.557952881,-2840440.511703491,-14723771.095275879,-14959819.793701172,-15120643.615722656,-13847735.404968262,-17495292.66357422,-10738907.814025879,-7855582.714080811,-12526427.268981934,-4014238.3575439453,-20969255.447387695,-19853855.13305664,-20768770.217895508,-24341476.440429688,-21523849.487304688,-16151187.896728516,-11149165.153503418,-19829002.380371094,-20715951.919555664,-19698583.602905273,-18167924.880981445,-5739009.857177734
0.03,7543551.445007324,5267963.886260986,5237777.7099609375,2433805.9425354004,6597068.786621094,-11093537.330627441,-2326642.5132751465,577594.2206382751,1828636.2886428833,4541167.736053467,4472417.831420898,204416.1707162857,3141596.3172912598,13630236.625671387,613325.8938789368,-4759929.180145264,-916627.8839111328,-432053.804397583,88787.89097070694,2300827.980041504,2891014.814376831,5436367.034912109,3503013.3724212646,1685854.7925949097,-7456822.872161865,-20840312.957763672,-14075017.929077148,-2450353.8608551025,-2662112.7128601074,-1849396.5864181519,1192739.725112915,-6937086.10534668,-4005244.255065918,-7690431.594848633,-9590914.726257324,-9793185.234069824,-2664280.1761627197,-2111180.305480957,-3214871.406555176,2719919.443130493,4254850.8644104,-3549712.896347046,-3875496.8643188477,-9447315.216064453,-10617646.217346191,-14824623.107910156,-5906108.379364014,-1709583.044052124,-6727885.723114014,5457652.0919799805,-10156587.600708008,-8656429.290771484,-9884731.29272461,-18170106.887817383,-13703558.921813965,-6848187.446594238,-475352.6449203491,-8652732.849121094,-9716736.793518066,-10415634.155273438,-8160660.743713379,9378405.570983887
0.035,13145124.435424805,10458969.116210938,6109483.71887207,7534628.391265869,9760248.184204102,-5544615.745544434,2505793.571472168,5463461.875915527,6520980.358123779,7181629.657745361,7507391.929626465,3468019.0086364746,7126312.732696533,17115774.154663086,5999771.1181640625,329356.96840286255,3734898.567199707,4361472.129821777,2823182.3444366455,4237802.505493164,6089283.9431762695,10074513.43536377,9444791.793823242,7061384.677886963,-4143187.5228881836,-18739412.307739258,-11372981.071472168,-1582811.8324279785,840847.9690551758,2155849.6952056885,5092643.737792969,-1479988.4557724,2083303.2131195068,-4270071.983337402,-6289756.298065186,-11324904.441833496,179950.95252990723,1952004.075050354,1845170.9747314453,7869400.978088379,8427456.855773926,2431390.5239105225,2270100.5935668945,-6058604.717254639,-9149651.527404785,-10893637.657165527,-828902.9598236084,3671417.9515838623,548818.5286521912,12649568.557739258,-2773773.670196533,-1132657.1702957153,-2429494.857788086,-12099196.434020996,-5327711.582183838,2849776.268005371,8649021.14868164,-1307794.451713562,-2221352.5772094727,-4046525.9552001953,478547.8711128235,16425537.109375
0.04,14446064.949035645,11092513.084411621,3731751.9187927246,10484609.603881836,9753477.096557617,-2863867.0444488525,5452088.356018066,8204881.66809082,9118515.014648438,8602507.591247559,8042423.248291016,2323538.303375244,4319102.2872924805,13980073.928833008,5825777.053833008,2755245.4471588135,6729259.967803955,7110871.315002441,3799960.3748321533,3139751.91116333,4855307.579040527,7811389.923095703,6320306.301116943,6880373.001098633,-3343153.953552246,-16490642.547607422,-9649879.455566406,-403362.3933792114,770844.9363708496,1016389.6083831787,2579452.7530670166,-4849257.469177246,-1047106.146812439,-4945896.625518799,-6983101.367950439,-11841894.149780273,1470813.6320114136,1770157.6948165894,715681.1356544495,6565077.304840088,6192270.755767822,-841628.4918785095,-747475.5048751831,-6783420.562744141,-10456047.058105469,-10291507.720947266,-327019.72126960754,3030241.2509918213,1880815.3867721558,11155453.6819458,-5192522.048950195,-3781473.398208618,-4809808.731079102,-12413722.038269043,-4483770.370483398,3579326.1528015137,7707572.937011719,-4055259.7045898438,-4704341.888427734,-6068286.418914795,-16299.048438668251,11358355.522155762
0.045,13994124.412536621,9882429.122924805,634803.4143447876,10976754.188537598,8236057.281494141,-3324436.664581299,5819978.713989258,8513625.144958496,9567781.448364258,9412457.466125488,7110470.294952393,-562554.2998313904,-577487.2303009033,10367909.43145752,3103541.374206543,2914274.215698242,7392260.0746154785,7494100.093841553,3830929.756164551,998577.7735710144,2113707.5424194336,3282095.9091186523,285973.81711006165,4148501.396179199,-3050403.594970703,-15489199.6383667,-9030007.362365723,1280715.1079177856,-1417353.1532287598,-2245944.9768066406,-1605666.2797927856,-12360970.497131348,-8061683.654785156,-6980429.649353027,-9052839.279174805,-10607835.76965332,2522434.4730377197,-1391518.473625183,-3145049.571990967,3219502.4490356445,1682627.558708191,-8088557.243347168,-7775468.826293945,-8936153.411865234,-11975808.143615723,-12156478.881835938,-2228792.428970337,-1121055.1261901855,-2229521.0361480713,4818975.925445557,-13797646.522521973,-12741238.594055176,-13431154.251098633,-17865684.509277344,-9435658.45489502,-2919365.644454956,78707.52364397049,-12843379.020690918,-13455745.697021484,-12979398.727416992,-6767965.316772461,2271320.8198547363
