time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-5377250.194549561,-4814591.884613037,-3945610.0463867188,-2877330.0647735596,-2617037.296295166,-2326207.160949707,-2694059.8487854004,-2685774.564743042,-1789596.676826477,-957829.2369842529,-2379668.2357788086,-1656693.8161849976,-268909.87157821655,-198361.76931858063,-1438961.386680603,-2186541.3188934326,-1511460.6618881226,-277137.04109191895,-219207.94248580933,-254436.61212921143,-664261.3410949707,-844267.8451538086,-67188.15863132477,-1270268.440246582,-1795390.8443450928,-601924.1809844971,-672298.789024353,182228.32679748535,-478965.4314517975,-555761.992931366,-665230.4530143738,19175.799563527107,-812106.7881584167,-1101753.2348632812,-1051448.8220214844,-685942.0537948608,11342.372745275497,-98435.56582927704,-300766.4382457733,186784.43133831024,228560.4178905487,109411.66430711746,-604501.6646385193,-587625.8611679077,-443806.7674636841,-227521.3599205017,-91931.07485771179,210200.86109638214,201266.67618751526,198887.46738433838,-588266.2534713745,-597589.0755653381,-545673.1915473938,-166135.14721393585,188016.23582839966,193965.3903245926,227119.66931819916,1087438.464164734,-69854.84063625336,-114617.92886257172,207124.79948997498,261100.76904296875
0.005,-8626597.40447998,-1990862.488746643,-2562558.41255188,2044404.9835205078,-2041184.902191162,11396206.855773926,-3761460.304260254,-3269999.7425079346,4961344.7189331055,5430992.126464844,-1410416.1262512207,-4693293.09463501,310274.1539478302,353577.8522491455,8375510.215759277,-9681875.228881836,-1772656.5599441528,5118435.382843018,4112762.928009033,3092324.733734131,-2515125.513076782,-9535474.77722168,1848559.2603683472,-25348636.627197266,-17996805.19104004,-3940032.958984375,-689451.6944885254,4396935.46295166,6457.875017076731,-4273062.705993652,-10826848.983764648,1558564.9013519287,190622.0018863678,-8374310.493469238,-5585525.5126953125,-2606057.4054718018,579392.4331665039,-1810056.447982788,-3398368.8354492188,160945.41549682617,1432062.8643035889,-753879.4875144958,-7900496.482849121,-4790870.666503906,-634127.0804405212,-5052357.6736450195,-1526675.2243041992,583484.4708442688,-165677.84547805786,212002.85851955414,-8159817.695617676,-8128745.079040527,-6806582.927703857,-3693524.3606567383,-438379.6453475952,37944.7415471077,374744.9815273285,-4321146.011352539,-7234121.799468994,-2990318.536758423,-34003.58930230141,850888.9079093933
0.01,-18505317.68798828,-7639499.187469482,-6623115.062713623,-1275898.5757827759,-3200256.34765625,12023845.672607422,-7654772.758483887,-7056890.01083374,5330842.4949646,7022866.725921631,-1917229.6524047852,-5364549.160003662,1712496.3998794556,1827513.2179260254,11739584.922790527,-14103484.153747559,-3494904.7565460205,5040729.999542236,5827548.980712891,4665461.540222168,-2565527.6775360107,-11277076.721191406,3772054.91065979,-37138557.43408203,-25022459.030151367,-5751754.7607421875,-1246008.3961486816,5986476.421356201,788840.2938842773,-4869642.25769043,-14023606.300354004,3369634.8667144775,416665.8818721771,-11315892.219543457,-7826121.807098389,-3695585.9661102295,587790.0123596191,-2169441.4615631104,-3872909.5458984375,1166676.2828826904,3026276.3500213623,-982422.947883606,-10836195.945739746,-6646147.25112915,-1166204.810142517,-6372886.180877686,-1815278.7685394287,1746479.9880981445,726745.6650733948,1440021.9917297363,-11088068.008422852,-10987429.61883545,-9277934.074401855,-4645659.923553467,271478.1165122986,964010.4174613953,1598708.8680267334,-4730907.917022705,-9537625.312805176,-3532649.7554779053,836993.157863617,2218160.390853882
0.015,-33370296.478271484,-21116424.560546875,-16566434.860229492,-10990708.351135254,-7006116.3902282715,2682202.5775909424,-12952870.36895752,-12521517.753601074,375850.02183914185,3996093.75,-4922674.655914307,-5590322.971343994,2779275.1789093018,3082637.071609497,9588545.799255371,-15204710.006713867,-6131246.566772461,588012.158870697,4432958.602905273,3690054.6550750732,-2299704.074859619,-8254995.346069336,4800113.201141357,-36504871.3684082,-23269643.783569336,-6119619.369506836,-2475255.4893493652,5328301.429748535,613147.8548049927,-4113570.6901550293,-12144606.590270996,4578392.505645752,292770.2069282532,-10338708.877563477,-8040390.968322754,-4079998.016357422,138318.55356693268,-1974253.4160614014,-3235835.7906341553,2436710.5960845947,4301136.9705200195,123695.36608457565,-9371325.492858887,-6094598.770141602,-1893650.8893966675,-4659225.940704346,-1721616.506576538,2943179.6073913574,2168934.106826782,2994383.3351135254,-9392233.848571777,-9316620.826721191,-7959090.232849121,-3308253.049850464,1654688.9543533325,2326294.422149658,3058768.5108184814,-108751.62482261658,-6701944.828033447,-2097827.196121216,2180689.3348693848,3584530.5919647217
0.02,-46253631.591796875,-35167034.14916992,-28542148.59008789,-19256723.403930664,-13093983.65020752,-4589375.4959106445,-16487197.875976562,-16096765.518188477,-4283989.429473877,-275123.35777282715,-10309580.80291748,-8989389.419555664,1349394.2022323608,1879718.542098999,6998436.92779541,-15408381.462097168,-8194834.7091674805,-3419084.072113037,1375977.1585464478,772208.571434021,-4469425.201416016,-8092083.930969238,3577798.1281280518,-32988803.86352539,-20421485.900878906,-6358118.057250977,-4057203.769683838,4476666.9273376465,-1456622.60055542,-5708576.679229736,-12329024.314880371,3653751.1348724365,571887.3739242554,-9091807.36541748,-8117355.3466796875,-4377569.675445557,-191606.50670528412,-2573370.933532715,-4605246.067047119,2124796.6289520264,3871426.582336426,1866677.4034500122,-7257274.150848389,-5081502.914428711,-2238977.1938323975,-3020947.6947784424,-2360697.5078582764,2487848.2818603516,2123056.8885803223,2731110.8112335205,-7133651.7333984375,-7244369.5068359375,-6175518.035888672,-1911527.6336669922,1672270.1787948608,2267430.305480957,2789004.8027038574,4597772.598266602,-3175268.6500549316,-821147.1438407898,2152018.7854766846,3234108.2096099854
0.025,-54761703.49121094,-45867774.963378906,-39471916.19873047,-23769962.310791016,-20396905.89904785,-7099509.716033936,-18789213.180541992,-18175466.537475586,-6925842.761993408,-4340550.899505615,-16977293.014526367,-15628427.505493164,-2839541.19682312,-2130276.4415740967,5174793.720245361,-17413825.98876953,-9875384.330749512,-5706210.136413574,-1838477.2539138794,-2720650.4344940186,-9110720.63446045,-13445411.682128906,33221.92654013634,-33950088.50097656,-21913692.474365234,-7562108.993530273,-5700657.367706299,4022838.592529297,-3886194.7059631348,-9425073.623657227,-16957138.061523438,383921.0569858551,751182.7945709229,-9679327.011108398,-9051376.342773438,-4808100.22354126,-78656.29345178604,-3243702.6500701904,-7575230.121612549,-90671.30833864212,1552201.747894287,2130608.558654785,-7415930.271148682,-5170593.738555908,-1837401.032447815,-2754481.315612793,-2858887.195587158,135134.45854187012,-23021.193221211433,252668.1125164032,-7381220.34072876,-7648430.824279785,-6439350.128173828,-1395470.0231552124,-328333.67586135864,204912.26017475128,469667.61350631714,5100341.320037842,-3003180.503845215,-511529.68406677246,195731.80377483368,930906.8918228149
0.03,-63218063.35449219,-55504207.611083984,-49137538.90991211,-29150508.880615234,-27717151.641845703,-12560154.914855957,-23355005.264282227,-22506088.256835938,-10862036.70501709,-9001883.506774902,-23556840.896606445,-21834787.368774414,-7142541.408538818,-6304052.352905273,1236877.0837783813,-21906557.083129883,-12866042.137145996,-8976509.094238281,-4599914.073944092,-5613586.902618408,-13623038.291931152,-19665294.647216797,-3656726.360321045,-38903755.18798828,-26672227.85949707,-9884641.647338867,-7480970.859527588,3161706.6860198975,-4431064.605712891,-11632844.924926758,-21673912.048339844,-3041610.9561920166,-520284.59310531616,-11343819.618225098,-10492533.683776855,-5298922.538757324,236509.308218956,-2204101.800918579,-8660722.732543945,-1999906.8975448608,-653170.8836555481,346832.5734138489,-8924771.308898926,-6036646.366119385,-1148564.4578933716,-2247330.1887512207,-1560792.088508606,-1904925.4655838013,-2133700.370788574,-1960174.0837097168,-9014952.659606934,-9218807.220458984,-7765141.487121582,-580594.1224098206,-2275237.0834350586,-1848393.9170837402,-1547860.9800338745,2853309.392929077,-4990644.931793213,106342.59134531021,-1693179.8458099365,-1032323.1220245361
0.035,-74855026.24511719,-66152709.9609375,-57725524.90234375,-37560760.498046875,-33675964.35546875,-24034538.26904297,-30669969.55871582,-29812236.785888672,-17420576.095581055,-13364950.180053711,-28786165.237426758,-24827489.852905273,-8680373.191833496,-7702231.407165527,-5427713.394165039,-27295274.73449707,-17411317.825317383,-13756716.72821045,-6456963.062286377,-7261214.733123779,-16201435.089111328,-22194793.701171875,-4864046.096801758,-43919723.51074219,-31237920.7611084,-12728683.471679688,-9425335.884094238,2267638.2064819336,-3433874.1302490234,-10988388.061523438,-22724086.76147461,-3954389.0953063965,-3404757.9765319824,-13136067.390441895,-12186297.416687012,-6068568.706512451,362520.9927558899,140888.70584964752,-6628391.265869141,-1352965.1165008545,-476071.1193084717,-1185359.001159668,-9292484.283447266,-6619105.815887451,-1202776.551246643,-419123.113155365,879321.6347694397,-1319982.1710586548,-1709762.454032898,-1361722.2309112549,-9307302.474975586,-9376725.196838379,-7885733.604431152,1221042.9906845093,-1751527.5478363037,-1446252.3460388184,-904293.2391166687,2898191.9288635254,-4688638.687133789,1806942.4629211426,-1168333.0535888672,-276166.23044013977
0.04,-86271492.00439453,-75083427.42919922,-63786186.21826172,-44353969.57397461,-36853610.99243164,-34338882.44628906,-36576492.30957031,-35861896.51489258,-22595361.709594727,-14458558.082580566,-31574323.654174805,-25245967.864990234,-7646782.398223877,-6525206.089019775,-11592420.57800293,-31394371.032714844,-21238731.384277344,-16456678.39050293,-6677864.074707031,-7411235.332489014,-17229122.161865234,-21864553.451538086,-3591928.243637085,-47378234.86328125,-34376159.66796875,-15168272.972106934,-10992539.405822754,3060673.236846924,-3279718.1606292725,-10110943.794250488,-21746706.008911133,-2451671.838760376,-6597127.914428711,-15494318.008422852,-14364143.371582031,-7372277.25982666,237376.91342830658,1131742.5966262817,-4457889.556884766,966467.6785469055,1561369.8959350586,-1002319.9319839478,-8729793.548583984,-7126840.591430664,-2540922.164916992,828324.2583274841,1748362.7796173096,1064770.221710205,644006.7887306213,1138141.6320800781,-8557985.305786133,-8703237.533569336,-7259606.36138916,2277273.8933563232,555237.4720573425,870113.3728027344,1464085.8173370361,6451945.781707764,-1345681.3097000122,2918667.5548553467,1140738.9640808105,2288527.9655456543
0.045,-91730842.59033203,-78268791.19873047,-65552345.275878906,-45152416.22924805,-36757053.37524414,-37245273.59008789,-37802951.81274414,-37183547.97363281,-22705394.744873047,-11811954.498291016,-31507713.317871094,-24881822.58605957,-6867656.707763672,-5720994.94934082,-15130539.894104004,-33335174.560546875,-22356750.48828125,-14961034.774780273,-5266536.235809326,-6357244.968414307,-17440652.84729004,-21575799.9420166,-2665415.7638549805,-50366428.37524414,-36665042.877197266,-16504577.63671875,-11506917.953491211,5747786.521911621,-4677389.621734619,-11100582.122802734,-21965950.01220703,-1536448.7171173096,-9249823.570251465,-18664789.1998291,-16662382.125854492,-8808981.895446777,86518.64528656006,-500323.2955932617,-5074953.556060791,1607270.4792022705,2298566.5798187256,-1549656.7487716675,-10141057.014465332,-8820828.437805176,-4528594.017028809,-938881.7548751831,-23167.58595407009,1789109.1108322144,1528705.358505249,1912744.2836761475,-9955717.086791992,-10319865.226745605,-8825400.352478027,464486.688375473,1239801.8836975098,1718466.877937317,2072157.621383667,8415510.177612305,126476.82428359985,1253865.5996322632,1889787.6739501953,3017322.540283203
