time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1878287.1961593628,-1449002.3851394653,-3483401.298522949,-2826419.5919036865,-1963834.4049453735,-3006830.6922912598,-301163.4051799774,-2381207.227706909,-888201.2367248535,-2675154.9243927,-1290358.9010238647,-953752.2792816162,-984469.0561294556,-958107.7098846436,-1900867.8197860718,-3637204.885482788,-494152.0690917969,-406127.1548271179,-1071758.6278915405,-1077837.1095657349,-1084251.4038085938,-1017118.0963516235,-414463.96708488464,152877.00295448303,1236553.66897583,-2001711.6069793701,-1539750.4568099976,685773.3130455017,168288.99085521698,-1066368.1030273438,-2375173.330307007,577665.0905609131,2433415.412902832,372653.7823677063,-1100196.361541748,-1873849.2727279663,123.57790546957403,-1057104.229927063,-1074201.4646530151,-1242711.067199707,-480243.89147758484,-485972.43428230286,1439337.0151519775,1520141.9591903687,-3095233.917236328,-2279463.052749634,-1750092.7448272705,-3602493.2861328125,-681122.9586601257,-1307942.9864883423,-2031628.3702850342,-2496308.5651397705,-4034989.356994629,-2239286.6611480713,-2176832.437515259,-2195919.7521209717,745362.6394271851,-3155369.758605957,-3289442.300796509,-1727156.5198898315,-2204359.292984009,-2193132.4005126953
0.005,34198379.51660156,13432508.46862793,10452245.712280273,985104.3224334717,1569787.859916687,11546804.428100586,6801464.557647705,2431126.356124878,1576700.8066177368,-5197432.518005371,443290.6210422516,2424575.090408325,2205981.731414795,3345355.749130249,15998010.635375977,14258554.458618164,3411720.9911346436,-581172.8239059448,-4142213.821411133,-3852097.272872925,-4689423.561096191,3197214.6034240723,10976096.153259277,12931644.439697266,13838537.216186523,3312815.9046173096,-2673202.0378112793,-3403312.921524048,3175130.605697632,6331963.539123535,4279703.140258789,9170805.931091309,21482324.600219727,12637804.985046387,8517119.407653809,4661257.266998291,2316398.859024048,6154231.071472168,6771508.693695068,8759905.815124512,380303.85971069336,13668307.304382324,15315862.655639648,14743457.794189453,-963869.8101043701,7571505.546569824,9826433.181762695,13782503.128051758,10571221.351623535,13012261.390686035,13554995.5368042,10888807.29675293,11103518.48602295,7134675.979614258,16745935.440063477,17248937.606811523,19513854.98046875,16782920.837402344,13593436.241149902,9954712.867736816,16240116.119384766,16990615.844726562
0.01,46967769.622802734,18102661.1328125,14326304.43572998,988621.711730957,1259773.2543945312,14289339.065551758,7889904.499053955,2978356.122970581,1913099.5273590088,-5886868.953704834,-350399.911403656,1570064.3062591553,1150004.0292739868,2633760.2138519287,21054779.052734375,19597509.384155273,4171352.3864746094,-433092.98157691956,-5563906.192779541,-5002246.856689453,-6226723.670959473,2524662.0178222656,12528298.377990723,16718217.849731445,16891141.891479492,2980074.167251587,-2790029.287338257,-4552882.671356201,4546662.8074646,8998618.125915527,5931408.405303955,10026303.2913208,25904272.079467773,14592546.463012695,11328820.22857666,8056409.83581543,3351298.5706329346,8588603.973388672,9490307.807922363,12004403.114318848,-941468.7156677246,16094566.345214844,18822738.647460938,18209281.92138672,-1165752.7685165405,9638949.394226074,13230904.579162598,20991363.525390625,14108622.550964355,17252233.505249023,16628110.885620117,13357476.234436035,14785791.397094727,8969846.725463867,22037502.28881836,22716764.450073242,23471063.6138916,22823945.999145508,17717203.14025879,12204094.886779785,21305267.333984375,22310766.220092773
0.015,38072315.21606445,13611714.363098145,8479531.288146973,-2487738.1324768066,-1682545.54271698,6869681.835174561,3689795.2556610107,-695751.6074180603,260329.39553260803,-4850344.181060791,-2047231.4357757568,-1271620.750427246,-1879032.2542190552,-641035.7356071472,15024266.242980957,12907613.754272461,2301724.672317505,-303339.4515514374,-5122740.268707275,-4361034.870147705,-5530261.516571045,-652490.9138679504,7975868.225097656,12675723.0758667,11694471.35925293,-1705776.6914367676,-2234933.376312256,-2977590.799331665,4663028.717041016,7773388.385772705,4829938.4117126465,6464799.880981445,17945745.46813965,8385225.296020508,8745256.423950195,8004054.069519043,3073414.087295532,7152850.151062012,8074578.285217285,10189105.987548828,-2409078.1211853027,9068129.539489746,13886764.526367188,13832830.429077148,-2883705.3775787354,5847401.6189575195,9992505.073547363,18806491.85180664,11294647.216796875,13567968.368530273,9613744.735717773,7013530.731201172,8797393.798828125,5193753.242492676,15944087.028503418,16531179.428100586,15880580.90209961,16583688.735961914,11073297.500610352,7439098.358154297,15301549.911499023,16098131.17980957
0.02,29365825.653076172,10217568.397521973,2841945.171356201,-4918036.460876465,-2399615.2877807617,2166181.3259124756,789372.5633621216,-3997089.8628234863,-1226051.0921478271,-3151322.841644287,-858560.8601570129,-397053.89738082886,-1136228.7998199463,-401.69875137507915,11036466.598510742,5798924.446105957,1051027.6556015015,-576793.1342124939,-3662096.5003967285,-2772669.553756714,-3801068.3059692383,-30854.053795337677,8427554.1305542,9690978.050231934,7185603.141784668,-4883497.23815918,-2128964.1857147217,-1238089.2038345337,5290229.797363281,7247523.784637451,7033518.314361572,7552497.863769531,11773298.263549805,4377335.548400879,7205171.585083008,6478449.821472168,2453078.508377075,6567778.587341309,7553077.220916748,10303392.41027832,-74013.27043771744,4668747.425079346,10581525.802612305,11152769.088745117,-3447563.648223877,4096977.2338867188,8001922.607421875,16155149.459838867,9658143.043518066,12131755.828857422,5621316.432952881,3440658.5693359375,4838171.95892334,3487344.50340271,11715996.742248535,12249901.77154541,11680891.990661621,11813476.5625,6706806.659698486,5399063.1103515625,11291866.302490234,11857861.518859863
0.025,36248222.35107422,14750283.241271973,5179424.76272583,-2377877.712249756,919948.5778808594,9440579.414367676,4241893.291473389,-2436794.2810058594,-1048032.8798294067,-1659709.9304199219,3089323.9974975586,4483816.146850586,3684684.991836548,5079160.213470459,17496728.897094727,7280092.716217041,2347230.4344177246,-994350.790977478,-2368322.1340179443,-1354197.0252990723,-2441070.795059204,4900423.526763916,15436931.610107422,13555241.584777832,8225446.701049805,-3930909.1567993164,-2820111.5131378174,-1166589.0216827393,6754981.994628906,9272077.560424805,12792731.285095215,14000887.870788574,14965485.572814941,7208168.506622314,9105769.157409668,5273746.967315674,2242074.728012085,8723872.184753418,9860146.522521973,14403475.761413574,5659734.725952148,8922384.262084961,13382039.070129395,14206091.88079834,-1767301.4402389526,7269521.236419678,10588079.452514648,18064851.760864258,12452605.247497559,16795921.325683594,11329400.062561035,8733136.177062988,9553945.541381836,6555823.32611084,15804696.083068848,16400623.321533203,16972255.70678711,17039817.810058594,11998983.383178711,9569625.854492188,15446754.455566406,16095954.895019531
0.03,52524608.61206055,22969766.61682129,11782293.319702148,3664337.635040283,3641298.0556488037,24819665.908813477,12302484.512329102,3474513.530731201,-222452.23820209503,-1854336.2617492676,4184770.107269287,6212634.086608887,5423204.42199707,6973762.035369873,29749423.98071289,15375188.827514648,5028394.2222595215,-1135052.3233413696,-2861275.4344940186,-1705017.9243087769,-3036650.8960723877,6727718.353271484,18131168.365478516,21833402.633666992,11577428.817749023,-1614407.7777862549,-3503773.6892700195,-2624606.132507324,6730854.9880981445,10755561.828613281,14825214.385986328,16099405.288696289,21726985.931396484,11648628.234863281,11058732.986450195,5115050.792694092,2383164.405822754,10422880.172729492,11577913.284301758,16758806.228637695,8800486.56463623,15731709.480285645,17021762.84790039,17736072.540283203,963197.2312927246,10709635.734558105,13330067.63458252,20617696.76208496,15096919.059753418,20623714.447021484,19757793.426513672,16751720.428466797,17388517.379760742,9819231.986999512,21487846.37451172,22094944.00024414,23133216.857910156,26322010.040283203,20640687.942504883,13959230.422973633,20957508.087158203,21901517.868041992
0.035,62624858.85620117,25826459.884643555,12293881.4163208,7754242.420196533,-387.4727408401668,37901172.63793945,19336971.282958984,9102141.380310059,-535757.303237915,-5369780.06362915,-2049671.8883514404,-875113.2488250732,-1591798.9015579224,-283439.18919563293,38482322.692871094,22741300.582885742,7270862.579345703,-837502.5391578674,-6205798.149108887,-4995704.174041748,-6546864.5095825195,-349575.81758499146,8698560.71472168,29062955.856323242,13159835.815429688,-633368.968963623,-3244525.671005249,-4515356.540679932,3196192.2645568848,8579891.204833984,8165545.463562012,7240109.920501709,24331928.253173828,12153788.566589355,10523461.34185791,6193400.859832764,2489484.7869873047,8402614.59350586,9366853.713989258,12499060.63079834,4802068.23348999,17274646.759033203,15983815.19317627,16444246.292114258,3268664.598464966,10183300.018310547,11708818.435668945,18394088.745117188,12765106.201171875,16874855.041503906,21280918.12133789,18589683.532714844,19407115.936279297,9272235.870361328,20564844.131469727,21075504.302978516,21463916.778564453,28853601.455688477,22590599.060058594,13199716.567993164,19813758.850097656,20927759.170532227
0.04,61831203.46069336,20978935.24169922,3465087.413787842,7291444.301605225,-8729064.94140625,44645618.4387207,22730504.989624023,11657152.17590332,-1309768.6767578125,-10582077.980041504,-11931987.762451172,-12367568.016052246,-12990968.704223633,-11974238.395690918,41923389.43481445,26718540.19165039,9262495.040893555,455391.7348384857,-10527183.532714844,-9442461.013793945,-10982104.301452637,-11735329.627990723,-5844716.0720825195,33413513.18359375,14312313.079833984,320389.12177085876,-1890665.7695770264,-5754536.151885986,-1878963.828086853,4441150.188446045,-1676845.1929092407,-6012376.308441162,24037458.419799805,10692716.598510742,9648593.90258789,8139475.8224487305,2435096.502304077,4315052.032470703,5063923.358917236,5327877.521514893,-2819425.344467163,14854866.027832031,12408864.974975586,12555478.0960083,4578036.308288574,7480077.266693115,7553134.918212891,12842719.078063965,7689418.315887451,9199890.13671875,16492151.260375977,14360034.942626953,14977405.548095703,6781826.972961426,14904791.831970215,15347009.658813477,15443499.565124512,23414314.27001953,17356754.302978516,9930481.910705566,14094713.21105957,15097264.289855957
0.045,59115447.998046875,15301216.125488281,-5812883.8539123535,6241859.436035156,-14212512.969970703,49852310.18066406,25098058.700561523,13572082.51953125,571764.5883560181,-11996434.211730957,-16401929.85534668,-17844022.750854492,-18434234.619140625,-17326658.248901367,45913120.26977539,30652767.181396484,12518564.224243164,3943801.6414642334,-11238128.662109375,-10367851.257324219,-11642168.998718262,-16946981.43005371,-12123115.539550781,36832904.81567383,18496536.254882812,3373431.921005249,-16873.58319759369,-5480325.222015381,-3891205.7876586914,2625900.5069732666,-4568453.311920166,-11803859.71069336,26888860.70251465,12460108.757019043,11119715.690612793,9625080.108642578,2350341.558456421,2512357.711791992,3160030.8418273926,2882647.0375061035,-6258316.0400390625,15488387.107849121,11745696.067810059,11498568.534851074,4637226.581573486,6326740.264892578,5551972.389221191,9753937.721252441,5662017.345428467,6408301.35345459,13657790.184020996,11466749.19128418,10849832.534790039,5873383.99887085,12211451.530456543,12676870.346069336,13924901.008605957,18527395.248413086,12966369.62890625,9420825.958251953,11477139.472961426,12229270.935058594
