time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,9682739.2578125,12294617.652893066,11911601.066589355,4077987.1940612793,5075687.885284424,-1192589.7598266602,1239003.6582946777,1253077.9838562012,1961775.6605148315,1817502.9754638672,1951265.4542922974,3288837.671279907,3995319.8432922363,3932268.6195373535,-2190551.7578125,-841532.826423645,224993.55673789978,179473.69813919067,662809.3719482422,766905.3673744202,1092114.806175232,2788962.1257781982,3925106.7638397217,-2143577.3372650146,-1562251.4486312866,-749801.9337654114,-462881.80351257324,-8673.463016748428,165085.5988264084,563662.8866195679,651455.1639556885,1541021.466255188,-2127949.4762420654,-2142487.7643585205,-510885.0598335266,-506932.0797920227,30117.755755782127,-598559.4391822815,545220.8518981934,325755.0299167633,-806216.6571617126,-2131510.4961395264,-2495876.0738372803,-1284032.702445984,-1024422.287940979,-1029056.9067001343,-567250.5497932434,-699750.1850128174,-674156.5465927124,-725182.8908920288,-2306350.4695892334,-2203531.265258789,-2234038.1145477295,-1045762.8965377808,-1951540.231704712,-1616634.726524353,-1628458.2614898682,-2651635.6468200684,-2274501.085281372,-2376329.183578491,-1971161.2462997437,-2010528.802871704
0.005,9598893.165588379,15051977.157592773,5395911.693572998,1679920.6733703613,-5200668.3349609375,2034818.6492919922,8801607.131958008,8420313.835144043,3444917.678833008,2360309.839248657,3152706.6230773926,2248478.651046753,-1721084.8331451416,-2465626.001358032,4839595.794677734,7164554.119110107,3739063.024520874,2642730.236053467,3273838.520050049,555559.3967437744,-467999.48811531067,-4888133.525848389,-1439144.9689865112,5517525.196075439,9991491.317749023,3531024.932861328,3100575.6855010986,72530.16531467438,808405.9357643127,940263.2713317871,4310576.438903809,24246612.548828125,6240686.893463135,4639062.881469727,6129487.991333008,4397912.979125977,651237.9050254822,2610839.605331421,8558243.751525879,9217226.028442383,2566106.3194274902,5288536.548614502,-19024585.723876953,1806999.4449615479,1361337.7809524536,2702503.442764282,1372196.7935562134,1807010.293006897,2546744.3466186523,1875240.3259277344,2638121.6049194336,2182997.226715088,1564071.0592269897,3005393.5050964355,5374441.623687744,6202802.1812438965,6030641.078948975,3644791.3646698,919963.5982513428,3690446.138381958,5223881.244659424,4843936.443328857
0.01,8001254.081726074,14955381.393432617,3696322.202682495,-207375.09429454803,-9438519.477844238,2771829.605102539,10138459.205627441,9680597.305297852,2664808.988571167,2489231.586456299,3918286.8003845215,2735548.0194091797,-2047761.6786956787,-3058589.220046997,8736714.363098145,10182210.922241211,4703857.898712158,3254174.4709014893,4422066.688537598,1190768.1226730347,915594.220161438,-5887712.001800537,-1654462.9335403442,9728248.596191406,14643980.979919434,4923556.327819824,4251735.210418701,-70175.1634478569,1426711.2016677856,2373906.373977661,7389523.506164551,35429653.16772461,10510386.46697998,8373579.025268555,8576860.427856445,6121656.894683838,690476.5367507935,4075012.683868408,12489058.494567871,14044214.248657227,4865466.594696045,9419908.52355957,-23871021.270751953,3111633.30078125,2864381.0749053955,4806177.616119385,2280205.726623535,3334443.5691833496,4301561.8324279785,3717899.3225097656,5972726.345062256,5108986.854553223,4148580.0743103027,5153644.561767578,9447211.265563965,9658465.385437012,9476536.750793457,7730163.57421875,3330394.983291626,7041350.364685059,9322799.682617188,8810747.146606445
0.015,13058765.411376953,21223951.33972168,13891174.31640625,2250209.331512451,-3916641.2353515625,1760150.3133773804,8064273.834228516,7859158.992767334,1836748.3615875244,3270558.8340759277,5346942.901611328,6260423.66027832,4151126.8615722656,3233493.5665130615,8120882.034301758,9132276.53503418,3721431.255340576,2545703.649520874,4281964.302062988,1843775.2723693848,4025852.680206299,-679237.1273040771,4437018.871307373,9114697.456359863,12674122.81036377,3738234.043121338,3157064.914703369,-335502.86293029785,1332134.72366333,3427070.140838623,8601356.506347656,35167633.056640625,9495266.914367676,7766585.350036621,7490589.618682861,4969114.780426025,384690.91057777405,3176893.2342529297,12314575.1953125,14111521.72088623,4664022.445678711,8855013.847351074,-18978927.612304688,2990932.4645996094,3768246.650695801,5229652.404785156,2181223.8693237305,3372145.414352417,4108026.9813537598,3983281.135559082,6728314.399719238,5745990.27633667,4797989.368438721,5400415.420532227,8599925.994873047,8399603.843688965,8283501.625061035,7550063.610076904,4126026.153564453,5628595.82901001,8519676.208496094,8024000.16784668
0.02,30786041.259765625,41029731.75048828,35693229.67529297,11002461.433410645,8610941.886901855,2034220.4570770264,9674135.208129883,9726891.51763916,4664317.1310424805,6079003.33404541,8728325.843811035,12517315.864562988,13025144.577026367,12215869.903564453,4793889.999389648,8706800.46081543,3577642.2023773193,2747306.8237304688,4479542.7322387695,1667984.4856262207,5945429.32510376,5007755.756378174,13184578.895568848,5732759.952545166,10086553.573608398,2871588.4685516357,2174277.0671844482,-422157.55581855774,531715.989112854,2773963.212966919,7818517.684936523,32682201.385498047,5919957.160949707,4602557.182312012,6747568.130493164,3700744.390487671,401789.51621055603,1165136.218070984,11326292.037963867,12376521.110534668,2240314.00680542,5515408.992767334,-15376530.647277832,2978016.3764953613,4650478.363037109,5124303.340911865,1946792.1257019043,2472251.8920898438,2902510.88142395,2833022.5944519043,5343928.813934326,4569955.348968506,3855481.3861846924,5158298.015594482,4760288.715362549,5757805.347442627,5620812.41607666,4033029.556274414,3226954.221725464,1016239.7623062134,4554813.385009766,4056955.8143615723
0.025,48533264.16015625,60059616.08886719,53076107.025146484,19730684.280395508,18081661.224365234,4929116.725921631,15116273.880004883,15126697.540283203,9979235.649108887,9977495.193481445,12807668.685913086,17796676.635742188,18546421.05102539,17727130.889892578,2824381.3514709473,10609586.715698242,5424525.260925293,4736668.109893799,6041297.912597656,1628087.5205993652,6453423.500061035,7145011.901855469,18687280.654907227,3794188.4994506836,11143038.749694824,4141584.3963623047,2998797.655105591,-188843.54829788208,590304.9111366272,2140663.8622283936,7296986.103057861,34359848.02246094,4214060.7833862305,2772937.774658203,8120203.018188477,3858103.5137176514,877171.516418457,424841.58277511597,11841325.759887695,12304281.234741211,759943.425655365,3601785.659790039,-17862295.150756836,3593169.927597046,5318795.204162598,5460762.977600098,2349761.0092163086,2219045.877456665,2509613.7523651123,2110630.2738189697,4019400.5966186523,3597467.8993225098,3040582.8952789307,5526400.089263916,2952455.759048462,5293628.692626953,5061583.042144775,2235707.998275757,2218267.4407958984,-1205867.1712875366,2587120.294570923,2071716.30859375
0.03,45361061.096191406,55295345.306396484,47776481.62841797,19101869.583129883,15680466.651916504,8292296.409606934,17244279.861450195,17016090.393066406,12131606.101989746,11811004.638671875,14296372.413635254,17803924.560546875,17195211.41052246,16396705.627441406,4642294.883728027,11873334.884643555,7240810.871124268,6609151.840209961,7934940.338134766,2889798.164367676,7304878.234863281,6338684.08203125,17404985.427856445,5596136.569976807,14357397.079467773,6086045.742034912,4747166.633605957,227980.94153404236,2613815.3076171875,3798152.6851654053,9166625.9765625,38171840.66772461,6306668.758392334,4525824.069976807,9716898.918151855,4459595.680236816,1294566.3928985596,2111632.1086883545,13016529.083251953,14586115.837097168,3053051.710128784,5529000.282287598,-20653984.06982422,4212624.549865723,5510236.740112305,6392992.01965332,3477473.020553589,3844601.1543273926,4124656.2004089355,3698763.847351074,5162679.195404053,4903204.441070557,4243527.412414551,6580978.870391846,6408307.5523376465,8025336.265563965,7767511.84463501,6133219.242095947,3237490.653991699,2588065.1473999023,6117856.502532959,5667991.638183594
0.035,20036298.751831055,26808851.24206543,22044664.38293457,8742328.643798828,3960659.2655181885,9254868.507385254,12380054.473876953,12130319.595336914,8302263.259887695,9716164.588928223,11877671.241760254,12813817.977905273,11003471.374511719,10335156.440734863,8320991.516113281,10053036.6897583,6611055.850982666,6005785.4652404785,8304336.5478515625,4501690.864562988,8577532.768249512,5056029.319763184,11314375.877380371,9069025.039672852,15967397.689819336,6032498.836517334,5258822.917938232,593376.3384819031,5130368.232727051,6529874.801635742,12449619.29321289,39657695.77026367,9843296.05102539,7984473.705291748,9521270.751953125,4161097.526550293,1275901.198387146,4564002.03704834,13046045.303344727,17184362.411499023,7790357.1128845215,9254066.467285156,-17949129.104614258,4601330.280303955,5806842.803955078,7525141.716003418,4757343.769073486,6777310.371398926,7104088.306427002,7131787.300109863,8794567.108154297,8328048.7060546875,7438068.389892578,7826015.472412109,12397087.097167969,12190517.42553711,11983658.790588379,12824974.060058594,6458405.017852783,8709783.554077148,12346945.762634277,11999603.271484375
0.04,-3943916.5592193604,1393965.3635025024,-1098604.5598983765,-1349579.2150497437,-5254838.943481445,7769190.311431885,5798712.253570557,5907887.4588012695,2393136.501312256,5650541.305541992,8345599.174499512,8201236.724853516,5871470.928192139,5293852.806091309,10046008.110046387,7191085.8154296875,4026305.1986694336,3317857.503890991,6951995.849609375,4683866.024017334,8754788.398742676,4736678.123474121,6287352.561950684,10550677.299499512,15158629.417419434,3773997.0684051514,3868836.8797302246,750121.3550567627,5631539.344787598,7122472.763061523,14390084.266662598,38838790.89355469,11293226.24206543,9592799.186706543,8283834.457397461,3205150.604248047,1039978.02734375,4865557.670593262,11971581.45904541,18191806.79321289,11007254.600524902,10952676.773071289,-12392844.200134277,5234572.410583496,6691599.8458862305,8217542.64831543,5312089.920043945,9013505.935668945,9419734.954833984,9790287.017822266,12106338.500976562,11248157.501220703,10294177.055358887,8588494.300842285,15132428.169250488,14862474.44152832,14630771.63696289,15351032.257080078,9470420.837402344,10401194.57244873,15125141.143798828,14799748.420715332
0.045,-6817795.753479004,-370338.88697624207,-4022502.4223327637,-3190598.726272583,-4765229.70199585,5965472.221374512,4119130.1345825195,4600080.490112305,-234286.96393966675,3055576.5628814697,7135770.797729492,8209036.827087402,5662686.824798584,4998043.537139893,8753262.519836426,6714959.144592285,2113522.529602051,1223659.1577529907,5448465.347290039,3548328.399658203,7641556.739807129,5500352.85949707,6157904.148101807,9294053.077697754,14212021.827697754,1806626.319885254,1998691.7972564697,657195.2700614929,3835664.2723083496,5076359.272003174,14154157.638549805,38723510.7421875,10069764.137268066,8449543.952941895,7883156.299591064,2589632.511138916,959550.0826835632,2240334.2723846436,11198524.475097656,17747119.903564453,11121016.502380371,9705086.708068848,-10187906.265258789,6067785.263061523,7314463.6154174805,7931000.232696533,4695374.965667725,9239056.587219238,9655632.972717285,9896759.033203125,12373029.708862305,11293071.746826172,10532532.691955566,8296594.619750977,12865203.857421875,14398963.928222656,14031228.065490723,11464166.641235352,9846941.947937012,6673123.836517334,12598033.905029297,12267796.516418457
