time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-12621145.248413086,-13479576.110839844,-13130644.798278809,-13830603.59954834,-12559983.253479004,-13669284.82055664,-13637188.911437988,-13581168.174743652,-9619140.625,-12999208.450317383,-12717394.828796387,-12732036.590576172,-12744578.36151123,-13208550.453186035,-13695055.00793457,-14142455.101013184,-12655197.143554688,-12905932.426452637,-13065247.535705566,-12822685.241699219,-12859508.514404297,-12894692.420959473,-13188979.148864746,-13619980.812072754,-12622151.374816895,-13410266.876220703,-13180994.987487793,-13005874.633789062,-13138286.590576172,-13049167.63305664,-12958177.56652832,-12551464.080810547,-13496188.163757324,-12661285.400390625,-12435106.27746582,-12771928.787231445,-13090216.636657715,-13145319.938659668,-13073343.276977539,-12792045.593261719,-12771079.063415527,-13532046.3180542,-13509765.625,-13514317.512512207,-13364697.456359863,-13637086.868286133,-13432883.262634277,-12977885.246276855,-12978396.41571045,-12795077.323913574,-13505648.612976074,-13510395.050048828,-13058951.377868652,-13623435.020446777,-13445613.861083984,-12954865.455627441,-12948397.636413574,-13810592.651367188,-13078636.169433594,-13619068.145751953,-13476198.196411133,-13454493.522644043
0.005,44627319.3359375,-12452165.603637695,-8395608.901977539,-21181575.775146484,-2018631.2198638916,-10942082.405090332,-17084161.75842285,-16331653.594970703,215978668.21289062,-10905104.637145996,-5527413.368225098,-6261220.932006836,-6309676.647186279,-22320375.442504883,-11972301.483154297,-9163108.825683594,10383907.318115234,3927254.6768188477,-8206790.924072266,-7697315.216064453,-9115521.430969238,-12500075.340270996,-16644617.080688477,-30373607.635498047,-9186131.477355957,-2317451.7154693604,-8998729.705810547,-6883504.390716553,-11517503.73840332,-10561159.133911133,-12974583.625793457,-1889974.594116211,-15620059.0133667,-10250770.568847656,24658775.329589844,-389613.8370037079,-11494760.513305664,-11681776.04675293,-11663087.844848633,-7795254.230499268,-7313817.977905273,-15886868.476867676,-15371243.476867676,-15473780.632019043,465279.221534729,-15997610.092163086,-14708718.299865723,-10270606.994628906,-10779776.573181152,-7736363.887786865,-14957533.836364746,-14947507.858276367,-8489473.342895508,-15608476.638793945,-15446280.479431152,-9235507.96508789,-9610312.461853027,-26954423.904418945,-8672326.08795166,-15296467.781066895,-16037755.966186523,-15865340.232849121
0.01,69852149.9633789,-8922396.659851074,-2677473.783493042,-22483623.504638672,6773062.705993652,-8677438.735961914,-18584709.16748047,-17407825.469970703,315925476.07421875,-5266459.4650268555,2186420.9175109863,1186016.2019729614,1131431.9372177124,-21956417.083740234,-10265370.36895752,-6335514.545440674,23932222.366333008,15751673.698425293,-155703.97675037384,-328389.436006546,-2226123.571395874,-8076316.833496094,-13670153.617858887,-38532054.90112305,-6456421.375274658,5502971.172332764,-2527022.361755371,1751064.7773742676,-5695245.265960693,-4651745.796203613,-9130592.346191406,6084575.653076172,-14548748.970031738,-8038990.9744262695,43470436.096191406,10191665.649414062,-5766894.817352295,-5971840.381622314,-6115007.400512695,-2600597.620010376,-2035372.4956512451,-14774232.864379883,-14062445.640563965,-14175383.567810059,8205595.970153809,-13153903.007507324,-10959814.071655273,-5326024.055480957,-5892400.741577148,-2480025.52986145,-13524931.907653809,-13291262.62664795,-2383894.443511963,-12467428.207397461,-11921278.953552246,-3982618.808746338,-4351668.357849121,-31424739.837646484,-2718910.6941223145,-12153171.53930664,-12778761.863708496,-12413247.108459473
0.015,67060005.18798828,-1466825.6044387817,5806501.388549805,-16411647.79663086,15280780.792236328,-4969326.496124268,-15509718.894958496,-14128493.309020996,301214538.57421875,4335270.881652832,11305288.314819336,10465600.01373291,10393567.085266113,-11551583.290100098,-6628393.173217773,-3675517.5590515137,28703836.44104004,22907039.642333984,10468564.987182617,9064658.164978027,7407790.184020996,673301.5179634094,-3718567.371368408,-35745811.462402344,-3060238.5997772217,10298857.688903809,5388020.992279053,11662420.272827148,3214564.800262451,4078555.5839538574,-1308759.2124938965,13027661.323547363,-9528790.473937988,-4662686.347961426,45020538.330078125,18024095.53527832,2860676.7654418945,2905862.0929718018,2635617.256164551,3946241.855621338,4348644.733428955,-9560690.879821777,-8944703.102111816,-9037992.477416992,10266754.150390625,-5837422.847747803,-3209210.3958129883,2057298.4218597412,1759813.3087158203,4097209.930419922,-8537132.263183594,-7988559.246063232,4749194.622039795,-5021701.812744141,-4018995.2850341797,3190505.027770996,3107149.124145508,-26235313.415527344,4295825.481414795,-4924040.3175354,-4778267.860412598,-4257961.750030518
0.02,61993526.458740234,6665073.394775391,14881919.860839844,-8722751.61743164,23416631.6986084,-269255.28049468994,-9358372.688293457,-7814656.2576293945,272573791.50390625,12632235.527038574,19417537.689208984,18752952.575683594,18639549.255371094,-379457.35454559326,-1793240.6663894653,-176551.49102210999,30201246.26159668,26666893.005371094,17450986.862182617,15824867.248535156,14306954.383850098,8616698.265075684,6321396.350860596,-28571517.944335938,592361.7482185364,12635882.377624512,9718020.43914795,17024274.826049805,8736766.815185547,10072240.829467773,5539938.449859619,19946531.295776367,-4565915.584564209,-933907.8664779663,42057376.861572266,21137010.57434082,7726003.646850586,8471520.42388916,8405540.466308594,10386898.9944458,10778613.090515137,-4588606.834411621,-4119103.9085388184,-4268033.504486084,9359754.56237793,-829137.0272636414,1753339.2906188965,8244655.609130859,8083111.763000488,10520772.933959961,-3833215.9519195557,-3199301.7196655273,9049422.264099121,-71861.89293861389,1003243.4463500977,9305571.556091309,9394146.919250488,-19414943.69506836,8566773.414611816,-73686.26445531845,516286.07511520386,1008406.7583084106
0.025,65319938.65966797,8897947.311401367,17771553.03955078,-7106891.15524292,26259189.60571289,646162.748336792,-6559633.255004883,-4920018.672943115,280302337.6464844,12837724.685668945,20947776.794433594,20184373.85559082,20073772.430419922,1993003.010749817,-774841.30859375,288121.5214729309,29448713.302612305,25222290.0390625,14683110.237121582,14664296.15020752,12921272.277832031,9635068.893432617,8615373.611450195,-26401018.142700195,618416.965007782,10878939.628601074,6206053.733825684,13283991.813659668,6089463.233947754,8327222.82409668,6029916.763305664,22920835.494995117,-5148923.873901367,-1012644.2909240723,40309402.46582031,17533464.431762695,4026137.8288269043,5885364.532470703,6396170.139312744,12093187.33215332,12703315.734863281,-5410461.42578125,-4982658.386230469,-5242398.738861084,4849206.924438477,-3437305.450439453,-975999.2361068726,8672886.848449707,8362236.022949219,12203850.746154785,-4642689.7048950195,-4261281.0134887695,6754393.577575684,-2827980.0415039062,-1875722.5275039673,9959983.825683594,9966791.152954102,-19681102.752685547,6358124.732971191,-2682902.5745391846,-2176083.3263397217,-1920293.5695648193
0.03,68196334.83886719,3998626.708984375,12353434.562683105,-11723987.579345703,21050508.499145508,-3742441.415786743,-9641900.062561035,-8090958.595275879,293135986.328125,5701988.220214844,14834205.627441406,13828437.805175781,13767529.487609863,-3727026.93939209,-5137819.290161133,-4070530.891418457,25619178.771972656,19063726.4251709,5142951.488494873,7223823.547363281,5372859.954833984,4132323.2650756836,3396221.63772583,-30867174.14855957,-3967473.030090332,5502647.876739502,-1874328.851699829,4314698.696136475,-1281792.5214767456,1321139.931678772,1141579.8664093018,19318830.490112305,-10743492.126464844,-5799486.16027832,37128871.91772461,10020804.405212402,-4387514.591217041,-1479804.7542572021,-402252.197265625,7930357.933044434,8683444.97680664,-11186901.092529297,-10775136.947631836,-11080716.133117676,-3683734.178543091,-10632966.995239258,-8084532.737731934,4073065.757751465,3581760.1680755615,8057939.529418945,-10261195.182800293,-10208623.886108398,-37753.02320718765,-10134196.281433105,-9071173.667907715,5510388.8511657715,5369886.39831543,-26568506.240844727,-337538.6595726013,-9809567.45147705,-9363573.07434082,-9373600.006103516
0.035,66266098.02246094,-338881.82044029236,6668640.613555908,-14284572.60131836,14083293.914794922,-6412013.053894043,-11711575.508117676,-10325487.13684082,283685455.3222656,540620.4462051392,8607151.985168457,7510618.209838867,7423809.52835083,-7942553.997039795,-7825769.424438477,-6812255.382537842,22920989.990234375,15183665.27557373,-238650.03883838654,2225517.2729492188,666203.3200263977,-436391.83044433594,-1057393.4316635132,-33940269.470214844,-7060402.393341064,2202257.1563720703,-5569138.050079346,-144558.93635749817,-5015510.559082031,-2644374.132156372,-2227165.937423706,14287365.913391113,-13905655.860900879,-8953542.709350586,33358867.645263672,6050231.93359375,-8527343.75,-5265377.998352051,-4066633.2244873047,3819226.2649536133,4433189.868927002,-14238790.512084961,-13935935.974121094,-14173909.187316895,-11498423.57635498,-14398695.945739746,-11674818.992614746,808349.7881889343,309252.91776657104,3977745.771408081,-13278702.735900879,-13290683.74633789,-4128219.1276550293,-13927687.644958496,-12584777.83203125,2148230.0758361816,1934097.7668762207,-31383537.29248047,-4481226.444244385,-13616090.774536133,-12931530.952453613,-12995296.478271484
0.04,65842567.443847656,1919972.538948059,8120580.673217773,-10178757.667541504,13219213.485717773,-1610445.3802108765,-6808714.866638184,-5409768.104553223,271424041.7480469,2875832.0808410645,8944850.92163086,7966082.0960998535,7737872.123718262,-5451602.935791016,-3051984.5485687256,-2297217.607498169,25448413.848876953,18122608.184814453,3387565.851211548,4218349.456787109,2960084.915161133,566788.7330055237,219339.10250663757,-29831493.377685547,-3936161.0412597656,4713582.0388793945,-1871140.2416229248,3040302.9918670654,-2829769.8497772217,-346706.42018318176,-815185.8448982239,13763863.563537598,-10737496.376037598,-5645799.160003662,33437324.52392578,8303533.554077148,-5965680.5992126465,-3099769.8307037354,-2197880.744934082,4387572.765350342,4723731.04095459,-10837760.925292969,-10676323.890686035,-10806066.513061523,-14433906.555175781,-12771031.379699707,-9777390.480041504,1994792.5806045532,1576508.5220336914,4518820.762634277,-10001949.310302734,-9764314.651489258,-2673410.654067993,-12260007.858276367,-10694495.20111084,3222111.940383911,2946818.5901641846,-29589578.62854004,-3209073.066711426,-12096225.73852539,-11013220.78704834,-10857522.010803223
0.045,67282600.40283203,5018457.412719727,11523997.30682373,-6912220.478057861,15914542.198181152,4110187.530517578,-1579369.9026107788,34492.120146751404,273746887.20703125,5716107.368469238,11479687.690734863,10626104.354858398,10302460.670471191,-2831186.294555664,2684962.749481201,2991074.800491333,28137226.104736328,21122215.270996094,7222835.540771484,6403609.752655029,5071939.945220947,2060242.6528930664,1683273.7922668457,-24935096.740722656,-400534.5404148102,7488869.667053223,923917.7703857422,5329231.262207031,-2075394.3920135498,1188187.7183914185,-257803.35068702698,14386996.269226074,-8037796.974182129,-1797697.3056793213,34907051.08642578,9433730.125427246,-4641673.564910889,-2256249.42779541,-1637457.8475952148,4881992.340087891,5025754.928588867,-8105792.999267578,-7962634.563446045,-8021082.878112793,-16514467.239379883,-13017550.468444824,-9407697.677612305,2064690.113067627,1666190.3858184814,4909646.987915039,-7387571.334838867,-6842023.3726501465,-2104199.171066284,-12408695.220947266,-10540019.035339355,3284680.8433532715,2933059.6923828125,-27781530.380249023,-2718527.7938842773,-12322360.99243164,-10763750.076293945,-10314854.621887207
