time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-13706284.523010254,-13838955.879211426,-13299280.166625977,-10344731.330871582,-8773382.186889648,-8435047.149658203,-7038598.537445068,-5787528.514862061,-3616246.223449707,-4176229.476928711,-4377595.4246521,-3811953.7830352783,-2962801.933288574,-3219958.0669403076,-6480312.347412109,-1873755.693435669,-2065433.9790344238,-2176937.5801086426,-1590287.3277664185,-1169994.3542480469,-419608.473777771,-14292451.858520508,-1473212.3613357544,-2202607.1548461914,-1394569.993019104,2418251.7528533936,816722.6910591125,-3902716.3982391357,-1365990.9963607788,1372227.9071807861,5163869.380950928,-8270133.018493652,-757094.5024490356,297612.6968860626,1611834.6452713013,253269.94061470032,6702898.979187012,1265234.5895767212,972847.7597236633,1847346.305847168,-2606279.6115875244,-2220752.239227295,578780.5914878845,1155734.4198226929,1770943.04561615,2932693.2430267334,3373607.873916626,2855369.0910339355,2663484.0965270996,3293269.8726654053,901336.6103172302,833431.4823150635,896055.4003715515,4473145.484924316,-1583422.1839904785,-1496456.1462402344,20432.63614177704,948230.6838035583,917609.8108291626,-1470669.150352478,-1784943.4614181519,-2829152.5840759277
0.005,67222511.2915039,86334739.6850586,86097351.07421875,52465412.13989258,57239780.42602539,15804273.60534668,24724267.959594727,16413089.752197266,14378231.048583984,18182844.161987305,25025156.021118164,33154811.85913086,44198669.43359375,43749492.64526367,887246.0722923279,9393318.176269531,5775407.314300537,4914952.278137207,8482534.408569336,10945384.979248047,11644304.275512695,15854799.270629883,12979725.83770752,-19519762.03918457,1353909.1348648071,208677.2918701172,1536535.9783172607,-1857251.4057159424,2627804.5177459717,7777813.911437988,5694551.944732666,-9744911.193847656,-11904611.587524414,-5817332.744598389,-4062096.118927002,-2813036.2033843994,3946334.6004486084,452449.35154914856,4020556.926727295,2126191.1392211914,-1563498.1393814087,-10935975.074768066,-7694121.360778809,-6012509.822845459,-2016382.9326629639,256565.24300575256,335261.2555027008,1129077.5537490845,1444135.4274749756,-579419.7916984558,-5234213.829040527,-6688744.068145752,-4054307.460784912,-449089.6165370941,-1875339.2696380615,-2886220.693588257,-1678744.3161010742,-3260754.108428955,-3721149.682998657,-5205116.271972656,-2192105.293273926,-4510598.182678223
0.01,140295989.99023438,178249954.2236328,170566589.35546875,109462936.40136719,109577987.67089844,33128398.895263672,46808097.83935547,39559886.93237305,32992050.170898438,38585006.71386719,48398414.611816406,59880878.44848633,75281021.11816406,70233757.01904297,-2145167.112350464,13669949.531555176,14293948.17352295,13171575.546264648,18937297.821044922,21452014.923095703,22612100.60119629,24544540.405273438,19159614.56298828,-33191902.16064453,-1183637.022972107,133797.16873168945,3272217.273712158,-480682.5518608093,6142836.570739746,11368619.918823242,8914287.567138672,-19148792.266845703,-24482751.846313477,-15398824.691772461,-10069843.292236328,-5427460.670471191,2138429.880142212,-260896.235704422,3904891.2525177,-302302.9565811157,-7128951.072692871,-28189403.533935547,-21563726.4251709,-14301311.492919922,-10009243.01147461,-7556038.379669189,-4119303.2264709473,-3233805.6564331055,-5233495.712280273,-9552098.274230957,-21423675.537109375,-23408147.81188965,-19515886.306762695,-10960889.81628418,-13203302.383422852,-14799899.101257324,-12631817.817687988,-18576158.52355957,-19099250.79345703,-20549222.946166992,-14007038.116455078,-18657701.49230957
0.015,183885848.99902344,233146942.13867188,215810394.28710938,143934524.5361328,135111434.93652344,42069683.07495117,58710456.84814453,56311885.833740234,45821613.31176758,51002174.377441406,60625556.94580078,71817283.6303711,85460510.25390625,74418754.57763672,-7679604.053497314,13959246.635437012,20848045.349121094,19530752.182006836,25896501.541137695,27494678.497314453,29161409.378051758,21427221.298217773,18810918.8079834,-37907592.7734375,-4725162.029266357,1204395.4133987427,4782648.086547852,824411.928653717,8354666.709899902,12286050.796508789,11488517.761230469,-26500251.77001953,-32061473.846435547,-22880634.307861328,-13862954.139709473,-6756744.384765625,885559.7376823425,-976995.7661628723,1922215.3425216675,-3570333.0039978027,-13506978.034973145,-42680534.36279297,-33074230.194091797,-20094350.814819336,-16885025.024414062,-14784771.919250488,-8061877.250671387,-7655945.301055908,-12341279.983520508,-17603586.196899414,-36591190.338134766,-38375991.82128906,-35003330.23071289,-20655149.459838867,-25737781.524658203,-27364387.51220703,-24447866.439819336,-34380458.83178711,-34734836.57836914,-36626514.43481445,-27020488.739013672,-35061752.31933594
0.02,177797851.5625,223033843.99414062,203568435.6689453,139938796.9970703,127758766.1743164,44046134.94873047,63940738.677978516,57050987.243652344,45085643.76831055,49714134.216308594,59439723.96850586,69979919.43359375,80127647.39990234,67885704.04052734,-2033802.5093078613,17220720.291137695,21775920.867919922,19656812.66784668,24818315.505981445,26727491.37878418,28168107.986450195,29093345.642089844,18928827.2857666,-31692010.8795166,-1613730.0729751587,995198.7862586975,4220397.472381592,2549931.526184082,8527246.475219727,11970172.882080078,8694644.927978516,-17429288.864135742,-27306791.305541992,-20548374.17602539,-12760066.032409668,-6231604.57611084,-435834.22899246216,-1575510.7402801514,1832682.0135116577,-3544046.8788146973,-10188509.941101074,-37516838.07373047,-30498601.91345215,-18800590.51513672,-14464412.689208984,-12329728.126525879,-8193693.161010742,-7282490.253448486,-10639649.391174316,-14725518.226623535,-32613616.943359375,-34217773.4375,-32244647.979736328,-18945001.60217285,-21685838.69934082,-23136753.08227539,-21744771.95739746,-31841169.357299805,-32159854.888916016,-33992931.3659668,-22820875.16784668,-33782917.02270508
0.025,128203781.12792969,156594467.16308594,144040008.54492188,101785911.5600586,94900306.70166016,37967067.71850586,60082424.16381836,41869281.76879883,31999315.26184082,36651817.321777344,47148963.928222656,57548572.5402832,66143531.799316406,57899707.79418945,10581513.404846191,21952016.830444336,16897531.509399414,13714004.516601562,16935106.27746582,20232269.287109375,20787839.889526367,45456462.86010742,20441019.05822754,-21239210.12878418,6656720.161437988,-899682.4026107788,1915797.7104187012,3381911.039352417,6834509.372711182,10175199.508666992,2395660.161972046,2212889.1944885254,-14055345.53527832,-11244906.425476074,-8600646.97265625,-4592388.153076172,-1139043.688774109,-1392997.0264434814,4494031.90612793,365451.99155807495,1959061.0265731812,-17020467.75817871,-16980697.631835938,-12032432.556152344,-4646150.1121521,-2137926.1016845703,-4317996.978759766,-1873067.855834961,-424437.7315044403,-1890874.1474151611,-12379153.25164795,-14140626.907348633,-12613617.897033691,-7013656.139373779,-2328288.5551452637,-3699908.494949341,-5063126.087188721,-12128281.593322754,-12578471.183776855,-13835915.565490723,-2822145.462036133,-13975528.717041016
0.03,64283531.188964844,75189079.28466797,70806480.40771484,51681240.08178711,53146892.54760742,21163616.180419922,40610092.16308594,20718643.188476562,15940018.653869629,20413103.103637695,29418638.229370117,38240406.03637695,47430976.86767578,42846668.2434082,10561199.188232422,18607536.31591797,9382737.159729004,6168353.080749512,8490819.931030273,12220514.297485352,11946720.123291016,44727210.998535156,17112190.24658203,-17705671.310424805,9812553.405761719,-3046379.327774048,-299463.9575481415,1352467.41771698,4372042.655944824,5885585.308074951,-735498.7859725952,9133068.084716797,-5510758.876800537,-7020526.885986328,-6954179.286956787,-3747007.131576538,-180778.17559242249,195788.81561756134,6793957.710266113,4157735.3477478027,10318328.857421875,-4275839.328765869,-9196967.124938965,-7270597.9347229,1309153.0799865723,3742679.3575286865,241897.70221710205,3443537.712097168,7745489.597320557,8549449.920654297,1129578.5903930664,-806099.2360115051,2725507.7362060547,2362826.108932495,11740185.737609863,10338939.666748047,8312181.47277832,3358738.422393799,2854034.662246704,1687147.617340088,11587334.632873535,4277373.790740967
0.035,10485823.631286621,12724587.440490723,11913041.114807129,8481519.69909668,16597343.444824219,-4152225.971221924,6916484.832763672,2415351.152420044,3824413.537979126,7811075.210571289,11928492.546081543,17208766.93725586,27763486.862182617,22697557.44934082,-10802380.561828613,2916677.474975586,1861035.2277755737,373736.3815307617,3650189.3997192383,6345255.8517456055,5658192.157745361,15133088.111877441,5524241.4474487305,-25492488.861083984,2069559.8125457764,-4923295.021057129,-1892087.2211456299,-3402047.872543335,2222117.6624298096,406799.5846271515,1704601.6454696655,-8603290.557861328,-9258231.163024902,-14488957.405090332,-11023215.293884277,-5048834.323883057,1742750.883102417,2797027.826309204,6074388.027191162,4349403.381347656,6514908.790588379,-11951310.157775879,-16936552.047729492,-9529325.485229492,-3293939.3520355225,-1531454.6823501587,2708489.179611206,4644919.395446777,6505370.140075684,8036924.362182617,-6039974.689483643,-7913613.796234131,22036.101669073105,994358.3607673645,7485457.897186279,6083053.5888671875,6685098.648071289,770131.6475868225,323352.575302124,-1748067.2597885132,6987142.086029053,6554391.860961914
0.04,-27052452.087402344,-26092823.028564453,-26026666.64123535,-22518487.93029785,-8862427.711486816,-27717136.38305664,-25798715.591430664,-10856184.959411621,-4614418.983459473,-485380.29193878174,-1385254.144668579,1050781.9652557373,12950905.799865723,4987723.827362061,-37614784.240722656,-15907754.898071289,-4726076.126098633,-3743808.7463378906,1189810.1568222046,3126717.0906066895,2344956.636428833,-21000299.45373535,-8132362.365722656,-36974159.240722656,-9800683.02154541,-7224541.664123535,-3807532.787322998,-8081173.896789551,811981.3799858093,-2916029.453277588,5064815.044403076,-34737663.26904297,-18534934.997558594,-26568891.525268555,-17792057.037353516,-7693038.463592529,2554734.468460083,4956031.322479248,3696426.8684387207,2235871.0765838623,-3138036.4894866943,-27347263.33618164,-31495977.4017334,-15658296.585083008,-12583486.557006836,-11339869.499206543,3523960.590362549,3424507.1411132812,557874.0239143372,1784010.5295181274,-22203149.795532227,-23971609.115600586,-11098101.615905762,-5387013.4353637695,-4622120.380401611,-5946004.390716553,-2060457.2296142578,-10078310.9664917,-10587456.703186035,-13669852.256774902,-5650175.57144165,601022.3031044006
0.045,-48981765.74707031,-49126895.904541016,-47203754.42504883,-40714221.9543457,-21935939.78881836,-37573841.0949707,-39093688.96484375,-18789466.857910156,-11098686.218261719,-6002988.338470459,-7964317.798614502,-5182175.636291504,7591194.152832031,-2034002.7809143066,-46687149.04785156,-23615850.4486084,-9028587.341308594,-6824490.547180176,-1431323.6474990845,1258133.7690353394,768639.4453048706,-31580251.693725586,-13391404.151916504,-40463150.02441406,-14201197.624206543,-9751709.938049316,-6126670.837402344,-9794608.116149902,239754.49800491333,-2436857.7003479004,4664516.448974609,-42068092.346191406,-21011631.01196289,-31288530.349731445,-21396722.7935791,-9379123.68774414,1456758.3799362183,5477562.427520752,3172304.391860962,1956756.7110061646,-5640532.970428467,-30404758.45336914,-37384662.62817383,-18512916.564941406,-16018203.735351562,-14546352.38647461,4576672.077178955,4105939.8651123047,-228836.47680282593,1122156.5008163452,-26627958.297729492,-28461040.496826172,-12614263.534545898,-6086712.837219238,-5640184.8793029785,-6899672.031402588,-2318388.4620666504,-11175610.542297363,-11945258.140563965,-14826639.175415039,-6742587.566375732,2488473.415374756
