time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-14232714.653015137,-14590250.968933105,-12738041.877746582,-7447010.517120361,-7307124.137878418,-4312658.786773682,-3419335.126876831,-3410435.914993286,-4695017.337799072,-3733653.783798218,-3642870.4261779785,-3984879.970550537,-4004496.0975646973,-4470854.759216309,-883695.0063705444,-2457791.0900115967,-2434701.442718506,-2124899.387359619,-2223407.745361328,-1408468.3656692505,-2111070.8713531494,-2879373.31199646,-2492570.8770751953,-904811.5015029907,-843744.3971633911,-1172401.3090133667,-885342.0615196228,-824627.697467804,-495332.0622444153,-670571.2080001831,-2128361.701965332,-1403908.610343933,-2168104.1717529297,-788779.6759605408,-259533.5841178894,92332.65370130539,22103.197872638702,528632.2236061096,-208243.90649795532,-1069262.146949768,-995739.5792007446,282279.1337966919,-422129.48203086853,-26377.40410864353,261328.5779953003,529133.2602500916,458516.59774780273,263416.8267250061,-86450.07759332657,3305.227030068636,410773.1282711029,443369.38858032227,1951.5674794092774,1086098.074913025,228523.06067943573,159785.00247001648,157812.6698732376,1550405.6215286255,526138.186454773,1122712.1353149414,176889.61327075958,1142850.7566452026
0.005,30979070.66345215,25491205.2154541,2576029.7775268555,22369974.13635254,34067554.47387695,21631727.21862793,11513707.160949707,11883819.580078125,26254179.000854492,29246252.059936523,25486171.72241211,24520477.294921875,8768566.131591797,4909042.3583984375,13000102.043151855,7748638.62991333,12390171.05102539,16772687.911987305,15624853.134155273,10582665.44342041,33462142.944335938,3175016.403198242,-2686552.5245666504,2735502.7198791504,1140808.8207244873,8526310.920715332,8121771.812438965,8897871.971130371,1751891.851425171,1397560.5964660645,3916205.1677703857,-7628970.623016357,-11079013.82446289,6909134.864807129,4804539.680480957,2438798.427581787,2672989.3684387207,2678526.1631011963,9333812.713623047,-1897918.939590454,7878445.625305176,-6531432.628631592,-1406296.730041504,-1319535.1362228394,-150206.67016506195,-6626291.751861572,-3563855.4096221924,6641570.568084717,5685790.538787842,754655.122756958,-8185020.446777344,-7918128.01361084,-4403831.958770752,-8683932.304382324,-6719583.511352539,-4315764.904022217,-2761169.672012329,-10920137.405395508,-7737863.063812256,-10605772.972106934,-10644860.26763916,-13191336.631774902
0.01,54917301.177978516,48041973.11401367,12719772.338867188,37474826.81274414,54677719.11621094,33623779.296875,17832214.35546875,18331010.818481445,40770599.365234375,44872863.76953125,39284622.19238281,37185043.33496094,14592356.68182373,9329792.976379395,18622110.36682129,12104978.561401367,19008750.915527344,24777048.110961914,24661109.924316406,16172605.514526367,49278285.98022461,5010820.8656311035,-3435039.758682251,6259462.833404541,654823.0648040771,12123433.113098145,12253781.31866455,14067623.138427734,3066012.8593444824,1658301.591873169,5844778.060913086,-10867595.672607422,-13419173.240661621,9663491.249084473,6123718.26171875,2935654.640197754,3921791.3150787354,2934144.2584991455,11207902.908325195,-3362176.6567230225,11460922.241210938,-8989547.729492188,-2203603.2676696777,-2637784.481048584,-1181781.6495895386,-10501129.150390625,-5712938.30871582,8089447.975158691,6689476.490020752,407606.1248779297,-11680132.865905762,-11371985.43548584,-6621581.077575684,-13628452.30102539,-10680817.604064941,-7419029.235839844,-5148236.274719238,-16026992.797851562,-11136422.157287598,-16271406.173706055,-15592947.959899902,-19260908.126831055
0.015,54159057.6171875,48970935.8215332,14607639.31274414,35476119.99511719,53141044.61669922,30600494.384765625,14636340.141296387,15092438.697814941,37307846.06933594,41858119.96459961,37101413.72680664,33992198.9440918,13361612.319946289,8309172.630310059,15699095.726013184,9746788.024902344,16637470.245361328,21404106.14013672,23755651.473999023,14933668.13659668,46082191.467285156,3214287.042617798,-4069385.051727295,7590071.201324463,-2093850.85105896,9384679.794311523,10981881.141662598,14021487.23602295,3252974.271774292,739693.1648254395,4314331.531524658,-10802186.965942383,-11189506.530761719,7732843.87588501,4221749.305725098,1893145.4420089722,3706038.9518737793,1842092.9908752441,7123298.645019531,-4670708.656311035,9989130.020141602,-7702029.705047607,-2624996.1853027344,-3636862.5164031982,-1886037.5881195068,-10454566.955566406,-5502247.8103637695,5805285.930633545,3948548.3169555664,-657684.4453811646,-10618060.111999512,-10370612.144470215,-6403003.692626953,-13278205.871582031,-11166822.43347168,-8521247.863769531,-6323993.20602417,-14508855.819702148,-10057999.610900879,-15738240.242004395,-14918482.780456543,-17504800.79650879
0.02,42865558.62426758,39340274.810791016,10740441.32232666,26299600.60119629,45014720.91674805,22318260.192871094,7945710.182189941,8407047.271728516,27934452.056884766,33336593.627929688,30946508.407592773,27699045.181274414,10939573.287963867,6221623.89755249,10064023.971557617,4519557.476043701,11008539.199829102,15009338.37890625,19181259.155273438,11982889.175415039,40088771.82006836,2131167.6502227783,-3141729.8316955566,4813216.686248779,-5065648.555755615,4811914.920806885,7732921.123504639,11953166.007995605,3143835.5445861816,875880.241394043,3444845.43800354,-9105063.438415527,-11331129.07409668,4894116.8785095215,2174819.4694519043,878488.6598587036,3094720.8404541016,1442984.2233657837,4864702.224731445,-4371644.020080566,8162170.41015625,-6951079.368591309,-2903984.308242798,-4196663.856506348,-1253061.1753463745,-8769071.578979492,-4053330.421447754,4739601.135253906,2350601.9115448,-1033504.843711853,-9637387.2756958,-9348050.117492676,-5617448.329925537,-11293530.464172363,-10094096.183776855,-8090964.317321777,-6114893.913269043,-12789092.063903809,-8799986.839294434,-13857407.569885254,-13478169.441223145,-15017415.046691895
0.025,37524703.97949219,34610275.26855469,8797464.370727539,21730949.40185547,44163211.822509766,18012384.41467285,4198802.947998047,4767893.7911987305,24688385.009765625,31614555.35888672,31063756.942749023,27847135.543823242,11967463.493347168,7468360.900878906,6686717.0333862305,1135339.7369384766,7957754.611968994,12963607.788085938,17737613.677978516,12143832.206726074,41839962.005615234,4253227.233886719,-586786.2105369568,-89021.2133526802,-6671896.457672119,2415893.077850342,6100953.102111816,11469305.992126465,3842056.2744140625,2801047.0867156982,5315388.6795043945,-7493899.345397949,-15511665.344238281,3590282.440185547,1456480.3838729858,574152.5292396545,2944697.856903076,2274947.166442871,7540447.235107422,-2612379.0740966797,8943007.469177246,-8936260.223388672,-3475166.082382202,-4589683.055877686,-177635.0438594818,-8389634.132385254,-3198659.896850586,6439716.815948486,3863818.883895874,-338832.3485851288,-11202600.479125977,-10785274.505615234,-6113368.988037109,-11308551.788330078,-9754084.587097168,-7534857.273101807,-5597304.821014404,-14390636.444091797,-9977859.497070312,-14569971.084594727,-14482194.900512695,-16630392.074584961
0.03,43951946.25854492,41453029.63256836,13920983.31451416,26170785.903930664,50885879.51660156,20837985.99243164,6322780.609130859,6961555.480957031,29928398.13232422,37700351.71508789,36885658.264160156,32462039.947509766,15043002.128601074,11167568.20678711,7646504.878997803,2557649.850845337,9737501.14440918,16035429.000854492,21048954.010009766,15377372.741699219,47252990.72265625,7083802.223205566,1016399.7411727905,-1512870.0733184814,-5849470.138549805,3535760.1642608643,7344417.572021484,13497275.352478027,5319159.030914307,4450981.140136719,7436171.531677246,-7489737.987518311,-17860969.54345703,4275727.74887085,1886318.0875778198,785998.523235321,3141050.100326538,2562417.507171631,10285856.246948242,-1764147.9969024658,10210453.987121582,-10842892.64678955,-3661143.3029174805,-4329620.838165283,-81743.67249011993,-10250185.9664917,-4216558.456420898,7340451.240539551,5255647.1824646,-117044.70962285995,-12813865.661621094,-12386181.831359863,-7277543.544769287,-13519037.246704102,-11130241.394042969,-8296969.413757324,-6385245.323181152,-16808034.896850586,-11975428.581237793,-17286972.045898438,-16779716.49169922,-20649093.627929688
0.035,56703685.76049805,53989459.99145508,22207870.483398438,35853992.4621582,57174324.03564453,30030284.881591797,14041741.371154785,14604375.839233398,38386783.599853516,44684345.24536133,41538513.18359375,34799133.30078125,15705334.663391113,12222945.213317871,14012586.59362793,9250439.643859863,15716972.351074219,21024181.365966797,25775302.88696289,17946777.34375,48291053.771972656,6626114.845275879,-1119960.3080749512,4192936.897277832,-1482806.0865402222,8073714.256286621,10686428.07006836,16201108.932495117,6123904.228210449,3447379.8274993896,6419924.259185791,-10176819.801330566,-13266129.493713379,7640999.794006348,4066792.0112609863,1809281.349182129,3156337.261199951,808656.3348770142,7979991.912841797,-3766711.473464966,8560165.405273438,-8398604.393005371,-1591544.508934021,-2026933.9084625244,-308202.95214653015,-12673560.14251709,-6794546.604156494,4503191.947937012,3236820.697784424,-1764908.9097976685,-10776232.719421387,-10527567.863464355,-6587857.723236084,-15270794.868469238,-13435094.833374023,-10384874.34387207,-8605437.278747559,-16344697.952270508,-11786613.464355469,-18784990.310668945,-17627218.24645996,-22640495.30029297
0.04,66180152.893066406,61190071.10595703,24865308.76159668,43661396.02661133,57620933.532714844,42001235.96191406,24051534.65270996,24434343.338012695,43993705.74951172,46773719.787597656,40884616.85180664,32598285.675048828,12470746.994018555,7961794.853210449,24402393.341064453,18214700.69885254,23074024.200439453,24884637.8326416,27661697.387695312,16976856.231689453,44292087.55493164,2674748.182296753,-6365082.740783691,14125338.554382324,5656435.966491699,14509187.698364258,14297400.47454834,17251440.048217773,5019282.817840576,198130.7417154312,2552103.042602539,-14662763.595581055,-4438840.866088867,13665390.968322754,8496117.59185791,4061594.009399414,2920958.2805633545,-1835345.8642959595,2286631.5841674805,-7412473.678588867,4544768.810272217,-1625746.250152588,3138064.6228790283,2288276.9107818604,1062215.805053711,-13244146.347045898,-8925724.029541016,162761.50941848755,-603184.2231750488,-4211513.996124268,-5302949.905395508,-5266756.534576416,-3120610.7139587402,-14332107.543945312,-14725929.260253906,-11996616.36352539,-10290765.762329102,-13032554.626464844,-8873120.307922363,-17270709.991455078,-16071472.16796875,-20806600.57067871
0.045,65741157.53173828,57162288.665771484,18229492.1875,44255523.681640625,52657619.47631836,49540550.231933594,30061267.852783203,30271705.627441406,43595836.6394043,43266601.5625,36080234.52758789,28129610.061645508,7754875.183105469,1268629.1933059692,32374984.741210938,23334943.771362305,26936725.616455078,25557907.104492188,25041032.791137695,12995132.446289062,39760231.018066406,-1451087.7132415771,-11282176.01776123,20580158.233642578,11006140.70892334,18900035.858154297,15933720.588684082,16015382.766723633,2630392.7898406982,-2645160.19821167,-969446.7186927795,-18276056.28967285,906930.8042526245,18711980.81970215,12606849.670410156,6450842.85736084,2820427.656173706,-2786684.989929199,-1112352.6096343994,-9660745.620727539,1689576.0297775269,4076609.1346740723,7264221.19140625,5597874.641418457,3880524.158477783,-11126296.997070312,-8337260.2462768555,-1155396.580696106,-2026674.509048462,-5184038.6390686035,-832145.631313324,-873659.0147018433,482648.16403388977,-11138879.776000977,-13468481.063842773,-11464510.917663574,-9699184.41772461,-10121546.745300293,-5756931.781768799,-14171111.106872559,-13411075.592041016,-17349000.930786133
