time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2772232.0556640625,-2867398.0236053467,-2173248.767852783,-1171907.0672988892,-1541841.8645858765,937412.3811721802,917156.6963195801,920294.4040298462,-506910.0260734558,-74589.99752998352,-426687.7472400665,-439898.16308021545,-442830.77120780945,593446.8507766724,1005678.1768798828,406499.83286857605,392865.1213645935,-120173.32762479782,-393091.0527706146,-394633.7103843689,-406775.41494369507,-429048.8660335541,580620.2292442322,1046934.3662261963,429460.2870941162,196980.65519332886,209868.04366111755,43414.8795902729,36636.341363191605,239374.20547008514,376319.7064399719,589471.161365509,1101282.7157974243,1088166.7137145996,295251.2502670288,-64370.12553215027,51841.54212474823,411867.49935150146,241957.1429491043,1100490.689277649,625130.2361488342,1120306.8494796753,1125646.710395813,1099583.387374878,1036006.4506530762,1070539.5936965942,396721.9293117523,1136549.3535995483,1136681.079864502,1112953.9012908936,1131207.9429626465,1127231.7171096802,1139802.098274231,1061020.851135254,1167702.9132843018,1188165.545463562,1181574.2254257202,1122032.4039459229,1139758.1100463867,1084412.8131866455,1157392.3826217651,1153594.6130752563
0.005,3319927.215576172,22005874.633789062,23968875.885009766,11817219.734191895,23282152.17590332,5938825.607299805,5975160.121917725,6690011.501312256,12432138.442993164,13997726.440429688,10594407.081604004,11253440.856933594,11024640.083312988,-4573895.9312438965,5979312.419891357,8951748.847961426,8358228.68347168,8666997.909545898,10790407.180786133,10794149.398803711,10478444.09942627,11443003.65447998,-5435098.648071289,6360403.060913086,6861803.5316467285,6571166.038513184,5818530.082702637,-300558.4478378296,-9877.001866698265,1307505.8460235596,3961255.5503845215,-5546952.724456787,6601601.600646973,5747903.347015381,4044762.134552002,3024484.872817993,623332.7388763428,1435035.4671478271,1561006.1883926392,4044722.080230713,-3857608.7951660156,6775001.525878906,7251780.033111572,6388019.08493042,3197311.1629486084,5324750.900268555,911273.2410430908,4992886.066436768,4818027.019500732,3964111.089706421,6064289.569854736,6154582.977294922,6646432.876586914,4115727.9014587402,4174558.639526367,4864162.921905518,4090091.2284851074,6067189.693450928,6415474.891662598,5347520.82824707,4380526.065826416,4508607.387542725
0.01,2217169.0464019775,29132751.46484375,31783876.419067383,14723238.945007324,31480566.024780273,6193551.063537598,6235042.095184326,7406276.702880859,16564996.719360352,19011579.513549805,14704065.322875977,15473832.130432129,15216167.449951172,-7463968.753814697,6355420.5894470215,10295433.044433594,9669659.614562988,11387616.157531738,15193792.343139648,15097189.903259277,14628064.155578613,15953239.440917969,-8584884.643554688,6816769.123077393,6499460.697174072,6768387.794494629,6498619.079589844,-402649.58143234253,60903.78761291504,2103370.6665039062,6002714.157104492,-8625212.669372559,7184439.182281494,5953181.743621826,3682057.1422576904,2618809.938430786,875361.0849380493,1272581.696510315,2494716.8827056885,5564005.8517456055,-6348237.51449585,7350215.911865234,8157339.096069336,6954955.577850342,4154745.578765869,7008806.7054748535,351948.1420516968,6810619.831085205,6625563.144683838,5511826.992034912,6406046.8673706055,6665506.839752197,7356579.303741455,5468926.429748535,5619285.583496094,6703875.0648498535,5395890.712738037,6532495.975494385,7056830.883026123,7076708.793640137,5806739.807128906,6083673.000335693
0.015,-5194830.417633057,19769729.614257812,22452886.5814209,8198746.681213379,24537273.406982422,2651906.2519073486,2654473.5431671143,3886526.346206665,12527570.724487305,15087678.909301758,12138508.796691895,12584385.871887207,12470899.58190918,-8430388.450622559,3019789.695739746,5634443.283081055,5259878.635406494,8412798.881530762,12876242.637634277,12688330.65032959,12266020.774841309,13340907.096862793,-9384305.000305176,3427025.079727173,1558317.4228668213,2620787.6205444336,3370679.6169281006,-190889.50753211975,277679.2645454407,2851890.3255462646,6128295.421600342,-9237543.106079102,3831737.995147705,2764187.0975494385,836245.4771995544,376542.7768230438,948108.8519096375,1169810.7719421387,3278520.345687866,5650439.739227295,-7312077.522277832,3870227.575302124,4808775.424957275,3774455.0704956055,3981692.7909851074,6348593.235015869,87990.6639456749,6703590.393066406,6634765.148162842,5759685.516357422,3060174.2267608643,3492262.601852417,4106782.4363708496,5223854.541778564,5537251.4724731445,6654180.04989624,5204655.647277832,3338855.266571045,3914667.6063537598,6425803.661346436,5518899.440765381,5870420.932769775
0.02,-9812964.43939209,11876171.112060547,14301079.750061035,2314371.5858459473,18323831.55822754,352270.4541683197,316973.09017181396,1311453.2232284546,8462296.485900879,9854537.010192871,9023707.389831543,9295889.854431152,9321520.805358887,-8437849.998474121,799966.0968780518,2527169.942855835,1690020.6804275513,5174131.393432617,9679082.870483398,9581896.781921387,9339285.850524902,10139327.049255371,-9397044.18182373,1318192.3627853394,-149786.23390197754,1028187.8709793091,1590144.395828247,183062.04676628113,539881.0505867004,3999572.515487671,5776805.400848389,-9153452.87322998,1687481.7609786987,988756.7162513733,583084.4640731812,721011.5790367126,1181251.1682510376,2903377.5329589844,4400274.276733398,5645260.334014893,-7577517.032623291,1708400.3686904907,2592964.1723632812,1805510.2825164795,3965295.7916259766,5833294.868469238,1933997.2734451294,6590373.0392456055,6586097.717285156,5929149.627685547,903065.5026435852,1375791.5496826172,1869994.6403503418,5080448.627471924,5427935.1234436035,6354124.546051025,5123509.407043457,1193831.6822052002,1809124.1121292114,5846302.9861450195,5275114.059448242,5527080.059051514
0.025,-7325262.069702148,15585515.975952148,17826028.82385254,3153526.3061523438,21437995.91064453,1651892.3044204712,1598591.923713684,2339314.4607543945,9088320.7321167,8586195.945739746,9304264.068603516,9781342.506408691,9832386.97052002,-7259462.833404541,1988415.5988693237,4785990.238189697,2356347.3224639893,5037656.784057617,9607954.978942871,9706238.746643066,9648939.13269043,10547577.857971191,-8565768.241882324,2825249.9103546143,3704299.6883392334,4243163.585662842,3283051.2523651123,451269.656419754,687573.0156898499,5201740.264892578,6548113.3460998535,-8337082.862854004,3145169.734954834,2645200.9677886963,4125483.0360412598,4061470.0317382812,1536610.722541809,5421387.672424316,5483760.356903076,6592041.015625,-6662809.8487854,3427478.551864624,4116230.4878234863,3313190.221786499,5071148.39553833,7045312.404632568,4700417.518615723,7729947.090148926,7639567.3751831055,6924389.839172363,2342407.9418182373,2721667.2897338867,3213595.390319824,6244540.691375732,6426027.297973633,7165274.143218994,6274096.0121154785,2507596.731185913,3160005.0926208496,7048997.402191162,6362469.19631958,6399105.548858643
0.03,-8194211.959838867,17871963.500976562,20192096.710205078,4416793.8232421875,24545270.919799805,3262923.9559173584,3192405.2238464355,3861520.767211914,10303891.1819458,9123120.307922363,10465803.146362305,11131705.284118652,11128403.663635254,-5992032.527923584,3486034.393310547,7581513.88168335,3668478.7273406982,5914622.3068237305,10551959.991455078,10673554.420471191,10705801.010131836,11793327.331542969,-7566245.079040527,4630644.798278809,6856589.794158936,7078940.868377686,5233753.681182861,433355.80825805664,642945.9452629089,5155299.186706543,7555905.342102051,-7299049.377441406,4942342.281341553,4421666.145324707,6771915.435791016,5678710.460662842,1618702.8884887695,5622694.969177246,5245964.050292969,7657844.543457031,-5515027.5230407715,5634484.767913818,6093026.161193848,5104685.7833862305,6413815.021514893,8629437.446594238,5065551.280975342,8974777.221679688,8712375.64086914,7902118.682861328,4353831.2911987305,4640378.952026367,5197136.878967285,7689158.4396362305,7662724.018096924,8340195.655822754,7638771.533966064,4441672.801971436,5073158.264160156,8787026.405334473,7794913.291931152,7685540.199279785
0.035,-22412099.838256836,3834945.6787109375,6578617.095947266,-1610974.907875061,17299867.630004883,1255494.5945739746,1162459.6118927002,1898171.1864471436,7191453.456878662,7762963.29498291,8941346.168518066,9396297.454833984,9326651.573181152,-7856642.723083496,1506428.3609390259,5084657.192230225,1484034.2998504639,4897750.8544921875,9134522.438049316,9032424.926757812,9037978.172302246,9968564.987182617,-9278605.461120605,2754795.789718628,3926800.489425659,5058181.285858154,4239977.836608887,170486.36078834534,467496.6335296631,3238647.937774658,6210377.6931762695,-8855525.970458984,3078404.664993286,2514235.019683838,4549714.088439941,2689130.5446624756,1280822.1578598022,2497682.3329925537,3253127.8133392334,6596263.885498047,-7361479.759216309,3978644.1326141357,4351793.7660217285,3290191.173553467,5696176.528930664,7768953.800201416,1926859.8556518555,7833534.240722656,7434624.195098877,6740225.791931152,2885048.3894348145,3142762.1841430664,3720329.523086548,6912023.067474365,6800424.098968506,7497109.889984131,6756704.330444336,3027894.0200805664,3606933.59375,8103049.278259277,7018401.145935059,6948143.005371094
0.04,-34523452.75878906,-10918708.801269531,-7722010.612487793,-7476099.491119385,9374270.43914795,-2884688.377380371,-2971341.371536255,-2149834.394454956,3942097.6638793945,6815369.129180908,7216470.718383789,7301293.849945068,7174232.482910156,-12971879.959106445,-2675987.2436523438,260357.8269481659,-1607585.9069824219,3767778.6350250244,7497401.237487793,7222698.211669922,7144482.135772705,7802389.621734619,-14035254.47845459,-1613519.1917419434,-1219985.4850769043,1524668.574333191,2053571.9394683838,-132152.60207653046,277365.118265152,1006068.8257217407,2429478.883743286,-13475322.723388672,-1379689.09740448,-1950230.1216125488,136097.58019447327,-983545.9589958191,893770.9331512451,-1554862.61844635,1203194.1413879395,2093908.7867736816,-12351073.265075684,-682344.377040863,-145164.31093215942,-1143948.6742019653,1511340.1412963867,3294851.779937744,-2208087.682723999,3191460.8478546143,2751444.101333618,2225745.20111084,-1467467.5464630127,-1281708.5981369019,-714795.172214508,2550401.210784912,2419548.273086548,3120218.7538146973,2242729.663848877,-1319460.2727890015,-738999.7243881226,3605292.320251465,2555757.761001587,2654473.066329956
0.045,-13820452.690124512,8399573.32611084,10999420.166015625,3593273.162841797,20827960.968017578,-3936572.790145874,-3948589.324951172,-3022280.693054199,9500329.01763916,11923085.21270752,11081141.471862793,11188511.848449707,11022021.293640137,-15788268.089294434,-4178063.39263916,1685526.967048645,535933.8521957397,6714733.600616455,11028842.92602539,10932332.038879395,10791622.161865234,11711732.864379883,-16718563.079833984,-3634806.3945770264,-857846.2600708008,2889615.297317505,2643315.7920837402,-292390.1677131653,144075.34897327423,644234.9553108215,-414397.59731292725,-16159221.649169922,-3710346.221923828,-4411889.07623291,-852754.3544769287,65107.3083281517,859976.589679718,-4145564.556121826,1108070.2543258667,-4554762.363433838,-14953530.311584473,-3461716.1750793457,-2643185.1387023926,-3666190.1473999023,-4979146.957397461,-3164446.5923309326,-4796259.880065918,-3377765.893936157,-3789167.4041748047,-4384997.367858887,-4302588.939666748,-4320032.119750977,-3711825.132369995,-4039975.643157959,-4284941.19644165,-3619812.7269744873,-4574181.079864502,-4408175.468444824,-3755619.764328003,-3028774.9767303467,-4277366.638183594,-4018392.0860290527
