time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,2607043.2662963867,4921864.032745361,2710368.1564331055,1498777.6279449463,2145164.2513275146,323914.110660553,708721.8165397644,786620.9149360657,1679057.9557418823,924654.4241905212,1244266.9868469238,1333221.5547561646,1356009.0065002441,1343471.4078903198,-312897.83120155334,-253801.04780197144,321942.44861602783,379647.1953392029,233206.5850496292,542522.6092338562,695095.2410697937,682380.0802230835,659383.237361908,-246517.67313480377,-109066.73222780228,10567.34099984169,-312767.47584342957,-55926.82585120201,256635.21885871887,684590.5184745789,145598.6201763153,673938.8704299927,-288426.63764953613,143266.2159204483,-159842.53585338593,-85200.2501487732,-73268.30923557281,181363.21008205414,-9238.172322511673,-139826.10404491425,-173311.9934797287,-316246.8373775482,-160678.1929731369,-116688.25149536133,-316266.0300731659,-34079.913049936295,-577777.8625488281,-172322.77989387512,-164770.88630199432,-159668.50519180298,-693247.2586631775,-621791.0051345825,-725135.2667808533,15655.303373932838,-159770.29502391815,-192115.82839488983,-196967.76568889618,-184395.50697803497,-222808.01832675934,1857.2297412902117,-154637.75396347046,-144269.86873149872
0.005,8868613.243103027,10799464.225769043,-6491528.511047363,-1448576.807975769,-1254114.1510009766,-13165884.971618652,-13303973.197937012,-11398736.000061035,-2895628.4523010254,1477309.9422454834,-167704.85043525696,-675574.2430686951,-114615.09764194489,-670382.1420669556,3553967.9527282715,-9284990.310668945,-3408766.269683838,-2056264.6389007568,594331.5625190735,1674247.0264434814,586761.5342140198,-2255658.6265563965,1210857.9874038696,5375081.539154053,1970312.7145767212,-4447698.11630249,-3556869.7452545166,-1303975.9397506714,3231.522161513567,2735908.7467193604,-1818938.136100769,937495.4700469971,5033560.752868652,1401081.919670105,-3593230.2474975586,-1952667.9515838623,-1594837.9039764404,-309060.5437755585,1055688.1427764893,2922370.195388794,2104257.583618164,4413372.039794922,-3766034.1262817383,-2595794.200897217,-2777259.111404419,-306809.2167377472,2672474.8611450195,3165401.9355773926,2982956.647872925,3251532.793045044,-4225909.70993042,-2356034.278869629,-20587886.810302734,10716833.114624023,3880694.86618042,3115851.879119873,2608840.9423828125,12168053.62701416,10892065.048217773,10571735.382080078,3468142.7478790283,4583664.894104004
0.01,10609365.463256836,16421541.213989258,-8169228.553771973,-1668120.3842163086,-1020728.588104248,-21723695.755004883,-18088640.213012695,-15265814.781188965,-2486810.6842041016,3348752.737045288,808529.9730300903,-1535539.3886566162,-729007.7209472656,-1523600.459098816,1163899.302482605,-14963199.615478516,-4658913.612365723,-1745352.3874282837,2672333.240509033,5335737.228393555,2481750.011444092,-3290249.824523926,245854.60126399994,3765769.9584960938,792977.0946502686,-6736732.959747314,-5031761.646270752,-1566742.5394058228,2006931.5433502197,4088684.08203125,-3396503.448486328,15228.05169224739,3222876.3103485107,-562590.2414321899,-7451275.825500488,-2638303.518295288,-2024190.1874542236,1005620.7180023193,893616.5571212769,1794841.7663574219,838530.2424430847,2424957.275390625,-7758886.337280273,-5958382.606506348,-5701004.0283203125,-269007.8914165497,2986688.6138916016,2108399.3911743164,1930020.3323364258,2347083.330154419,-9833796.501159668,-7033126.354217529,-33086418.15185547,12485223.770141602,3258801.4602661133,2199441.432952881,1462504.1484832764,13570280.075073242,11753343.58215332,12249379.15802002,2624119.0433502197,4196550.8460998535
0.015,8632985.11505127,19027236.938476562,-5352188.1103515625,-627914.0114784241,285355.8361530304,-22329807.28149414,-15551045.417785645,-12742578.506469727,484086.811542511,4867662.42980957,2020053.8635253906,-2976878.1661987305,-2213502.6454925537,-3001290.5597686768,-3883605.480194092,-15803030.014038086,-3653749.2275238037,377637.23731040955,5408102.512359619,8911033.630371094,4961102.485656738,-3205707.788467407,-2466881.036758423,-1406254.0531158447,-1613258.3618164062,-6617681.503295898,-4612006.187438965,-1067506.3133239746,4640022.754669189,4095184.803009033,-4944116.115570068,-2445404.052734375,-2023849.4873046875,-3693484.5447540283,-9753510.475158691,-2218785.524368286,-1553098.9170074463,3017577.1713256836,-528334.6772193909,-1970314.5027160645,-2604722.261428833,-2702949.047088623,-10159013.748168945,-8315795.8984375,-7445316.314697266,-23075.979202985764,969184.8754882812,-1715294.7187423706,-1781617.0454025269,-1317429.1849136353,-14295558.92944336,-11555026.054382324,-35249660.49194336,7324283.123016357,-452037.66226768494,-1433243.2746887207,-2060376.8825531006,6615608.215332031,4971818.923950195,7014074.325561523,-1053356.7667007446,365670.3233718872
0.02,8008111.000061035,17181539.53552246,-5674470.4246521,-685606.0028076172,-1372302.770614624,-15186890.602111816,-13323767.66204834,-10778556.823730469,991700.3512382507,4062151.9088745117,424539.14880752563,-6324842.929840088,-5654916.286468506,-6472246.6468811035,-2907607.078552246,-12241125.106811523,-2067657.709121704,1707550.048828125,6574075.698852539,8415505.409240723,6079855.442047119,-3354645.4906463623,-5129034.042358398,-654480.8745384216,-329965.82984924316,-5215650.55847168,-3324103.355407715,-829497.218132019,5095441.818237305,3141265.392303467,-6214728.832244873,-5007277.488708496,-1280017.8527832031,-3369234.323501587,-8310055.732727051,-1734265.685081482,-1235926.0320663452,3651200.532913208,-1894024.133682251,-3357462.8829956055,-3897434.949874878,-1928487.6585006714,-8834320.068359375,-7225937.366485596,-6565530.776977539,37716.95867180824,-595009.2673301697,-3114392.2805786133,-3175518.9895629883,-2671363.592147827,-13031076.431274414,-10747971.534729004,-30661088.943481445,4303506.851196289,-1915252.0895004272,-2854202.0320892334,-3211120.367050171,2808978.0807495117,1476334.4526290894,3922635.078430176,-2335346.6987609863,-1158629.6558380127
0.025,11496853.828430176,14039002.418518066,-9842186.92779541,-581186.2349510193,-4550851.821899414,-4193897.7241516113,-13111121.17767334,-10578233.71887207,-376191.8842792511,2303546.667098999,-2599859.9529266357,-9394081.115722656,-8700835.227966309,-9685201.644897461,5794245.719909668,-5977303.028106689,-412432.13415145874,1981363.296508789,5954856.872558594,4972126.483917236,6823985.0997924805,-3279940.605163574,-5642256.736755371,8142757.415771484,5777136.80267334,-3386268.6157226562,-2073888.7786865234,-1303656.4588546753,3875210.2851867676,2441294.1932678223,-6050966.739654541,-5645817.756652832,7504940.986633301,1168030.1427841187,-4233397.483825684,-1882781.6247940063,-1583756.0892105103,3080047.607421875,-2017550.7068634033,-722131.9079399109,-1587763.5478973389,6725689.41116333,-4907421.588897705,-3470850.706100464,-4571289.539337158,-276252.1803379059,-353694.70715522766,-432754.9934387207,-605081.4986228943,-58330.439031124115,-6977784.633636475,-4924412.250518799,-26462898.25439453,7524183.750152588,718356.7881584167,-418812.3643398285,-598759.1743469238,7570156.574249268,6216811.180114746,7137790.679931641,445387.24422454834,1588159.3227386475
0.03,15664840.698242188,12929918.28918457,-12958503.723144531,1772057.7716827393,-5475335.121154785,4505092.620849609,-11310809.135437012,-8640596.389770508,222081.34829998016,2124846.2200164795,-3790322.5421905518,-10324542.045593262,-9541021.347045898,-10661594.39086914,15005460.739135742,6364.229135215282,1542989.2539978027,2670884.132385254,5001043.796539307,3160291.910171509,8333834.648132324,-2947256.565093994,-4700295.448303223,17439409.255981445,12373291.969299316,-1574089.4079208374,-1578789.472579956,-1933441.5197372437,3499943.971633911,2051977.8728485107,-4942039.966583252,-4784678.936004639,16790916.442871094,6216792.583465576,-893889.6656036377,-2418915.033340454,-2129331.8271636963,2820292.9496765137,-1448664.7844314575,2499251.6040802,1423667.073249817,15950376.510620117,-1586101.1743545532,-184762.1351480484,-3831521.0342407227,-722013.1158828735,958890.3188705444,2856726.884841919,2638239.3836975098,3119271.5167999268,-1342893.9580917358,826725.4829406738,-26467317.581176758,12753143.310546875,4103121.757507324,2704897.165298462,2511890.172958374,15524327.278137207,13903420.448303223,12458676.3381958,3827265.739440918,4999252.796173096
0.035,14869097.709655762,11996535.301208496,-14184022.903442383,3997281.312942505,-5397091.865539551,6347812.175750732,-8225685.119628906,-5567942.142486572,1841195.7025527954,2647515.7737731934,-3971496.58203125,-11822575.569152832,-11002188.682556152,-12077626.22833252,18185966.49169922,2264014.959335327,2760339.4985198975,3441433.906555176,4069672.5845336914,3986239.6717071533,8283071.517944336,-4747251.033782959,-5611705.303192139,20354257.583618164,14869668.006896973,-591859.2810630798,-2563374.2809295654,-2111406.8031311035,4152220.7260131836,533385.0383758545,-5704755.3062438965,-5557123.66104126,19750329.971313477,8787508.010864258,201208.35304260254,-2767121.5534210205,-2324903.964996338,2849296.3314056396,-1876451.1346817017,2872067.68989563,2137278.3184051514,18993785.858154297,-197372.00438976288,1184542.179107666,-3893763.780593872,-958294.689655304,2341717.481613159,3414129.4956207275,3275358.4384918213,3527429.5806884766,1223541.7366027832,3564373.016357422,-28025890.350341797,14962060.928344727,4890958.786010742,3403100.2521514893,3103508.472442627,19516887.664794922,17745414.73388672,14757593.154907227,4488285.064697266,5589250.564575195
0.04,8189034.461975098,7617211.34185791,-17311517.7154541,1604928.2550811768,-8641005.516052246,2057078.1230926514,-8511817.932128906,-6032121.181488037,-230955.70504665375,697606.3847541809,-6769273.281097412,-17103340.14892578,-16311231.61315918,-17221807.4798584,16183603.286743164,-305371.16527557373,1680449.366569519,2308955.192565918,2267808.9141845703,3968187.3321533203,4319741.249084473,-9878936.767578125,-9823584.55657959,17983665.466308594,13180521.011352539,-1193568.1104660034,-4785692.21496582,-1993176.2218475342,3969142.198562622,-2229099.988937378,-9473875.045776367,-9569248.19946289,17460065.841674805,9299735.069274902,332508.1467628479,-2761839.1513824463,-2266051.2924194336,2076601.0284423828,-3766810.655593872,993731.1410903931,812864.2439842224,16752943.03894043,400625.3480911255,1724524.1403579712,-2640507.936477661,-962917.8643226624,3052735.0902557373,1845470.4284667969,1764198.1840133667,1777794.0034866333,2140963.7928009033,4465524.673461914,-27110261.917114258,14113809.585571289,3526394.3672180176,2115745.5444335938,1740344.0475463867,18553880.69152832,16854707.717895508,13899460.792541504,2990208.148956299,4038858.8905334473
0.045,336827.3675441742,1299367.4278259277,-22646610.260009766,-4904779.434204102,-14468629.837036133,-3173576.1165618896,-12674180.98449707,-10314404.487609863,-5961488.723754883,-3754717.3500061035,-11968461.990356445,-23494297.02758789,-22705801.010131836,-23490537.643432617,13467333.793640137,-4818880.081176758,-1107500.3147125244,-605774.3430137634,33582.545816898346,1443995.5949783325,-572559.8335266113,-14734984.397888184,-14302893.63861084,15242088.317871094,10415897.369384766,-2967359.781265259,-6510551.452636719,-2060014.4863128662,3067824.8405456543,-3614798.069000244,-13004794.120788574,-14010734.558105469,14727208.137512207,8875630.378723145,419210.5829715729,-2632073.163986206,-2320722.5799560547,1029989.1233444214,-5528114.318847656,-523681.2233924866,-610805.9883117676,13949229.24041748,698248.4459877014,2015956.163406372,-525062.6802444458,-977048.9931106567,2102656.126022339,459448.3971595764,319328.635931015,319705.605506897,2300790.786743164,4479997.158050537,-24912097.930908203,12522268.295288086,2141874.7901916504,822254.3001174927,427758.127450943,15799081.802368164,14158400.535583496,12277517.318725586,1550333.3806991577,2723138.0939483643
