time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,775471.8661308289,259840.0115966797,-777967.2741889954,-12250.687927007675,-380040.4965877533,2788360.834121704,534840.5838012695,567287.9815101624,529925.9424209595,23032.9018086195,-10432.015173137188,-940609.3955039978,-973308.3248138428,-1231217.7419662476,1010486.0067367554,327204.25724983215,565048.0389595032,386372.3576068878,-65109.43919420242,-71063.03423643112,-622476.2201309204,-1162460.207939148,-522592.1869277954,-337296.66471481323,444564.25309181213,257510.4534626007,347211.95697784424,-752.1559600718319,-236856.8331003189,-675486.7434501648,-697669.0888404846,-500573.7543106079,712445.6167221069,740666.6278839111,-87432.95818567276,-103033.66929292679,-8519.948460161686,-311546.9217300415,-373629.48060035706,-360472.6195335388,-444012.6121044159,-103604.95746135712,677794.2776679993,479888.29016685486,-65050.85527896881,-7963.0352556705475,-351871.66929244995,-406285.5839729309,-381345.62969207764,-405583.05382728577,1098214.5071029663,1060074.4485855103,298376.9178390503,-4529.767669737339,-370011.71708106995,-416702.3301124573,-385876.71518325806,-400048.6433506012,524082.6606750488,95571.97988033295,-367298.51365089417,-352323.62151145935
0.005,6483491.42074585,4217504.978179932,5712594.985961914,2517965.316772461,5172757.625579834,6147346.973419189,3773212.9096984863,4759493.827819824,4047907.829284668,4917218.6851501465,5264119.625091553,4270964.622497559,3068245.4109191895,819386.9590759277,4168793.6782836914,1914989.5906448364,3303146.3623046875,4591009.140014648,5294771.194458008,4566659.450531006,1020432.1146011353,-1063560.8434677124,-3010202.8846740723,-8480799.674987793,2700165.033340454,3276793.7183380127,3158607.006072998,-438974.9467372894,1313539.743423462,-195132.38966464996,-1328903.317451477,-2049440.860748291,-6567645.072937012,-4108654.9758911133,-430029.63066101074,-1067430.853843689,-699169.2781448364,-2796449.899673462,-3044749.975204468,-2212255.0010681152,-2922979.8316955566,-3617125.988006592,-2768601.894378662,-2091931.3430786133,-3810750.722885132,-873637.9146575928,-3372351.884841919,-3148369.789123535,-3052471.160888672,-2968859.1957092285,-4696487.4267578125,-5130052.089691162,-5019613.265991211,-801477.4918556213,-4519592.761993408,-3545139.3127441406,-2430822.3724365234,-5850430.011749268,-8412176.132202148,-5562020.301818848,-4190332.4127197266,-3864768.2666778564
0.01,9536916.732788086,5931943.416595459,7996238.231658936,3813196.6590881348,8176655.7693481445,8264420.509338379,7337008.953094482,8677951.81274414,7747400.760650635,8534089.088439941,9080509.185791016,6281141.757965088,4738255.977630615,2952.4227138608694,6664182.186126709,4294868.946075439,5667577.743530273,7430307.388305664,8061385.154724121,7142033.100128174,1778529.0479660034,-2201711.1778259277,-4900889.3966674805,-10432196.617126465,5627534.866333008,5465885.162353516,4617129.325866699,-551749.8254776001,1981178.9989471436,-784890.6517028809,-2301541.328430176,-3505208.2538604736,-7292993.545532227,-4532358.646392822,-178104.6837568283,-1158898.949623108,-920783.9369773865,-4178477.7641296387,-4895158.290863037,-3778673.6488342285,-4634692.192077637,-3452006.5784454346,-2511806.9648742676,-1639602.4227142334,-4317615.509033203,-1134921.3123321533,-5024856.090545654,-4793386.459350586,-4763750.5531311035,-4582983.493804932,-5392278.671264648,-5999142.646789551,-5613555.431365967,-1106290.2212142944,-6445403.099060059,-5312902.450561523,-3763092.9946899414,-6009353.160858154,-10123244.285583496,-6603961.944580078,-6045398.235321045,-5578981.399536133
0.015,11101979.25567627,7914493.560791016,9745170.593261719,3777523.5176086426,11063451.766967773,7476415.157318115,10747591.972351074,11960035.32409668,11195417.404174805,11999016.761779785,12632449.15008545,7546940.803527832,6317099.571228027,-523982.1672439575,8004400.253295898,6686899.662017822,7346634.387969971,9325259.2086792,9137146.949768066,8539999.961853027,2948399.543762207,-2034370.6607818604,-5320120.811462402,-7869630.336761475,7821228.981018066,7082320.690155029,5187337.875366211,-418433.4874153137,2432107.68699646,-1069928.2884597778,-2351666.212081909,-4025354.8622131348,-4170939.4454956055,-2097829.580307007,491024.6133804321,-555360.5556488037,-723992.109298706,-4184234.619140625,-5199225.425720215,-4270081.996917725,-4962165.832519531,-1049701.21383667,-343985.4681491852,315314.50152397156,-2655869.245529175,-912350.6546020508,-5019454.479217529,-4880826.950073242,-5030716.896057129,-4694823.265075684,-3575686.454772949,-4116423.6068725586,-3522152.4238586426,-1023451.0898590088,-6071352.958679199,-5355982.303619385,-3898086.0710144043,-4006760.1203918457,-7519032.955169678,-5122817.039489746,-5793786.525726318,-5460648.536682129
0.02,13357111.930847168,12563823.699951172,15501380.920410156,3384300.470352173,16470083.236694336,3901518.1064605713,12889480.590820312,14009578.704833984,13383160.591125488,16319517.135620117,17069101.333618164,11490438.461303711,10450651.168823242,3208925.485610962,8058884.620666504,7714451.789855957,8120065.689086914,11202452.659606934,10785189.628601074,10588592.529296875,5704859.733581543,1667576.551437378,-3998937.3683929443,-6725758.5525512695,7877462.863922119,8813221.93145752,6130204.677581787,-307152.4500846863,3572986.841201782,627783.1792831421,-449205.8455944061,-2971326.3511657715,-3980447.53074646,-1176079.511642456,1081329.8225402832,40632.471442222595,-537449.4791030884,-3382050.5142211914,-4022872.4479675293,-3297451.0192871094,-3899110.794067383,-6212.358828634024,-132006.74951076508,417663.2761955261,-2002646.6846466064,-760951.042175293,-4086857.318878174,-3809147.1195220947,-4056643.486022949,-3528068.780899048,-4546117.782592773,-4954060.5545043945,-3638601.064682007,-990411.0431671143,-4962255.001068115,-4320739.269256592,-2921597.719192505,-5594079.971313477,-7889901.638031006,-5754860.401153564,-4727629.1847229,-4689507.007598877
0.025,15008992.195129395,16119489.669799805,20982446.670532227,3528969.5262908936,20960161.209106445,530841.5293693542,13022032.737731934,14245887.756347656,13527859.687805176,19360942.840576172,20196866.989135742,15654005.05065918,14407401.084899902,8312081.336975098,6983496.66595459,7387334.823608398,7984299.659729004,12460071.563720703,12622060.775756836,12593145.370483398,8237121.58203125,5750164.985656738,-2112996.3397979736,-8250424.385070801,7156265.2587890625,10493033.409118652,7392762.660980225,-237802.8780221939,4660628.795623779,3073617.935180664,1892160.0580215454,-1207193.8514709473,-6740325.450897217,-2136808.6338043213,1626514.6732330322,572379.469871521,-578635.4541778564,-2574228.525161743,-2603881.1206817627,-1887038.7077331543,-2342645.8835601807,-166261.1961364746,-1320100.0690460205,-1027717.2327041626,-2733448.5054016113,-863856.4944267273,-3149954.319000244,-2539068.9373016357,-2627640.0089263916,-2077801.4659881592,-7204785.8238220215,-7569610.118865967,-5770492.5537109375,-1105286.1213684082,-4277138.233184814,-3164377.9277801514,-1601041.4361953735,-8931848.526000977,-11120581.62689209,-7762648.582458496,-3890718.698501587,-3988289.3562316895
0.03,13193159.103393555,13428647.0413208,18897443.771362305,4085022.449493408,19298387.52746582,-155903.1754732132,11565437.316894531,12840611.457824707,11953416.82434082,18397472.381591797,19154476.165771484,15191789.627075195,13752336.502075195,8707196.235656738,4850637.435913086,6977691.650390625,7330682.277679443,11866632.461547852,12441820.14465332,12385133.743286133,7922150.611877441,5460409.164428711,-1290285.9449386597,-8458485.60333252,8014272.689819336,11249505.996704102,7804622.650146484,-46423.06640744209,4316298.961639404,3581049.919128418,2276303.291320801,-360294.1334247589,-6647877.216339111,-1789912.9390716553,2470551.013946533,1529524.326324463,-625004.1127204895,-2226903.4385681152,-2299891.471862793,-1568780.541419983,-1454264.8792266846,1562036.8719100952,-123900.97230672836,-649989.664554596,-2499680.995941162,-889620.7809448242,-2701091.0511016846,-1896765.947341919,-1639828.4435272217,-1357392.3110961914,-6055188.6558532715,-6453374.38583374,-5433701.038360596,-1070087.5520706177,-3952537.0597839355,-2510852.575302124,-814604.640007019,-7293715.476989746,-10829474.449157715,-6448054.313659668,-3391183.853149414,-3263780.5938720703
0.035,8891256.332397461,6940219.402313232,11630262.37487793,4202698.230743408,13243580.81817627,592728.0187606812,9892934.799194336,11084911.346435547,10134541.511535645,14761672.019958496,15354523.658752441,11221133.2321167,9915086.74621582,4698456.287384033,1766155.6005477905,7134068.012237549,6901262.7601623535,10062093.734741211,10362051.963806152,10236783.027648926,5525939.464569092,1797862.4105453491,-1766150.712966919,-5641619.682312012,10046747.207641602,10851805.686950684,7134696.006774902,215802.4162054062,2912707.0903778076,2097862.720489502,891087.6512527466,-798496.1867332458,-2431852.5791168213,571167.9458618164,3479146.957397461,2814703.7029266357,-421117.5739765167,-2283846.855163574,-3108178.6155700684,-2468905.9257507324,-1532409.66796875,5441825.389862061,3826312.780380249,2462813.377380371,-540437.4599456787,-596679.6278953552,-2702059.030532837,-1957954.5259475708,-1454626.5602111816,-1488127.1123886108,-719915.0919914246,-1127399.6829986572,-1507044.4345474243,-751233.1008911133,-3572610.378265381,-2401691.9136047363,-740019.0830230713,-437034.63673591614,-5649932.384490967,-1316866.0402297974,-3007997.0359802246,-2505813.3602142334
0.04,6378798.961639404,4319994.4496154785,8833740.234375,3449131.727218628,9937545.776367188,-68845.9649682045,9217996.597290039,10421542.167663574,9520263.671875,12712375.64086914,13273164.749145508,9629028.3203125,8562146.186828613,2410617.1131134033,-1571585.774421692,7206834.316253662,7257029.5333862305,9326096.534729004,9251482.963562012,9068679.809570312,4394139.766693115,182511.94059848785,-2417506.9332122803,-3469215.6314849854,10580513.954162598,10197300.910949707,6653748.035430908,262688.2195472717,2271409.273147583,1220654.9644470215,150788.1134748459,-1414491.057395935,90147.53252267838,1852812.5286102295,4107176.7807006836,3571931.3621520996,-125438.30275535583,-2437821.626663208,-3854084.9685668945,-3256141.9010162354,-1936287.8799438477,7882030.963897705,6416116.237640381,5164559.841156006,984523.355960846,-217381.90948963165,-2868512.8688812256,-2232362.5087738037,-1788722.038269043,-1845310.2111816406,2754096.9848632812,2385788.679122925,1711857.795715332,-444552.1831512451,-3259859.085083008,-2539771.556854248,-923716.0682678223,3826217.6513671875,-2047183.0368041992,2337950.9449005127,-2822539.5679473877,-2205788.3739471436
0.045,6961909.770965576,7046872.615814209,12519284.24835205,2401041.9845581055,11484620.094299316,-2201370.2392578125,9530140.87677002,10912317.276000977,10133740.425109863,13600694.65637207,14273575.782775879,11766559.600830078,10725863.456726074,3782823.5626220703,-3879458.18901062,6632338.047027588,8156486.511230469,10537846.565246582,10479310.035705566,10250258.445739746,5444826.602935791,2025451.66015625,-2687038.6600494385,-5154885.768890381,8888884.544372559,10233180.046081543,7323771.953582764,-25572.95933365822,2946422.815322876,1964832.9019546509,841339.2305374146,-1574614.7632598877,-2813486.337661743,351100.26597976685,4172961.2350463867,3385689.7354125977,-148483.35087299347,-2619579.553604126,-3952864.8853302,-3174174.5471954346,-2260561.70463562,6795568.466186523,5207588.195800781,4910393.238067627,442277.193069458,-135858.74438285828,-3105206.01272583,-2486685.5144500732,-2322781.562805176,-2140801.429748535,851883.6498260498,519963.800907135,896351.5758514404,-481704.35428619385,-3525462.3889923096,-2832931.0417175293,-1188482.165336609,561428.4873008728,-4559318.542480469,875458.8961601257,-3160475.492477417,-2780987.7395629883
