time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,11536144.256591797,9950580.596923828,8942724.227905273,5962100.505828857,5521201.610565186,3995851.993560791,5071940.4220581055,3557541.1319732666,3144617.0806884766,4100893.020629883,4136492.2523498535,3681639.6713256836,3697671.65184021,3747370.958328247,3998291.492462158,2612319.4694519043,1792982.816696167,1559971.4517593384,1907567.7394866943,2011890.6497955322,2351992.130279541,2389844.1791534424,1844075.083732605,939741.5518760681,1404421.5679168701,1678503.2749176025,557456.8510055542,1066150.9037017822,738771.0809707642,590546.0715293884,1395031.5713882446,347542.58394241333,-629868.20936203,-75328.42457294464,784937.0241165161,158997.7741241455,-23286.262527108192,369444.7875022888,465977.66876220703,524886.1908912659,-439438.6410713196,-954882.025718689,-925043.4041023254,-37500.63478946686,145854.44331169128,-28212.72239089012,118707.51529932022,-343190.6998157501,-329271.43573760986,-1847519.2785263062,-1676854.7296524048,-1514266.2525177002,-1499662.2800827026,-63252.06160545349,-1079953.3128738403,-1106929.898262024,-1081169.2476272583,-1536731.243133545,-1523351.4308929443,-2119091.749191284,-1548967.3614501953,-2337878.942489624
0.005,30859018.325805664,-148771.94166183472,-15396871.566772461,1052001.2378692627,-658999.8006820679,8167749.404907227,8312853.813171387,1298716.425895691,-3100194.6926116943,-3821277.618408203,-1341822.9818344116,5363057.1365356445,4534272.67074585,-417892.6944732666,8608104.705810547,3676712.5129699707,2417095.899581909,-2889453.649520874,-4816853.5232543945,-818845.5104827881,4148984.909057617,6920536.041259766,1357729.9118041992,-22748258.590698242,1436671.6146469116,-254191.3092136383,-2856921.672821045,-2493224.859237671,654283.6427688599,2736474.5140075684,4166623.592376709,-326131.3736438751,-4660688.877105713,-805629.3725967407,-714152.0977020264,-1927970.5286026,927671.0748672485,3473140.9549713135,6590167.045593262,4885503.29208374,2956709.861755371,-4609054.088592529,-5082467.555999756,-3162694.6926116943,1686272.2635269165,396433.38322639465,4311860.56137085,-1307687.0441436768,-2044803.8578033447,242068.0820941925,363455.05714416504,4973147.392272949,2053861.8564605713,636087.8348350525,9286902.42767334,-164250.01621246338,240878.31377983093,1500673.1748580933,1795920.2527999878,-50725.605338811874,2693009.614944458,-5471951.007843018
0.01,39180839.53857422,-5389466.285705566,-26283201.217651367,-1700578.212738037,-6689610.958099365,7141505.241394043,7750566.005706787,-1264283.537864685,-6870787.143707275,-7833132.743835449,-4783082.008361816,3059399.366378784,2001678.9436340332,-5670783.519744873,7754213.809967041,775157.7496528625,486287.08720207214,-6887123.107910156,-9745132.446289062,-3597367.286682129,2639089.345932007,4969047.069549561,-2975684.404373169,-36623546.6003418,-2092781.5437316895,-2958489.418029785,-5318607.330322266,-5898437.5,-246880.35249710083,1544681.5490722656,2338237.524032593,-3509669.780731201,-11161403.65600586,-3402495.3842163086,-1906242.3706054688,-2972794.0559387207,1216673.6125946045,5175442.218780518,7980670.45211792,4764363.765716553,1898062.4675750732,-8153387.069702148,-8815566.062927246,-4680457.592010498,4322317.600250244,570220.8280563354,6994526.386260986,-2373717.5464630127,-3455631.2561035156,-1747004.6281814575,-1231143.7129974365,4970459.938049316,554014.3251419067,1004871.0107803345,11506409.645080566,-1956105.2322387695,-1390214.443206787,-180569.21660900116,176154.30057048798,-2479753.255844116,739153.265953064,-10359040.260314941
0.015,32794429.779052734,-11151228.904724121,-30284883.499145508,-3559774.63722229,-13819693.565368652,2691085.3385925293,4273676.872253418,-3936988.8305664062,-9086826.32446289,-10139560.69946289,-8926583.290100098,-3744026.1840820312,-4499634.742736816,-13769878.387451172,3291936.159133911,-4181516.170501709,-3115495.204925537,-10147712.707519531,-13376777.648925781,-7105792.045593262,-2572546.7205047607,-2955178.2608032227,-11148705.48248291,-38565189.361572266,-7076222.896575928,-6058604.717254639,-6553036.689758301,-8245571.136474609,-2366840.362548828,-2628626.3465881348,-3975788.116455078,-9068247.79510498,-16695178.985595703,-6481958.389282227,-2999094.009399414,-3185323.2383728027,918837.0704650879,4690680.980682373,4256878.852844238,214786.21661663055,-2508898.4966278076,-10697751.04522705,-11294178.009033203,-4894909.858703613,6510914.8025512695,500978.7082672119,7091309.070587158,-4219215.869903564,-5310949.802398682,-7096909.523010254,-4190312.385559082,967401.3257026672,-3151020.050048828,960645.6160545349,6697255.1345825195,-5777849.6742248535,-5079511.1656188965,-3742224.2164611816,-3479693.1743621826,-6506171.226501465,-5265857.219696045,-14645229.33959961
0.02,19594352.72216797,-21771490.0970459,-39300506.591796875,-5328239.917755127,-20549276.35192871,1566966.6528701782,2744961.977005005,-5043499.946594238,-10652115.821838379,-13426282.88269043,-15222225.189208984,-10552042.007446289,-11037764.549255371,-22711374.282836914,2215743.064880371,-5479835.510253906,-4610693.454742432,-11552508.354187012,-15832360.26763916,-10694998.741149902,-7987587.451934814,-9857028.96118164,-18411661.14807129,-33864837.646484375,-8310785.293579102,-7866932.8689575195,-6437160.491943359,-8238937.3779296875,-4676207.065582275,-6091625.690460205,-9985884.666442871,-13904664.039611816,-16191568.374633789,-7421019.077301025,-4315691.4710998535,-3293515.920639038,626117.5274848938,2935945.0340270996,-464784.4433784485,-4568951.606750488,-5617963.3140563965,-11370887.756347656,-11941962.242126465,-5335329.532623291,5915707.588195801,386827.34966278076,4931815.624237061,-7235101.222991943,-8392675.399780273,-12000061.988830566,-4136361.1221313477,-236923.14326763153,-3205499.4106292725,727325.1414299011,2283608.4365844727,-8939241.409301758,-7903845.78704834,-3559818.5062408447,-3348403.215408325,-6585740.566253662,-8646922.11151123,-15200022.69744873
0.025,11591593.742370605,-30161115.646362305,-49549823.76098633,-4998995.780944824,-22385290.145874023,5996776.580810547,5381213.188171387,-3320411.443710327,-9927556.991577148,-15016427.040100098,-19031476.974487305,-12165978.43170166,-12720778.465270996,-26677198.41003418,6765712.261199951,-1666300.7736206055,-2241041.660308838,-9910910.606384277,-15222925.186157227,-11669734.001159668,-9521564.483642578,-10303270.33996582,-20112529.754638672,-29617717.742919922,-5211006.164550781,-7397631.1683654785,-4901535.987854004,-5725210.666656494,-5067028.999328613,-5894580.841064453,-11499071.12121582,-15333946.228027344,-11421060.562133789,-6727800.369262695,-5989533.424377441,-3351270.1988220215,671554.3866157532,2355151.1764526367,-1855667.7103042603,-5926221.84753418,-5726708.889007568,-11028932.571411133,-11733747.482299805,-6945163.249969482,2865311.38420105,358261.3170146942,2672759.2945098877,-10508253.09753418,-11956968.307495117,-14590754.508972168,-1870877.3851394653,1884899.1394042969,-287267.5657272339,605806.1718940735,2072973.7281799316,-10454935.073852539,-9103280.067443848,-457191.0500526428,-222165.5547618866,-3503360.2714538574,-7752566.814422607,-13570363.04473877
0.03,10817499.160766602,-30362255.096435547,-51493072.509765625,-3129799.6044158936,-19732074.737548828,9494761.46697998,7658168.315887451,-1408248.9013671875,-7331614.971160889,-12888845.443725586,-17265367.50793457,-9438995.361328125,-10222488.403320312,-24584291.458129883,10267747.87902832,1527321.8154907227,474208.801984787,-6857150.077819824,-11736843.10913086,-9343472.480773926,-7363761.425018311,-6609993.934631348,-17723682.403564453,-30084692.001342773,-3448147.773742676,-6306917.667388916,-3045950.8895874023,-2677767.276763916,-2866151.5712738037,-2918642.044067383,-9541357.040405273,-14666441.917419434,-10045304.298400879,-7699095.249176025,-8076200.485229492,-3072738.6474609375,881923.7351417542,4455170.631408691,447944.9689388275,-4218291.282653809,-5782191.276550293,-11987022.399902344,-12838449.478149414,-9459460.258483887,92208.02783966064,394009.44113731384,2662812.7098083496,-12475693.702697754,-14197628.97491455,-15993210.792541504,-2126059.055328369,1670475.959777832,-295254.9159526825,659700.9897232056,3158787.0121002197,-11475164.413452148,-10186496.73461914,-363350.0933647156,-131843.23906898499,-2998831.033706665,-7068121.433258057,-14206050.872802734
0.035,9511630.058288574,-29238853.454589844,-48767566.6809082,-4362796.306610107,-19359575.271606445,5937202.453613281,4593509.674072266,-3491803.1692504883,-7522100.925445557,-11660269.737243652,-14853378.295898438,-8041452.407836914,-8942332.26776123,-22664636.611938477,6572579.860687256,-988578.2599449158,-939345.8962440491,-6358937.740325928,-9744412.422180176,-7065745.830535889,-5386833.190917969,-4814433.0978393555,-16846727.37121582,-34337013.244628906,-6968510.150909424,-6848991.394042969,-2878017.9023742676,-1715893.7454223633,-90036.08673810959,-296499.19271469116,-8145660.400390625,-15222225.189208984,-15232892.990112305,-11168809.89074707,-9952167.510986328,-2609565.7348632812,1005051.1360168457,7791625.9765625,3328215.5990600586,-2243735.5518341064,-8241459.846496582,-14944881.439208984,-15820620.5368042,-11666535.377502441,-615258.2764625549,445719.2122936249,4882177.829742432,-12470866.203308105,-14152025.22277832,-17203834.533691406,-5711184.978485107,-2863108.1581115723,-4622833.728790283,690097.0339775085,2032641.4108276367,-12685717.582702637,-11663868.90411377,-4701574.802398682,-4505163.669586182,-6781866.073608398,-9627590.17944336,-17932024.002075195
0.04,6881307.125091553,-32158092.498779297,-48891609.19189453,-8198105.812072754,-22723890.30456543,549517.4527168274,268026.8883705139,-7711618.900299072,-11737365.72265625,-14813210.487365723,-16130346.298217773,-9218747.13897705,-10082530.975341797,-23751117.706298828,1116722.4645614624,-5125637.531280518,-4618535.041809082,-9194360.733032227,-11666552.543640137,-7331338.882446289,-5147736.072540283,-5836871.62399292,-18650581.35986328,-36600624.084472656,-11273817.06237793,-7690009.117126465,-4578344.345092773,-3239744.6632385254,969510.6744766235,487669.4977283478,-8329034.805297852,-16800699.23400879,-20607624.053955078,-13146648.406982422,-9610778.80859375,-2084823.3699798584,1018841.8626785278,9421498.29864502,4136309.1468811035,-1355629.2057037354,-11159704.208374023,-17007156.372070312,-17836147.30834961,-11736054.420471191,151528.86509895325,498466.52150154114,6704826.354980469,-11210490.226745605,-12573537.826538086,-17727645.874023438,-7768297.6722717285,-6446274.757385254,-7838289.737701416,540813.2076263428,-400439.47100639343,-13311900.13885498,-12251357.078552246,-8007304.1915893555,-7793810.844421387,-10470543.86138916,-12999139.785766602,-20880350.11291504
0.045,14190722.465515137,-28714105.6060791,-45166839.599609375,-5365913.391113281,-20760343.551635742,4754631.996154785,4540629.863739014,-6211022.37701416,-12932910.919189453,-16312395.095825195,-15821623.802185059,-7315556.526184082,-8093330.383300781,-21509164.810180664,5433529.853820801,-2196241.855621338,-3649224.7581481934,-10704774.856567383,-13154433.250427246,-7635044.574737549,-3863548.0403900146,-4981366.6343688965,-18027793.884277344,-31738519.6685791,-8829073.905944824,-4882790.088653564,-5371652.603149414,-4851409.435272217,536615.4909133911,593671.3814735413,-7347338.1996154785,-15733879.089355469,-18542173.385620117,-9723255.157470703,-5409192.085266113,-1069289.5650863647,969020.3666687012,8256258.010864258,2950349.3309020996,-700305.5810928345,-11355258.94165039,-14812611.57989502,-15622033.11920166,-8606629.371643066,1194554.6865463257,499995.02301216125,5926573.276519775,-9987114.906311035,-11063098.907470703,-17423482.89489746,-5098717.68951416,-4653155.80368042,-6081291.675567627,322721.4813232422,-1037345.4093933105,-12696070.671081543,-11276361.465454102,-6256923.198699951,-6001751.899719238,-10728101.73034668,-13694552.421569824,-20368581.771850586
