time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-12704149.24621582,-9243946.075439453,-6892221.927642822,-10348571.77734375,-3046944.6182250977,-9087090.492248535,-1188368.797302246,-1141589.9991989136,-1146881.2227249146,-709717.333316803,874872.6844787598,7226818.561553955,-5522048.473358154,-4408469.676971436,2420117.6166534424,-1136054.277420044,-1139527.5592803955,-1183703.6609649658,-2470891.7140960693,7971235.752105713,351269.78158950806,-3898885.0116729736,10479763.03100586,3293760.5381011963,10721349.716186523,-1101461.0528945923,-1145823.1210708618,-5191094.398498535,4538744.4496154785,7001009.941101074,5468509.674072266,-507853.26957702637,1374689.4598007202,1495926.3801574707,6779356.002807617,647796.1540222168,3856787.919998169,3700127.363204956,4674599.647521973,15378446.578979492,17497039.794921875,1370610.3563308716,1358593.7023162842,1428750.0381469727,-1514960.1697921753,-591045.9756851196,9600016.593933105,19870306.01501465,17316246.032714844,5684053.897857666,1355466.604232788,1290718.43624115,1174437.403678894,-608418.2262420654,11557436.9430542,8400901.794433594,8376437.187194824,-665461.1825942993,1175750.494003296,-629469.1562652588,3759462.594985962,3811270.7138061523
0.005,-35791515.3503418,-47784046.1730957,-8330672.264099121,-7858502.8648376465,19868896.484375,-3292625.904083252,20044057.846069336,20457221.98486328,18362209.32006836,8029745.101928711,-5839046.478271484,-10462195.39642334,-10203824.043273926,4737580.299377441,6822177.410125732,18238105.77392578,18344850.540161133,18423543.93005371,5138917.922973633,-14277761.459350586,-3696465.253829956,-1647969.4843292236,22980934.143066406,-20571187.97302246,6599057.674407959,18330406.188964844,18273242.950439453,12117322.92175293,-12129300.117492676,-16880039.21508789,-2174630.880355835,4692070.960998535,7922009.468078613,8967289.924621582,1746025.800704956,6564968.109130859,-1596344.5901870728,-6634521.961212158,-5270442.008972168,-27516254.425048828,-54306404.11376953,8770788.192749023,8909832.000732422,10096839.904785156,15019186.019897461,9399044.036865234,-11337416.648864746,-34324531.55517578,-30752992.630004883,-22477342.60559082,9271843.910217285,8641429.901123047,8995475.769042969,9747384.071350098,-22597223.28186035,-23423915.86303711,-23780954.360961914,9894072.532653809,9243311.882019043,9794712.06665039,-8148391.7236328125,-11785822.868347168
0.01,-59151576.99584961,-74410385.13183594,-16418954.849243164,-17594749.450683594,21977876.663208008,-10012430.191040039,27046583.17565918,27593515.396118164,24771001.8157959,10157186.508178711,-9217297.554016113,-16490571.975708008,-18735010.147094727,2363075.2563476562,9015349.388122559,24653852.462768555,24720935.821533203,24821426.391601562,6004158.020019531,-20612876.892089844,-7314119.815826416,-4999212.265014648,32959098.81591797,-29475852.966308594,11976317.405700684,24640811.920166016,24579813.00354004,14393196.105957031,-17880430.221557617,-23083066.940307617,-3882912.8742218018,3974896.9078063965,10557782.173156738,11961843.490600586,2222785.472869873,9792687.41607666,-1127565.3839111328,-8923685.073852539,-8311518.669128418,-36175621.032714844,-73886817.9321289,11660151.481628418,11934089.660644531,13529335.975646973,21059001.922607422,13440834.999084473,-14157204.627990723,-44301578.521728516,-37257347.106933594,-29734886.169433594,12446933.74633789,11444561.004638672,12016776.084899902,13901394.844055176,-25655420.303344727,-30171104.431152344,-30646009.44519043,13928257.942199707,12378755.569458008,13849131.58416748,-9089198.112487793,-11880144.119262695
0.015,-86050765.99121094,-92744522.09472656,-41432781.21948242,-39203533.17260742,2790428.876876831,-29948389.053344727,20592025.756835938,21095788.955688477,18745233.5357666,7395927.429199219,-7618805.408477783,-5690387.24899292,-34843711.853027344,-15903764.724731445,13303244.590759277,18694299.697875977,18678035.736083984,18717248.916625977,-358969.62881088257,-5413270.473480225,-9602496.147155762,-16503330.23071289,45434310.91308594,-22756092.071533203,31482360.83984375,18567577.362060547,18508594.512939453,-1271581.6497802734,-9649855.613708496,-6717000.961303711,3827177.5245666504,-2711005.210876465,9089181.900024414,10452334.4039917,9727000.23651123,9721421.241760254,6696798.324584961,-1581789.0167236328,-1519816.6370391846,-1715879.9171447754,-36646205.90209961,9912190.437316895,10288039.207458496,11670556.06842041,14081351.280212402,11273959.159851074,6506225.5859375,-309767.7528858185,6814652.919769287,-12895332.336425781,10708488.464355469,9582044.60144043,9991221.42791748,11582695.007324219,6870889.186859131,-6729589.939117432,-7145411.968231201,11277379.989624023,10364469.528198242,11347169.876098633,3109174.0131378174,7539920.806884766
0.02,-107877716.06445312,-107488700.86669922,-75329353.33251953,-55564838.40942383,-17620565.41442871,-46712108.61206055,13660775.184631348,14170107.8414917,12222142.219543457,6258222.579956055,-3423475.742340088,11939015.38848877,-52887588.50097656,-38799793.2434082,22772958.755493164,12184768.676757812,12227454.18548584,12185482.9788208,-7747414.112091064,16650028.228759766,-10208740.234375,-29763660.430908203,60312374.114990234,-12724626.541137695,55631950.37841797,12126412.391662598,12036777.49633789,-20611583.709716797,3326369.047164917,15976547.241210938,15122458.457946777,-9621502.876281738,6951256.275177002,8383568.76373291,18802755.35583496,8357035.6369018555,15469736.099243164,7758117.198944092,8728512.76397705,42864231.10961914,8072277.069091797,7504874.706268311,7940672.397613525,9092362.403869629,3224294.424057007,7666597.843170166,33150959.014892578,55184436.7980957,61528709.411621094,8617418.28918457,8172883.987426758,7117011.070251465,7148707.866668701,7783220.291137695,44372501.373291016,23586000.442504883,23234289.169311523,7343921.661376953,7540142.059326172,7500786.304473877,17620376.586914062,30449781.41784668
0.025,-102832695.00732422,-107945587.15820312,-86458908.08105469,-48566684.72290039,-19878459.930419922,-41136901.85546875,15166206.359863281,15811856.269836426,13499528.884887695,8478573.7991333,-2005933.0463409424,16691579.818725586,-56411739.349365234,-45509811.40136719,30414697.647094727,13495918.273925781,13705277.442932129,13553071.022033691,-9856181.144714355,19811958.31298828,-10042496.681213379,-31609243.392944336,64524772.64404297,-10388944.625854492,64261940.002441406,13551910.400390625,13376122.47467041,-24237892.150878906,6830801.486968994,19933238.983154297,17080926.8951416,-10916763.305664062,7634460.44921875,9282625.198364258,20848768.23425293,8480694.770812988,15649041.175842285,8733847.618103027,10412420.272827148,47636928.55834961,6337836.742401123,8258491.516113281,8692346.572875977,9890561.1038208,1845165.2526855469,7228402.137756348,37731681.82373047,61777565.002441406,70195098.87695312,10668923.377990723,8810626.029968262,7949427.604675293,7784269.332885742,7323984.146118164,48647815.7043457,28534952.16369629,28206401.824951172,7124159.812927246,8202571.868896484,7180148.601531982,19649600.982666016,32810192.108154297
0.03,-67112518.31054688,-84282119.75097656,-61136310.57739258,-23063304.901123047,-5749799.2515563965,-16186019.897460938,20951288.2232666,21741994.857788086,18847196.578979492,9648394.584655762,-5992384.910583496,2002878.189086914,-37291587.829589844,-29228769.302368164,27139400.482177734,18957729.33959961,19254598.61755371,18932956.69555664,-7105921.745300293,-3297714.7102355957,-10020302.772521973,-17184530.25817871,51273338.317871094,-15021611.213684082,49234706.87866211,18957153.3203125,18708679.19921875,-9351331.71081543,-2375526.6666412354,-89710.5410695076,5976899.147033691,-6097152.7099609375,11682263.374328613,13309165.954589844,14120161.056518555,10885425.567626953,6063611.5074157715,-8186.665363609791,283965.17038345337,3489560.842514038,-41184909.82055664,12577206.6116333,12905070.304870605,14242440.223693848,13024344.444274902,10878189.086914062,14259887.6953125,10231499.671936035,23665485.382080078,-8837251.663208008,13050642.967224121,12413025.856018066,12434205.055236816,11108380.317687988,17443252.563476562,2873695.3735351562,2599522.113800049,11243653.297424316,12794672.012329102,11110903.7399292,7737967.014312744,11665904.04510498
0.035,-32025955.200195312,-51593437.19482422,-33717510.22338867,-5333951.950073242,5802845.9548950195,2313519.00100708,22224428.176879883,23058355.3314209,20140239.715576172,7033356.666564941,-11866243.362426758,-15216785.430908203,-11806905.746459961,-9139030.456542969,16431310.653686523,20286991.119384766,20538948.05908203,20056045.532226562,-5267585.754394531,-29560291.290283203,-9875979.42352295,433717.0422077179,35857582.092285156,-18296661.376953125,27841999.053955078,20190176.010131836,19964189.529418945,6098550.796508789,-12037881.851196289,-21416997.9095459,-5212682.723999023,-272458.9407444,16981431.96105957,18276170.73059082,7266205.787658691,13720738.410949707,-3067763.328552246,-8831018.447875977,-10344992.637634277,-41894290.924072266,-82525840.75927734,18062152.862548828,18201622.009277344,19586444.854736328,25638719.55871582,16092237.47253418,-10618040.084838867,-41683036.80419922,-24679162.979125977,-27605342.864990234,18462932.586669922,17934923.17199707,18271751.403808594,16438095.092773438,-11155909.538269043,-23916385.650634766,-24101835.250854492,16648687.362670898,18482263.565063477,16442850.112915039,-3224350.929260254,-7986128.807067871
0.04,-31644588.470458984,-38961380.00488281,-47371646.881103516,-14270663.261413574,555784.2254638672,-4705034.255981445,17674287.796020508,18499885.55908203,16049692.153930664,3827705.144882202,-14347597.122192383,-14750711.441040039,-7587037.086486816,-10318134.307861328,12171289.443969727,16030096.054077148,16233608.24584961,15701319.694519043,-8063570.976257324,-31472864.151000977,-9250743.865966797,2157942.056655884,37982219.69604492,-15425704.956054688,25259922.02758789,16081466.674804688,15918218.612670898,4220344.066619873,-9223860.740661621,-20350719.451904297,-2599399.0898132324,299644.5298194885,20642911.911010742,21714143.753051758,10068017.959594727,14671893.119812012,-1677123.3081817627,-8695741.653442383,-9095745.086669922,-39154067.99316406,-76587158.203125,21698585.510253906,21727256.774902344,23130653.381347656,27068887.71057129,18662317.276000977,-8290792.465209961,-35963752.74658203,-20335140.228271484,-25593837.73803711,22077188.49182129,21451126.098632812,21820814.13269043,18995012.283325195,-3563479.9003601074,-21914926.528930664,-22057434.08203125,19024908.0657959,21918889.99938965,18913299.560546875,-133316.94900989532,-3180118.7992095947
0.045,-60895648.95629883,-52126689.91088867,-93339111.328125,-42527568.81713867,-17088468.551635742,-28669176.10168457,12736536.026000977,13626835.823059082,11513652.801513672,3636288.1660461426,-13089794.158935547,2495943.546295166,-31958106.994628906,-33824691.77246094,19773035.049438477,11315135.00213623,11580936.431884766,11095845.222473145,-13689604.759216309,-9622071.266174316,-8871427.536010742,-14819198.608398438,55380420.68481445,-10151042.938232422,45627574.9206543,11667827.606201172,11499812.126159668,-12891504.287719727,4100217.342376709,291929.692029953,10809888.83972168,-5934899.806976318,20384609.22241211,21619764.32800293,21947069.16809082,13362984.657287598,8505722.999572754,-1515522.5992202759,2250119.209289551,5493813.514709473,-36447536.46850586,21234683.990478516,21384988.78479004,22859931.94580078,17013113.021850586,15347268.104553223,18075361.251831055,19118621.826171875,30456165.313720703,-7252912.521362305,21715831.756591797,20865159.98840332,20926578.521728516,15583065.9866333,31202775.955200195,4890969.753265381,4715709.209442139,15461542.129516602,21042284.01184082,15464922.904968262,11964815.139770508,18731538.772583008
