time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1822669.267654419,-938893.3777809143,-2067596.673965454,-1552040.8153533936,-420811.0570907593,-945934.5936775208,-861366.1527633667,-875479.0425300598,-1330907.1063995361,-838509.5000267029,-813705.9807777405,-757154.5243263245,-750824.9282836914,-91896.62337303162,-907894.0749168396,-839661.1213684082,-669826.6863822937,-14835.216104984283,-177414.13414478302,-143199.30970668793,-112208.0534696579,-287656.90326690674,-98902.8587937355,-819813.072681427,-504236.99617385864,350047.0221042633,-64655.75098991394,-558513.0453109741,-226811.34939193726,-192002.2815465927,708273.5896110535,-289226.2935638428,577756.7028999329,495575.33860206604,-388053.5662174225,-166287.82451152802,-4184.49379503727,168793.09713840485,1287323.9517211914,583121.5977668762,-594836.8906974792,-23812.398314476013,131007.43293762207,-1052467.1077728271,-251867.02609062195,410284.8470211029,-823425.8890151978,-14486.45256459713,-263143.98646354675,2331.3993588089943,-502809.8225593567,-487770.2593803406,-178668.96092891693,-798394.9184417725,-595969.9153900146,-612519.0258026123,-268758.71419906616,-107201.82955265045,-121602.66190767288,-28679.784387350082,-1241119.8616027832,-696067.0351982117
0.005,-444626.3909339905,5564277.648925781,-17393053.05480957,-9310301.780700684,-1288773.4174728394,-4634392.738342285,-3466884.8514556885,-3739100.456237793,-7851769.924163818,-3945206.642150879,-4000394.344329834,-3031733.274459839,-3089620.590209961,-3013563.871383667,-3744397.4018096924,-8925627.708435059,-5900834.083557129,-6377654.075622559,-3465742.1112060547,-3511210.4415893555,-2986676.6929626465,4894722.938537598,-3403180.5992126465,-1884549.2601394653,-2872233.1523895264,1772006.5116882324,-517994.7018623352,-5193042.278289795,-1330852.2701263428,-871965.0506973267,3192713.2606506348,-7556907.176971436,32866207.122802734,12533547.401428223,8075440.406799316,4295547.008514404,-620678.7824630737,-1092339.1580581665,175536.1557006836,-2623528.7189483643,-9758477.210998535,18601263.04626465,15746655.464172363,11416486.740112305,8621321.678161621,3429286.7183685303,-797955.0957679749,-779265.2249336243,-1705057.7402114868,-2489333.391189575,7766729.831695557,8226476.669311523,9871816.635131836,2370900.869369507,-140923.76828193665,-391697.13854789734,-2760596.990585327,5579582.214355469,5257348.537445068,-4509829.521179199,-5693277.359008789,-1190256.4764022827
0.01,1984310.507774353,13059278.48815918,-18539333.34350586,-9685755.729675293,3261457.2048187256,-8604895.59173584,-6668581.485748291,-7056670.665740967,-8520317.077636719,-1966635.823249817,-2063805.5801391602,-597022.3546028137,-567536.3540649414,-1662791.0137176514,-7473481.65512085,-13938842.7734375,-7479439.258575439,-7528298.854827881,-2537992.238998413,-2480121.612548828,-1684462.9049301147,9982785.22491455,-2364686.2506866455,-4941718.578338623,-6113905.429840088,1520077.2285461426,-1271528.1248092651,-6879855.632781982,-83249.88186359406,382399.5888233185,6786774.158477783,-8158096.3134765625,42290699.00512695,15087103.843688965,9666731.834411621,5200556.755065918,-961169.8389053345,-737089.2763137817,1980281.7106246948,-2083226.9191741943,-12740016.93725586,22667249.67956543,19365846.633911133,14199342.727661133,11413654.327392578,4527302.7420043945,204970.77703475952,305746.3765144348,-993683.7553977966,-3171128.273010254,7783095.836639404,8462373.733520508,11665750.503540039,2005206.3465118408,81013.62735033035,-264918.8041687012,-3531026.3633728027,5439713.001251221,4922161.57913208,-7910525.321960449,-8650429.725646973,-3403630.256652832
0.015,2515055.8948516846,17471315.383911133,-10692154.884338379,-6133834.8388671875,9334028.244018555,-12517516.136169434,-10291181.564331055,-10679938.316345215,-5796529.293060303,2201983.92868042,2169418.3349609375,3647366.762161255,3883277.654647827,1877606.0342788696,-11610548.01940918,-16018573.760986328,-6525533.199310303,-5054754.734039307,677065.0744438171,898372.3521232605,1748313.1885528564,12910422.325134277,1049700.6177902222,-9375844.955444336,-9529657.363891602,-227753.1921863556,-2126731.1573028564,-5861917.972564697,1876968.1453704834,2104902.0290374756,9746465.682983398,-4286887.168884277,32176700.592041016,9644043.922424316,5473823.070526123,2962057.113647461,-958810.1506233215,282091.2003517151,4950791.358947754,673605.8592796326,-10799799.919128418,15119812.965393066,12935095.78704834,8759765.625,8913275.718688965,4105782.5088500977,1608053.6842346191,2176389.455795288,640866.8756484985,-2740278.482437134,2137629.508972168,2885134.696960449,6905401.229858398,-140080.7946920395,224923.17855358124,-125149.81627464294,-3338962.3165130615,1905582.4279785156,1298326.7307281494,-8455559.730529785,-9201304.43572998,-5710619.926452637
0.02,-1091949.8205184937,15301991.46270752,-8197373.390197754,-6965605.735778809,9634128.57055664,-15284313.201904297,-13135510.444641113,-13552789.688110352,-6337765.216827393,2087987.4229431152,2208175.8975982666,3450187.4446868896,3843447.208404541,2824466.2284851074,-14467599.868774414,-17251575.469970703,-6725027.084350586,-4365436.07711792,1090140.93875885,1317472.8155136108,2141934.633255005,11942186.35559082,2136857.032775879,-12555665.969848633,-11457085.609436035,-1807093.1434631348,-2623022.5563049316,-4794266.700744629,1333095.7889556885,1541796.6842651367,9809398.651123047,-2606441.2593841553,23500501.63269043,5179776.668548584,1985308.8855743408,928586.3041877747,-743907.7496528625,105902.82082557678,5532747.745513916,1780219.7933197021,-9211757.65991211,10028246.879577637,7836974.620819092,4238210.201263428,6812422.752380371,4223936.080932617,2440224.6475219727,2949684.3814849854,1053228.259086609,-2484333.9920043945,-386078.6259174347,430899.2922306061,3854702.949523926,426592.4096107483,1336236.7153167725,934271.8720436096,-3238790.75050354,1730468.6307907104,1087016.5824890137,-5271091.938018799,-7133930.683135986,-4914886.951446533
0.025,-4733263.969421387,10955107.688903809,-12322035.789489746,-12400130.271911621,4990502.834320068,-15866867.065429688,-13855988.502502441,-14381691.932678223,-11141928.672790527,-2695436.0008239746,-2495582.8189849854,-1453191.0419464111,-1068837.8810882568,1325595.9749221802,-14811544.418334961,-18347511.291503906,-9004174.23248291,-7106276.512145996,-2264046.6690063477,-2154133.081436157,-1364725.3513336182,8924282.07397461,958627.462387085,-12775601.387023926,-11245335.578918457,-2165414.0949249268,-2682697.7729797363,-5410494.327545166,-1378360.9867095947,-911777.3175239563,7985517.0249938965,-4052594.6617126465,26520660.400390625,6202604.7706604,2515271.6636657715,1178252.6969909668,-493744.3435192108,-824304.5210838318,3964334.011077881,1145767.8079605103,-9072888.374328613,13348364.83001709,9718574.523925781,5505553.722381592,8299408.912658691,5969223.499298096,3240510.4637145996,3366351.366043091,1239905.595779419,-1497188.0912780762,2929135.0841522217,3736382.484436035,6407810.211181641,4696794.9867248535,4651637.077331543,4145618.9155578613,-1916585.4454040527,6240196.704864502,5610627.174377441,-267581.045627594,-3053835.868835449,-696424.7822761536
0.03,-2765171.766281128,11734333.992004395,-12289422.035217285,-14998580.932617188,2861550.807952881,-14465785.026550293,-12457448.959350586,-13053330.421447754,-14870064.735412598,-6466563.2247924805,-6364562.034606934,-5326789.379119873,-5104093.551635742,1771789.789199829,-13215438.842773438,-18359685.89782715,-11051755.905151367,-10185417.175292969,-5486407.279968262,-5434198.85635376,-4675842.761993408,7784799.098968506,1665788.6505126953,-10927628.517150879,-9968427.658081055,-1950134.7541809082,-2788868.4272766113,-7139233.589172363,-2555944.6811676025,-1922893.2857513428,7579701.4236450195,-3771023.0350494385,32772476.196289062,9071281.433105469,4622250.556945801,2760835.886001587,-328335.2255821228,-276090.94977378845,3735123.3959198,2090330.6007385254,-7156224.250793457,18494693.756103516,13939272.8805542,9335278.511047363,11430163.383483887,8463851.928710938,5422239.303588867,5651891.231536865,3974077.4631500244,1875805.7355880737,7003991.603851318,7587819.576263428,11026317.596435547,9501546.859741211,9727992.057800293,9204451.560974121,2187741.756439209,10434250.831604004,9854780.197143555,3282818.078994751,1422930.7174682617,3793422.222137451
0.035,2996043.6820983887,17048540.115356445,-5369559.764862061,-11878170.96710205,5618155.479431152,-12638881.68334961,-10594828.605651855,-11106411.933898926,-14397832.870483398,-6249740.6005859375,-6293433.18939209,-5045414.924621582,-5055895.3285217285,5313957.691192627,-11522944.450378418,-17123413.0859375,-11318691.25366211,-11280936.241149902,-5774428.367614746,-5712393.283843994,-4937035.56060791,9697563.171386719,5235524.1775512695,-9201199.531555176,-9047398.567199707,-2195885.8966827393,-3457542.896270752,-8770982.74230957,-513652.14586257935,-5954.463966190815,9771876.335144043,-31563.1665289402,32902374.267578125,9570652.961730957,5311382.293701172,3821915.1496887207,-288295.1498031616,2186195.3735351562,6191320.896148682,5668153.762817383,-2708920.71723938,19244106.29272461,15047435.760498047,11337524.4140625,13440535.545349121,10448706.62689209,8896368.026733398,9596662.521362305,9065254.211425781,6779671.669006348,7979106.903076172,8269182.205200195,13547710.418701172,12299066.543579102,14064082.145690918,13678576.469421387,7502715.587615967,11019864.082336426,10456861.49597168,4251233.5777282715,4317855.8349609375,5879744.052886963
0.04,5127199.172973633,19373928.07006836,-1505786.5381240845,-8988831.520080566,7569627.285003662,-12109595.29876709,-10163679.122924805,-10512162.208557129,-13010157.585144043,-5266997.814178467,-5293299.674987793,-3745042.562484741,-3966266.632080078,7577527.046203613,-11247701.644897461,-16245447.158813477,-10845671.653747559,-11445114.135742188,-4588896.27456665,-4567052.364349365,-3727730.5126190186,11754958.152770996,7357601.165771484,-9016806.602478027,-9037382.125854492,-2757854.223251343,-4687753.200531006,-9997994.422912598,1889133.9302062988,2195589.542388916,12336968.421936035,2508378.028869629,29637250.900268555,8719786.643981934,4844387.054443359,3821184.6351623535,-327209.59186553955,4122244.358062744,8839824.676513672,8849281.311035156,301844.2094326019,17788152.69470215,13961816.787719727,11371276.85546875,14381149.291992188,11676642.417907715,11589154.243469238,12259323.120117188,12829862.594604492,10206848.14453125,7500168.323516846,7685810.089111328,13956427.574157715,13314596.176147461,15401789.665222168,15198769.569396973,10626891.136169434,10066581.726074219,9468111.038208008,4189543.2472229004,4632820.129394531,5846303.939819336
0.045,1677488.5654449463,16282531.73828125,-5941781.044006348,-11519330.024719238,4770702.838897705,-13579828.262329102,-11791700.36315918,-12091840.744018555,-14710579.872131348,-6836211.681365967,-6673214.912414551,-4966974.73526001,-5274710.178375244,4868001.461029053,-12773739.8147583,-17286809.92126465,-11016443.252563477,-11959474.563598633,-4310783.863067627,-4331683.158874512,-3493138.7901306152,10882864.952087402,4546260.356903076,-10570364.952087402,-10077606.201171875,-2881910.562515259,-5976147.651672363,-10815352.439880371,1156443.8343048096,1421818.733215332,12748041.152954102,-272202.16393470764,29267072.677612305,9052823.066711426,4416980.266571045,3207364.320755005,-352897.16720581055,3359426.498413086,9166604.995727539,8720015.525817871,-1504522.5620269775,17699480.056762695,13591241.836547852,10837994.575500488,15269193.649291992,12216320.991516113,11604800.2243042,11590506.553649902,12397163.391113281,10102430.34362793,7033901.691436768,7270821.571350098,13205673.217773438,12668468.475341797,13619617.462158203,13492763.51928711,9998346.328735352,9392080.307006836,8790674.209594727,3821624.279022217,2518901.1096954346,4457207.679748535
