time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2531359.6725463867,-2443093.2998657227,-2195248.84223938,-1687983.2744598389,-1302709.2218399048,-1231068.730354309,-1215100.1691818237,-1163814.7830963135,-938761.3534927368,-680677.8311729431,-615982.5325012207,-361918.44940185547,-371631.80112838745,64282.11182355881,-823827.32629776,-893645.703792572,-515174.38888549805,-596282.7205657959,-117199.77110624313,-320157.7365398407,-295111.89460754395,-175944.35811042786,86112.45453357697,-453949.0044116974,-507048.3684539795,-250100.55303573608,-57780.98478913307,-128024.3992805481,-246261.55197620392,98069.1984295845,28595.35440802574,70527.53865718842,-19276.414066553116,-350484.9374294281,-239945.9183216095,-128242.47777462006,29616.812244057655,438234.2994213104,362757.8616142273,828423.1424331665,872131.0496330261,439069.6585178375,390437.42418289185,400158.43510627747,520991.9810295105,607068.8366889954,670896.5301513672,863803.1482696533,863074.779510498,879826.4861106873,749390.4829025269,706513.7624740601,688807.3086738586,619168.2815551758,854066.6103363037,849569.2014694214,860360.324382782,885442.7933692932,836405.873298645,634570.1813697815,862362.0271682739,938958.7640762329
0.005,16168067.932128906,18782188.415527344,17044872.283935547,9954590.797424316,17519033.432006836,7993373.394012451,7572255.1345825195,8720487.594604492,10997687.339782715,13750089.645385742,14012703.895568848,14011613.845825195,13311462.40234375,20510776.51977539,8720653.533935547,6680198.192596436,7171288.49029541,6668999.671936035,8433911.323547363,7505025.863647461,6475016.5939331055,7182495.1171875,20457708.35876465,10259686.470031738,3288743.257522583,4991090.774536133,2936846.4946746826,2675356.149673462,488904.05893325806,4532659.530639648,5921074.867248535,19961095.809936523,5113963.1271362305,7760212.421417236,6569546.699523926,-851167.4404144287,919012.9041671753,1891426.8016815186,5896030.426025391,22845500.946044922,24571979.522705078,9589625.358581543,10532672.882080078,11167694.091796875,9181808.471679688,10882487.297058105,9488828.659057617,13033381.462097168,12632180.213928223,13048779.487609863,14903550.148010254,14150514.602661133,12870133.399963379,11747139.930725098,11763159.75189209,12320698.738098145,12257807.731628418,12260803.22265625,13953809.73815918,9129783.630371094,12678264.617919922,12246887.20703125
0.01,23512111.66381836,26858823.776245117,25057949.06616211,13984969.139099121,24850894.927978516,11311953.5446167,10812118.530273438,12431510.925292969,16098434.448242188,19211671.829223633,19701061.248779297,19641679.763793945,18614952.087402344,27786556.243896484,10468020.43914795,9129026.412963867,10591426.849365234,10924373.626708984,11374168.395996094,10956601.1428833,8959788.32244873,9519689.559936523,27883275.985717773,11559924.125671387,3758717.2985076904,6757433.4144592285,4426004.409790039,3292075.1571655273,543376.1477470398,6091815.948486328,7126782.8941345215,27082893.37158203,3647657.632827759,9861575.12664795,10527022.361755371,-1390857.8157424927,1266258.2397460938,2412996.530532837,6590507.984161377,29521825.790405273,31757595.06225586,9647977.828979492,12717015.266418457,13587617.874145508,11637078.285217285,14292280.197143555,12047877.311706543,15903069.496154785,15270863.53302002,16011064.529418945,17909481.048583984,16781057.357788086,15052810.668945312,15319726.943969727,14088189.125061035,14799013.137817383,14752708.435058594,12456363.677978516,16213401.794433594,10641401.290893555,15432232.856750488,14166799.545288086
0.015,19460294.723510742,22027290.34423828,21623018.264770508,10863288.879394531,21406259.536743164,8668200.492858887,8438181.87713623,9956282.615661621,14383434.295654297,16437240.600585938,17110715.866088867,16717678.07006836,15747312.545776367,22455591.201782227,5344003.200531006,6748187.54196167,9452146.530151367,11151880.264282227,9316329.956054688,10325128.555297852,7360634.326934814,7110009.19342041,22794368.743896484,4908339.023590088,1571485.4001998901,5347599.029541016,4394007.682800293,2256370.3060150146,-92686.69039011002,4661423.683166504,3432761.4307403564,21947340.01159668,-2440964.2219543457,7195290.088653564,11131310.46295166,-858772.5162506104,1134164.0949249268,2190101.146697998,2863767.8623199463,22087238.311767578,23912569.046020508,2832784.89112854,8368262.29095459,9171574.592590332,8395130.157470703,10859992.027282715,8686092.376708984,9842891.693115234,9143731.117248535,10045261.38305664,11341976.165771484,10164523.124694824,8726631.164550781,11532040.5960083,8161721.229553223,8649777.41241455,8773777.00805664,4026990.8905029297,8855860.710144043,5724189.758300781,9454230.308532715,7121025.085449219
0.02,12860696.792602539,14932802.200317383,15418114.66217041,6678418.159484863,16611318.588256836,4575311.183929443,4627011.775970459,5995202.06451416,10905344.009399414,12913262.367248535,13659384.727478027,12343141.555786133,11562028.884887695,15731530.18951416,430396.08001708984,4063502.788543701,6979286.670684814,8973820.686340332,7306002.140045166,9286642.074584961,5246875.762939453,4463631.629943848,16150114.059448242,-580966.8302536011,89268.2671546936,3698465.8241271973,3837675.094604492,1845489.263534546,-755547.4042892456,2838679.790496826,-973411.8580818176,15410592.079162598,-5828686.237335205,5464288.234710693,9923907.279968262,746091.0677909851,1009222.7458953857,2183200.1209259033,-583002.9845237732,14219901.084899902,15818281.173706055,-1667286.75365448,5066716.67098999,5856528.282165527,4935942.17300415,6418828.964233398,4888584.136962891,3203080.654144287,2522894.3824768066,3400492.9065704346,5599182.12890625,4440971.374511719,3355427.2651672363,6934914.588928223,1763858.1991195679,2051207.0655822754,2431359.7679138184,-1830167.7703857422,1940377.3546218872,624890.6254768372,2898374.557495117,-497804.07547950745
0.025,10482044.219970703,13349903.106689453,13430797.576904297,5182104.587554932,16271509.170532227,2481466.054916382,2549832.820892334,4004893.7797546387,9184068.67980957,12963297.843933105,13772511.48223877,11690365.7913208,11027694.702148438,15660398.483276367,-245404.07955646515,4038824.0814208984,6048995.494842529,7220233.917236328,8308090.2099609375,10122317.31414795,5103339.672088623,4971018.314361572,16001337.051391602,-1376.977190375328,743539.571762085,3377420.663833618,3369064.0926361084,3040917.158126831,-723632.5740814209,3168099.4033813477,-1818658.3518981934,15314809.799194336,-3671517.6105499268,6817559.242248535,8482992.172241211,1477149.7249603271,1146867.275238037,2898237.2283935547,-260808.19964408875,14905582.427978516,16833162.307739258,-128807.85763263702,6383285.999298096,7312782.764434814,4757654.190063477,5782205.581665039,4580372.333526611,2565086.3647460938,1990025.8779525757,2756552.219390869,6421433.925628662,5206788.063049316,4159070.4917907715,6628718.852996826,1133873.5818862915,1517892.9567337036,2036339.0445709229,-80353.0141711235,1793846.845626831,-176090.34478664398,2275749.444961548,-2055449.9626159668
0.03,12213180.541992188,16339841.842651367,15761133.193969727,5668020.248413086,18610105.514526367,2431202.173233032,2311043.9777374268,3905670.642852783,9183800.69732666,14909155.84564209,15933872.22290039,14130190.8493042,13485574.722290039,20714431.762695312,1228073.1201171875,5351256.370544434,6704934.597015381,7450839.996337891,10928167.343139648,12052195.54901123,6602016.925811768,8037438.39263916,20982942.581176758,3059727.430343628,1610141.5157318115,3381223.9170074463,2995197.534561157,4688913.345336914,188746.21391296387,5628832.3402404785,1266975.6412506104,20205518.72253418,-136702.85046100616,8271362.3046875,7451719.284057617,-164231.13644123077,1352221.131324768,3936478.614807129,2887448.310852051,21050064.086914062,23251947.4029541,3128418.445587158,9114318.84765625,10124127.388000488,6530717.372894287,8633775.71105957,6952796.459197998,7132083.892822266,6729482.650756836,7437159.538269043,10474736.213684082,9231672.286987305,8040506.362915039,9882907.86743164,5596318.244934082,6222636.699676514,6639903.0685424805,4851402.282714844,6145124.435424805,2842421.054840088,6851497.173309326,2078908.920288086
0.035,15066246.98638916,19577550.888061523,19057918.548583984,6803905.963897705,20478805.541992188,3182760.47706604,2930510.5209350586,4498833.656311035,10145945.54901123,16477582.931518555,17780960.083007812,16744806.289672852,16059223.175048828,25286041.259765625,1850818.7532424927,5469649.791717529,7307389.259338379,8760243.41583252,12856594.08569336,13617491.722106934,8484105.110168457,10917409.896850586,25501646.041870117,3771248.1021881104,821577.3105621338,2569600.820541382,2778344.6311950684,5447129.249572754,1517386.0788345337,7978543.758392334,4909149.646759033,24595952.9876709,624628.6034584045,7443278.789520264,6976772.308349609,-2633081.4361572266,1388489.7232055664,4669212.818145752,5495622.634887695,25479780.197143555,27481462.478637695,4196506.500244141,9650515.55633545,10559010.50567627,7519426.8226623535,11679264.068603516,9283256.530761719,12083967.208862305,11773569.107055664,12507441.520690918,12982453.346252441,11850732.803344727,10488674.16381836,12951906.204223633,10535447.120666504,11198918.342590332,11417840.957641602,8454597.473144531,10305722.2366333,7110375.40435791,11808347.702026367,7809630.870819092
0.04,17189304.35180664,21036405.563354492,20741247.177124023,8269564.628601074,21565404.891967773,3966082.0960998535,3763597.7268218994,5228215.69442749,11783901.21459961,17985332.489013672,19225545.88317871,17852428.436279297,17106369.018554688,26168354.034423828,1735794.5442199707,4361480.712890625,6960640.430450439,9193112.37335205,13682332.038879395,14379441.261291504,9982696.533203125,11511348.724365234,26287778.854370117,2616623.878479004,-571683.3472251892,1442694.5447921753,2835769.6533203125,5309865.474700928,2347243.070602417,8137575.149536133,5531085.968017578,25331010.818481445,-325419.6345806122,5890232.563018799,7022697.925567627,-3141987.085342407,1323727.9653549194,4705366.611480713,5362517.833709717,25571617.126464844,27285037.994384766,4393823.623657227,8557592.391967773,9326956.748962402,7160809.9937438965,12782804.489135742,10309397.69744873,14201544.761657715,13795896.530151367,14560379.981994629,13748549.461364746,12764409.065246582,11180912.017822266,13772763.2522583,12756318.092346191,13145404.815673828,13319149.9710083,11360374.450683594,12802824.020385742,10721879.959106445,13866475.105285645,12048264.503479004
0.045,17802759.170532227,20828912.73498535,19712074.279785156,8976476.669311523,22051713.943481445,4070211.887359619,3982995.03326416,5450689.315795898,12863223.0758667,19622478.485107422,20172929.763793945,16858943.939208984,16095958.709716797,23188404.083251953,1862372.3983764648,3782977.1041870117,6191788.673400879,8219028.472900391,13853444.09942627,14093727.111816406,10363301.277160645,9317973.136901855,23257905.960083008,2504900.9323120117,-571820.9743499756,850338.876247406,2856494.665145874,5009490.966796875,1787143.4688568115,5856071.949005127,2481278.896331787,22306318.283081055,-231399.81925487518,5641210.079193115,7032311.916351318,-1749296.6651916504,1341996.669769287,3719080.686569214,2620918.035507202,22609928.131103516,24397081.37512207,5519711.017608643,7772006.034851074,8509228.706359863,6444176.197052002,12119366.645812988,10138978.958129883,13126025.199890137,12561858.177185059,13319079.399108887,14255376.815795898,13259212.493896484,11482530.59387207,12908159.255981445,11851667.404174805,11903859.13848877,12229246.139526367,14330260.276794434,13819622.039794922,12234365.463256836,12711969.375610352,13402109.146118164
