time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,1606654.8824310303,1855065.8226013184,1849874.9732971191,1619565.725326538,1587380.051612854,1646557.5695037842,1448756.0987472534,954044.6996688843,949522.2568511963,1158119.6784973145,1428651.3328552246,1937998.652458191,1962496.280670166,2369786.500930786,1974470.7345962524,1796475.2912521362,1205715.537071228,1241059.1840744019,1210846.3048934937,1184064.0306472778,1442384.958267212,1963095.1881408691,1763381.1235427856,1989105.9398651123,2264272.928237915,1536711.9312286377,1695569.634437561,898813.3072853088,1015269.6371078491,2326474.666595459,2206567.7642822266,3041234.254837036,2358138.084411621,2203950.4051208496,2386411.190032959,1611040.3537750244,865560.77003479,593769.7887420654,1578731.2984466553,-5627411.842346191,1589956.521987915,2344615.4594421387,2361229.181289673,2404282.808303833,1859464.8838043213,1050545.9308624268,1209650.7549285889,1228632.5693130493,1324077.844619751,1564033.6275100708,2362974.166870117,2388668.2987213135,2341741.3234710693,1391083.002090454,1863199.1147994995,1899317.6221847534,1846601.0093688965,2353116.750717163,2325907.7072143555,1366225.004196167,1892762.0649337769,1913806.676864624
0.005,-11671123.504638672,-7944010.7345581055,-10745965.957641602,-11920361.518859863,-6836625.099182129,-13113674.16381836,-11498576.164245605,-9668647.766113281,-9612561.225891113,-5789454.936981201,-6867593.288421631,-6644620.895385742,-8857087.135314941,-9628753.662109375,-18445238.11340332,-11804390.907287598,-11643293.380737305,-12381014.823913574,-9279833.793640137,-9448681.831359863,-8858414.649963379,-9011281.01348877,-12260288.23852539,-18915485.382080078,-13454739.570617676,-14189249.992370605,-11581020.35522461,-12503767.013549805,-11378261.56616211,-3881154.0603637695,-7283163.070678711,-5589861.3929748535,-6176556.587219238,-11002348.899841309,-15335083.961486816,-14204519.271850586,-11899726.867675781,-7705095.7679748535,-8018873.21472168,109099060.05859375,575798.6903190613,-5639066.696166992,-6128331.184387207,-12740419.387817383,-13228399.276733398,-14683407.7835083,-12033700.942993164,-7067354.679107666,-4348802.089691162,-5224268.913269043,-6080086.708068848,-6214771.270751953,-5686467.64755249,-11235209.465026855,-5443110.466003418,-6391934.871673584,-5569329.738616943,-5830406.665802002,-5559774.875640869,-10675371.170043945,-5989239.21585083,-6484754.56237793
0.01,-17995756.149291992,-12142014.503479004,-15356628.41796875,-16452495.574951172,-9070228.576660156,-18816471.099853516,-16493087.768554688,-13565458.297729492,-13406047.821044922,-8049051.284790039,-8729835.510253906,-7579328.536987305,-11782631.874084473,-12496638.298034668,-25683214.18762207,-15861536.026000977,-15628068.923950195,-16490144.729614258,-11704416.275024414,-11756808.280944824,-11154324.531555176,-11676026.344299316,-16709087.371826172,-26467418.670654297,-17670589.447021484,-18519489.288330078,-14947246.551513672,-16320308.685302734,-14500035.285949707,-4684578.418731689,-9747173.309326172,-6266268.730163574,-10024872.779846191,-16362598.419189453,-20101659.774780273,-18222877.502441406,-15546841.621398926,-10222098.350524902,-10406397.819519043,143233612.06054688,-713294.9233055115,-9359991.073608398,-10017309.188842773,-16831960.678100586,-16085603.713989258,-18294933.319091797,-14829301.834106445,-8954427.719116211,-6991252.422332764,-8891390.800476074,-9937673.568725586,-10069766.0446167,-9419013.023376465,-14565495.491027832,-8967587.4710083,-10088138.580322266,-9055392.265319824,-9688004.493713379,-9191425.323486328,-13962482.452392578,-9638148.307800293,-10263875.961303711
0.015,-15850874.900817871,-9189921.379089355,-11026927.947998047,-11603366.85180664,-5100869.178771973,-14413835.525512695,-12936278.343200684,-10483897.20916748,-10276917.457580566,-5296108.245849609,-4021670.341491699,-1508302.6885986328,-7310862.064361572,-6017472.743988037,-19062992.095947266,-10055251.121520996,-10582463.264465332,-11003872.871398926,-6422895.908355713,-6285601.615905762,-5987183.094024658,-6135257.720947266,-10982976.913452148,-19849071.502685547,-10185167.31262207,-11620782.852172852,-8251952.171325684,-10951448.440551758,-8835655.212402344,145454.61535453796,-5473113.536834717,1349955.2011489868,-7554673.194885254,-12750670.433044434,-12028534.889221191,-10860614.776611328,-10454195.022583008,-7264504.432678223,-5909521.102905273,100864166.25976562,271008.4319114685,-7098364.83001709,-7613297.462463379,-9876546.859741211,-7950516.700744629,-10786918.640136719,-7899638.652801514,-4025612.8311157227,-5271845.34072876,-7562564.849853516,-7459023.952484131,-7514534.473419189,-7111045.360565186,-8434262.2756958,-6559583.66394043,-7170281.887054443,-6538700.103759766,-7440043.926239014,-6840708.255767822,-8211988.44909668,-6946781.635284424,-7391179.084777832
0.02,-10221481.323242188,-3336334.228515625,-4491741.180419922,-4567144.870758057,-378685.95123291016,-6645619.3923950195,-6775076.866149902,-5511358.737945557,-5422733.306884766,-1080946.2070465088,1874276.5188217163,4542747.020721436,-2432247.6387023926,1699013.590812683,-9094724.655151367,-2097237.1101379395,-3484538.0783081055,-3530606.508255005,-225535.3182554245,-295230.83567619324,-542551.6963005066,327285.0513458252,-2941677.8087615967,-9602239.608764648,-457980.1559448242,-2777183.5327148438,630137.8607749939,-4335845.947265625,-2236247.0626831055,5911873.340606689,-731641.8290138245,10025235.176086426,-1096032.0234298706,-5458181.381225586,-1543112.2779846191,-1817349.910736084,-4177214.6224975586,-3645553.3504486084,-722628.3550262451,49162776.947021484,5029985.9046936035,-791527.5692939758,-1134142.7564620972,-367190.3610229492,755463.0041122437,-2686760.902404785,-244694.0392255783,2636497.974395752,-405844.44999694824,-2357302.42729187,-847879.3501853943,-894336.7004394531,-713112.4138832092,-346242.39802360535,327269.37532424927,146754.33933734894,339354.66408729553,-1011745.2144622803,-449936.8369579315,-405091.91155433655,230030.1194190979,-82951.91079378128
0.025,-7049114.227294922,-381728.9173603058,-2595706.2244415283,-1386551.7377853394,746966.2427902222,-2670181.7512512207,-3556294.9180603027,-2874953.508377075,-2997398.853302002,1234594.3450927734,4258970.260620117,5863461.971282959,-1780105.2331924438,3447540.521621704,-5421112.060546875,1233600.9740829468,-73086.35115623474,-190624.05824661255,2013258.695602417,1239785.90965271,196356.83298110962,1818062.3054504395,-198063.58218193054,-5640711.784362793,3383654.3560028076,1004245.2812194824,5175734.519958496,-1955187.3207092285,-82633.42082500458,7931024.551391602,-298376.202583313,12393323.89831543,4620241.165161133,-409536.6895198822,3457087.278366089,2093901.6342163086,-1932130.8135986328,-2511434.555053711,772151.4701843262,32735034.942626953,9623787.879943848,4969249.725341797,4669620.513916016,5316277.503967285,4229891.300201416,-496751.90448760986,2271790.9812927246,6097811.222076416,4443323.612213135,2539143.3238983154,5026042.461395264,4995381.3552856445,5119277.000427246,3207204.580307007,6529313.087463379,6336335.182189941,6403050.899505615,4927738.666534424,5349751.949310303,3176740.884780884,6482875.823974609,6100237.3695373535
0.03,-6755936.145782471,-909673.0351448059,-4592770.576477051,-1504898.6673355103,-638140.3803825378,-3882179.021835327,-3891506.9103240967,-2780003.786087036,-3021270.751953125,1090741.753578186,3193820.9533691406,4152276.9927978516,-3495408.296585083,116679.73548173904,-8468159.675598145,-197255.4624080658,-497587.5914096832,-900031.328201294,897259.8314285278,-434952.88491249084,-2192720.1747894287,-708463.4304046631,-3134401.798248291,-8688439.36920166,1271781.6829681396,277338.4749889374,5142461.776733398,-2717269.8974609375,-1093903.89919281,5811018.943786621,-3170783.281326294,8094175.338745117,5735322.952270508,359952.7180194855,3534187.078475952,2000091.791152954,-2648363.3518218994,-2961872.100830078,-194792.2706604004,39980583.19091797,8773776.054382324,6120398.998260498,5804801.940917969,7115433.692932129,5071217.5369262695,-1586929.9173355103,1591515.064239502,5863335.609436035,6461397.171020508,3401118.516921997,6080733.776092529,6189351.558685303,6263503.551483154,1812043.6668395996,7189114.093780518,6858090.400695801,6977074.146270752,6185646.533966064,6466843.128204346,1876188.87424469,7045219.421386719,6554652.690887451
0.035,-5982539.176940918,-1114711.046218872,-5185264.587402344,-1358765.8405303955,-1120968.1034088135,-6832965.850830078,-5251593.589782715,-3520894.0505981445,-3721969.6044921875,-153053.6264181137,1653888.8216018677,3211179.01802063,-3877746.105194092,-2488488.19732666,-12583097.457885742,-2575906.276702881,-2094846.248626709,-2570840.59715271,-870656.1923027039,-1826643.943786621,-3512968.5401916504,-2513382.911682129,-6656114.101409912,-13117766.380310059,-2070568.0847167969,-1383248.5675811768,3609045.0286865234,-3437517.8813934326,-1774002.9096603394,2967042.922973633,-5571951.866149902,3131694.3168640137,2222589.2543792725,-1560936.0933303833,2511962.1753692627,1515649.914741516,-3256798.74420166,-3077863.6932373047,-302017.6589488983,43803848.26660156,3520941.4958953857,2491207.5996398926,2195002.794265747,7061635.971069336,6334386.825561523,-1454522.8481292725,1736954.5698165894,4617017.2691345215,5292738.914489746,679250.0615119934,2348500.7286071777,2584154.3674468994,2580174.684524536,-1397047.4004745483,2536168.8137054443,2275146.007537842,2397262.8116607666,2542377.233505249,2761664.628982544,-1357755.0649642944,2309268.2361602783,1840092.3013687134
0.04,-5044856.071472168,-671177.1488189697,-4241526.6036987305,-630339.0860557556,-640497.3268508911,-8723005.294799805,-6116145.133972168,-4276949.882507324,-4372025.489807129,-1355859.637260437,1256583.333015442,3470573.663711548,-3094012.975692749,-2323399.305343628,-14319186.210632324,-3941354.990005493,-3387864.351272583,-3655882.5969696045,-2088366.2700653076,-1821397.7813720703,-2517417.1924591064,-1618499.3982315063,-7423254.96673584,-15243666.648864746,-3778163.433074951,-2744622.230529785,2475046.8730926514,-3399070.978164673,-1296268.105506897,2355878.3531188965,-6104228.0197143555,2225614.070892334,-2600515.365600586,-4027716.1598205566,1315102.5772094727,1182552.8144836426,-3114155.2925109863,-2776449.44190979,929340.3625488281,40858890.533447266,62628.24684381485,-2467035.5319976807,-2731344.46144104,5456310.272216797,6380401.611328125,-495427.81710624695,2834815.02532959,4059246.54006958,2675482.988357544,-2267717.3614501953,-2576623.6782073975,-2444449.1863250732,-2376987.4572753906,-4289677.143096924,-2813283.920288086,-2933217.0486450195,-2833961.7252349854,-2451286.792755127,-2257741.4512634277,-4253702.163696289,-3094753.9806365967,-3435878.5152435303
0.045,-7786432.74307251,-3501493.6923980713,-6830849.647521973,-1943752.0503997803,-2056476.8314361572,-10363571.166992188,-7178952.693939209,-5137454.032897949,-5148287.296295166,-2297206.163406372,1011154.294013977,2480299.234390259,-4070999.6223449707,-3016419.4107055664,-15646932.601928711,-5812213.42086792,-4646201.610565186,-4714841.365814209,-2979547.2621917725,-1701516.6282653809,-1452169.418334961,-609500.9446144104,-7393859.86328125,-16858329.77294922,-4997394.08493042,-4796104.431152344,1421265.0060653687,-3771896.8391418457,-1195532.7987670898,3188625.3356933594,-6510569.5724487305,3203349.828720093,-6304892.539978027,-6661867.618560791,-1798836.7080688477,-668594.0623283386,-3455238.5807037354,-3111077.7854919434,853629.8871040344,43523223.876953125,695405.3044319153,-6160777.0919799805,-6438058.376312256,1653954.3867111206,2740528.8219451904,-1814347.6247787476,2162086.248397827,3145879.030227661,-17733.639106154442,-4045003.890991211,-6176644.325256348,-6290997.9820251465,-5975902.080535889,-7008246.421813965,-5868475.914001465,-6056526.184082031,-5868911.266326904,-6075002.193450928,-5975701.808929443,-6812565.326690674,-6217027.66418457,-6439041.614532471
