time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-3798332.2143554688,-1575055.5992126465,-618901.0739326477,-2407985.6872558594,-694484.531879425,-4892540.93170166,-2559385.7765197754,-2509431.6005706787,-2317835.807800293,-892460.7038497925,-627587.4972343445,-696414.2322540283,521476.3283729553,1528179.407119751,-3704993.486404419,-2930967.092514038,-2131962.299346924,-2297184.705734253,-727442.9202079773,-959521.472454071,-456799.56674575806,-147117.45083332062,581441.8196678162,-3511320.8293914795,-2566429.853439331,-1767034.0538024902,-711742.4607276917,-1109681.6062927246,-581055.6411743164,-702850.1629829407,-650415.4205322266,-840167.1051979065,-2294199.4667053223,-1864347.8155136108,-1840312.0040893555,-518462.77713775635,-948891.5801048279,-959370.493888855,-675343.1558609009,-945425.9276390076,-681149.8403549194,-2303103.9237976074,-2266494.2741394043,-1835227.8470993042,-1113781.8098068237,-508288.32387924194,-853795.051574707,-883437.8123283386,-1147255.0630569458,-1974255.084991455,-1552613.0199432373,-1566182.8517913818,-1550681.233406067,-1403790.7123565674,-1009683.2513809204,-1151226.6397476196,-1644721.6272354126,-1585222.7210998535,-1565100.7890701294,-1216487.5268936157,-1340141.4155960083,-1526164.6509170532
0.005,15052788.734436035,8546884.536743164,-15244470.596313477,15607663.15460205,4013875.0076293945,21757530.212402344,16947933.197021484,17883413.314819336,14491577.1484375,15210311.889648438,6752665.996551514,4827311.992645264,-6102710.247039795,-14371745.109558105,17071437.83569336,14671842.575073242,12728551.864624023,14379596.710205078,11534119.606018066,7551540.374755859,831550.0617027283,-5207887.172698975,-13278394.69909668,10624515.533447266,10869806.289672852,5473381.996154785,1199245.572090149,2797687.530517578,596082.9854011536,-840027.391910553,-4266724.109649658,-8869441.986083984,-1190384.9840164185,1420055.1509857178,1124355.673789978,-2808993.5779571533,-1441033.2441329956,-7613273.620605469,-885403.8715362549,-3844930.88722229,-8394137.382507324,-1159508.1090927124,-1097022.4142074585,1230882.6446533203,-4071264.7438049316,2730204.3437957764,2503994.4648742676,-1971924.7817993164,-3956815.481185913,-5685019.493103027,-5984202.3849487305,-6766822.338104248,-7345575.80947876,-2242635.0116729736,-3866469.383239746,-5112970.352172852,-7147823.810577393,-6747789.38293457,-6552411.5562438965,-7996100.902557373,-3684832.3345184326,-4233793.258666992
0.01,8156138.4201049805,6475973.606109619,-19711606.979370117,14906900.405883789,6744384.288787842,16427797.317504883,16561239.242553711,17933357.23876953,14087244.033813477,21175786.9720459,10848110.19897461,9158364.295959473,241788.14888000488,-7812066.555023193,14950241.088867188,13050855.63659668,11834774.9710083,14059447.288513184,14782166.481018066,9741141.319274902,3873229.0267944336,-81065.75161218643,-6666293.144226074,7937090.3968811035,9907554.626464844,4648741.245269775,1552154.779434204,4047733.783721924,1942859.172821045,1901721.2390899658,681783.7357521057,-3898962.4977111816,-4611527.442932129,-1359968.3046340942,-1654476.8810272217,-3612011.9094848633,-2000088.6917114258,-7747293.472290039,1779438.1380081177,-579676.8665313721,-4301600.456237793,-4586875.438690186,-4566267.967224121,-1617832.1838378906,-8115852.355957031,3213975.429534912,2508220.1957702637,-707765.519618988,-2737108.7074279785,-4439680.099487305,-9928333.282470703,-10924843.788146973,-11807507.514953613,-5353026.866912842,-5002003.192901611,-5640717.029571533,-7958776.473999023,-10966911.315917969,-10664423.942565918,-11067495.346069336,-4857519.626617432,-4921432.018280029
0.015,-11062983.512878418,-603312.611579895,-13091886.520385742,3012411.117553711,8522815.704345703,-7224982.261657715,3761335.3729248047,5072151.184082031,2960448.2650756836,18379281.997680664,11744870.18585205,11869447.708129883,14122566.223144531,12521672.248840332,-1476675.7488250732,-409151.73292160034,1280563.5929107666,3127726.3164520264,10613314.628601074,6917453.289031982,7297459.125518799,10679436.683654785,12253709.79309082,-5170787.811279297,-481841.8622016907,-1657867.5508499146,511725.18730163574,2985590.696334839,3109596.014022827,5857821.941375732,9924431.800842285,8197550.7736206055,-10470707.893371582,-7609598.636627197,-7640514.850616455,-3136699.1996765137,-2202969.0742492676,-3339187.8604888916,5957066.535949707,6070581.436157227,6728907.585144043,-10437593.460083008,-10516361.236572266,-7766837.596893311,-11397407.531738281,2663482.427597046,1430201.530456543,2624714.136123657,1392253.2796859741,114355.52686452866,-12006589.889526367,-12778942.108154297,-13579437.255859375,-7329536.914825439,-2735841.989517212,-2735329.6279907227,-4579061.508178711,-12848749.160766602,-12520557.403564453,-9138623.237609863,-3467192.4114227295,-2791427.3738861084
0.02,-13108479.499816895,306091.90464019775,-5486171.722412109,-8888.943120837212,9729300.498962402,-12927949.905395508,-204016.68548583984,893824.1004943848,-568517.6253318787,14915884.017944336,10874650.955200195,12047045.707702637,18741268.157958984,19590463.638305664,-7028331.756591797,-4660791.397094727,-1969499.945640564,-330984.56263542175,6830828.1898498535,4580374.717712402,7568400.859832764,13813714.981079102,18652116.775512695,-9958688.735961914,-4644126.415252686,-4798046.112060547,-438252.7768611908,1750903.7256240845,3282986.640930176,6683203.220367432,12223574.6383667,11159547.805786133,-12721343.040466309,-9792198.181152344,-9612880.70678711,-2493515.729904175,-1752410.888671875,-1261567.7118301392,7900305.74798584,8472901.344299316,10763310.432434082,-12643649.101257324,-12755792.617797852,-9785681.72454834,-10621048.927307129,5162818.431854248,3836560.2493286133,5926101.207733154,4521999.359130859,3090559.959411621,-10612363.815307617,-11258926.391601562,-11735076.904296875,-2764847.0401763916,3610965.2519226074,1688216.6862487793,-502090.9905433655,-11132570.266723633,-10834139.823913574,-3350399.4941711426,1491717.9346084595,1448792.9344177246
0.025,319189.54849243164,4941004.753112793,-8326438.903808594,7462869.644165039,7420570.373535156,3319861.1736297607,7441249.847412109,8515248.29864502,5773928.165435791,13532081.604003906,8201053.619384766,8596326.82800293,8802777.290344238,5781389.236450195,2688189.98336792,3431828.260421753,4094733.238220215,5936472.8927612305,6160364.151000977,4207405.090332031,3516118.7648773193,5655632.495880127,5846254.348754883,-2917073.7266540527,912488.9373779297,-2558465.2423858643,-412126.9881725311,1029463.4103775024,2114974.021911621,3280483.0074310303,5367368.221282959,1573410.6302261353,-9621027.946472168,-5989856.719970703,-5817925.453186035,-2027617.9313659668,-1236070.6329345703,-3490305.4237365723,6674384.593963623,5063671.112060547,4755371.09375,-9598773.956298828,-9563592.910766602,-5869837.760925293,-5520913.124084473,11120203.018188477,9152051.92565918,7852178.09677124,5581747.531890869,3638698.5778808594,-6204831.123352051,-7021815.776824951,-7200875.759124756,7169500.350952148,11894452.095031738,6509142.875671387,2762201.5476226807,-6562517.6429748535,-6328127.384185791,3628561.7351531982,8820517.539978027,5923430.919647217
0.03,2192550.6591796875,294642.1802043915,-20168596.267700195,9411597.25189209,1495893.2399749756,11535252.571105957,10418357.849121094,11632569.313049316,8001159.66796875,11258804.321289062,4540053.844451904,3845515.727996826,-2196467.161178589,-8066055.2978515625,8621886.253356934,7616285.32409668,6287783.622741699,8064362.525939941,5497369.289398193,3315706.253051758,-971641.3021087646,-2888943.4337615967,-6871345.996856689,2053458.6906433105,5061418.533325195,-745408.5350036621,126509.6515417099,-89547.38080501556,680805.8619499207,-288401.60369873047,-916323.3637809753,-6933316.707611084,-5600172.519683838,-1807984.709739685,-1760648.488998413,-1484504.1036605835,-1559083.104133606,-5496970.176696777,5206847.667694092,2008451.9386291504,-629074.6927261353,-5809300.899505615,-5541957.855224609,-1671347.3796844482,-198316.17176532745,15800943.374633789,11651715.278625488,8356719.017028809,6356532.096862793,4536658.763885498,-2167477.607727051,-3141636.1331939697,-3267193.078994751,13891940.116882324,16927240.3717041,10279590.606689453,5347957.611083984,-2544677.0191192627,-2384710.5503082275,8001262.664794922,14202287.673950195,8244713.78326416
0.035,-10387818.336486816,-7502066.612243652,-24248582.83996582,1909048.318862915,406746.92392349243,-746293.6043739319,3199517.4884796143,4430739.402770996,1820794.2247390747,9004361.152648926,4503538.131713867,4178079.605102539,396557.2416782379,-2866163.730621338,1697645.4257965088,1018624.6633529663,375705.361366272,1762592.1964645386,4482289.3142700195,2238857.0308685303,-421029.32929992676,-1046059.7276687622,-2684129.7149658203,-2034463.4056091309,1714275.1216888428,-2564380.645751953,642017.2452926636,-1321956.6345214844,812491.5361404419,178538.68007659912,1103799.9391555786,-3810745.7160949707,-4604036.808013916,-1748964.0712738037,-1834323.2870101929,-1318427.9203414917,-2841180.3245544434,-4088633.0604553223,5747855.663299561,3460157.871246338,1842260.5991363525,-5010009.765625,-4695556.163787842,-1694986.8202209473,805576.741695404,14629671.096801758,7987076.759338379,7081560.6117248535,6505190.849304199,5590023.994445801,-2245079.278945923,-3103225.4695892334,-3445803.8806915283,10452548.027038574,13883065.223693848,9397658.348083496,5274542.331695557,-2749125.4806518555,-2619496.5839385986,6051141.262054443,12690747.261047363,6457490.921020508
0.04,-4494541.168212891,5767274.856567383,-4863411.426544189,2783714.2944335938,13429530.143737793,-6101671.6957092285,2368926.763534546,3362764.1201019287,2063518.762588501,13150680.541992188,12536080.360412598,13324367.52319336,14303209.30480957,13888383.865356445,-1621937.870979309,-1365073.0848312378,39596.25959396362,1807079.553604126,7487747.1923828125,5025619.983673096,5865731.716156006,8240876.197814941,10256930.351257324,-3774612.1883392334,-170489.98177051544,-3019589.1857147217,1732990.9801483154,-549207.3893547058,2975575.9239196777,3635242.700576782,6793541.431427002,3745848.8941192627,-5221180.9158325195,-3455158.233642578,-3717532.157897949,-2390722.5131988525,-4482403.755187988,-2183154.344558716,6485529.42276001,5165490.15045166,5301488.399505615,-5525749.683380127,-5459738.254547119,-3564182.2814941406,-3052541.0175323486,8364341.735839844,1220425.2481460571,3039532.6614379883,2558879.852294922,2294659.13772583,-7014834.403991699,-7651291.847229004,-8298262.596130371,-1011570.5728530884,3040927.8869628906,1174287.4383926392,-722632.3485374451,-7726102.352142334,-7546105.861663818,-2905130.624771118,3309035.7780456543,175707.68296718597
0.045,39326740.26489258,47236560.8215332,33037162.78076172,24337347.03063965,36758464.81323242,20291477.20336914,20789045.333862305,21487596.51184082,19674179.077148438,25220113.75427246,25774040.22216797,25906255.7220459,24925149.91760254,21371320.724487305,14038132.667541504,13725742.34008789,15582383.155822754,19246496.200561523,15414242.7444458,12159292.221069336,12430285.453796387,13509748.458862305,12721579.551696777,7546445.369720459,8414056.777954102,2808226.1085510254,4179757.1182250977,2835644.006729126,5272782.325744629,5204131.126403809,6552587.509155273,1970267.653465271,-4671707.630157471,-2882772.68409729,-3368178.8444519043,-4338607.7880859375,-6184134.960174561,-4001406.669616699,4243622.303009033,873229.3844223022,-247827.88753509521,-4663237.09487915,-4905482.769012451,-3162483.4537506104,-8809138.298034668,1628110.647201538,-4025033.950805664,-3454796.314239502,-6607779.026031494,-7683775.901794434,-13818984.985351562,-14421566.009521484,-15214937.210083008,-12605870.246887207,-9656350.135803223,-11415793.418884277,-11992403.984069824,-14769515.991210938,-14515136.71875,-14889282.2265625,-9358334.5413208,-8822091.102600098
