time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-3392407.6557159424,-2124868.154525757,-192151.08454227448,-3582295.8946228027,80234.27426815033,-5796133.518218994,-3277228.593826294,-3269462.1086120605,-1204682.8269958496,-870795.8459854126,-191582.45623111725,375089.9136066437,2292070.6272125244,2401916.027069092,-4405004.024505615,-2762483.596801758,-1429243.2069778442,-2049700.7369995117,-634961.8434906006,-577572.4053382874,1065183.9971542358,2553980.1120758057,2399706.1252593994,-1695951.5810012817,-1969050.0497817993,-1233926.4154434204,-1313599.5864868164,-345348.0005264282,764708.6977958679,808968.6632156372,1404576.063156128,2369393.1102752686,-1394578.218460083,-2033234.1194152832,-1768813.4908676147,-930594.8615074158,81630.25230169296,472480.2374839783,875852.7040481567,2109337.80670166,2193286.180496216,-1587986.946105957,-794653.4752845764,-998717.725276947,-929161.8466377258,135712.51928806305,464452.8031349182,2102772.7127075195,2128688.8122558594,2150279.998779297,-752189.2786026001,-739819.586277008,-755580.723285675,150134.74225997925,2104515.0756835938,2095470.905303955,2133672.2373962402,2055261.3735198975,126277.05931663513,162157.96768665314,2098909.854888916,2085931.3011169434
0.005,-851501.6436576843,-654269.9933052063,-1200905.3230285645,1330052.4950027466,-775183.6776733398,-14583697.319030762,-3057538.2709503174,-3033992.052078247,1618268.8474655151,1553992.9866790771,-2121880.292892456,-3232525.34866333,-6425278.663635254,-5371178.150177002,3062860.4888916016,-8534681.32019043,-268380.2545070648,-1428132.0571899414,-800782.0844650269,454096.9133377075,-8498482.704162598,-14836943.626403809,-5837323.6656188965,22798549.65209961,-4374182.70111084,-2885005.235671997,-1761940.836906433,4744419.097900391,-7608244.4190979,-13615490.913391113,-25390382.766723633,-4999442.577362061,-13948837.280273438,-11274078.369140625,-5518021.583557129,-3618818.998336792,-314876.16896629333,-2796477.0793914795,-9173561.096191406,-3171525.239944458,-2877882.957458496,11744090.08026123,-5179642.200469971,-6093244.552612305,-5361451.625823975,183135.5094909668,-3453841.209411621,-1529097.7954864502,-2160421.371459961,-2288977.3845672607,-4475110.5308532715,-4038164.6156311035,-3600003.719329834,-243649.27411079407,-1124382.2574615479,-1055545.5684661865,-1366163.8498306274,1055005.9080123901,-2007395.5059051514,-17296.770587563515,-685764.6107673645,-784889.5788192749
0.01,-6654942.512512207,-6955585.479736328,-8273815.155029297,-2269478.7979125977,-6415824.890136719,-22921339.03503418,-7326295.852661133,-7332660.19821167,-1292519.6886062622,-1420756.9360733032,-7513766.765594482,-9522390.365600586,-14714858.055114746,-12882500.648498535,2576182.3654174805,-14288452.1484375,-2427577.9724121094,-3330255.5084228516,-2810097.9328155518,-1028223.0377197266,-16040918.350219727,-28088527.67944336,-13187973.022460938,31036293.029785156,-7927240.371704102,-4834040.641784668,-2952916.145324707,5607694.149017334,-13065685.272216797,-22597053.52783203,-41207832.33642578,-11897266.387939453,-21322479.248046875,-15145912.170410156,-6938583.850860596,-4202154.636383057,-351990.9083843231,-3791027.307510376,-15539804.458618164,-8070281.982421875,-7738067.150115967,16623254.776000977,-6174702.167510986,-6903585.433959961,-4407983.303070068,2760485.1722717285,-4610104.084014893,-5729627.1324157715,-6667517.185211182,-6810886.859893799,-5138690.948486328,-4689976.692199707,-3873451.7097473145,1945995.807647705,-4931212.425231934,-4976498.126983643,-5334015.846252441,-699474.6923446655,-2918988.2278442383,2261913.537979126,-4380232.334136963,-4383782.863616943
0.015,-15416030.883789062,-15800381.660461426,-16246191.024780273,-10132615.089416504,-13030508.041381836,-27326993.942260742,-12300174.713134766,-12295740.127563477,-6577715.873718262,-6804551.124572754,-13056549.072265625,-14925614.356994629,-18799657.821655273,-16528217.315673828,-2797326.3263702393,-17198270.797729492,-5595030.307769775,-6382956.027984619,-5029197.692871094,-3368548.1548309326,-18910890.579223633,-32938957.21435547,-16372243.881225586,25932502.74658203,-9705078.125,-5548292.636871338,-3643882.7514648438,3139676.809310913,-14150478.36303711,-23995637.893676758,-43161457.06176758,-15043562.889099121,-22255033.493041992,-13275620.460510254,-5496438.980102539,-2792028.6655426025,-137177.79517173767,-2388695.71685791,-16216701.50756836,-9893507.957458496,-9660820.007324219,15704610.824584961,-3022188.425064087,-3176320.3144073486,586032.4501991272,7144460.678100586,-2934159.517288208,-7622848.987579346,-8592925.071716309,-8589577.674865723,-1986136.4364624023,-1790492.4154281616,-789056.1819076538,6118764.400482178,-6633598.327636719,-6899433.612823486,-7079903.602600098,-579249.7992515564,-940901.6370773315,6385685.920715332,-6136945.2476501465,-6059233.18862915
0.02,-16061412.811279297,-15942226.40991211,-14884142.875671387,-11843105.31616211,-12316794.395446777,-26131109.2376709,-11534254.07409668,-11406766.891479492,-6477853.775024414,-7066482.067108154,-12106173.515319824,-13163126.945495605,-15145653.72467041,-12911047.93548584,-5300219.535827637,-15630002.975463867,-5299924.850463867,-7046101.093292236,-4091086.3876342773,-2658378.839492798,-15523764.610290527,-27851572.036743164,-12802983.283996582,21921728.134155273,-7282608.509063721,-4014764.7857666016,-2464909.791946411,1844057.6791763306,-11522017.478942871,-19688838.958740234,-36552959.44213867,-11613561.630249023,-20479507.446289062,-10532528.8772583,-3341277.3609161377,-1476897.8357315063,-36271.18468284607,-520314.3358230591,-12364775.657653809,-6706750.392913818,-6509553.909301758,15875166.893005371,760721.6835021973,601559.3409538269,3415595.769882202,9806632.041931152,-829231.9774627686,-4509511.470794678,-5496386.0511779785,-5278286.933898926,1732844.4719314575,1841031.6705703735,2780215.02494812,8820844.650268555,-3681180.238723755,-3998547.7924346924,-4110086.441040039,3146594.762802124,2954270.124435425,8997420.310974121,-3059035.062789917,-3160295.9632873535
0.025,-8733118.057250977,-6348369.598388672,-3531969.3088531494,-6303894.996643066,-2832316.1602020264,-23936220.169067383,-6370807.17086792,-6115512.847900391,-243863.3292913437,-577171.4448928833,-3826709.985733032,-3984481.8115234375,-6390098.571777344,-4611664.772033691,-4694825.649261475,-13371384.620666504,-1914277.9111862183,-4471144.199371338,355204.9994468689,1810114.3836975098,-8035854.339599609,-17273462.295532227,-5223438.262939453,24459173.20251465,-4303936.958312988,-2472072.8397369385,-669952.5713920593,4030334.949493408,-7549544.334411621,-13777308.464050293,-28853309.631347656,-4254086.017608643,-21144241.333007812,-11970270.156860352,-3704353.8093566895,-2063946.24710083,-162968.75476837158,-50712.23899722099,-7837457.180023193,-1353126.1682510376,-984478.5928726196,16216001.510620117,-131024.59907531738,-681875.8845329285,576596.0812568665,8179661.750793457,-487199.72372055054,926691.8897628784,-69945.26088237762,308182.09052085876,900377.7503967285,1180157.6614379883,1942370.057106018,7358738.899230957,1423813.4622573853,1327369.4515228271,1049884.31930542,6404023.64730835,3787083.148956299,7497631.549835205,2299571.0372924805,1933046.9369888306
0.03,-3588794.708251953,3039273.977279663,7660993.0992126465,-2201111.7935180664,7581313.133239746,-25348463.05847168,-3809108.7341308594,-3568059.4444274902,5037086.963653564,6493320.465087891,5093537.330627441,5547788.143157959,94768.15909147263,1344690.442085266,-5771926.403045654,-14922372.817993164,234514.2960548401,-1425812.4828338623,4660583.972930908,6278752.326965332,-1773583.5313796997,-9364204.406738281,-22221.963852643967,27410112.380981445,-5794821.739196777,-3764638.900756836,-691727.7574539185,7468034.267425537,-4943377.97164917,-9997744.5602417,-24658344.268798828,637100.9945869446,-24840700.149536133,-17198600.76904297,-7244875.431060791,-4294787.406921387,-329187.15476989746,-1096581.3398361206,-6025861.2632751465,934706.8667411804,1633192.3007965088,11808139.80102539,-6569472.789764404,-7041074.275970459,-5267198.56262207,3507992.0291900635,-1908637.285232544,3081613.540649414,2226695.775985718,2641722.6791381836,-5435791.492462158,-4986762.523651123,-4292909.145355225,2745857.9540252686,3411006.450653076,3585600.1377105713,3142816.7819976807,3883208.0364227295,-1948780.6558609009,2887965.679168701,4340808.391571045,3976182.222366333
0.035,-3927466.1540985107,6351096.153259277,11648557.662963867,-3554671.287536621,11815989.49432373,-26308120.727539062,-4900957.5843811035,-4777419.567108154,5165146.350860596,8976934.432983398,8769076.347351074,9345909.118652344,506844.6397781372,1539388.656616211,-6622240.06652832,-17618089.67590332,232918.45619678497,-132797.79255390167,5534813.88092041,7230954.170227051,-412794.64960098267,-8273538.589477539,-49175.98515748978,28042634.963989258,-9239325.523376465,-6364163.398742676,-2215824.1271972656,8891856.19354248,-4948801.517486572,-9652204.513549805,-24317569.732666016,321153.461933136,-25955705.642700195,-20344757.080078125,-10473974.227905273,-6181877.613067627,-392915.12966156006,-2495712.7571105957,-6908174.991607666,-942269.5636749268,107916.19122028351,6024988.651275635,-12352656.364440918,-12558297.157287598,-9220253.944396973,-441217.95892715454,-3587714.672088623,895152.4496078491,278528.4221172333,604934.811592102,-11247026.443481445,-10795605.659484863,-9972484.588623047,-1300836.682319641,1300064.4445419312,1535337.209701538,1163542.7474975586,-2161425.828933716,-10100927.352905273,-1187608.7188720703,2053133.0108642578,1911087.155342102
0.04,-1285695.195198059,8859835.624694824,12560513.496398926,-3739160.5377197266,11500619.888305664,-18594978.33251953,-2748785.7341766357,-2700469.0170288086,4442763.805389404,8815906.524658203,8559832.572937012,8486320.495605469,-1705604.5532226562,-571214.1394615173,624382.8535079956,-14038933.753967285,2255818.8438415527,671900.2723693848,3782915.8306121826,5451544.284820557,-2416786.9091033936,-10431348.80065918,-1910188.4365081787,32662647.247314453,-6658927.440643311,-5343280.792236328,-2084243.2975769043,7974157.810211182,-6658440.589904785,-11298732.75756836,-25324687.957763672,-1665967.9412841797,-18987186.431884766,-16355281.829833984,-9174784.660339355,-5841571.807861328,-361772.17960357666,-3479575.3955841064,-8019487.380981445,-2981667.7570343018,-1643301.9638061523,8485339.164733887,-10464688.301086426,-11483522.415161133,-9227965.354919434,-1151155.1141738892,-4551724.433898926,-1143331.2892913818,-1618887.6628875732,-1458854.9137115479,-9531582.832336426,-9163665.771484375,-8133632.659912109,-2065110.206604004,-612929.4633865356,-487709.4626426697,-674000.9188652039,-3233682.632446289,-12283329.963684082,-2018988.847732544,49594.566226005554,-44036.25428676605
0.045,9410765.647888184,15825609.20715332,16458173.751831055,2632881.8798065186,11852981.567382812,-3209640.7413482666,5889547.824859619,5925236.225128174,7700586.795806885,10041008.949279785,8699249.267578125,7060891.151428223,-2275618.076324463,-1038588.6430740356,16084096.908569336,-3304222.1069335938,8329371.452331543,3163702.4879455566,2377673.387527466,4006372.4517822266,-4002119.541168213,-11028121.948242188,-2040117.7406311035,44498779.296875,3409168.243408203,656536.9367599487,1160958.6477279663,6731017.589569092,-8458391.189575195,-12874632.835388184,-25665836.334228516,-1784198.7609863281,-6364188.194274902,-6928462.505340576,-3404400.8255004883,-3129145.383834839,-194485.96239089966,-4254446.983337402,-8198538.780212402,-2506874.7997283936,-1009643.7931060791,20371114.73083496,-1594934.105873108,-4557974.815368652,-6465193.748474121,796747.0288276672,-5079473.01864624,-283828.7055492401,-746745.8844184875,-730730.1759719849,-837627.5300979614,-537690.0434494019,603234.3506813049,26883.527636528015,298387.736082077,373862.3857498169,185446.8584060669,3933293.8194274902,-6125359.058380127,51989.75279927254,1095121.5028762817,747350.27551651
