time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,104673.8252043724,-486843.5859680176,-335399.1210460663,755990.4456138611,702156.5437316895,-1135062.6945495605,2481313.943862915,2021958.827972412,2046764.1353607178,704640.805721283,219718.3519601822,62819.58520412445,56186.653673648834,54747.78637290001,-512318.84956359863,2716900.34866333,-756598.711013794,47971.99368476868,-158914.08920288086,-181972.1907377243,-209259.7931623459,28261.031955480576,-73377.84022092819,933553.8744926453,394053.22074890137,1854506.3734054565,-1840097.3081588745,-250195.65224647522,306124.2699623108,-414658.5166454315,-604605.0786972046,-1000672.5788116455,-1324110.8655929565,782678.8425445557,-452846.37808799744,-59928.93502116203,-10782.572440803051,-407514.0058994293,-425109.1778278351,-541956.5439224243,869640.4099464417,-369193.82214546204,-728494.7037696838,-774963.0212783813,125177.5324344635,999779.3436050415,231689.27431106567,-357693.28474998474,12051.199562847614,-437200.8144855499,-1249005.7945251465,-1226955.4138183594,-1799101.8295288086,1022565.0072097778,282538.11597824097,330915.9576892853,-193754.55379486084,-1216039.4191741943,-897181.6897392273,25608.65879058838,261173.00987243652,268634.5875263214
0.005,12406856.536865234,13287177.085876465,1306484.580039978,24726556.7779541,26130607.60498047,-780462.4438285828,23866729.736328125,23427427.291870117,21270103.454589844,20701925.27770996,15007642.74597168,15701592.445373535,14999178.886413574,15031723.976135254,17042724.609375,34324764.251708984,17592988.967895508,12532022.476196289,12136408.805847168,12070936.20300293,12283743.858337402,14354102.13470459,16358304.977416992,-51137485.50415039,20446674.346923828,13139859.199523926,4888775.34866333,1906877.3984909058,4633331.775665283,-1741846.7998504639,8537377.35748291,739605.3671836853,-19617496.490478516,6082899.570465088,8570643.424987793,1884959.34009552,-57890.634983778,-1463688.3735656738,-2237718.8205718994,5205317.02041626,12758462.905883789,1906742.0959472656,6619899.749755859,6345145.225524902,527185.0228309631,-5804172.515869141,-4017259.120941162,1670110.3448867798,609975.8148193359,7266556.739807129,2022511.0054016113,282922.77455329895,2082339.2868041992,-5569016.456604004,-2581789.73197937,-2722534.418106079,11769381.523132324,-1231108.1886291504,1533281.5647125244,-1979306.3402175903,-1844614.1481399536,-1558464.0502929688
0.01,23693515.77758789,24771903.99169922,8324049.949645996,42630298.61450195,41428249.35913086,6305019.378662109,40006969.4519043,38971431.732177734,35358402.252197266,34154182.43408203,24640068.05419922,24931461.334228516,24122360.229492188,24158422.470092773,30703636.169433594,51036098.48022461,30154039.38293457,21601760.864257812,20224515.914916992,20324058.532714844,20432598.114013672,23122610.092163086,24990264.892578125,-64399032.59277344,32446044.921875,19429059.982299805,9488989.83001709,5002952.575683594,6559398.651123047,-4943660.736083984,12267932.891845703,2364825.963973999,-22716222.763061523,9737229.347229004,13576559.066772461,5070283.889770508,-166744.33648586273,-4614017.486572266,-5791641.2353515625,3968795.06111145,15345378.875732422,2419654.369354248,9413628.578186035,9072267.532348633,-380776.22652053833,-10206911.087036133,-9179464.340209961,-2563002.347946167,-3336821.7945098877,6364065.170288086,2303408.8611602783,-648054.5997619629,1659816.9803619385,-9894787.788391113,-7245272.159576416,-7535380.3634643555,10864175.796508789,-2017622.470855713,1229134.440422058,-4292845.726013184,-6336278.438568115,-5789294.242858887
0.015,28285314.559936523,29002946.853637695,14697761.535644531,48064319.6105957,43053932.189941406,14343799.591064453,45629837.03613281,43562992.095947266,39537399.29199219,37661056.51855469,26708473.205566406,25855764.389038086,25345001.220703125,25362361.907958984,36185852.05078125,50676837.92114258,32967334.747314453,23839853.286743164,22245897.29309082,22683650.970458984,22393989.56298828,24306268.6920166,24726057.052612305,-49081714.63012695,33196670.532226562,18690799.713134766,9797348.976135254,6940230.846405029,6013899.326324463,-8038711.5478515625,10779473.304748535,3216956.13861084,-16243377.685546875,8717531.204223633,11478055.000305176,7121119.499206543,-177790.01593589783,-7797646.999359131,-9043055.534362793,-2225726.842880249,9770465.850830078,-1378849.6255874634,4902388.095855713,4672299.861907959,-3004035.472869873,-11529612.54119873,-12801931.381225586,-9479249.954223633,-9393770.217895508,-977660.9539985657,-2769740.104675293,-5935719.966888428,-3390100.7175445557,-11233572.959899902,-12209033.012390137,-12583322.525024414,363927.60276794434,-4506031.9900512695,-2544487.237930298,-6588984.966278076,-11633114.8147583,-10907998.085021973
0.02,23063600.540161133,23984914.779663086,12208669.662475586,40854248.046875,36090610.50415039,14344899.17755127,40904140.47241211,38010940.55175781,34092830.657958984,33345561.981201172,23423522.94921875,22343147.27783203,21928825.37841797,21947069.16809082,33272220.611572266,43183822.63183594,27705902.099609375,19301559.448242188,19856811.5234375,20579965.591430664,19959108.352661133,21023616.790771484,21386062.622070312,-41888687.13378906,27245727.5390625,14045866.012573242,6096665.859222412,5383340.358734131,4874983.787536621,-7818056.583404541,8988581.657409668,3808370.351791382,-14810657.501220703,3367784.9769592285,4142874.7177124023,5551313.400268555,18592.11176633835,-7575660.228729248,-8829229.354858398,-5618185.043334961,5025989.532470703,-7953798.770904541,-3713093.5192108154,-3774701.1184692383,-5847983.837127686,-10460919.380187988,-11997511.863708496,-11059359.550476074,-11426494.598388672,-5590346.336364746,-10081767.082214355,-12691576.00402832,-8045995.712280273,-10182001.113891602,-13766275.405883789,-14183291.4352417,-6149415.016174316,-6985298.156738281,-6402224.540710449,-7296771.52633667,-13466284.75189209,-12715738.296508789
0.025,14996030.807495117,15994719.505310059,5104925.155639648,30676176.071166992,29742885.58959961,9093422.889709473,33914516.44897461,30669807.43408203,26567781.448364258,27648702.62145996,20286527.633666992,20462457.65686035,19798099.517822266,19861528.396606445,28156806.94580078,38792671.20361328,21809888.83972168,13444430.351257324,16967138.290405273,17778638.83972168,17134639.739990234,19029882.431030273,21402978.897094727,-51731567.3828125,23286453.247070312,11533126.831054688,2293882.131576538,1986009.7169876099,4671494.960784912,-4812849.998474121,10679768.562316895,6297385.692596436,-18754137.03918457,-15034.372918307781,-1071880.1021575928,2682971.715927124,190446.3768005371,-4439471.244812012,-5794295.310974121,-2933913.469314575,6719418.525695801,-10436009.407043457,-8011346.817016602,-7965215.20614624,-6380521.297454834,-8097611.427307129,-8292523.384094238,-6635039.329528809,-7969881.057739258,-3413420.2003479004,-11403660.774230957,-13712380.409240723,-6609548.091888428,-7850562.572479248,-10685757.637023926,-11164430.618286133,-3122456.3121795654,-5369726.657867432,-5327082.15713501,-4958747.863769531,-10282274.24621582,-9665843.00994873
0.03,13889949.798583984,13479655.265808105,5044235.706329346,27970350.26550293,29657444.00024414,8161370.277404785,32609355.926513672,29318460.46447754,24954669.952392578,26105577.46887207,21289083.48083496,22768136.978149414,21909593.58215332,22032976.150512695,26844549.17907715,39283035.27832031,21463563.919067383,12353946.685791016,16556913.375854492,17351272.583007812,16873588.56201172,21204246.520996094,25455108.642578125,-57242458.34350586,25331777.572631836,13714488.983154297,2166194.200515747,762227.2968292236,5321372.032165527,-2694118.7381744385,14716111.183166504,10973051.071166992,-17696607.58972168,3268406.629562378,924078.8817405701,2977631.8073272705,77214.52414989471,-2218301.53465271,-3689599.7524261475,1543455.2431106567,11634716.033935547,-5873044.013977051,-3781450.7484436035,-3700484.7526550293,-4071527.9579162598,-6062775.611877441,-6289007.663726807,-2988269.329071045,-3653491.497039795,709524.3334770203,-4208981.037139893,-7197877.883911133,-221442.90804862976,-5865530.490875244,-6683152.198791504,-7256511.211395264,1814884.3050003052,311028.0930995941,262755.48338890076,-1078642.0106887817,-6006962.299346924,-5616173.267364502
0.035,19217662.811279297,16641271.591186523,13655284.881591797,32412437.438964844,33613143.92089844,11828605.651855469,35814579.010009766,32633625.030517578,29080980.30090332,28628557.205200195,24911008.834838867,26050271.98791504,25289527.893066406,25439609.52758789,27783758.16345215,40290737.15209961,25120073.318481445,16084329.605102539,18147441.864013672,18988285.064697266,18600605.010986328,24575023.651123047,28588586.807250977,-49491077.4230957,28809606.552124023,16868698.120117188,4919003.963470459,2618579.864501953,5822081.089019775,-3207232.4752807617,17118072.509765625,13974462.509155273,-11641590.118408203,8927889.823913574,6569359.302520752,6449773.788452148,-132340.81864356995,-2726588.9644622803,-4256925.582885742,2783534.288406372,13458971.02355957,-1479264.1401290894,2986447.0958709717,3094728.2314300537,-1365761.2800598145,-6065083.5037231445,-7669354.9156188965,-3911270.1416015625,-2627478.1227111816,1091249.5851516724,2433223.7243652344,-1549121.4990615845,3479697.2274780273,-5842823.028564453,-6591331.958770752,-7211055.278778076,871031.9995880127,3288084.2685699463,3267112.4935150146,321647.64404296875,-5815795.421600342,-5620317.459106445
0.04,21850875.854492188,18718906.40258789,21045923.233032227,35865371.70410156,35549339.294433594,11751024.24621582,37076965.33203125,34054599.76196289,32519927.978515625,31117067.337036133,26468858.71887207,25892650.604248047,25258409.50012207,25402111.053466797,25741525.650024414,39280128.479003906,27020685.19592285,19522325.51574707,18960855.48400879,19930011.749267578,19467626.571655273,24487211.227416992,26813718.795776367,-45487094.87915039,27829273.223876953,16679056.167602539,6746656.41784668,4495733.737945557,5564280.033111572,-4431579.113006592,16011806.48803711,11845900.535583496,-11803089.141845703,9657241.821289062,9064327.239990234,8749032.020568848,-12412.631884217262,-3944388.6280059814,-5527971.267700195,1195533.1563949585,10900265.69366455,-5031162.261962891,4138178.825378418,4310831.069946289,-439837.0385169983,-7995367.527008057,-9515534.400939941,-5975295.066833496,-3969683.885574341,-1353472.352027893,-518071.41304016113,-4416008.472442627,433701.5748023987,-7677762.985229492,-10377518.653869629,-10900328.636169434,-3113554.2392730713,-1413366.675376892,-843176.9609451294,-2363105.058670044,-9706583.976745605,-9535577.774047852
0.045,18456911.087036133,17223468.780517578,22106346.130371094,35130580.90209961,33627590.17944336,6512259.960174561,35348228.454589844,32190402.98461914,32146015.167236328,31384645.462036133,24589982.986450195,22834638.595581055,22083894.729614258,22227409.36279297,21416652.67944336,38330368.04199219,25663438.79699707,19526798.248291016,17656990.05126953,18721998.21472168,18128414.154052734,21235183.715820312,22458173.751831055,-55481140.13671875,23914276.123046875,14519216.537475586,6180641.651153564,4176723.9570617676,4813089.847564697,-4276281.356811523,13591165.542602539,7400033.473968506,-20387838.36364746,6339755.058288574,7996578.216552734,7753212.451934814,430016.48783683777,-3737092.7333831787,-5368006.229400635,645973.265171051,8163224.220275879,-12498031.616210938,709226.4890670776,936182.6181411743,-451846.182346344,-9500708.58001709,-9062886.238098145,-5287165.16494751,-4386340.618133545,-1693449.7356414795,-8539020.538330078,-10966880.798339844,-3827580.690383911,-9216931.343078613,-13046882.629394531,-13349430.084228516,-2350996.494293213,-8746565.818786621,-6813513.75579834,-5600594.043731689,-12453919.410705566,-12099126.815795898
0.05,15893406.867980957,17349184.036254883,23413547.51586914,34710105.895996094,32233619.689941406,4803355.693817139,35371143.34106445,31513114.92919922,31011905.670166016,31337390.899658203,23178173.065185547,21850484.84802246,20906522.750854492,21064701.080322266,21042600.631713867,39517349.24316406,24637691.497802734,18079471.588134766,16032413.482666016,17109228.134155273,16423389.434814453,19996398.92578125,21467653.274536133,-63818969.7265625,23443990.70739746,14706665.0390625,5266451.358795166,3153280.9734344482,4305338.8595581055,-3174175.977706909,13215984.344482422,7372044.563293457,-24894428.253173828,6476328.8497924805,8426115.989685059,6260385.036468506,718555.5100440979,-2654219.627380371,-4178750.0381469727,2844004.8694610596,8897904.396057129,-13370921.13494873,473467.6480293274,650227.1294593811,367719.23303604126,-8807472.229003906,-7317108.154296875,-2935535.669326782,-2719429.2545318604,1820773.4823226929,-9829097.747802734,-10645227.432250977,-1982858.3002090454,-8762527.465820312,-11065929.412841797,-11154411.315917969,4221957.206726074,-9603002.548217773,-6367455.005645752,-5186650.276184082,-10378259.658813477,-9807698.249816895
0.055,18915613.174438477,22233743.66760254,29772735.595703125,36767818.450927734,34743301.39160156,10654353.141784668,37963665.00854492,33204833.984375,31254743.576049805,32546928.40576172,25382938.385009766,24997077.94189453,24105966.567993164,24267385.482788086,25956424.713134766,40683612.82348633,25456422.805786133,17753511.428833008,16242595.672607422,17304794.311523438,16568922.04284668,23198461.532592773,25369318.00842285,-54675346.37451172,27688537.59765625,16929338.455200195,5418390.274047852,3625375.747680664,4409043.788909912,-2552189.1117095947,15196212.768554688,13534518.241882324,-17363273.62060547,11738734.245300293,11412532.806396484,7023200.035095215,628480.3748130798,-2177765.8462524414,-3387492.4182891846,5650957.5843811035,11725228.309631348,-6726651.668548584,5511631.965637207,5520899.295806885,1300543.189048767,-7103672.504425049,-6691177.845001221,-1757159.8291397095,-448932.1708679199,5750963.6878967285,-2919561.8629455566,-3201368.808746338,4429494.380950928,-7216711.99798584,-6887870.311737061,-6874529.3617248535,9926637.649536133,-3513819.694519043,37122.488021850586,-2069486.141204834,-6028975.009918213,-5468280.31539917
0.06,21520000.457763672,26044271.46911621,34129375.45776367,36037166.595458984,37359413.146972656,15637617.111206055,37203605.65185547,32052364.349365234,29647970.19958496,32467029.571533203,28161308.28857422,27631381.98852539,27027070.999145508,27186567.306518555,28797258.377075195,37914779.66308594,24671968.460083008,17483175.27770996,17446001.052856445,18497200.01220703,17757015.228271484,26209857.940673828,28614677.42919922,-38163768.76831055,30475790.02380371,16106372.833251953,5179684.162139893,4992497.444152832,4632754.802703857,-2494192.361831665,16530281.066894531,19705158.233642578,-7321322.917938232,14424756.050109863,11799644.470214844,8525011.06262207,524679.1243553162,-2222386.8370056152,-3149900.6748199463,6284080.028533936,12393266.677856445,-3030124.1874694824,9038704.872131348,8897921.562194824,325301.97501182556,-6584098.339080811,-7157973.289489746,-1606209.2781066895,760386.049747467,6122483.253479004,1378197.9084014893,775195.4793930054,7436985.015869141,-6499982.3570251465,-5419118.404388428,-5424980.163574219,9479932.78503418,823239.2072677612,3979797.124862671,-687762.3200416565,-4503261.566162109,-4202871.799468994
0.065,16243837.356567383,21866277.69470215,28816757.202148438,28546834.94567871,34125167.84667969,10880399.703979492,29896478.6529541,24991735.458374023,23504314.422607422,28024040.22216797,26197967.529296875,24594171.52404785,24212514.877319336,24400720.596313477,23206016.540527344,31201578.14025879,19979022.979736328,15106286.04888916,16950870.513916016,17949415.20690918,17267210.006713867,23523023.60534668,25644069.67163086,-35744010.92529297,26720960.61706543,10297212.600708008,3323859.214782715,5160206.317901611,4139735.221862793,-2329696.4168548584,14908189.77355957,19210861.206054688,-8424834.251403809,8644824.028015137,6862244.606018066,7779698.848724365,738008.2011222839,-1945992.350578308,-2902834.177017212,4498595.237731934,9374346.733093262,-8853746.41418457,5620549.67880249,5504513.263702393,-1934647.798538208,-7205093.3837890625,-7010419.845581055,-864729.7024726868,409884.3038082123,3042943.4776306152,-3862318.754196167,-4592948.913574219,3987202.4059295654,-6784401.416778564,-7739380.836486816,-7860238.552093506,4675932.884216309,-2312122.344970703,888002.5148391724,-2360082.8647613525,-6955428.600311279,-6886365.89050293
0.07,6648024.559020996,12997218.132019043,20249631.881713867,19914617.53845215,26955505.37109375,-228232.10060596466,21924194.3359375,17310964.584350586,17036939.62097168,21709064.483642578,20326345.443725586,18318639.755249023,17934148.78845215,18159444.80895996,12920751.571655273,25092201.232910156,14825617.790222168,11761858.940124512,14509778.97644043,15421542.167663574,14794476.509094238,17304309.844970703,18761699.676513672,-50027221.6796875,18844491.958618164,4076563.3583068848,1426742.0768737793,3889617.443084717,2978774.070739746,-2234976.053237915,11891505.241394043,12994763.374328613,-20090681.076049805,-1052708.2681655884,1239636.4212036133,4831596.851348877,982155.7998657227,-1641116.8575286865,-2848026.0372161865,2419144.1535949707,6028132.438659668,-18080135.345458984,-1619086.0271453857,-1562732.3389053345,-2520864.725112915,-7345211.505889893,-6173410.415649414,-14420.337043702602,-1059983.0150604248,218739.21155929565,-12591348.648071289,-12941116.333007812,-937572.1216201782,-6903442.3828125,-10557124.137878418,-10880014.419555664,553170.8002090454,-8793780.326843262,-4663151.264190674,-3821969.509124756,-9993634.223937988,-9884333.610534668
