time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,556726.87292099,-1285641.9086456299,-3799268.4841156006,795838.4156227112,-3193504.3334960938,5520345.687866211,2226966.381072998,2169491.767883301,630134.9997520447,-617731.6308021545,-1795114.278793335,-2886480.5698394775,-4820758.819580078,-4879530.429840088,1913046.5984344482,2897117.853164673,461908.60867500305,455489.8738861084,-1179037.094116211,-1659720.778465271,-2571513.1759643555,-2674901.9622802734,-4840798.854827881,1860577.5833129883,1574386.0006332397,837979.257106781,54389.1005218029,2460.4799691587687,-1852186.918258667,-2889887.0944976807,-2617843.6279296875,-3673809.52835083,1728379.726409912,1668876.051902771,518330.8720588684,84901.46696567535,11328.082531690598,-788645.6251144409,-1153034.9254608154,-2515317.916870117,-2101303.815841675,1734853.1484603882,-340582.6985836029,-236926.06389522552,-917433.6791038513,-293751.15036964417,-191497.51961231232,-904551.5656471252,-893402.3976325989,-945193.1118965149,-593130.5289268494,-686874.8068809509,-714842.4983024597,-312319.1297054291,-893036.0078811646,-1174146.056175232,-1196346.2829589844,-497132.71856307983,-728176.2957572937,-668088.3765220642,-877378.7021636963,-894195.1394081116
0.005,3129173.994064331,3018488.883972168,-1839551.568031311,4902590.751647949,-5553312.301635742,-2615836.1434936523,15951983.451843262,15779398.918151855,6467389.106750488,1252834.5584869385,2720396.041870117,9598389.625549316,4250236.511230469,3031455.7552337646,-2259101.629257202,12110319.137573242,6346650.60043335,6776359.081268311,2397863.3880615234,1090774.2977142334,990491.5690422058,1320245.385169983,3787980.079650879,-1673573.2555389404,21030563.354492188,6787032.604217529,3451096.0578918457,427898.67520332336,-3185013.0558013916,-4488350.391387939,1606164.6938323975,-3898248.1956481934,-2719066.858291626,-2246744.8711395264,1234011.5308761597,143059.8944425583,616840.0645256042,-165308.23707580566,-165880.14364242554,-893122.136592865,-5352560.043334961,-1792027.1158218384,-12418939.590454102,-614459.3358039856,55000.919848680496,5163244.247436523,3452147.0069885254,6242698.192596436,6533476.829528809,5808841.705322266,-6418800.354003906,-7624473.571777344,-7788463.115692139,5460574.150085449,1109920.0248718262,649572.0148086548,187579.1698694229,939359.188079834,-7918845.653533936,-4352606.296539307,2197110.652923584,1596723.4373092651
0.01,-87351.7319560051,789584.3982696533,-4443409.442901611,3560266.0179138184,-10848407.745361328,-11755957.60345459,17226982.11669922,16915603.637695312,6662130.355834961,-336639.4639015198,1636388.4210586548,9873548.50769043,2556937.4561309814,953346.312046051,-8154942.512512207,11185904.502868652,7074362.754821777,7769641.876220703,2775713.6821746826,417512.7148628235,-983641.6244506836,-1603534.460067749,1991565.5851364136,-7462420.94039917,24248327.255249023,7641453.742980957,4713073.73046875,713237.9412651062,-4955567.359924316,-7938856.601715088,-376732.11097717285,-8976422.309875488,-8642416.954040527,-8089019.775390625,-688257.2770118713,-15943.81034374237,985029.2801856995,-1220374.4649887085,-2145091.772079468,-4569193.363189697,-11877387.046813965,-7449581.623077393,-17366212.844848633,-903944.6115493774,632157.1469306946,6834311.962127686,3642793.893814087,6131681.442260742,6573870.658874512,5431727.886199951,-9416905.403137207,-10736157.417297363,-10846963.882446289,7279561.519622803,-1140857.458114624,-2283425.3311157227,-3102709.2933654785,-1218205.5711746216,-11200238.227844238,-8096984.86328125,159597.56076335907,-630545.8545684814
0.015,-6264433.38394165,-6204469.203948975,-10158620.834350586,-1652959.942817688,-17945369.720458984,-18478578.567504883,9720358.848571777,9260556.2210083,1748618.0067062378,-4928994.178771973,-4414817.810058594,680896.4610099792,-6006684.78012085,-7355971.813201904,-12672126.770019531,4172136.3067626953,3412808.895111084,4063486.5760803223,117907.66566991806,-3217615.842819214,-7296760.559082031,-8705924.034118652,-6402256.011962891,-12320523.262023926,15978797.912597656,4451057.434082031,3483127.1171569824,729808.7477684021,-6923816.680908203,-12365763.664245605,-6364864.826202393,-14520441.055297852,-13122500.4196167,-12888274.192810059,-4180361.747741699,-391023.3974456787,968925.5952835083,-2676759.4814300537,-6069515.705108643,-11025262.832641602,-17877456.665039062,-12182637.214660645,-15937261.581420898,-1688921.332359314,476671.36788368225,5532555.58013916,1618837.9526138306,1206000.2088546753,1726344.8238372803,519464.07556533813,-9624041.557312012,-10330025.672912598,-10300662.994384766,5954465.389251709,-5278008.460998535,-6779538.154602051,-7809613.227844238,-4292452.812194824,-10886629.104614258,-10580191.612243652,-4348536.014556885,-4999374.3896484375
0.02,-7407016.754150391,-10791430.473327637,-14316279.411315918,-3887837.6483917236,-22591005.325317383,-16704582.214355469,7752737.522125244,7205901.145935059,-2130208.4922790527,-8438345.909118652,-9663434.982299805,-6043825.626373291,-10651914.596557617,-11793629.64630127,-10311238.288879395,4122647.285461426,998102.3073196411,1340886.2352371216,-2433514.11819458,-6530034.54208374,-12349533.081054688,-12615695.95336914,-10918705.940246582,-10262578.964233398,13904096.603393555,3025748.4912872314,1741296.887397766,526162.3859405518,-8520755.767822266,-15369134.902954102,-9784051.895141602,-14131018.63861084,-11067106.246948242,-11152236.938476562,-5570243.358612061,-580549.8957633972,671056.2109947205,-2587209.701538086,-8823363.304138184,-14076031.684875488,-18335700.98876953,-10257699.012756348,-13512047.76763916,-3123177.2899627686,-447592.4074649811,4378511.905670166,445904.82115745544,-1451431.5128326416,-828883.6479187012,-1866743.4453964233,-8914482.116699219,-9401121.139526367,-9376191.139221191,4736633.777618408,-6335608.005523682,-7302444.4580078125,-8380075.454711914,-3430924.415588379,-10028361.320495605,-10623056.411743164,-5448304.176330566,-5982786.655426025
0.025,-770812.451839447,-9826603.889465332,-16248754.501342773,1155169.8446273804,-22435653.686523438,-3872739.315032959,17987310.4095459,17450176.239013672,269964.39695358276,-7343838.214874268,-9811736.106872559,-5962400.913238525,-10921887.397766113,-12188416.481018066,-86548.07507991791,16060447.692871094,3688235.9981536865,3758725.643157959,-2179819.107055664,-7419054.5082092285,-13451651.573181152,-12693991.661071777,-11237305.641174316,-89518.81527900696,24285284.0423584,6564708.232879639,1927029.2520523071,362732.1124076843,-9405279.159545898,-15981460.571289062,-9322866.439819336,-11017732.620239258,-1589135.1699829102,-1778382.658958435,-3296685.6956481934,-212041.31841659546,402868.777513504,-1675407.5288772583,-9365963.93585205,-12874017.715454102,-15953184.127807617,-535390.1982307434,-12412309.646606445,-4121655.9410095215,-1664593.3389663696,4086702.346801758,313269.07873153687,-563466.3701057434,108895.61474323273,-753945.6486701965,-8390974.998474121,-9517185.21118164,-9667202.949523926,4459583.282470703,-4399721.622467041,-4924316.883087158,-5928398.609161377,399725.91400146484,-10202061.653137207,-9288584.70916748,-3012293.815612793,-3592235.326766968
0.03,7254760.7421875,-7692560.195922852,-20347703.93371582,10413827.896118164,-20089170.455932617,14454895.973205566,32369762.420654297,31825326.919555664,7592136.859893799,-2722468.852996826,-6359246.253967285,-5777308.464050293,-15948288.917541504,-17427251.8157959,11832917.213439941,30594076.15661621,9123346.328735352,9247666.358947754,402279.257774353,-6710248.947143555,-12902825.355529785,-14871255.874633789,-16385799.407958984,11814059.257507324,35627738.95263672,11624961.853027344,3993360.2809906006,418161.18359565735,-9462809.562683105,-15173554.420471191,-9424150.466918945,-13659475.326538086,9510929.107666016,9308940.887451172,-25829.730555415154,424536.5262031555,345775.5446434021,-1699831.1281204224,-8859040.260314941,-11778395.652770996,-17411920.54748535,10822940.826416016,-11852803.230285645,-3775325.5367279053,-2233894.5865631104,3587210.178375244,123417.26571321487,-50888.18073272705,481895.8044052124,-344085.09731292725,-8051885.604858398,-9909985.542297363,-10225715.637207031,4079473.4954833984,-3538358.9267730713,-4339474.678039551,-5221406.45980835,1444025.5165100098,-10602545.738220215,-8835370.063781738,-1815073.1325149536,-2433699.607849121
0.035,8135022.163391113,-10108222.961425781,-28942773.818969727,15803396.224975586,-20567394.256591797,26168615.341186523,38444911.95678711,37726917.2668457,12649706.840515137,-22730.56097328663,-4625721.454620361,-11056953.430175781,-27859691.619873047,-29452999.114990234,17111505.50842285,35085853.576660156,11479632.377624512,11926296.23413086,2161327.123641968,-6572691.917419434,-13785922.050476074,-21263002.395629883,-28408897.399902344,16954666.137695312,36301254.27246094,12796009.063720703,5283490.180969238,555851.6979217529,-9035968.780517578,-14517103.19519043,-12670627.59399414,-22089277.267456055,14396713.256835938,14149570.46508789,790598.6905097961,799045.2647209167,361471.2059497833,-2059009.075164795,-8410051.345825195,-13414401.054382324,-23083295.822143555,15649076.461791992,-12172112.464904785,-2917268.753051758,-1337084.2933654785,3531632.423400879,938965.7378196716,-1281336.6651535034,-1009313.2257461548,-1905325.7703781128,-8145174.980163574,-9904692.649841309,-10253934.860229492,4164547.4433898926,-5114036.083221436,-5820050.7164001465,-6576238.632202148,-2291965.2462005615,-10547540.664672852,-10005546.569824219,-3715296.745300293,-4246380.32913208
0.04,500103.3544540405,-17121980.667114258,-37909801.4831543,11769018.173217773,-25980812.072753906,22710906.982421875,32692951.202392578,31712776.18408203,9724362.37335205,-3770168.3044433594,-8195200.9201049805,-18674873.35205078,-37296329.498291016,-38975708.0078125,13353816.986083984,27917753.219604492,8278611.183166504,8959994.316101074,511968.37425231934,-8398435.592651367,-16769145.965576172,-27081447.60131836,-37972076.416015625,13109581.94732666,29375679.01611328,10019794.464111328,4140916.8243408203,553126.7523765564,-9351802.825927734,-15609494.20928955,-17136692.04711914,-27761615.753173828,10852069.854736328,10603700.637817383,-543330.7886123657,1262722.2537994385,274677.8428554535,-1129358.5300445557,-9056805.610656738,-16818935.39428711,-27507820.12939453,11882999.420166016,-13732904.434204102,-2890911.57913208,854647.3383903503,5327363.014221191,3552267.074584961,-2550803.6613464355,-2433638.572692871,-3405735.2542877197,-9095781.326293945,-10077686.309814453,-10356562.614440918,5966322.898864746,-7126172.5425720215,-6913608.551025391,-7535928.726196289,-6299379.348754883,-10655489.921569824,-11819932.93762207,-6259633.541107178,-6707273.960113525
0.045,-8167740.821838379,-23240415.573120117,-41394367.21801758,1883812.5467300415,-33273143.768310547,10285044.67010498,23134977.340698242,22083301.544189453,1444630.742073059,-11849519.729614258,-15091918.9453125,-23205770.49255371,-38040489.196777344,-39769107.818603516,7065393.924713135,19585975.646972656,3284233.0932617188,3878238.6779785156,-3578932.523727417,-11698657.035827637,-20723661.422729492,-28858112.335205078,-38840278.62548828,6930445.671081543,26073348.999023438,8292269.706726074,2251327.7530670166,455488.97981643677,-11407132.148742676,-19268003.463745117,-21043539.04724121,-27271892.547607422,5049200.534820557,4891061.782836914,-725897.8486061096,2624986.171722412,193145.0217962265,190923.48217964172,-12181585.311889648,-21135643.005371094,-29049919.12841797,6004909.038543701,-13733406.066894531,-3305627.3460388184,2918338.5372161865,7382534.980773926,4810989.856719971,-4333144.187927246,-4186403.274536133,-5216189.861297607,-10199513.43536377,-10700674.057006836,-10871009.826660156,7821012.9737854,-8997423.17199707,-8923401.832580566,-9391173.362731934,-6356609.82131958,-11233455.657958984,-13481942.176818848,-8157723.426818848,-8678259.84954834
