time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-4126873.49319458,-529554.7246932983,-1268674.2544174194,-1337278.4852981567,-3815996.4084625244,-655957.8776359558,-1110874.2952346802,-1101590.9910202026,-40750068.66455078,-1533209.4430923462,-3275758.2664489746,-3259464.0254974365,-3257430.3150177,-3740394.115447998,-697007.1792602539,-1464045.524597168,-6206642.150878906,-3665262.222290039,-1265923.3808517456,-1986076.4741897583,-2052540.7791137695,-4148503.7803649902,-3198535.442352295,-3683676.9580841064,-1418952.465057373,-2391807.3177337646,-93511.08968257904,-1300137.6390457153,-775738.0604743958,-1579017.162322998,-2847130.537033081,-2775610.2085113525,104578.78559827805,-1443720.4599380493,-6735303.4019470215,-3645448.4462738037,-86971.77469730377,-806762.5164985657,-1255922.4367141724,-1450131.0586929321,-1448976.0398864746,90043.00087690353,215077.60882377625,154723.28662872314,-1994595.8852767944,96022.03965187073,115985.52018404007,-745862.3051643372,-971486.508846283,-1460569.5009231567,169242.41185188293,73200.68776607513,-216594.80035305023,282.7598946169019,230836.21263504028,-881439.8646354675,-1041629.6720504761,373382.5981616974,-323843.68777275085,90766.12442731857,175882.39908218384,115852.69123315811
0.005,-8696898.460388184,1977881.7892074585,-352563.738822937,-4228743.076324463,-4582454.204559326,-12864142.417907715,-2835648.536682129,-2965726.613998413,-102737770.0805664,-3442483.66355896,-4310946.464538574,-4115315.4373168945,-4182891.368865967,-4532778.739929199,-13127760.887145996,4657513.618469238,-3566828.489303589,-4082939.1479492188,-1396451.5924453735,-282652.19926834106,-683990.9553527832,488794.35658454895,-1910700.3211975098,-14522128.105163574,3275527.4772644043,3126868.724822998,455265.8796310425,2805780.6491851807,1266881.5851211548,824379.026889801,3359817.0280456543,-1099824.1901397705,-2936971.1875915527,3242510.0803375244,-18713619.232177734,1840580.5826187134,396214.39576148987,1299622.654914856,1981963.3960723877,1536178.3504486084,1598405.122756958,-3331466.6748046875,-2953375.816345215,-2910357.713699341,-9654069.900512695,-1673220.3960418701,-71208.06723833084,687071.0849761963,252176.61261558533,1390407.0854187012,-2980639.4577026367,-3062830.924987793,-1302664.875984192,-1930707.0970535278,167146.63803577423,948359.6086502075,647900.5217552185,-5285112.8578186035,-1280912.6377105713,-1834684.3719482422,-9216.27040952444,-236966.2970304489
0.01,-14305382.72857666,-2014717.3404693604,-1652809.8583221436,-10486366.271972656,-7918623.447418213,-22540714.263916016,-11093986.511230469,-11236706.733703613,-134622116.0888672,-6995899.200439453,-7261249.542236328,-6833151.340484619,-6941834.449768066,-6722526.073455811,-22853042.602539062,1390885.7107162476,-8250358.581542969,-8360262.870788574,-3729168.653488159,-1529979.7058105469,-1819983.1247329712,660700.9768486023,-2676904.6783447266,-20368097.30529785,1055512.9051208496,844946.8612670898,-2421767.7116394043,3386149.6448516846,2444299.2210388184,600835.8001708984,5004410.266876221,-135822.74317741394,-4315155.506134033,1065190.5536651611,-27031791.68701172,2581478.3573150635,522374.09353256226,2402511.1198425293,3702352.0469665527,3911823.9879608154,3938714.9810791016,-4634177.207946777,-4302535.057067871,-4363079.071044922,-11432432.174682617,52663.69879245758,1638797.9984283447,3155809.4024658203,2615614.175796509,3619016.170501709,-4414516.448974609,-4388072.0138549805,469401.68738365173,-139553.32338809967,1943835.6161117554,3376765.727996826,3032810.688018799,-6084659.576416016,453773.46873283386,-267759.0548992157,1708383.4409713745,1521883.3684921265
0.015,-18743982.315063477,-9029063.22479248,-4216912.269592285,-16670759.201049805,-10974621.772766113,-27623847.96142578,-21344940.185546875,-21377054.21447754,-125191329.95605469,-9842060.089111328,-9834022.521972656,-9243212.699890137,-9339512.825012207,-9629340.171813965,-27831266.403198242,-7336317.539215088,-15067581.176757812,-13009913.444519043,-6265867.233276367,-3955459.3563079834,-3891927.480697632,-2178578.6151885986,-5219123.840332031,-21842531.204223633,-5829754.35256958,-6007393.836975098,-6762499.809265137,1435388.207435608,2822814.94140625,-993309.0209960938,2770953.416824341,-917034.0299606323,-6098680.019378662,-5726751.804351807,-29181455.612182617,365900.9337425232,382059.4847202301,2671560.764312744,4077337.7418518066,4333264.8277282715,4263129.234313965,-6106861.591339111,-5963725.566864014,-6201113.224029541,-8416399.002075195,3208129.1675567627,4050393.581390381,4912064.552307129,4466377.735137939,4032312.8700256348,-6209715.843200684,-6059855.937957764,2412442.445755005,3218983.6502075195,4371712.684631348,4757057.189941406,4473624.229431152,-5733924.388885498,2198709.24949646,2804670.0954437256,4102846.145629883,4142103.672027588
0.02,-18565797.805786133,-10721502.304077148,-5330568.790435791,-16502487.182617188,-9815114.02130127,-27166570.66345215,-23398647.30834961,-23321134.567260742,-93392326.35498047,-8791591.64428711,-8916397.094726562,-8402446.746826172,-8435080.528259277,-11352201.461791992,-27282583.236694336,-10201774.597167969,-14160294.532775879,-12283276.557922363,-5659231.185913086,-3963422.0600128174,-3809281.826019287,-3562994.0032958984,-7593434.810638428,-22444990.158081055,-9340882.301330566,-8200592.994689941,-7903525.352478027,513531.0888290405,2904716.0148620605,-1082015.7527923584,575053.870677948,-3690047.5025177,-10433202.743530273,-9184409.141540527,-26007139.205932617,61681.31157755852,290549.8445034027,2742884.1590881348,4123606.6818237305,2076745.5101013184,1958795.189857483,-10382691.383361816,-10225855.827331543,-10445928.573608398,-6571517.467498779,2883042.335510254,4341641.902923584,3540184.497833252,3321265.935897827,1984465.0030136108,-10513491.6305542,-10395367.622375488,-32090.306282043457,2936993.8373565674,4682180.881500244,3121050.8346557617,2924023.8666534424,-10382752.418518066,-414768.3382034302,2557199.716567993,4378136.63482666,4553210.735321045
0.025,-14354545.593261719,-6056298.25592041,-4517322.540283203,-9957465.171813965,-6551193.2373046875,-22417593.002319336,-15576461.791992188,-15491460.800170898,-77096450.80566406,-4967416.286468506,-6117403.507232666,-5866905.212402344,-5834914.207458496,-11790844.917297363,-22559221.267700195,-4379971.981048584,-6629566.669464111,-7443504.333496094,-2328354.1202545166,-1824678.5402297974,-1886066.0791397095,-3089890.718460083,-9202324.867248535,-22965343.475341797,-6411217.212677002,-3553149.2233276367,-4892922.878265381,1777342.7963256836,2556670.904159546,165731.80258274078,-393406.1527252197,-7468281.269073486,-14818912.506103516,-6346398.35357666,-22443058.013916016,2025980.4725646973,308652.6095867157,2382129.907608032,3735663.1755828857,-1882347.822189331,-1972850.3227233887,-14956311.225891113,-14586220.741271973,-14607259.750366211,-8930968.284606934,-1875110.6262207031,1753003.5972595215,-655555.9635162354,-780602.5147438049,-1785558.9389801025,-14793047.904968262,-14886336.326599121,-6259406.566619873,-2066182.3749542236,2157746.7918395996,-1031736.0162734985,-1196654.200553894,-18045263.290405273,-6610510.349273682,-2031311.273574829,1894877.0761489868,1883585.2146148682
0.03,-11858899.116516113,-2471549.5109558105,-4467838.764190674,-4265573.978424072,-7304403.305053711,-17424505.23376465,-7553483.486175537,-7523593.902587891,-99584701.53808594,-2618762.493133545,-6259940.147399902,-6188426.494598389,-6160055.637359619,-13746786.117553711,-17658315.658569336,1415192.1272277832,-3237297.0581054688,-5256752.490997314,205407.7684879303,-1256730.7949066162,-1421046.1378097534,-4997452.259063721,-12172655.10559082,-22553613.662719727,-2247545.2423095703,1084777.83203125,-1213939.0707015991,3248921.1559295654,1109782.5765609741,-241865.6200170517,-2931787.9676818848,-11637547.492980957,-15245341.300964355,-2375150.680541992,-23820859.909057617,2278095.006942749,255221.8735218048,781050.8012771606,1737932.0859909058,-6336695.671081543,-6416545.867919922,-15450688.362121582,-14962177.276611328,-14860752.10571289,-12483564.376831055,-6931585.788726807,-1706597.924232483,-5508889.198303223,-5846838.474273682,-6348060.131072998,-15089038.848876953,-15397933.006286621,-11049084.663391113,-7454988.956451416,-1198448.1811523438,-5758347.511291504,-5961305.618286133,-21295570.373535156,-11235758.781433105,-7026721.000671387,-1296685.3380203247,-1685380.3396224976
0.035,-15570449.829101562,-5033299.922943115,-7267663.00201416,-5259305.953979492,-13173791.885375977,-17065101.623535156,-8426549.911499023,-8399580.955505371,-143461669.921875,-3517933.130264282,-10427886.962890625,-10288352.966308594,-10348577.499389648,-19106681.82373047,-17350803.37524414,-578058.1831932068,-8579388.618469238,-8232719.421386719,220062.62838840485,-3645547.62840271,-3593736.171722412,-10922466.278076172,-17984678.268432617,-22959524.154663086,-2840462.2077941895,248347.86355495453,135999.12822246552,3421347.6181030273,-1241276.741027832,-3214272.4990844727,-8373946.189880371,-16377719.87915039,-12836868.286132812,-3069514.751434326,-30285728.454589844,-582586.944103241,110691.54739379883,-1737847.2089767456,-1730528.2354354858,-11055388.450622559,-11209329.605102539,-12950155.258178711,-12538805.961608887,-12502920.150756836,-13122366.905212402,-8722758.293151855,-3942124.605178833,-9859368.324279785,-10533830.642700195,-11355136.87133789,-12679952.621459961,-13036442.756652832,-11756546.020507812,-9379157.066345215,-3352023.6015319824,-10138434.410095215,-10415257.453918457,-19061824.798583984,-11879289.627075195,-8943696.975708008,-3287617.9218292236,-3855083.94241333
0.04,-22436006.546020508,-9905004.501342773,-11108242.988586426,-10668896.675109863,-18189722.061157227,-22401090.621948242,-16253599.166870117,-16159633.63647461,-169018447.87597656,-5565425.872802734,-14355443.000793457,-14045929.908752441,-14212656.021118164,-25082456.588745117,-22662727.35595703,-7734941.482543945,-15516930.58013916,-12058409.690856934,-954612.0762825012,-6210836.887359619,-5892155.170440674,-16319919.58618164,-23927350.997924805,-26666837.692260742,-7611911.773681641,-3619634.3898773193,-547761.0230445862,3005118.6084747314,-3014785.2897644043,-5899958.610534668,-13204032.897949219,-20781772.61352539,-12564654.350280762,-7743635.654449463,-36489356.994628906,-3305872.2019195557,65414.65222835541,-3461032.3905944824,-4345155.715942383,-15332777.02331543,-15594728.469848633,-12728087.425231934,-12395184.516906738,-12460378.646850586,-11238124.84741211,-8185904.502868652,-4679432.8689575195,-13345982.551574707,-14156360.626220703,-15725561.141967773,-12577095.985412598,-12829312.324523926,-10977375.030517578,-8727805.137634277,-4103919.9829101562,-13760151.863098145,-14134034.156799316,-17947504.0435791,-11218777.656555176,-8542881.965637207,-4038901.8058776855,-4419227.123260498
0.045,-25103771.209716797,-10536293.029785156,-12220273.971557617,-13572873.11553955,-17506488.800048828,-28441329.956054688,-21752204.89501953,-21644218.44482422,-162136169.43359375,-6496945.381164551,-14475488.662719727,-14116050.720214844,-14319480.895996094,-27030672.073364258,-28647726.05895996,-12223863.60168457,-17035598.754882812,-13085744.857788086,-1943076.1337280273,-6440737.247467041,-6083960.056304932,-16637655.258178711,-25720769.88220215,-31702978.134155273,-11286921.501159668,-5616729.736328125,-1710259.7951889038,2965786.2186431885,-3099456.310272217,-5866708.278656006,-13640278.816223145,-22719097.137451172,-15480347.633361816,-11245417.594909668,-38174350.73852539,-3587491.750717163,156886.56270503998,-3318082.571029663,-4283571.243286133,-17174270.629882812,-17512285.232543945,-15853433.609008789,-15485424.041748047,-15557735.443115234,-10695334.434509277,-8261036.8728637695,-4776109.69543457,-14832590.103149414,-15544313.430786133,-17398330.688476562,-15638724.327087402,-15778285.98022461,-11532641.410827637,-8659729.957580566,-4296070.575714111,-15317461.967468262,-15835592.269897461,-21182304.38232422,-11896395.683288574,-8589682.579040527,-4375304.222106934,-4477427.959442139
