time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-5788773.059844971,3433074.474334717,-895646.333694458,-13314840.316772461,2727042.6750183105,-15124191.284179688,-26004699.70703125,-6177649.021148682,-401135.9214782715,2370776.414871216,2143247.127532959,-261086.31491661072,-2282308.578491211,-4225128.650665283,-25234453.201293945,-22776576.99584961,-3805123.805999756,362534.0163707733,3148141.860961914,2741627.4547576904,-1945218.563079834,-5900635.719299316,-3760795.5932617188,-10972620.010375977,-18925064.086914062,-10140263.557434082,-5311387.062072754,27874.059975147247,2428481.101989746,-2598382.9498291016,14832.30385929346,-2680111.1698150635,-10936631.202697754,-13063201.904296875,-10738077.163696289,-5413885.593414307,-5450603.96194458,1794146.0609436035,429242.3725128174,-5687689.781188965,1761699.1996765137,-7833499.908447266,-15505683.898925781,-9758998.87084961,-16905332.565307617,-19170175.552368164,-2241240.2629852295,-404990.94128608704,-6089345.455169678,2533351.182937622,-24282789.23034668,-24244054.794311523,-18439857.482910156,-23875354.766845703,2027648.4489440918,1914303.7796020508,1354227.1852493286,-18183486.938476562,-18306465.14892578,-6854224.20501709,2043298.7213134766,954018.5928344727
0.005,21277339.935302734,45811203.00292969,16571901.321411133,7125883.57925415,32409397.12524414,-20578191.75720215,-14667733.192443848,706692.8148269653,6353488.445281982,11740209.579467773,10912919.998168945,6264827.251434326,-4686115.264892578,-20366275.787353516,-22699941.635131836,-23660667.419433594,-2119336.6050720215,3739546.537399292,8810933.113098145,6937172.889709473,-2549376.7261505127,-22142433.166503906,28454669.952392578,6368031.024932861,-18803331.37512207,-8347799.301147461,-2922196.14982605,5170454.502105713,3943052.5302886963,-2138411.9987487793,835199.5944976807,23406915.66467285,-9484595.29876709,-8865850.448608398,-7490499.973297119,-4348201.751708984,-3134251.832962036,133034.31868553162,-427196.32387161255,334643.1255340576,8949542.045593262,-8014998.435974121,-12064468.383789062,-7376495.838165283,-13078478.813171387,-16083951.950073242,-1802116.9900894165,-1965115.0703430176,-8170179.36706543,1665946.4836120605,-17387567.5201416,-16925199.508666992,-13274850.845336914,-18749942.779541016,-2643403.7685394287,-3993965.3873443604,-5290985.584259033,-11873329.162597656,-13406625.747680664,-5115274.429321289,-3259824.03755188,845667.30260849
0.01,29105850.219726562,57218078.61328125,21163684.844970703,19683029.174804688,40715877.532958984,-18922315.59753418,2005516.2906646729,4837145.3285217285,6980518.341064453,12459830.284118652,12286168.098449707,9379413.604736328,-4016871.452331543,-24939233.779907227,-12422564.506530762,-13050836.563110352,-864475.6078720093,3734727.382659912,8402999.877929688,7148918.151855469,-1836879.014968872,-25272922.51586914,45310539.24560547,17250926.971435547,-10237328.52935791,-2552089.4527435303,-228650.22718906403,7316181.182861328,2835944.890975952,337190.717458725,2815239.429473877,36559204.1015625,-6011593.818664551,-1767929.4347763062,-957237.8396987915,-1385565.7577514648,445240.46778678894,-2111128.568649292,-62328.26039195061,7114764.69039917,11731290.817260742,-6898682.594299316,-4600032.806396484,-2051514.6255493164,-3080146.074295044,-4143428.325653076,-355606.7943572998,-2806068.8972473145,-5452831.745147705,39255.57807087898,-4365703.105926514,-3575909.6145629883,-3782479.763031006,-3268516.778945923,-7281231.880187988,-9123555.183410645,-10145918.846130371,-1939491.7488098145,-4062266.3497924805,-1961763.620376587,-8326224.327087402,-2475781.9175720215
0.015,18338674.545288086,39576988.220214844,12525082.5881958,21991678.23791504,28531763.076782227,-12652847.290039062,19003618.240356445,4980489.253997803,2008438.3487701416,5201237.678527832,6022293.0908203125,7626990.795135498,-2151299.476623535,-20944250.106811523,1887731.3137054443,4627678.394317627,-375760.7936859131,733486.1755371094,2673094.0341949463,3370964.0502929688,-1281781.0773849487,-18107229.232788086,45519309.997558594,20930784.225463867,3666227.5791168213,5414107.322692871,2492581.367492676,6439717.2927856445,-348105.87763786316,3543640.613555908,4587090.015411377,35475028.99169922,-1172359.4665527344,6624751.567840576,7520823.001861572,2892493.724822998,4806475.639343262,-4004400.7301330566,946691.7514801025,12524836.540222168,9699493.408203125,-4317170.6199646,5599783.420562744,5506881.237030029,11189373.970031738,13992153.16772461,2465724.9450683594,-2842662.0960235596,441080.4212093353,-2076589.1075134277,12297286.033630371,13201733.589172363,8484384.536743164,19317749.0234375,-10585428.237915039,-12206527.709960938,-12440901.756286621,10171147.346496582,8200164.794921875,2517031.9080352783,-11720025.062561035,-7204885.959625244
0.02,4738074.30267334,19434343.338012695,865743.2198524475,17631731.033325195,14000723.838806152,-9570926.666259766,26408298.49243164,2569594.621658325,-2627993.34526062,-1961260.199546814,-1467649.1022109985,2846104.621887207,-3084552.526473999,-19803537.368774414,9573680.877685547,15232044.219970703,-286148.72694015503,-1832191.9441223145,-2482258.3198547363,-814406.2757492065,-3012564.182281494,-13676684.379577637,39517318.72558594,21397388.458251953,12512938.499450684,10201951.98059082,4428903.102874756,4900240.421295166,-2805006.742477417,4542503.833770752,3946483.612060547,29567852.020263672,2868574.857711792,12237959.861755371,13598255.157470703,6104163.16986084,7923421.859741211,-4168465.6143188477,1306555.2711486816,13738471.984863281,6539185.047149658,-678550.7798194885,13536645.889282227,11884464.263916016,21821907.04345703,27094039.916992188,5899805.545806885,-2199778.5568237305,4307679.176330566,-3094858.407974243,24359401.70288086,25130680.084228516,17948568.34411621,35850013.732910156,-10629798.889160156,-11931085.586547852,-12085929.870605469,19474534.98840332,17734865.188598633,7352320.194244385,-11526590.347290039,-8474740.982055664
0.025,-1390647.292137146,13967941.284179688,-5686545.372009277,10923683.166503906,9888259.887695312,-12996292.114257812,20567314.14794922,218696.28131389618,-2801603.078842163,-3209395.64704895,-4070044.0406799316,-1065249.2046356201,-7123681.545257568,-25297729.4921875,5021125.793457031,11691590.309143066,103089.20592069626,-1553546.9055175781,-3043287.2772216797,-2009266.3764953613,-6271088.600158691,-18003456.115722656,35699920.654296875,21241050.720214844,10557037.353515625,9022590.637207031,4500257.0152282715,4367975.71182251,-2795264.959335327,2654451.370239258,1262101.650238037,27332372.665405273,4542088.031768799,12820115.089416504,14349551.2008667,6369766.712188721,7946935.176849365,-2781977.1766662598,1031604.6476364136,10790441.513061523,6137159.824371338,2974260.091781616,15124755.859375,14045621.871948242,22679664.611816406,26868240.356445312,8162446.975708008,-958914.1607284546,3941661.596298218,-1559388.3991241455,25705167.770385742,26245746.612548828,19999351.501464844,36490203.857421875,-7108404.636383057,-8386869.430541992,-9373520.851135254,21602039.337158203,19855533.599853516,11132379.531860352,-7616295.81451416,-4617413.520812988
0.03,-3961618.9002990723,17294897.079467773,-8206427.574157715,1993156.4331054688,13538309.097290039,-21559864.044189453,4054640.293121338,-1754507.8992843628,-278406.67963027954,113084.11508798599,-1198443.4127807617,-1732378.363609314,-11013448.715209961,-31363512.03918457,-10128849.983215332,-2817152.976989746,208897.23300933838,598491.6687011719,39526.59294009209,373854.27951812744,-8434163.093566895,-25830287.93334961,33344547.271728516,18225532.53173828,-715945.9590911865,2715881.824493408,1600841.1645889282,4304476.737976074,-853471.040725708,-126866.10221862793,-670135.5576515198,28064220.428466797,2347215.8908843994,7847401.142120361,9221277.236938477,3132142.5437927246,4552552.223205566,-1266740.6797409058,1098183.8703155518,5698458.194732666,8896560.668945312,3548219.4423675537,8392350.196838379,10346020.698547363,12751168.251037598,13082592.010498047,7619629.383087158,148470.9531068802,493604.06398773193,1793699.5029449463,14139674.186706543,14593682.289123535,12046028.137207031,19997268.676757812,-2358173.608779907,-3776641.845703125,-5659121.513366699,13751989.364624023,11959297.180175781,11079552.65045166,-2566409.8262786865,766719.9969291687
0.035,-10066452.026367188,18202383.041381836,-11286071.77734375,-11033026.695251465,17383192.06237793,-34342811.584472656,-20164012.908935547,-5627042.770385742,744056.3440322876,3631666.898727417,3584276.9145965576,-208972.2752571106,-12657435.417175293,-33365688.32397461,-32164546.966552734,-23318460.46447754,-1754843.1158065796,2048731.5654754639,3798298.3589172363,4650048.732757568,-8854777.336120605,-31135540.008544922,28699607.849121094,9372859.001159668,-17802328.10974121,-6995345.592498779,-4371773.242950439,3514351.1295318604,1801298.8567352295,-2046528.8162231445,-27071.300894021988,26199865.341186523,-5034422.397613525,-2736819.02885437,-920522.5110054016,-3044017.553329468,-805767.3573493958,-197675.79436302185,1706122.5175857544,-348243.26634407043,12375275.611877441,-2155750.513076782,-6276596.546173096,954654.6936035156,-4862738.132476807,-8982580.184936523,4575789.451599121,-5771.46839350462,-5064261.913299561,4575003.623962402,-9196130.752563477,-8600968.360900879,-5887516.021728516,-8554255.485534668,875821.4116096497,-587990.9992218018,-2925481.5578460693,-4164442.0623779297,-5916835.784912109,4766089.916229248,745503.6640167236,3666959.524154663
0.04,-18405469.89440918,17009681.701660156,-14716864.585876465,-25346530.91430664,19853899.002075195,-49079990.38696289,-46372890.47241211,-11762616.157531738,-757338.7622833252,5436298.370361328,7109896.659851074,1160258.0547332764,-12624769.21081543,-33179035.186767578,-55111396.78955078,-44740306.85424805,-5889724.254608154,1709037.8999710083,6428500.652313232,8643297.19543457,-9244316.101074219,-33802509.30786133,23072792.053222656,-2412775.754928589,-35833335.876464844,-17478900.909423828,-11155379.295349121,2145627.021789551,4463565.349578857,-3004192.82913208,2362334.728240967,21330722.80883789,-15212533.950805664,-15811195.373535156,-12531210.899353027,-9984281.539916992,-5445158.004760742,1127078.7715911865,2267904.281616211,-6263084.411621094,15002989.768981934,-11772151.947021484,-23400646.209716797,-10255148.887634277,-23073682.78503418,-30620512.008666992,1681085.3481292725,-1148596.4059829712,-11471683.502197266,5833522.796630859,-36058891.29638672,-35273033.142089844,-27058378.219604492,-38001136.779785156,2447129.011154175,1029200.3154754639,-1578299.880027771,-25249752.044677734,-27057298.66027832,-4992095.470428467,2224965.3339385986,4652719.974517822
0.045,-22756048.20251465,19439901.35192871,-14545680.046081543,-32915687.561035156,22737613.677978516,-58039546.966552734,-62139099.12109375,-16056415.557861328,-2209647.1786499023,6117840.766906738,8563506.126403809,1743856.1916351318,-11522387.504577637,-32710025.787353516,-68310882.56835938,-57612098.693847656,-9138281.82220459,606723.3681678772,7270985.6033325195,10771172.523498535,-10342555.99975586,-35122150.42114258,21736099.243164062,-8809784.889221191,-46311923.98071289,-23794841.766357422,-14932730.674743652,1418797.7313995361,6384770.87020874,-3173860.788345337,4850153.44619751,19744626.998901367,-20967529.296875,-23610166.549682617,-19120069.50378418,-14181620.597839355,-6858805.6564331055,2820163.0115509033,2771528.720855713,-9022580.14678955,17650468.826293945,-16874660.49194336,-32989822.387695312,-16313903.80859375,-32409408.569335938,-41618518.8293457,1572685.1224899292,-1362369.418144226,-14921933.1741333,7093904.972076416,-51277915.954589844,-50488540.64941406,-38562705.993652344,-53116218.56689453,4217366.695404053,2793966.770172119,17628.731206059456,-36558933.25805664,-38587772.369384766,-10081969.261169434,3880112.1711730957,7102178.573608398
