time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,8492622.375488281,9856277.465820312,9828351.974487305,5645296.096801758,5658384.323120117,2423852.2052764893,2432832.717895508,2431996.1071014404,2975119.113922119,2808014.6312713623,3068928.2417297363,3516210.7944488525,4234001.159667969,3886253.833770752,620564.5799636841,1321667.0751571655,1191170.573234558,1227202.1770477295,1298966.2885665894,1855311.632156372,2315730.8101654053,2381782.293319702,2382876.396179199,-57195.00035047531,599512.3386383057,1007934.5703125,391552.8655052185,532452.404499054,1216428.3990859985,1083772.897720337,1366602.1823883057,1122232.0795059204,-119163.6398434639,388101.0711193085,779103.5175323486,194338.3663892746,-9077.985771000385,84620.96005678177,363781.8396091461,700278.0437469482,1119874.8350143433,-240280.95602989197,245956.31659030914,-8358.804509043694,508909.82151031494,-764322.817325592,-920524.537563324,338318.19891929626,-150891.0208940506,515300.452709198,295065.58179855347,269784.3909263611,363366.6932582855,-872079.1339874268,-211100.93593597412,60537.08493709564,58163.270354270935,-472101.21154785156,-140841.91620349884,-361373.99077415466,-608935.6541633606,-679420.2327728271
0.005,8790040.969848633,18026542.66357422,21279630.661010742,7049214.3630981445,13318434.715270996,2233833.5514068604,-327229.49981689453,-149556.9944381714,3702187.0613098145,5069812.297821045,9046487.808227539,11589049.339294434,8732387.54272461,4743278.026580811,-15511964.797973633,-3759593.0099487305,-2883479.356765747,-1008221.8647003174,1208321.9289779663,3825603.96194458,5348136.425018311,1293688.416481018,-5516481.399536133,-26027217.864990234,-582730.770111084,-5452447.891235352,-6128994.464874268,-989976.704120636,2926210.880279541,3299614.906311035,544545.05443573,-19557527.542114258,-1669713.4971618652,-5534143.447875977,225812.53945827484,-2522599.220275879,-145859.80772972107,286580.9500217438,3241105.556488037,741480.29088974,14743586.540222168,56161.27699613571,772199.4519233704,814813.0774497986,-2357008.218765259,119540.56471586227,-1188382.1487426758,1445202.7082443237,2035685.5392456055,8615113.258361816,3653931.6177368164,3141890.525817871,4466601.848602295,1231274.6047973633,253651.4401435852,4617589.950561523,4556923.389434814,4553273.2009887695,5423590.660095215,2984730.005264282,3428616.2853240967,1181220.1738357544
0.01,5367282.390594482,17203304.290771484,23186433.792114258,5112468.719482422,14486380.577087402,-865572.3333358765,-3604636.9075775146,-3230703.115463257,2981012.1059417725,5072121.143341064,10266796.112060547,12560439.109802246,7839391.708374023,2112160.9210968018,-24275733.947753906,-7875042.43850708,-6050487.995147705,-3163947.343826294,-360626.4293193817,2132790.3270721436,3753735.065460205,-1582381.4868927002,-10214115.142822266,-37076648.7121582,-2168544.5308685303,-7888917.446136475,-7724192.142486572,-2015739.6793365479,2051539.8979187012,2233928.918838501,-1928809.2851638794,-29152956.008911133,-1948366.5227890015,-8128788.948059082,46874.37787652016,-2749886.0359191895,-273590.7733440399,191242.70975589752,4221353.054046631,-452303.4989833832,19578874.588012695,646265.2087211609,1185803.4133911133,1749126.672744751,-3341681.957244873,1758395.9102630615,35584.01018381119,1947459.5785140991,2907708.8832855225,12407590.866088867,4504934.787750244,3836978.1970977783,5861836.910247803,1868653.7742614746,4479.0757820010185,5432059.288024902,5314718.246459961,6115470.886230469,7457124.710083008,3037748.336791992,3451689.0048980713,2052725.076675415
0.015,-2029539.5851135254,8107068.061828613,16261873.245239258,14076.290652155876,9400434.494018555,-6026686.668395996,-7167283.058166504,-6691654.682159424,466356.69469833374,2355070.3525543213,6427965.16418457,6292652.130126953,1674342.5130844116,-3360953.8078308105,-25448228.83605957,-10744326.5914917,-8561800.956726074,-5610074.043273926,-3544725.4180908203,-2981133.222579956,-1842863.3213043213,-5823396.2059021,-11859247.207641602,-34153236.389160156,-3646865.8447265625,-7550623.416900635,-5874441.146850586,-2933756.5898895264,-996074.9745368958,-1267950.2964019775,-4978353.977203369,-28153734.20715332,-971184.3729019165,-7143482.208251953,283954.32233810425,-1105720.7584381104,-254679.76927757263,219836.66718006134,3349883.0795288086,-1864477.1575927734,17491857.528686523,2527978.8970947266,2350574.016571045,3158450.3650665283,-1827906.9662094116,5012329.578399658,3540589.5709991455,2658174.2763519287,3770412.6834869385,12855155.944824219,4871700.763702393,4389523.983001709,7351359.3673706055,3992575.6454467773,1765656.3520431519,4931722.164154053,4840987.205505371,6974369.049072266,8663559.913635254,3156101.703643799,2693312.644958496,4058825.4928588867
0.02,-10301843.643188477,-1434349.6561050415,8191567.420959473,-5369419.574737549,3207143.545150757,-10003744.125366211,-10073604.583740234,-9689216.613769531,-2916026.1154174805,-1610376.1196136475,1054908.037185669,-1416988.6112213135,-5260170.936584473,-8362092.971801758,-24342582.70263672,-12518417.358398438,-10848799.705505371,-8247202.8732299805,-7104741.096496582,-8115434.646606445,-6929493.9041137695,-9335671.424865723,-13092435.836791992,-29630886.07788086,-4118640.899658203,-8200504.302978516,-5426036.357879639,-4289235.591888428,-3606053.352355957,-3548520.803451538,-6225236.892700195,-25632854.461669922,39539.78046774864,-5184902.667999268,680352.3898124695,33911.90990805626,-52698.083221912384,835350.513458252,2243332.862854004,-1676734.0898513794,16383600.234985352,5370024.20425415,4424546.718597412,4764268.398284912,787276.2084007263,9201416.969299316,8072984.69543457,4323662.757873535,6209691.524505615,13413283.348083496,7302542.686462402,7068533.420562744,12067756.652832031,9844400.405883789,7071269.0353393555,7008209.705352783,7031601.428985596,10856884.002685547,12698423.385620117,7335226.058959961,5836806.774139404,8361469.268798828
0.025,-15361521.72088623,-5471052.169799805,4430842.399597168,-8080437.660217285,231308.78806114197,-10901827.812194824,-11040508.270263672,-10826365.47088623,-5111993.789672852,-4204408.645629883,-1999991.774559021,-4853793.144226074,-8760821.342468262,-10642842.292785645,-24546878.814697266,-12970311.164855957,-11959519.386291504,-9599911.6897583,-9252954.483032227,-10215210.914611816,-8181930.5419921875,-10326441.764831543,-15066882.133483887,-30633996.963500977,-3458554.50630188,-10157761.573791504,-7395292.75894165,-5573274.1355896,-3942598.342895508,-2529257.05909729,-5010794.639587402,-26895126.342773438,-29838.422313332558,-4673758.983612061,931557.6553344727,-159726.21738910675,78402.38511562347,1683218.1215286255,2304285.0494384766,121038.25807571411,18808383.94165039,6448570.728302002,5504755.49697876,5276291.370391846,1988898.3964920044,11492835.998535156,10656848.907470703,5992110.729217529,8887859.344482422,14431464.195251465,9335856.437683105,9149733.543395996,16536325.454711914,15006998.062133789,11584609.985351562,9788448.333740234,9851059.913635254,14800119.400024414,16514396.667480469,11934690.475463867,10199707.03125,11106809.616088867
0.03,-14313362.121582031,-3149994.134902954,6198519.706726074,-6176285.743713379,1956057.9061508179,-9055321.69342041,-8971899.98626709,-8782369.613647461,-3722548.484802246,-3013710.2603912354,-854421.4963912964,-2222208.023071289,-7279289.245605469,-9679518.699645996,-24866209.030151367,-11435486.793518066,-10238137.245178223,-8062644.004821777,-8686686.515808105,-8580327.033996582,-5720962.5244140625,-8365911.483764648,-15799910.545349121,-33379306.79321289,-2344003.915786743,-10417777.061462402,-8461765.28930664,-5658683.300018311,-2269323.1105804443,578222.0959663391,-2600396.6331481934,-28688926.696777344,-1264970.302581787,-5568284.511566162,923735.1417541504,-576114.2373085022,-96692.81542301178,2071189.4035339355,3686062.812805176,2005134.105682373,20989784.240722656,3913591.8617248535,3904642.105102539,3998312.473297119,577257.3947906494,9829301.834106445,9610906.600952148,6402343.273162842,9236902.236938477,13705831.527709961,6759206.295013428,6394662.380218506,15013790.130615234,13560631.75201416,10247017.860412598,8619172.096252441,8559652.328491211,13019331.932067871,14301218.032836914,10457672.119140625,9521647.453308105,8152388.572692871
0.035,-8122905.731201172,2946722.0306396484,12317171.096801758,-316669.13628578186,7037482.738494873,-5900331.974029541,-4535958.290100098,-4175686.3594055176,1234721.8990325928,1508397.102355957,3235857.9635620117,3935690.6414031982,-2244929.313659668,-6112402.439117432,-23418724.060058594,-8272242.546081543,-5950751.781463623,-4436798.095703125,-5891784.66796875,-4911535.263061523,-1963454.3657302856,-4731850.147247314,-13602426.528930664,-33009906.768798828,-1450611.2337112427,-7955194.95010376,-6731672.286987305,-4477310.1806640625,-141958.84764194489,3129474.878311157,-412124.99141693115,-26766822.814941406,-3250868.082046509,-6289162.635803223,832260.4894638062,-343330.9495449066,-398105.0252914429,1867726.6836166382,5395431.041717529,2892555.4752349854,20737104.415893555,-142439.42499160767,926085.2336883545,2194300.413131714,-1927744.1501617432,5997912.406921387,6694233.8943481445,5891248.70300293,7237904.5486450195,11023426.055908203,752316.1172866821,143195.2267885208,8796854.972839355,7382212.6388549805,5004754.543304443,4015212.059020996,3853277.2064208984,6516726.016998291,7120489.597320557,4134027.9579162598,4187016.9639587402,1823809.3852996826
0.04,-2748161.3159179688,7682936.191558838,18273620.60546875,4532697.677612305,10783555.98449707,-3688483.953475952,-1141344.0704345703,-587831.7952156067,5387166.0232543945,4840346.336364746,5973813.056945801,8339482.307434082,2137833.833694458,-2420538.902282715,-21611106.872558594,-5823124.408721924,-2125021.21925354,-2040752.4108886719,-3449587.821960449,-2362143.039703369,153697.74401187897,-2064053.0586242676,-10493053.436279297,-31506673.81286621,-1204192.2807693481,-5568871.49810791,-4405143.260955811,-3403331.995010376,866880.0592422485,3455544.7101593018,751991.0931587219,-23051374.435424805,-5685544.013977051,-6199142.932891846,858120.1434135437,146784.2012643814,-426914.90054130554,1412896.5139389038,6086631.298065186,2679986.9537353516,20148189.544677734,-2181668.0431365967,-643913.6862754822,1582546.7109680176,-3087225.1987457275,3869358.0627441406,4999673.843383789,5446763.038635254,5156883.239746094,8648159.980773926,-3070497.0359802246,-3817082.643508911,5008075.23727417,4142142.7726745605,2131770.372390747,956977.2481918335,915437.638759613,2383025.1693725586,2206039.1902923584,527567.3866271973,723936.915397644,-1821472.6448059082
0.045,-5076465.129852295,5246848.583221436,17379138.946533203,2010885.7154846191,8094637.870788574,-5036575.794219971,-2611666.202545166,-1996767.9977416992,3432098.865509033,2459882.4977874756,3690197.467803955,7059370.994567871,1696527.7194976807,-2013115.644454956,-22260444.64111328,-6734698.295593262,-1923313.856124878,-3313949.8233795166,-3763245.8209991455,-3167021.5129852295,-892117.6791191101,-2276871.4427948,-9903447.151184082,-32950416.564941406,-1942357.5401306152,-6052033.9012146,-4276916.027069092,-3601725.3398895264,258504.86755371094,2029942.7509307861,682614.266872406,-22129943.84765625,-7737489.700317383,-6299570.560455322,718357.9206466675,122759.65511798859,-125783.24973583221,1009841.4421081543,5435417.175292969,1755462.5272750854,20778999.32861328,-1757094.144821167,-362674.2959022522,1851346.8503952026,-2591125.011444092,4818411.350250244,5436694.622039795,5002294.540405273,4338943.958282471,7911622.524261475,-2422194.9577331543,-3129417.1810150146,6490495.204925537,6506699.085235596,3160139.560699463,1272143.7215805054,1461120.7246780396,3695522.3083496094,2862065.7920837402,2336880.922317505,1815757.8706741333,-1245083.5704803467
