time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,9759917.259216309,11048134.803771973,10333446.502685547,4782575.607299805,5340941.905975342,320181.07175827026,457057.6846599579,469094.6936607361,795599.8778343201,2063231.2297821045,1836442.8281784058,1964836.0013961792,2108972.3110198975,2476953.2680511475,49468.040466308594,176858.93177986145,308562.9343986511,724400.6395339966,1540115.8332824707,1608303.9045333862,1773952.9609680176,2143367.290496826,2374716.9971466064,-121731.98908567429,-1004618.8831329346,-1110018.9685821533,-772598.147392273,-77353.17945480347,11360.492557287216,233961.8057012558,944645.0471878052,2381474.733352661,-527633.4881782532,-606808.9604377747,-1668267.7268981934,-1787588.2387161255,-32626.591622829437,-1188859.462738037,287692.4276351929,-1450451.9701004028,2366263.6280059814,-601569.8313713074,-642075.24061203,-613239.1095161438,-1661259.2935562134,-1578959.1073989868,-1262731.432914734,-1525219.440460205,-1606652.3790359497,-1463975.5487442017,-847587.1086120605,-729154.109954834,-689220.3688621521,-1543015.480041504,-1691491.8422698975,-1620546.6985702515,-1711288.8097763062,-742276.7877578735,-727808.8927268982,-1568863.868713379,-1648512.601852417,-1718419.075012207
0.005,66893096.923828125,69499114.99023438,63392375.94604492,30810253.143310547,32241004.943847656,5423147.201538086,6208771.705627441,6353694.438934326,12757842.063903809,11589378.356933594,10754534.721374512,11678844.451904297,11911071.77734375,-4912718.772888184,3725654.6020507812,3000557.4226379395,6971719.741821289,8394574.165344238,9441362.380981445,9625597.953796387,11657355.308532715,12229187.01171875,-5798707.008361816,2762961.8644714355,-2226084.2323303223,2100144.863128662,2813023.328781128,-777677.2379875183,211339.2949104309,-5113533.020019531,-7913404.941558838,-5942287.921905518,-268217.7722454071,58268.554508686066,-983833.1937789917,-219374.1649389267,28625.92414021492,-11193990.707397461,-3722742.795944214,-18790370.94116211,-5698987.4839782715,-420599.5798110962,-429238.31939697266,-71803.80821228027,-17351669.311523438,-16822698.59313965,-12787574.768066406,-19431074.142456055,-20488107.681274414,-19179206.84814453,-3300291.061401367,-1689203.2623291016,-937401.1754989624,-16708446.502685547,-20039915.084838867,-18477333.068847656,-19748403.549194336,-2163430.4523468018,-2002197.7424621582,-17255590.438842773,-18365983.963012695,-18170728.68347168
0.01,93639350.89111328,99357872.00927734,92566230.77392578,44608383.17871094,50008186.34033203,6746999.263763428,7756026.268005371,8012295.722961426,20487297.05810547,19522823.333740234,18738618.850708008,19852622.985839844,20250654.220581055,-3348340.7497406006,4477719.783782959,3428106.3079833984,9537022.590637207,11780446.05255127,16743652.34375,16967252.731323242,19592639.923095703,20692920.684814453,-4518782.615661621,3060986.042022705,-4595915.794372559,1963124.15599823,3319889.545440674,-1167870.8791732788,252534.83653068542,-4457615.375518799,-8041386.604309082,-4662105.560302734,-799483.4780693054,-479781.3594341278,-2775899.4102478027,-1169249.415397644,-88223.77026081085,-16328878.402709961,-2528295.7553863525,-24514928.817749023,-4360794.0673828125,-967041.8500900269,-1000073.1945037842,-619022.6078033447,-23649967.193603516,-22837108.612060547,-18511238.09814453,-25405197.143554688,-26781488.4185791,-24951581.954956055,-4848061.084747314,-2689607.3818206787,-1600557.9233169556,-22611072.540283203,-26351572.036743164,-24224847.7935791,-25900232.315063477,-3206161.0221862793,-3039418.935775757,-23402338.0279541,-24213323.59313965,-24050085.067749023
0.015,84428695.67871094,93654602.05078125,90596977.23388672,42463226.318359375,53237350.46386719,5685491.561889648,6492118.835449219,6839728.355407715,21641239.166259766,22360031.127929688,22801418.30444336,23624645.233154297,24208642.959594727,4474750.04196167,3868977.3082733154,2440203.905105591,8439775.466918945,10631639.48059082,20615777.96936035,20758964.53857422,22973091.12548828,24586626.052856445,3445984.363555908,2578470.7069396973,-6009189.605712891,85764.83279466629,1674725.4133224487,-1199476.0036468506,136748.2990026474,916772.8424072266,-1150786.6382598877,3362769.603729248,-488254.3087005615,-413833.23073387146,-5021985.5308532715,-3228783.369064331,-322490.06628990173,-15957672.119140625,2640120.029449463,-18882892.608642578,3550024.2710113525,-514668.22624206543,-694521.6059684753,-473259.18078422546,-20055246.353149414,-19060640.335083008,-17883007.049560547,-19685914.993286133,-20917123.794555664,-19105426.788330078,-3854440.689086914,-1989493.0124282837,-957244.2770004272,-18728410.720825195,-20732889.17541504,-18853422.164916992,-20330102.920532227,-2175696.1345672607,-2201675.8918762207,-19505123.138427734,-19094213.485717773,-19133354.18701172
0.02,57796955.10864258,68087776.18408203,69206237.79296875,30423944.4732666,43804244.99511719,4857350.826263428,5416639.32800293,5823696.613311768,17139471.05407715,18050834.65576172,20879167.556762695,21463186.264038086,22121809.005737305,8013345.718383789,3859570.264816284,1223796.3676452637,6491281.032562256,7864595.413208008,18887247.08557129,18902708.053588867,20884689.331054688,22397977.828979492,7138541.221618652,3136738.5387420654,-5509523.868560791,-729908.1683158875,484374.19533729553,-1100757.122039795,-17222.11204469204,4417408.466339111,3522408.7238311768,7000494.003295898,924367.4278259277,980408.8473320007,-5423684.597015381,-3947472.095489502,-498726.39775276184,-14081901.550292969,5848974.227905273,-12618254.661560059,7061302.661895752,1163459.062576294,764279.0079116821,972496.2711334229,-14897792.81616211,-13711346.626281738,-15781069.7555542,-13267649.65057373,-14512471.199035645,-12733503.341674805,-1441851.1390686035,111017.34638214111,996850.0733375549,-13349646.56829834,-14191779.136657715,-12604332.92388916,-13946539.878845215,227149.39713478088,-75168.25199127197,-14054081.916809082,-12987018.585205078,-13092316.627502441
0.025,33796031.9519043,42268367.767333984,45396667.48046875,17495616.912841797,29672803.87878418,2663376.3313293457,3246794.4622039795,3631645.2026367188,10680787.086486816,10048504.829406738,15392313.003540039,15936479.568481445,16487335.205078125,1847306.1323165894,2045649.766921997,-2162941.9326782227,4328773.498535156,5735268.592834473,13763501.167297363,13738856.315612793,16079418.182373047,16817220.68786621,973601.3412475586,1810609.9367141724,-6884890.556335449,-1758106.7085266113,-144259.85515117645,-1121953.6066055298,-148606.7771911621,2199966.4306640625,573074.221611023,698863.685131073,-333322.58462905884,10742.593556642532,-6217497.3487854,-4025908.4701538086,-594449.1624832153,-14966628.074645996,3644667.387008667,-14283497.81036377,690286.3383293152,75516.43252372742,-410581.91657066345,-19964.132457971573,-15968278.884887695,-14658076.286315918,-17018091.201782227,-14960351.943969727,-16483867.645263672,-14599671.363830566,-2419997.453689575,-780620.5153465271,132943.71962547302,-14355808.25805664,-15719277.381896973,-14131217.956542969,-15556488.037109375,-640197.8731155396,-1066444.2777633667,-15028046.607971191,-14450304.985046387,-14468873.977661133
0.03,17326274.871826172,23313884.735107422,26963592.529296875,8114358.901977539,18173109.05456543,-3296630.859375,-2497475.1472473145,-2225214.4813537598,5946642.3988342285,4580861.0916137695,10916188.24005127,11347041.130065918,11644834.518432617,-9305515.28930664,-4053953.170776367,-8982110.023498535,941851.0794639587,4264521.598815918,9737841.606140137,9766852.378845215,12419075.965881348,12181137.084960938,-10197030.067443848,-4222595.691680908,-12761797.904968262,-5262208.461761475,-1632296.9198226929,-1285097.8374481201,-314268.02277565,-3075118.064880371,-6541771.88873291,-10494496.34552002,-6530213.832855225,-5925475.120544434,-9841036.796569824,-5293446.5408325195,-726926.6247749329,-18285238.26599121,-1471889.853477478,-21478679.656982422,-10540256.50024414,-6191568.374633789,-6494469.64263916,-5969944.953918457,-22086893.08166504,-20849922.18017578,-20909700.393676758,-22314186.096191406,-23966852.18811035,-22079389.572143555,-8846371.6506958,-7028395.175933838,-5956525.802612305,-20649839.401245117,-22964834.213256836,-21334205.627441406,-22737493.51501465,-7014211.177825928,-7284700.393676758,-21295341.49169922,-21492969.512939453,-21492095.947265625
0.035,3528993.1297302246,8103135.108947754,12346276.28326416,1370313.048362732,11024997.71118164,-9943549.156188965,-9074628.829956055,-8904071.807861328,3757700.9201049805,3560544.013977051,8890278.816223145,9050315.856933594,9087615.966796875,-17304853.439331055,-10752714.157104492,-15226795.196533203,-2704442.262649536,2776015.281677246,8241306.304931641,8302739.143371582,10726248.741149902,9758447.647094727,-18186038.970947266,-11019416.809082031,-18386814.11743164,-8707278.25164795,-3333257.6751708984,-1419470.4294204712,-542325.7350921631,-6229445.457458496,-10957317.352294922,-18336662.29248047,-13059791.564941406,-12409198.760986328,-12933975.219726562,-6482353.210449219,-904519.4983482361,-19684152.603149414,-4553416.728973389,-25463695.526123047,-18382152.557373047,-12849401.473999023,-12837559.700012207,-12360822.677612305,-25583202.362060547,-24534702.30102539,-22438844.680786133,-26356737.13684082,-27825460.43395996,-26092576.98059082,-15409171.104431152,-13651671.409606934,-12499405.860900879,-24448324.20349121,-26926708.221435547,-25356889.724731445,-26617845.53527832,-13675598.14453125,-13661937.713623047,-25065633.77380371,-25373331.06994629,-25486310.958862305
0.04,-8128754.615783691,-4223704.814910889,1009383.0823898315,-3938007.354736328,6784006.118774414,-11443140.029907227,-10809708.595275879,-10624886.512756348,2386394.500732422,3167081.594467163,7392231.9412231445,7398920.53604126,7366438.865661621,-18154893.87512207,-11866044.998168945,-15553852.081298828,-3998044.967651367,1320323.4672546387,7126341.819763184,7225990.772247314,9185035.705566406,7935660.362243652,-19112813.94958496,-11968891.143798828,-17231397.62878418,-7539454.460144043,-3258551.3591766357,-1430495.9774017334,-705610.990524292,-5089941.97845459,-9505414.962768555,-19113082.885742188,-13578766.822814941,-12942645.072937012,-10597830.772399902,-5037642.002105713,-977112.5316619873,-16608737.94555664,-3386258.840560913,-22233482.360839844,-19103759.765625,-13270657.539367676,-13083355.903625488,-12721451.759338379,-22497840.881347656,-21548011.779785156,-18970390.31982422,-23019290.924072266,-24298477.172851562,-22645223.61755371,-15635894.775390625,-14038393.9743042,-12926711.082458496,-21591205.596923828,-23642229.080200195,-22044124.603271484,-23391769.409179688,-13979760.16998291,-13842331.886291504,-22196243.286132812,-21999795.91369629,-22227008.819580078
0.045,-12602191.925048828,-9399014.472961426,-3122780.0846099854,-6412694.931030273,5340853.214263916,-7285769.462585449,-6974627.0179748535,-6720149.993896484,673784.9116325378,300157.3085784912,5676174.163818359,5807758.331298828,5976564.407348633,-13101209.64050293,-7287658.69140625,-10737739.562988281,-2577891.3497924805,320889.413356781,5273415.565490723,5612478.733062744,7355596.542358398,6330302.2384643555,-14212918.281555176,-7030579.566955566,-10766064.643859863,-2768817.901611328,-1824744.1053390503,-1427829.8616409302,-640354.6929359436,-1476061.3441467285,-4115263.9389038086,-14207067.489624023,-8608649.253845215,-7930341.2437438965,-4785636.425018311,-2083959.3410491943,-875326.39503479,-11858088.493347168,302406.1918258667,-16049358.367919922,-14144821.166992188,-8022616.386413574,-7877957.820892334,-7592382.907867432,-17009328.842163086,-16014322.280883789,-13849367.141723633,-16753211.975097656,-18042737.96081543,-16321180.34362793,-10466832.160949707,-8862957.000732422,-7752443.790435791,-16187658.309936523,-17740530.014038086,-15975872.039794922,-17642873.764038086,-8741838.455200195,-8753217.697143555,-16719984.05456543,-16019802.09350586,-16302074.432373047
