time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-998902.8573036194,-5823842.0486450195,-8788459.777832031,2477064.609527588,906105.1607131958,-4460566.520690918,3838999.5098114014,3767047.882080078,819701.3735771179,3872419.1188812256,2611871.2425231934,-4867399.6925354,-4933509.349822998,-4678228.378295898,-7219638.824462891,-2497574.5677948,-774507.8802108765,2171441.7934417725,799215.3763771057,2556088.2091522217,-1504323.0056762695,-5837354.66003418,-4455925.464630127,-7273988.723754883,-7658479.2137146,-3677860.2600097656,1694618.9403533936,-18454.033881425858,-327316.7610168457,-6379368.305206299,-5591987.133026123,-4493169.784545898,-7244634.628295898,-2276340.7230377197,-4106347.08404541,-222642.30251312256,-66869.16202306747,-2098615.6463623047,-1694944.143295288,-3763953.924179077,-3706454.038619995,-7264374.256134033,-4081242.084503174,-4085899.3530273438,-3075897.216796875,-64290.22550582886,-2888279.914855957,-3115331.6497802734,-3198867.082595825,-3503892.421722412,-4088517.665863037,-4053205.0132751465,-1038644.552230835,-2031327.247619629,-3534679.889678955,-3495814.085006714,-3470662.1170043945,3703583.7173461914,3771157.0262908936,-1958527.684211731,-3533047.1992492676,-3502160.5491638184
0.005,790376.9016265869,-23291185.37902832,-35531967.16308594,-294336.6765975952,-4067815.7806396484,-14367098.808288574,974003.4341812134,-229242.54834651947,-1425089.716911316,2982844.591140747,-866074.5620727539,-13397052.764892578,-14635526.657104492,-12410157.203674316,8951934.814453125,-15917709.350585938,-11390920.639038086,-2944878.578186035,-706268.4893608093,-1268958.568572998,-9830633.163452148,-29845954.89501953,10670066.833496094,9316913.604736328,-31049461.364746094,-13271231.651306152,-3811689.1384124756,121818.31896305084,-3226974.2488861084,-9778789.520263672,-25397804.260253906,10790237.426757812,10246331.214904785,9165684.700012207,-1543897.6287841797,74820.74201107025,-578787.624835968,1682339.7874832153,7605160.236358643,20936735.153198242,20289434.4329834,11105483.055114746,-1417463.0641937256,-2090270.99609375,-3164647.340774536,1079078.5551071167,11815878.868103027,20636898.040771484,20890033.721923828,20983835.220336914,4818150.997161865,5360773.56338501,4681247.234344482,8213273.048400879,20695007.32421875,20095823.287963867,20410482.40661621,12148757.934570312,11469172.477722168,10239316.940307617,20493486.404418945,21489543.914794922
0.01,3897211.790084839,-26005027.770996094,-42993179.32128906,-6659137.725830078,-11300683.975219727,-17788095.474243164,-7353824.138641357,-9306484.22241211,-5831986.904144287,-3157018.1846618652,-7980717.182159424,-15701231.956481934,-17453781.127929688,-14324061.393737793,20473829.26940918,-20183786.392211914,-16853494.64416504,-9153614.044189453,-2961915.2545928955,-7417640.209197998,-13816112.518310547,-37107662.200927734,17273710.250854492,21202245.712280273,-34583747.86376953,-14280642.50946045,-9696082.11517334,367976.6654968262,-4308572.292327881,-5950928.688049316,-31078271.865844727,17693212.509155273,22456087.112426758,17531915.66467285,4565850.734710693,271643.5492038727,-645545.7806587219,6072017.192840576,13702169.418334961,36490478.515625,35456771.85058594,23831642.150878906,4630038.738250732,3611792.802810669,2254235.26763916,1905583.7392807007,22016906.73828125,35099002.838134766,35489788.05541992,36211952.209472656,14065445.899963379,14803446.769714355,6943790.435791016,13536781.311035156,35931411.74316406,34960834.50317383,35484973.9074707,10848528.861999512,9601543.426513672,16388757.705688477,35778873.443603516,36913562.7746582
0.015,8848619.46105957,-16959632.873535156,-32762031.55517578,-13084672.927856445,-17730117.797851562,-14172288.89465332,-16486808.776855469,-18551370.62072754,-10025423.049926758,-11203278.541564941,-15437863.34991455,-11754020.690917969,-13342167.854309082,-10082900.047302246,27653610.229492188,-15399353.02734375,-15852861.404418945,-14286350.25024414,-4889107.227325439,-13791841.506958008,-13058504.104614258,-29515254.974365234,18181604.385375977,28596401.21459961,-20517950.0579834,-7284160.614013672,-13893995.28503418,714453.2203674316,-3902689.9337768555,3164841.651916504,-23827888.48876953,18885328.29284668,29792390.823364258,23413782.119750977,13387655.258178711,398465.48438072205,-314802.7956485748,9681146.621704102,16339904.78515625,42360733.03222656,41291885.37597656,31156974.79248047,13311429.977416992,12248064.041137695,11120472.90802002,2251172.7809906006,25942283.630371094,39954010.009765625,40304828.64379883,41694015.50292969,22992509.841918945,23656169.891357422,6592111.110687256,14584417.343139648,41653682.708740234,40630649.56665039,41233386.9934082,3490171.6709136963,1927419.900894165,17271757.125854492,41681007.385253906,42334255.21850586
0.02,15292289.733886719,-9270111.083984375,-20272371.292114258,-13643272.399902344,-18548240.661621094,-7991772.174835205,-18236497.87902832,-19973188.400268555,-10245157.241821289,-14033442.497253418,-17268320.083618164,-5899789.810180664,-7136139.392852783,-3487154.006958008,34035160.064697266,-8538024.90234375,-11368205.070495605,-15655697.8225708,-4880556.106567383,-16455493.927001953,-10085666.65649414,-20847288.131713867,22554141.998291016,34989948.27270508,-6265867.710113525,193991.0352230072,-14498041.152954102,1032811.0456466675,-3323763.608932495,10911796.569824219,-14882919.311523438,23287040.71044922,36282787.32299805,29098733.90197754,21010068.893432617,556474.0896224976,15594.304539263248,11175517.082214355,18235870.361328125,45379657.74536133,44383899.6887207,37324268.34106445,20930078.506469727,19862670.8984375,17207918.167114258,2214072.4658966064,26031414.031982422,42354816.43676758,42668304.443359375,44410377.502441406,30630832.67211914,31201911.92626953,7040531.158447266,16096046.447753906,44582370.75805664,43679344.177246094,44231334.6862793,1052837.3718261719,-616825.6402015686,18616111.755371094,44654846.19140625,45024559.020996094
0.025,21315326.690673828,-8969748.497009277,-14969255.447387695,-8799682.6171875,-14094590.187072754,-3727728.1284332275,-12929809.5703125,-14512810.707092285,-7160826.683044434,-10726257.32421875,-13254960.060119629,-1657359.1232299805,-2721915.4834747314,1810561.2993240356,40234550.47607422,-5018853.664398193,-7766372.203826904,-14260657.31048584,-3192008.2569122314,-14979396.82006836,-7070163.249969482,-18395483.016967773,32160842.895507812,41074134.826660156,-2204897.64213562,2427584.648132324,-13322951.316833496,1182772.0403671265,-2810730.6957244873,15188280.10559082,-10364274.024963379,32726898.193359375,42619598.388671875,33880954.74243164,24607154.846191406,745212.8529548645,106332.13818073273,11476060.86730957,21745342.254638672,50485893.24951172,49444667.81616211,43499462.12768555,24698574.06616211,23540718.07861328,18330078.125,2082440.1378631592,26499198.91357422,47280769.34814453,47648448.9440918,49393497.467041016,35933090.20996094,36501075.744628906,9122559.547424316,20416210.174560547,49567413.330078125,48818344.11621094,49248867.03491211,6478292.465209961,4847989.082336426,23229766.845703125,49588562.01171875,50136142.73071289
0.03,23978168.487548828,-12808327.674865723,-15186348.915100098,-5233195.781707764,-10058527.946472168,-3043581.008911133,-8794184.684753418,-10746488.571166992,-5572840.690612793,-7385264.873504639,-9281806.945800781,-67285.66437959671,-1088682.6515197754,4107101.4404296875,43032211.30371094,-5269220.82901001,-7441802.501678467,-13976931.57196045,-2056518.316268921,-13000319.480895996,-4825395.584106445,-18783803.939819336,39641139.98413086,43777011.87133789,-4284338.95111084,-42368.5759305954,-14161158.561706543,1153216.2427902222,-1953151.7028808594,18893304.8248291,-7686943.054199219,40137695.3125,45291912.07885742,34708477.02026367,24652433.395385742,863662.5409126282,63335.247337818146,12378906.25,26327432.63244629,56213310.24169922,55033359.52758789,46428089.1418457,24896055.221557617,23666755.67626953,17978803.634643555,2105010.2710723877,29215209.9609375,53035110.47363281,53454071.044921875,55153518.67675781,37991088.8671875,38580368.04199219,10146040.916442871,25054832.458496094,55176170.349121094,54573970.794677734,54905948.638916016,12241859.436035156,10759232.521057129,28178342.819213867,55299880.98144531,55995513.916015625
0.035,22455177.307128906,-17536220.55053711,-17193784.713745117,-7589561.939239502,-11015521.049499512,-5134353.6376953125,-11067015.647888184,-13525724.411010742,-8695679.664611816,-9189197.540283203,-10064134.59777832,-862056.4341545105,-1797193.6464309692,3451192.855834961,41459911.34643555,-7417387.008666992,-9701237.678527832,-17179777.145385742,-3449973.1063842773,-13921265.602111816,-3756438.2553100586,-17720306.396484375,40184890.74707031,42212036.1328125,-4982842.922210693,-3079570.0550079346,-17882850.646972656,1066824.3169784546,-1340299.367904663,23626018.524169922,-4022760.8680725098,40818710.32714844,43356700.8972168,31713987.350463867,23959899.90234375,893481.433391571,65896.21305465698,14072451.5914917,29789072.036743164,59393886.56616211,58175792.6940918,44925601.959228516,24163305.282592773,22977348.32763672,19916877.74658203,2306320.1904296875,32679912.567138672,56187152.86254883,56545623.779296875,58416019.439697266,37469490.05126953,38075378.41796875,8030297.27935791,26909605.026245117,58338550.56762695,57812469.482421875,58144485.47363281,11766427.993774414,10470463.752746582,29904659.271240234,58686943.05419922,59151378.6315918
0.04,20529027.938842773,-21663549.423217773,-18985942.840576172,-14427924.156188965,-16449644.088745117,-7826992.511749268,-17948345.184326172,-20451633.45336914,-15368755.340576172,-15871366.500854492,-15167003.631591797,-2436422.348022461,-3273859.5008850098,1929704.4277191162,40294860.83984375,-9587797.164916992,-12388539.31427002,-23229175.567626953,-7394864.082336426,-18042181.01501465,-3799797.296524048,-14701575.27923584,38364337.92114258,41138412.47558594,-2197444.438934326,-3291739.9406433105,-21789375.30517578,1056961.8940353394,-2023654.9377441406,28399753.57055664,-475736.7670536041,39145912.170410156,42044525.146484375,29719154.357910156,25421669.006347656,993262.2909545898,138665.70591926575,15906090.73638916,31523715.97290039,60870784.759521484,59791946.41113281,43823863.9831543,25439990.997314453,24333719.25354004,24493856.43005371,2553343.0576324463,35310230.25512695,57348037.71972656,57574405.670166016,59878627.77709961,37596740.72265625,38244838.71459961,3998913.526535034,26530496.59729004,59902229.30908203,59240997.314453125,59669456.481933594,6312289.714813232,5117694.854736328,29162483.21533203,60227615.35644531,60405323.02856445
0.045,22187829.971313477,-23317790.985107422,-18821664.810180664,-21575048.446655273,-22810447.692871094,-9549173.355102539,-25606321.334838867,-27678440.09399414,-22501033.782958984,-23698551.177978516,-21291467.666625977,-2886577.367782593,-3747331.6192626953,1831208.58669281,43565605.16357422,-10988716.125488281,-14441308.02154541,-30116262.435913086,-12005411.148071289,-23226991.653442383,-4197424.411773682,-10405088.424682617,40094024.658203125,44537689.208984375,1561626.0766983032,-1008255.7201385498,-23728313.446044922,1176952.0044326782,-3807010.1737976074,32576061.248779297,1445103.406906128,40844013.21411133,45605953.216552734,31745498.657226562,29057102.20336914,1310727.7154922485,225981.53352737427,17939001.083374023,32755599.975585938,63015415.19165039,62104637.145996094,47312236.78588867,28907293.31970215,27827505.111694336,29361774.444580078,2740599.6322631836,37237850.189208984,58842876.43432617,58976173.400878906,61835205.078125,40409675.59814453,41084716.796875,38106.86245560646,26136371.612548828,62095939.63623047,61091423.03466797,61620403.28979492,305323.3027458191,-924735.6057167053,28605699.53918457,61995197.29614258,62279170.989990234
