time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,265323.7283229828,-79173.22963476181,-1133526.086807251,-340733.6175441742,-840493.8578605652,-996193.2301521301,95633.6036324501,136043.56348514557,63673.749566078186,-321443.7961578369,-357530.29584884644,-1715589.4041061401,-1754865.4079437256,-5110867.977142334,1795267.7011489868,409251.1534690857,-706417.977809906,-711497.9028701782,-123498.21627140045,-140140.50364494324,-1003201.6038894653,-1194953.0839920044,-2277538.537979126,-1392216.9208526611,197767.7047252655,-182460.32297611237,812318.5038566589,-39331.51811361313,-28495.66750228405,-1595744.013786316,-1576685.070991516,-2235350.8472442627,1332261.323928833,440255.37371635437,231404.3492078781,-165060.32645702362,-49.40021244692616,-1644538.8793945312,-1809015.8700942993,-1806914.8063659668,-2082912.6834869385,-1416222.4531173706,-1110575.6759643555,-2428678.512573242,-603831.1123847961,-31221.874058246613,-1649817.4667358398,-1967976.0932922363,-2002332.6873779297,-2024707.555770874,-531015.8133506775,-570120.1558113098,-1847899.5561599731,-44416.85602068901,-1847942.3522949219,-1934784.7700119019,-1951072.5736618042,-1884864.5687103271,-1331364.393234253,-972254.0378570557,-1820463.5381698608,-1822163.462638855
0.005,-9506829.261779785,-12071437.83569336,-11425539.016723633,-6954112.529754639,-8196641.92199707,-2906760.2157592773,-8483326.91192627,-7667156.69631958,-8087780.952453613,-10184871.673583984,-10908985.137939453,-8498462.677001953,-7933600.425720215,-5162206.172943115,-2091963.0527496338,-4967131.614685059,-4493306.1599731445,-5423020.839691162,-7370944.976806641,-7408854.007720947,-7744863.986968994,-9385303.497314453,-5081491.470336914,2743918.4188842773,-2160827.63671875,-1629242.7778244019,-3451282.024383545,206557.0503473282,-4619374.752044678,-7075656.414031982,-6500380.039215088,-4339652.538299561,8711115.837097168,1838627.4576187134,-1447915.79246521,-188813.13502788544,704638.3023262024,-2863509.178161621,-4675366.401672363,-4071017.7421569824,-3829572.6776123047,-6994052.410125732,-2486641.4070129395,-2287590.742111206,1288758.0394744873,523351.5501022339,-2213251.1138916016,-3740357.1605682373,-4353631.019592285,-4210093.021392822,1277162.5518798828,459124.4161128998,-1582435.3694915771,1072188.2581710815,-3219868.8983917236,-3035081.8634033203,-3048662.1856689453,-1143519.7591781616,-911967.0987129211,-1614727.8547286987,-3194069.6239471436,-3406645.7748413086
0.01,-13897724.151611328,-16711452.48413086,-15322034.83581543,-9540983.200073242,-10833102.226257324,-4405070.3048706055,-12127451.89666748,-11110496.520996094,-11642231.941223145,-13917763.710021973,-14971298.217773438,-12181256.294250488,-11514696.12121582,-7340981.960296631,-4065048.6946105957,-6866381.1683654785,-6810488.700866699,-7668798.923492432,-9939702.033996582,-10091517.448425293,-11107234.001159668,-13789677.619934082,-7489293.575286865,5510471.343994141,-2906479.835510254,-1850516.2000656128,-4864052.772521973,341015.7561302185,-6884513.378143311,-10442702.293395996,-9587657.928466797,-6379663.467407227,13956992.149353027,3723426.580429077,-995870.9478378296,-322582.9601287842,1023543.119430542,-4152462.4824523926,-7149655.342102051,-6380099.296569824,-5657776.832580566,-8445581.436157227,-2182312.250137329,-1565216.7797088623,2659294.605255127,879068.6130523682,-3257110.118865967,-5527915.000915527,-6225245.952606201,-6128374.099731445,3455036.163330078,2345520.7347869873,691094.5773124695,1557906.7468643188,-4625487.804412842,-4402722.358703613,-4613800.525665283,2238300.323486328,1212062.0012283325,590909.0638160706,-4379019.737243652,-4632012.844085693
0.015,-12889005.661010742,-14044037.818908691,-13322826.385498047,-8416213.989257812,-9135681.15234375,-5513363.361358643,-10698035.24017334,-9931583.404541016,-10401103.019714355,-11804495.811462402,-12813320.15991211,-12491827.964782715,-12198259.353637695,-11169703.483581543,-4254049.777984619,-5775074.481964111,-7564009.666442871,-7089828.968048096,-7946670.055389404,-8217966.079711914,-10854757.308959961,-14172302.24609375,-9326607.704162598,6188525.676727295,-2478843.2121276855,-1309995.7704544067,-3564419.746398926,387747.04933166504,-6440572.261810303,-11368503.57055664,-10516049.3850708,-8172449.111938477,14863944.053649902,4947846.412658691,715983.510017395,-422551.87034606934,956094.8610305786,-5414517.402648926,-8845991.134643555,-8277884.483337402,-7403819.0841674805,-8085250.8544921875,-1940005.3024291992,-1500744.104385376,2833581.2091827393,981985.8074188232,-4644810.199737549,-7196259.498596191,-7646386.623382568,-7683963.775634766,3999472.141265869,2996726.0360717773,2503881.9313049316,1455663.2041931152,-6038554.1915893555,-5952115.058898926,-6399097.442626953,4792773.246765137,2720133.3045959473,3196323.6331939697,-5496611.595153809,-5651618.480682373
0.02,-11132634.162902832,-10409845.352172852,-11316862.106323242,-7014324.188232422,-7509784.698486328,-7015831.94732666,-8364258.766174316,-7730169.773101807,-8194599.151611328,-9211927.41394043,-10093570.709228516,-11813091.278076172,-11909646.034240723,-14726028.442382812,-4526964.18762207,-5147114.7537231445,-7953403.472900391,-5647763.729095459,-5392116.546630859,-5680284.50012207,-9535982.131958008,-13352983.474731445,-10629324.913024902,4729972.362518311,-2747622.25151062,-1401796.1025238037,-1848206.2816619873,446446.9850063324,-4930321.69342041,-11176058.769226074,-10383150.100708008,-9530260.08605957,11328569.412231445,4102800.3692626953,832069.7546005249,-288297.23596572876,851867.0797348022,-6462610.244750977,-9639689.445495605,-9226488.11340332,-8774571.418762207,-10518058.776855469,-4322891.712188721,-3549350.7385253906,1749211.9073867798,935658.0376625061,-5801080.703735352,-8500348.091125488,-8881608.009338379,-8903735.160827637,1009329.5574188232,59734.07253623009,443270.4746723175,1298586.7261886597,-7287457.466125488,-7297653.1982421875,-7767334.461212158,1649327.9933929443,549129.843711853,2039319.9920654297,-6704233.646392822,-6799541.473388672
0.025,-12019623.756408691,-10502182.960510254,-12960901.260375977,-7344398.498535156,-8718531.608581543,-9620136.260986328,-8562172.889709473,-7718086.242675781,-8295811.653137207,-9791691.780090332,-10699321.746826172,-12307241.439819336,-12481842.041015625,-17398332.595825195,-5986806.392669678,-6885300.636291504,-9059267.9977417,-5615618.2289123535,-5257722.3777771,-5533777.713775635,-9382457.733154297,-13593578.338623047,-11481366.157531738,1848942.3990249634,-4517560.005187988,-2418506.622314453,-1149675.0116348267,529819.0712928772,-4243198.871612549,-11192583.084106445,-10338543.891906738,-10449709.89227295,6811615.943908691,1981882.6913833618,-1732415.9145355225,-89693.72510910034,995847.1059799194,-7223599.910736084,-9886870.384216309,-9362245.559692383,-9626355.171203613,-14704286.575317383,-8239971.160888672,-6853364.944458008,400187.6711845398,865813.4937286377,-6418360.710144043,-9279024.124145508,-9869807.243347168,-9782362.937927246,-3618248.701095581,-4740993.499755859,-3938218.116760254,1383532.4048995972,-8131874.084472656,-8127794.26574707,-8496599.197387695,-5282689.094543457,-3819766.5214538574,-1954893.3506011963,-7790455.8181762695,-7957887.172698975
0.03,-13712582.5881958,-12415517.807006836,-15700473.78540039,-8347454.071044922,-10836441.040039062,-12229007.720947266,-10332388.877868652,-9268307.68585205,-9931051.254272461,-11952588.081359863,-12978055.000305176,-13576885.223388672,-13614550.590515137,-19533428.192138672,-7393637.180328369,-9152187.34741211,-10530767.440795898,-7146210.193634033,-6839597.702026367,-7182099.81918335,-10216674.8046875,-14337818.145751953,-11796892.166137695,-421622.21670150757,-6299993.991851807,-3063293.218612671,-1030536.6516113281,537396.3713645935,-4770899.772644043,-11503342.628479004,-10510493.278503418,-10929839.134216309,5777622.699737549,1227796.196937561,-4649822.235107422,-254170.20916938782,1287212.0141983032,-7669854.164123535,-10038144.1116333,-9279527.66418457,-9888207.43560791,-14992650.985717773,-9818269.729614258,-8835809.707641602,-192824.72133636475,782332.6587677002,-6640868.663787842,-9467355.728149414,-10187240.600585938,-10152345.657348633,-5528294.086456299,-6800002.098083496,-5558131.694793701,1474378.4666061401,-8401805.877685547,-8336027.145385742,-8748055.458068848,-8870507.24029541,-5922900.199890137,-3677141.1895751953,-8255784.034729004,-8539643.287658691
0.035,-12293918.60961914,-11575555.801391602,-15152376.174926758,-8420099.258422852,-10470947.265625,-12199883.460998535,-10363397.598266602,-9399587.631225586,-10005628.58581543,-12288379.669189453,-13317121.505737305,-13565222.74017334,-13503807.067871094,-20012325.286865234,-6769296.646118164,-9169298.17199707,-10927663.803100586,-8192720.413208008,-7775722.980499268,-8169569.01550293,-10445634.841918945,-13718025.207519531,-11281497.00164795,469963.6399745941,-5950668.3349609375,-2075201.5113830566,-770992.9943084717,397329.5986652374,-5498608.589172363,-11283835.411071777,-10243083.953857422,-10666796.684265137,9556652.069091797,3231584.310531616,-4837120.532989502,-773630.9170722961,1377850.1749038696,-7587819.0994262695,-9995866.775512695,-9089410.781860352,-9341395.378112793,-9430697.441101074,-7351744.174957275,-8096691.131591797,-177683.84516239166,612603.3663749695,-6553075.790405273,-8951107.025146484,-9527490.615844727,-9731248.85559082,-2973924.398422241,-4159427.6428222656,-2543133.497238159,1234883.0699920654,-7999191.761016846,-7840594.76852417,-8415785.789489746,-5832570.552825928,-4393121.242523193,-1099358.7970733643,-7788270.950317383,-8095258.712768555
0.04,-7934486.389160156,-7833221.912384033,-11650937.0803833,-7716530.799865723,-7790543.079376221,-8600142.478942871,-7877951.622009277,-7202924.728393555,-7671873.569488525,-10525065.422058105,-11409395.217895508,-11677657.127380371,-11595040.321350098,-17291713.71459961,-4231490.612030029,-6985862.255096436,-9522505.760192871,-7158313.751220703,-7227788.925170898,-7492804.050445557,-9493603.706359863,-11564624.786376953,-10003924.369812012,4860074.520111084,-3249465.7039642334,278777.6589393616,-402956.0685157776,169239.02928829193,-5583757.8773498535,-10199028.015136719,-9276630.401611328,-9545526.504516602,15304286.95678711,6531206.130981445,-2074589.729309082,-996127.3074150085,1107189.2976760864,-6894971.84753418,-9410087.585449219,-8473431.587219238,-8091254.234313965,-2819081.0680389404,-3186590.6715393066,-5711035.251617432,-447911.41152381897,362958.52065086365,-6106410.980224609,-7885159.492492676,-8285654.067993164,-8645018.577575684,1290804.9821853638,287806.4215183258,1637067.3179626465,721496.4628219604,-7093924.045562744,-6803706.645965576,-7391199.588775635,-191101.47655010223,-2273964.4050598145,2064632.8926086426,-6768290.996551514,-6984519.004821777
0.045,-5537600.994110107,-6030838.966369629,-10261676.788330078,-7386803.150177002,-6745333.671569824,-4444601.058959961,-5932391.64352417,-5366981.983184814,-5781014.442443848,-9653451.919555664,-10436661.720275879,-10272916.793823242,-10134183.883666992,-13626249.313354492,-2121794.9390411377,-5207272.529602051,-7588306.903839111,-5243684.2918396,-6453470.230102539,-6474243.1640625,-8750102.043151855,-10121144.29473877,-9119855.880737305,9439552.307128906,-318302.1545410156,2522451.877593994,20089.011639356613,-25015.18651843071,-5429245.948791504,-9299193.382263184,-8555490.493774414,-8610131.26373291,18749444.96154785,8844957.35168457,903419.3158149719,-545844.4952964783,712422.6689338684,-6325376.510620117,-8817616.46270752,-7907112.121582031,-7318618.297576904,-696896.2550163269,-626082.1223258972,-3852186.441421509,-1275884.2706680298,170150.87604522705,-5810971.260070801,-7289525.032043457,-7711560.249328613,-7987026.214599609,3575531.7211151123,2614139.7953033447,2954916.9540405273,325132.0421695709,-6543067.455291748,-6183278.560638428,-6601835.250854492,2633518.934249878,-2220129.0130615234,1871523.0226516724,-6347918.0335998535,-6456773.281097412
