time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,1021219.1343307495,464337.14032173157,-1140148.9973068237,639358.5205078125,-743088.6030197144,1677572.7272033691,1998850.8224487305,917168.2000160217,-63702.210783958435,-23722.81812131405,-1467272.2816467285,-521108.62731933594,-513940.2747154236,-727319.598197937,1653570.4135894775,640450.8352279663,-482996.8214035034,38009.80746746063,553674.1018295288,-311794.2810058594,86723.14882278442,-156883.96990299225,-554599.8811721802,381023.01955223083,284209.4302177429,131621.89722061157,-350447.6249217987,136617.2730922699,-460620.85032463074,86234.09271240234,-116662.09250688553,-349562.04891204834,752231.9555282593,310769.4685459137,-174785.36069393158,154524.0581035614,-65519.27328109741,-189543.60485076904,-134624.95803833008,135470.6585407257,206185.07266044617,531123.8765716553,452437.4306201935,45490.03392457962,-123276.41248703003,-30028.16066145897,313989.43066596985,331406.26549720764,325537.8305912018,744929.3732643127,444676.9058704376,197223.5143184662,482946.2468624115,-54537.95939683914,347909.92736816406,394879.22191619873,439403.9809703827,498620.2120780945,464887.6488208771,-484648.31709861755,463379.05526161194,19610.682502388954
0.005,31900331.497192383,24145111.083984375,2480332.851409912,24328006.744384766,5808735.370635986,21365264.892578125,46511951.4465332,16397695.541381836,13827730.178833008,12343572.616577148,4433716.297149658,2893455.743789673,3131631.61277771,-14066267.013549805,20894741.05834961,568907.4993133545,-15570912.36114502,9274546.62322998,12922546.38671875,9520431.518554688,9239662.170410156,3731101.5129089355,-7198581.218719482,-15410081.86340332,-16733062.744140625,-8516427.040100098,716150.164604187,7873674.8695373535,7030401.229858398,7344430.446624756,2281566.381454468,-12648049.354553223,-10309702.87322998,-15473841.667175293,-15625043.869018555,-6600614.070892334,-1698300.2424240112,6648060.321807861,6299850.4638671875,5091168.403625488,-7316168.308258057,-15377197.265625,-16052127.838134766,-17587312.698364258,-15530176.162719727,-956155.3001403809,4728663.921356201,7345267.295837402,7155802.249908447,1165153.0265808105,-15840123.176574707,-17637641.90673828,-12458027.839660645,-2037918.3292388916,-2315318.1076049805,-2012748.7182617188,-3086663.4845733643,-12303997.993469238,-12930244.445800781,-12828598.022460938,-7145508.766174316,-20600751.876831055
0.01,43058063.50708008,32151256.561279297,2689366.8174743652,34393512.72583008,7608976.364135742,33167732.23876953,68725738.52539062,25092174.530029297,20768072.1282959,17788076.400756836,6101533.41293335,1844471.4546203613,2166644.811630249,-18932424.545288086,32477397.918701172,5087030.88760376,-19554615.020751953,14817825.317382812,18597166.061401367,13290516.85333252,12533885.955810547,4626945.495605469,-9854472.160339355,-16087036.1328125,-19999027.252197266,-9221279.14428711,3249068.49861145,11596941.947937012,9481979.370117188,8813983.917236328,2273452.2819519043,-18201339.721679688,-10381669.044494629,-17633283.615112305,-18047431.94580078,-7114476.203918457,-2162986.2785339355,7788144.588470459,6633214.950561523,5314736.843109131,-10947012.901306152,-17320386.88659668,-18213340.759277344,-20762510.299682617,-19892688.751220703,-1220856.3089370728,3557189.94140625,7129560.947418213,7140812.397003174,1208714.3659591675,-17986888.885498047,-20534147.262573242,-15197207.4508667,-2644909.381866455,-3792550.563812256,-3906780.242919922,-4960422.515869141,-15016961.097717285,-15990907.669067383,-16899887.084960938,-10241655.349731445,-28781417.846679688
0.015,31459720.611572266,20802124.0234375,-6000041.484832764,27418926.239013672,700824.499130249,33358055.114746094,64914009.09423828,23727767.944335938,17683319.091796875,13776766.777038574,501119.1964149475,-5043750.762939453,-4744241.714477539,-18687404.63256836,32679485.321044922,9734397.888183594,-16286813.735961914,13851348.876953125,16459589.004516602,9405332.565307617,9181455.612182617,2232484.3406677246,-9129173.278808594,-6573662.281036377,-12787623.405456543,-4757556.438446045,3928622.7226257324,10363623.61907959,6338033.676147461,5630160.808563232,571337.878704071,-16448717.11730957,-2029466.3906097412,-9246743.202209473,-10720463.752746582,-3434964.656829834,-1671096.4441299438,4078229.9041748047,3080487.012863159,3193418.025970459,-8990247.72644043,-7697796.821594238,-8641638.75579834,-12329868.31665039,-14675758.361816406,-901894.748210907,-244713.36603164673,3291252.374649048,3690324.068069458,3189826.9653320312,-8151418.685913086,-11016113.28125,-7859394.073486328,-2001847.267150879,-2662935.256958008,-2983951.3301849365,-2889943.1228637695,-7637381.553649902,-8759764.671325684,-12542899.131774902,-7441456.317901611,-22493375.778198242
0.02,13369908.332824707,2739713.430404663,-21406539.916992188,13069346.42791748,-12309967.994689941,26716371.536254883,50709632.873535156,15688125.610351562,8646894.454956055,4622175.693511963,-9438663.482666016,-14018376.350402832,-13713114.738464355,-21088846.20666504,26064496.994018555,7864378.929138184,-16903627.395629883,7955934.047698975,10820513.725280762,2407999.5155334473,3510865.6883239746,-1136706.5906524658,-8562421.798706055,-2529529.094696045,-8245489.120483398,-3206656.4559936523,225631.80327415466,6678843.4982299805,1725860.7149124146,3055957.078933716,-539556.086063385,-12816860.19897461,3655207.633972168,-3714310.1692199707,-6418541.431427002,-2003459.9304199219,-1340091.347694397,504964.35165405273,1825051.3076782227,3682420.253753662,-4075642.1089172363,-273261.04044914246,-1497524.4998931885,-6182448.863983154,-9921724.319458008,-637788.9513969421,-224541.26179218292,3743355.9894561768,4199633.598327637,7745077.610015869,-187693.2680606842,-3591623.306274414,80304.98027801514,-1363864.4218444824,434432.9833984375,1179450.8695602417,2348763.942718506,505623.81744384766,-762803.9717674255,-6967089.653015137,-2113291.2635803223,-11238409.042358398
0.025,9545928.955078125,-2844861.5074157715,-28684471.130371094,5952385.425567627,-20370565.41442871,24218755.7220459,44422573.08959961,9412364.00604248,2736795.18699646,-1275695.80078125,-14391414.642333984,-18250087.73803711,-17894159.3170166,-24484794.61669922,23421651.84020996,2268652.4391174316,-22678342.819213867,3670829.0576934814,6689521.789550781,-714275.7773399353,444823.0564594269,-2913577.5566101074,-9451820.373535156,-7207681.655883789,-10560966.491699219,-5891088.962554932,-3324747.5624084473,3959575.414657593,142700.15060901642,2975447.416305542,-592629.0154457092,-12496409.41619873,2291362.2856140137,-6217282.295227051,-9285183.906555176,-4318139.553070068,-1665840.983390808,-614994.5855140686,3572966.5756225586,6075164.794921875,-1523202.7769088745,-2061941.6236877441,-3687382.459640503,-8292946.815490723,-10849408.149719238,-819188.2967948914,3537072.8969573975,8092435.836791992,8159332.275390625,10484723.091125488,-1606790.4233932495,-5366514.682769775,839850.8429527283,-1501612.4248504639,2171655.1780700684,4461538.314819336,5497895.240783691,1478614.4495010376,60320.354998111725,-6168738.842010498,348200.11258125305,-6246603.488922119
0.03,24863716.12548828,10603315.353393555,-17136514.66369629,11947708.129882812,-14921466.827392578,32058128.356933594,50684242.248535156,10725269.317626953,5399117.946624756,931901.2761116028,-8619270.324707031,-14445734.977722168,-14094255.447387695,-21518234.252929688,31032272.338867188,2094834.327697754,-24933965.6829834,5873008.728027344,5996387.004852295,2497712.6121520996,1233497.142791748,-2445681.33354187,-9922051.429748535,-8968144.416809082,-12114647.86529541,-7139684.677124023,-852593.3623313904,3671643.9723968506,2005087.3756408691,2803485.155105591,-920735.3591918945,-15293281.555175781,264751.22570991516,-9468007.08770752,-12000555.038452148,-6181977.74887085,-2104986.4292144775,-952758.4314346313,3773273.706436157,5786999.702453613,-3586413.1450653076,-6608287.811279297,-8340167.999267578,-11962927.81829834,-13613924.980163574,-1207971.8112945557,5315445.899963379,9282069.206237793,8948698.997497559,7962180.137634277,-6206079.959869385,-9360752.10571289,-3315043.4494018555,-1999427.7954101562,652481.3175201416,3244453.4301757812,3178603.8875579834,-2731986.2842559814,-4116117.000579834,-8623389.24407959,-1579643.6071395874,-9289879.79888916
0.035,42714580.53588867,28145196.91467285,951001.1672973633,22431838.989257812,-2751889.944076538,44573467.25463867,60393737.79296875,16826826.095581055,12277969.360351562,7219337.463378906,759682.7149391174,-7951405.5252075195,-7684321.403503418,-14132092.475891113,43518196.10595703,9712530.136108398,-19991012.573242188,11493502.616882324,7362140.655517578,7039257.049560547,2975593.090057373,-1464040.2793884277,-9206935.88256836,-61011.92906498909,-7113870.620727539,-4069175.2433776855,5119437.694549561,4661247.253417969,3649101.0189056396,746056.5567016602,-2131240.8447265625,-17291225.43334961,4512018.68057251,-6298576.831817627,-9029611.587524414,-5020045.757293701,-2108496.66595459,-2114319.5629119873,682640.8505439758,2396513.4620666504,-6646000.385284424,-4774005.889892578,-6317143.440246582,-10208684.921264648,-13320128.440856934,-1375069.499015808,2945490.3602600098,5549251.556396484,5206750.869750977,4305685.520172119,-4540706.634521484,-6672095.29876709,-3792711.9731903076,-2133606.433868408,-1268309.9508285522,379202.3956775665,-342413.63406181335,-3504450.798034668,-4631802.558898926,-8244071.006774902,-3349576.950073242,-12165789.604187012
0.04,42664966.58325195,28588933.94470215,1385442.0185089111,24036853.790283203,-812647.9387283325,51120159.14916992,63793041.22924805,19811069.48852539,14102204.322814941,8623785.972595215,287123.7099170685,-8394575.119018555,-8183742.523193359,-13988161.087036133,50346961.975097656,17525955.200195312,-14879801.750183105,12922681.80847168,7822974.20501709,5785492.420196533,1622376.2035369873,-2729074.239730835,-9899789.810180664,12829554.557800293,579775.6314277649,-383689.13531303406,6117948.055267334,4661857.128143311,1538885.8318328857,-1904951.9300460815,-3699872.9705810547,-16536325.454711914,13835607.528686523,1215957.9992294312,-4038687.7059936523,-3207512.140274048,-1899648.7855911255,-3774197.578430176,-2357292.413711548,197863.6234998703,-6093388.080596924,3825207.9486846924,2347269.296646118,-4687174.320220947,-10483923.91204834,-1252294.3019866943,306062.4897480011,2843490.8390045166,2782508.611679077,6329612.255096436,4123616.2185668945,1939129.114151001,3595459.222793579,-1851440.3104782104,576898.8728523254,1837102.4131774902,1806694.8652267456,3695418.119430542,2788746.118545532,-2271318.197250366,251027.6734828949,-7392943.859100342
0.045,23718544.006347656,9223904.609680176,-20557641.983032227,13808466.911315918,-15517039.29901123,48204498.291015625,60137317.6574707,15786315.91796875,7433549.880981445,1113445.0435638428,-13426915.168762207,-18728322.982788086,-18473628.997802734,-25301130.294799805,47770080.56640625,18364845.275878906,-16735002.517700195,7191325.1876831055,4968465.805053711,-2556172.3709106445,-4214190.483093262,-7377410.888671875,-13977498.054504395,18996002.197265625,4200294.971466064,-382741.0340309143,-680665.4334068298,2216639.0419006348,-4036782.2647094727,-3914209.1274261475,-5584163.188934326,-15026678.085327148,21655376.434326172,6504012.584686279,-2797816.038131714,-3667601.8238067627,-1958760.0231170654,-5565275.6690979,-2855379.104614258,1160685.658454895,-2340348.0052948,12338599.20501709,10650385.856628418,-799665.1530265808,-8100625.991821289,-1077711.582183838,625866.4131164551,5224527.359008789,5357542.514801025,13638880.729675293,13055261.611938477,9496212.95928955,14086779.594421387,-1560692.9063796997,5963570.594787598,8320755.958557129,9571443.557739258,14309189.796447754,13341782.569885254,5802630.90133667,8452227.592468262,2986518.621444702
