time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-8987869.262695312,-15249637.603759766,-17720588.68408203,-2707274.4369506836,-3783193.1114196777,666228.6520004272,-204864.9936914444,-202226.84741020203,-149567.97659397125,-2516593.6946868896,1481998.2051849365,-894126.0576248169,37236.31054162979,726287.6629829407,1065001.7261505127,-180663.40684890747,-178697.79467582703,-222239.61353302002,-653160.1548194885,-705264.5683288574,1721764.8029327393,1306795.597076416,1294906.8546295166,821666.419506073,893584.668636322,-88069.20796632767,-187195.27125358582,476229.54845428467,-1799522.7575302124,696397.1853256226,1501153.588294983,1448366.403579712,1398734.0927124023,1390630.7220458984,-174888.7002468109,-764198.7204551697,-169471.30858898163,-633235.6929779053,-556330.5020332336,565200.0904083252,878358.3641052246,1459995.2697753906,1458380.5799484253,1459019.660949707,313188.8210773468,1410337.6865386963,-1619876.3847351074,449287.5039577484,1286917.0904159546,626664.9961471558,1436806.2019348145,1446544.7664260864,1426789.2837524414,1300384.9983215332,2530395.030975342,1838699.1024017334,1902985.5728149414,1364520.54977417,1446121.9310760498,1385322.6900100708,2721358.060836792,2131397.7241516113
0.005,7254355.907440186,-12427268.981933594,-11737579.345703125,-296666.86058044434,4902806.758880615,3326961.5173339844,-949984.6696853638,-277188.7481212616,913222.074508667,3798954.0100097656,9502558.708190918,7227483.749389648,8054099.082946777,5923934.459686279,-5615135.192871094,-602959.8116874695,-350215.4052257538,-759639.6207809448,1376504.3020248413,3168277.9788970947,8467700.958251953,6133231.639862061,4518384.93347168,-9779193.878173828,-4459664.344787598,747946.0835456848,-89866.45191907883,-262775.6595611572,-365027.87470817566,3105496.644973755,2577731.6093444824,2826721.9066619873,-5598785.400390625,-5201961.040496826,-7026433.46786499,-6583737.373352051,-3111236.810684204,-1401742.1007156372,-951539.3376350403,-4132915.0199890137,-978205.9192657471,-4187843.7995910645,-4459439.754486084,-4435352.325439453,-5041779.041290283,-4367839.336395264,-3963367.9389953613,1007340.0735855103,-4151842.1173095703,-3990614.652633667,-5012792.110443115,-4865625.858306885,-5831388.9503479,-6902926.445007324,-749410.6888771057,-260966.9268131256,827056.4079284668,-5813726.902008057,-5243884.086608887,-5422118.663787842,1866364.598274231,2384360.0749969482
0.01,15324497.22290039,-6594399.929046631,-1640841.2456512451,-945836.9612693787,9133120.5368042,706654.1314125061,-2811924.934387207,-1766887.1879577637,-130074.60534572601,5560338.020324707,11902885.437011719,11846035.00366211,11980246.543884277,8605971.336364746,-11538335.800170898,-2222311.7351531982,-1834056.7350387573,-2432148.218154907,1578389.286994934,4415063.858032227,11592253.684997559,9782547.950744629,6629287.242889404,-15736933.708190918,-7813576.698303223,-439519.2265510559,-1578921.4372634888,-588953.3162117004,1165438.8904571533,5079647.541046143,3790961.503982544,3613245.0103759766,-10741192.817687988,-10040578.842163086,-10420054.43572998,-8860093.116760254,-4447854.995727539,-1160797.4767684937,-946609.8546981812,-5451052.665710449,-2715626.7166137695,-8774003.982543945,-9145074.844360352,-9130312.9196167,-8325340.270996094,-9017514.2288208,-6034155.368804932,-257345.13998031616,-7755191.326141357,-7242716.312408447,-9920216.56036377,-9749680.519104004,-10907913.208007812,-12503321.647644043,-3777465.581893921,-2888279.1996002197,-1318887.5913619995,-11142874.717712402,-10139238.357543945,-10509870.529174805,-1749491.2147521973,-1450482.4876785278
0.015,14194360.733032227,-3333367.8245544434,4683289.051055908,-2770026.445388794,9183254.24194336,-3362374.3057250977,-3863550.1861572266,-2828692.674636841,-1353154.6592712402,4083729.2671203613,10875547.409057617,12980202.674865723,12333717.346191406,8886223.793029785,-13433122.634887695,-3181935.7872009277,-2855879.068374634,-3428689.479827881,1098076.1051177979,3201870.2030181885,11541911.125183105,11165320.39642334,7664133.548736572,-15647858.619689941,-8066691.3986206055,-1679439.3062591553,-2690090.8946990967,-197852.2390127182,1440888.524055481,5407409.191131592,4421117.782592773,3883411.645889282,-12900059.700012207,-12101500.511169434,-10447460.174560547,-8199567.794799805,-4249414.443969727,-775949.9549865723,-1726391.7922973633,-4332536.697387695,-4276032.9246521,-11144568.44329834,-11408580.780029297,-11470174.789428711,-9153020.858764648,-11175249.099731445,-7807193.756103516,-3114881.0386657715,-9516635.89477539,-8940769.19555664,-12168638.229370117,-12024012.565612793,-12818834.30480957,-14239948.272705078,-5261158.9431762695,-5668216.228485107,-4118714.8094177246,-13226871.490478516,-12170073.509216309,-12443927.764892578,-5708421.70715332,-6470995.903015137
0.02,12576755.52368164,-3926809.787750244,3725591.8979644775,-1151085.2575302124,10252022.743225098,-1772526.0257720947,-2040736.198425293,-1192357.1825027466,98057.19554424286,4319389.820098877,12314189.910888672,13837128.639221191,13082503.318786621,9124010.08605957,-9515864.372253418,-1423343.1816101074,-1296736.478805542,-1716338.1576538086,2156011.1045837402,2077580.6903839111,11146643.63861084,10284165.382385254,8190648.078918457,-11843422.889709473,-6058252.334594727,-176241.9492006302,-945230.6628227234,664106.547832489,-141375.18405914307,3781083.345413208,3430424.928665161,3698124.1703033447,-12380740.16571045,-11699954.03289795,-9836029.052734375,-7986324.787139893,-3803649.425506592,-1543347.4779129028,-4077015.8767700195,-4219279.766082764,-5887358.665466309,-10948937.41607666,-11035182.95288086,-11192784.309387207,-8817995.071411133,-10815373.420715332,-9116775.512695312,-5813254.356384277,-10819239.616394043,-9697835.922241211,-11805893.898010254,-11620937.34741211,-12242252.349853516,-13338175.773620605,-4900898.456573486,-8015000.343322754,-6595661.163330078,-12588014.602661133,-11669510.841369629,-11631660.461425781,-6390824.317932129,-7239901.065826416
0.025,18968292.236328125,1404206.5143585205,7524903.774261475,3989080.1906585693,15673801.42211914,3721032.6194763184,515285.0151062012,1318203.330039978,2664206.027984619,7377068.042755127,16315935.134887695,16372545.24230957,15948204.040527344,10356180.191040039,-4695713.520050049,1023171.5440750122,1023155.2124023438,773415.5654907227,4181759.834289551,2559881.9255828857,11263044.357299805,8561938.285827637,7864452.838897705,-8960307.121276855,-4550230.503082275,2375933.6471557617,1773175.835609436,1132695.6748962402,-1708464.503288269,1959565.9971237183,996965.5275344849,2455985.7845306396,-11317032.814025879,-10824066.162109375,-10483061.790466309,-9869509.69696045,-4040876.3885498047,-2942102.6706695557,-6298192.977905273,-6248020.172119141,-7966855.525970459,-9897476.196289062,-9905435.562133789,-10047842.025756836,-8769659.042358398,-10295596.1227417,-9487274.169921875,-7303211.212158203,-12473853.11126709,-9983989.715576172,-10737150.192260742,-10504935.264587402,-11335640.907287598,-12894929.885864258,-4712623.119354248,-10006340.980529785,-8661312.103271484,-12023177.146911621,-10716826.438903809,-10888176.918029785,-5078017.711639404,-4593969.345092773
0.03,28406150.817871094,14667570.114135742,21901338.577270508,6554015.159606934,21029050.827026367,3643717.5273895264,-335166.6033267975,675349.1163253784,2107946.3958740234,8825327.87322998,17332099.91455078,18511314.392089844,18133659.36279297,10517074.584960938,-6916487.216949463,180782.12440013885,279283.1361293793,124659.77668762207,4440208.911895752,3199940.6814575195,10631293.296813965,7611708.641052246,5907270.908355713,-11534737.586975098,-6150455.951690674,1671373.2481002808,1201638.6985778809,637129.7240257263,-1595185.63747406,1662498.950958252,-889850.6164550781,71370.6687092781,-12740400.314331055,-12323287.963867188,-12210837.364196777,-12432034.492492676,-5059259.89151001,-3490933.418273926,-6297338.008880615,-8432990.074157715,-10423021.31652832,-11205825.805664062,-11253588.676452637,-11229859.352111816,-9529370.307922363,-12336123.4664917,-8979252.815246582,-8167930.603027344,-13996376.991271973,-10177741.050720215,-12006684.303283691,-11885337.829589844,-12789859.771728516,-15236100.196838379,-6429144.382476807,-12000882.148742676,-10760580.062866211,-14194326.400756836,-12216086.387634277,-13031893.730163574,-5804390.430450439,-4906221.866607666
0.035,26455356.59790039,18128618.240356445,28575485.229492188,2172818.660736084,19070695.877075195,-5076575.756072998,-4440345.764160156,-3183206.796646118,-1763030.1713943481,5538070.6787109375,13735349.655151367,17481164.932250977,17011453.62854004,8010725.975036621,-16586366.653442383,-3761364.698410034,-3432786.703109741,-3623423.0995178223,2480831.6230773926,1985296.9646453857,9605455.39855957,8157824.516296387,3375204.563140869,-19749177.932739258,-10358782.768249512,-2398891.2105560303,-2765708.4465026855,-238681.31637573242,-1251127.4814605713,2266542.1962738037,87275.16233921051,-1445263.2665634155,-17497020.721435547,-17001827.239990234,-14205386.1618042,-14057346.34399414,-6745049.476623535,-3198686.5997314453,-4820405.006408691,-8844874.382019043,-11930909.156799316,-16038805.00793457,-16119247.436523438,-15947906.494140625,-11072996.139526367,-16719684.600830078,-8838549.613952637,-9202658.653259277,-14624867.43927002,-10646446.228027344,-16647476.196289062,-16769483.56628418,-17310138.702392578,-19562908.172607422,-8727426.528930664,-13638269.424438477,-12488249.778747559,-18601316.452026367,-16937049.865722656,-17643030.166625977,-8559444.427490234,-10499974.250793457
0.04,10608507.15637207,82063.2129907608,11972195.625305176,-4820326.328277588,11141474.723815918,-13385120.391845703,-7141416.072845459,-5869913.578033447,-4371361.255645752,997603.178024292,11347023.963928223,14971738.815307617,15116711.616516113,5959872.245788574,-24178222.65625,-6301349.16305542,-5846085.071563721,-6171216.96472168,1254266.619682312,-242694.1692829132,10850037.574768066,10441016.19720459,3444951.295852661,-27233951.568603516,-13687988.28125,-5126328.468322754,-5553283.214569092,-442210.19744873047,-2907051.5632629395,2316964.3878936768,4252842.903137207,708487.0338439941,-22205785.751342773,-21594686.50817871,-16156898.498535156,-15057239.532470703,-8781976.699829102,-3225880.1460266113,-4159097.671508789,-7406011.10458374,-10670945.167541504,-20949823.3795166,-20983434.677124023,-20886640.548706055,-13412616.729736328,-20190359.115600586,-10158229.82788086,-9823143.005371094,-14218761.444091797,-10941802.978515625,-21413682.93762207,-21653940.200805664,-21817848.205566406,-22744749.069213867,-9069138.526916504,-13987547.874450684,-12746335.02960205,-21929164.88647461,-21576757.431030273,-21264743.80493164,-9305060.386657715,-15742262.840270996
0.045,-1291591.2866592407,-18929065.704345703,-8214139.938354492,-6337187.29019165,7804543.972015381,-12362381.935119629,-6182428.83682251,-5109014.511108398,-3346209.2876434326,577160.0008010864,14531076.431274414,15537795.066833496,17033931.732177734,8988789.558410645,-21978826.52282715,-5343214.511871338,-4969323.15826416,-5410829.067230225,2581274.98626709,-931293.3087348938,14859849.92980957,14164298.057556152,7557205.2001953125,-26783023.834228516,-13615381.240844727,-4106745.719909668,-4773195.743560791,-51369.60372328758,-5725058.078765869,2021072.1492767334,9025429.725646973,6194937.705993652,-22361959.45739746,-21714851.37939453,-17769006.729125977,-16146789.55078125,-10104814.529418945,-3511986.255645752,-4441030.502319336,-4995142.936706543,-6771315.097808838,-21123914.71862793,-21111324.310302734,-21265916.82434082,-15963153.839111328,-20145618.438720703,-11929866.790771484,-8779269.218444824,-13253738.403320312,-9876353.26385498,-21732330.322265625,-21819175.720214844,-22076818.466186523,-22663730.62133789,-7447414.398193359,-12814011.573791504,-11385815.620422363,-21775445.93811035,-21755262.37487793,-21256395.33996582,-6627477.169036865,-14792357.444763184
