time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,4574417.1142578125,3808420.419692993,3010097.5036621094,3900396.3470458984,2131313.3239746094,543054.3422698975,572016.179561615,563162.624835968,2710314.7506713867,1051129.1027069092,1038523.0779647827,1005669.116973877,929298.9373207092,-1293925.8813858032,327265.05398750305,2068617.343902588,1998260.9748840332,6169.197149574757,192492.738366127,90353.19834947586,152254.8794746399,-442676.5739917755,-1279757.7381134033,305299.1330623627,1464929.3422698975,1658500.4329681396,-401691.4367675781,324683.8450431824,-677803.3971786499,-685541.9278144836,-489546.35858535767,-1189682.126045227,-3148653.030395508,-1208187.460899353,644352.1976470947,-514790.0581359863,176388.63623142242,258623.51059913635,-920242.6075935364,-2594380.8555603027,-2371076.5838623047,-1337576.5085220337,881550.6100654602,960276.6633033752,-420108.05010795593,445579.55861091614,-549371.8385696411,-219185.7099533081,-514305.2935600281,-2068261.3849639893,-960754.5137405396,-992868.6022758484,-1561903.8343429565,577451.1694908142,-1579364.29977417,-1592510.2233886719,-1768678.5459518433,11843.246407806873,-50050.08727312088,-287998.7061023712,-820069.2534446716,-2667653.0838012695
0.005,-323203.4742832184,3325747.013092041,-1100303.1730651855,4859580.039978027,-5634565.830230713,-12307096.481323242,-11970306.396484375,-11808886.528015137,1343153.8343429565,-6063487.0529174805,-5747375.011444092,-5803563.117980957,-6456704.616546631,-314594.6264266968,-14752704.620361328,-1548931.8370819092,2016456.6040039062,-1552608.4899902344,-4427186.489105225,-4628559.112548828,-4378702.163696289,-5312489.5095825195,290688.3955001831,-14734496.116638184,2563850.6412506104,-110613.57706785202,437923.6698150635,-6.102970473875757,846163.3920669556,586946.7258453369,-3250905.752182007,1190718.412399292,-41170982.360839844,-1960630.4168701172,-614455.0442695618,282251.5070438385,1223767.9958343506,3132799.6253967285,-213097.4531173706,-2731059.789657593,-6137209.892272949,-11616399.765014648,-4836241.722106934,-959213.137626648,752982.8548431396,3172172.784805298,3119203.567504883,2331109.5237731934,1821679.5921325684,-3004583.5971832275,-6781417.8466796875,-7291861.534118652,259937.97183036804,4703474.998474121,1599299.7884750366,884805.0832748413,-1590231.5378189087,8267879.486083984,7393722.057342529,8763086.318969727,5256283.283233643,-10220376.014709473
0.01,-70804.46928739548,4961805.34362793,-1262692.6898956299,7328509.330749512,-8057701.110839844,-18897445.678710938,-18331159.591674805,-18038841.247558594,3180261.1351013184,-8423125.267028809,-7941515.922546387,-8097054.481506348,-9074044.227600098,-2318914.8902893066,-22444765.090942383,-2046051.5022277832,2928261.9953155518,-2700542.211532593,-6228910.92300415,-6648171.424865723,-6303503.036499023,-8104557.991027832,-1444921.4935302734,-22478446.96044922,3477733.850479126,-92497.00605869293,-16561.8434548378,897784.7695350647,432469.60639953613,-81165.52233695984,-5932554.721832275,3862.2720167040825,-61675239.56298828,-5104581.832885742,-1699293.613433838,-446816.8318271637,1696961.522102356,4303296.089172363,-2354199.4094848633,-6147531.509399414,-10801941.871643066,-19854137.420654297,-7831564.903259277,-1851546.049118042,416675.50802230835,3838196.9928741455,3986750.602722168,2010331.8691253662,726907.1936607361,-6851026.53503418,-13033413.887023926,-13877709.38873291,-2583870.8877563477,5783412.933349609,230460.42025089264,-596279.3827056885,-4646274.089813232,8800813.674926758,7733230.113983154,9626925.468444824,5056637.287139893,-19471197.1282959
0.015,4324797.630310059,7661978.721618652,1454570.1742172241,9715174.674987793,-6506917.953491211,-19561847.686767578,-18834415.435791016,-18632854.461669922,5996054.649353027,-7397126.6746521,-6913311.48147583,-7224987.506866455,-8273396.4920043945,-7181820.869445801,-23033729.553222656,-697601.6759872437,3343767.6429748535,-4042924.8809814453,-6070930.957794189,-6763696.193695068,-6395974.636077881,-9645868.301391602,-6361093.521118164,-23126235.961914062,3549818.515777588,685935.9741210938,-1850381.9704055786,2146797.1801757812,-1739551.7826080322,-2389796.733856201,-8657506.942749023,-4655447.006225586,-64034675.59814453,-9787229.537963867,-2793769.598007202,-2421346.90284729,1706830.1439285278,3850808.3820343018,-6527683.258056641,-12050271.987915039,-16087404.251098633,-24818132.400512695,-8367205.619812012,-1906104.9222946167,-787515.2826309204,3211245.7752227783,2682271.957397461,-861326.1580467224,-3501665.5921936035,-13325076.10321045,-18545372.009277344,-19429269.790649414,-8322854.995727539,4310678.005218506,-5133588.3140563965,-5672273.635864258,-10974714.279174805,2987072.706222534,2151895.046234131,3248743.0572509766,-1182810.1873397827,-28715440.75012207
0.02,6235138.893127441,7809475.898742676,2486179.828643799,8571618.08013916,-6338425.636291504,-19035463.333129883,-18240001.678466797,-18391304.01611328,4993279.457092285,-7630754.9476623535,-7203866.958618164,-7583067.893981934,-8603573.7991333,-10836273.193359375,-22078746.795654297,-1232386.589050293,1452073.574066162,-5955443.382263184,-6578755.855560303,-7388809.680938721,-7009174.346923828,-11328173.637390137,-10168477.058410645,-22078823.08959961,2313671.588897705,-74127.07805633545,-3656713.4857177734,1821570.1580047607,-3476341.2475585938,-4019297.1229553223,-10578364.372253418,-8408493.995666504,-59406181.33544922,-12259169.578552246,-3734211.4448547363,-3674871.9215393066,1729097.1279144287,3132832.7655792236,-8661018.371582031,-15335690.49835205,-18899398.803710938,-25558172.22595215,-8266874.313354492,-1902437.8061294556,-800042.7484512329,3456999.0634918213,2215162.992477417,-2708979.1297912598,-6315600.872039795,-17338407.516479492,-20229436.87438965,-20825775.146484375,-10313114.166259766,3601348.1616973877,-8229532.241821289,-8660442.352294922,-15042646.408081055,-587903.0227661133,-1369536.5190505981,-1292827.7254104614,-5907063.961029053,-31882526.397705078
0.025,1479095.220565796,4136660.575866699,100461.63946390152,3517707.8247070312,-8962874.412536621,-19528369.903564453,-18862873.077392578,-19299087.524414062,-10007.491335272789,-9964447.975158691,-9583771.705627441,-9797589.302062988,-10761828.422546387,-8755779.266357422,-22435371.39892578,-4233040.809631348,-1763788.2232666016,-7415956.020355225,-7973234.176635742,-8609731.674194336,-8248833.656311035,-11684456.825256348,-8215127.944946289,-22186510.08605957,678846.6572761536,-2313948.392868042,-3940074.682235718,-297818.8097476959,-2892416.9540405273,-3142085.7906341553,-9670265.197753906,-6564787.3878479,-54610591.888427734,-9911358.833312988,-3568362.7128601074,-2760147.5715637207,1879598.1407165527,3149508.9530944824,-5899719.715118408,-11740797.04284668,-15204840.660095215,-21463167.190551758,-7597404.003143311,-1668709.635734558,1300853.7292480469,5133534.4314575195,4274233.818054199,-247020.73633670807,-3222116.231918335,-13129302.024841309,-15765714.645385742,-15947196.006774902,-4927868.843078613,6123759.746551514,-3208621.5019226074,-3814395.1892852783,-9997341.15600586,3806743.1449890137,2793324.7089385986,3078065.6337738037,-1476262.092590332,-23933815.002441406
0.03,-4911312.103271484,1341198.8019943237,-1933787.8227233887,-413140.1777267456,-10192175.86517334,-19095623.016357422,-18706935.88256836,-19020206.451416016,-3617772.102355957,-10923341.751098633,-10544765.47241211,-10427984.237670898,-11300425.52947998,-1714486.837387085,-22115488.052368164,-5802349.090576172,-3225431.442260742,-7515703.201293945,-8339136.123657227,-8640578.269958496,-8374692.916870117,-8616202.354431152,-1302210.0925445557,-21640296.936035156,811639.1897201538,-3319106.340408325,-2997718.572616577,-2194414.3772125244,-664141.1781311035,-646271.7652320862,-5571962.833404541,163022.14562892914,-49272064.208984375,-4691963.672637939,-1712561.7265701294,-632181.3464164734,1920879.84085083,3958892.1070098877,-484587.1329307556,-3917863.607406616,-6179352.760314941,-14322075.843811035,-4922013.282775879,-85291.66132211685,4288059.234619141,7247674.942016602,7736219.882965088,5621314.04876709,4481290.817260742,-2381638.526916504,-7467950.820922852,-7427828.788757324,3745440.2446746826,11263479.232788086,7703931.80847168,7026289.939880371,2612188.8160705566,13048912.048339844,11925787.925720215,13477400.779724121,10659706.115722656,-9175178.527832031
0.035,-2973918.676376343,5883568.76373291,739705.3241729736,2479017.2576904297,-6900889.3966674805,-16121381.759643555,-15852392.196655273,-15753682.136535645,-1690955.8773040771,-8904811.85913086,-8439647.674560547,-8127620.697021484,-8923412.322998047,2919750.213623047,-19187051.77307129,-2622642.993927002,-1606736.3023757935,-7167015.552520752,-7496688.8427734375,-7632775.30670166,-7480752.468109131,-4582525.253295898,3241435.2893829346,-18687124.252319336,3833915.4720306396,-1339084.7444534302,-2623828.411102295,-2085987.0910644531,288830.96575737,392721.2059497833,-2098424.196243286,4684989.929199219,-44618000.03051758,-1544686.198234558,713153.5410881042,334647.7448940277,1819863.9154434204,4989585.399627686,1843598.9618301392,-373268.187046051,-314323.1272697449,-8924100.875854492,-739357.8290939331,2970762.9680633545,6266581.5353393555,9195410.72845459,10327445.983886719,9982119.5602417,9647659.301757812,4545082.569122314,-1822317.0042037964,-1899610.0425720215,8069970.13092041,16091896.057128906,14902704.238891602,14416299.819946289,11084873.19946289,19174203.872680664,18236801.147460938,20242195.12939453,19929496.76513672,-543108.4632873535
0.04,10928319.931030273,18014032.3638916,7383045.673370361,12330577.850341797,-1655724.6446609497,-11487010.955810547,-10978513.717651367,-10590801.239013672,4263673.782348633,-6636624.813079834,-6007825.85144043,-5887799.263000488,-6698648.452758789,-2169709.2056274414,-14489172.93548584,4166446.2089538574,1807191.014289856,-7402613.162994385,-7629268.169403076,-8012080.192565918,-7875856.399536133,-5579474.449157715,-1750040.4119491577,-14198416.709899902,8405994.415283203,2363634.1094970703,-3498979.091644287,-434719.17510032654,-2225784.0633392334,-2207295.8946228027,-4403708.457946777,-27596.39173746109,-45159385.681152344,-3015055.4180145264,1879297.2564697266,-764392.5547599792,1846246.4809417725,5339103.698730469,-2188057.4226379395,-6607025.146484375,-5571273.8037109375,-9253347.396850586,1785720.705986023,5665328.502655029,6428694.725036621,10719244.956970215,10606389.999389648,8687376.022338867,6547762.393951416,-868827.8794288635,-3334128.8566589355,-3688583.3740234375,4721876.14440918,17501758.575439453,11535821.914672852,11219750.40435791,6056201.934814453,17469175.338745117,16704280.853271484,17291385.650634766,17639619.827270508,-6853033.065795898
0.045,29583494.186401367,30385206.22253418,13405941.009521484,23767850.875854492,1207359.3139648438,-5661090.37399292,-4800097.465515137,-4416268.825531006,10533699.989318848,-6241623.401641846,-5500170.2308654785,-5861072.540283203,-6748078.8230896,-15498838.424682617,-8675327.30102539,11160004.615783691,5972324.848175049,-6764886.379241943,-9370331.764221191,-10274415.969848633,-10057616.233825684,-13240845.680236816,-14766507.148742676,-8706080.436706543,12326866.149902344,5628556.251525879,-3863902.807235718,983071.0887908936,-6852437.0193481445,-6987801.074981689,-12495918.273925781,-12709156.036376953,-49656883.239746094,-6093544.006347656,1661697.8645324707,-2207598.6862182617,2072867.1550750732,4342916.965484619,-9432061.195373535,-18078149.795532227,-19245964.05029297,-13572236.061096191,820660.7103347778,6094130.516052246,5280524.730682373,10688568.115234375,8568359.375,2762022.2568511963,-2503736.734390259,-14691614.151000977,-9290400.505065918,-9775099.754333496,-2494511.842727661,14225708.0078125,1215535.7599258423,842319.0712928772,-7616652.488708496,10132107.734680176,9287004.470825195,7926054.000854492,6501071.453094482,-22306810.37902832
