time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1891082.0484161377,-2461898.3268737793,-2802681.6844940186,-424002.081155777,-1714851.0217666626,-210574.83553886414,-275241.6133880615,-299543.94698143005,-177334.2788219452,-283099.4725227356,-999470.4127311707,-2021579.5040130615,-2080505.609512329,-2521821.7372894287,739045.3219413757,318584.680557251,-732916.2955284119,-36553.61384153366,-372386.06810569763,-135299.57830905914,-1360727.1909713745,-2095243.4539794922,-2582000.255584717,-787644.8035240173,401379.5256614685,-378823.04191589355,-310690.67120552063,82922.25003242493,-281589.47825431824,-1241722.2261428833,-1389596.5814590454,-2559033.3938598633,-1102879.4050216675,-565473.8545417786,-941529.9296379089,153716.25125408173,92340.52896499634,-666702.2109031677,-997806.7278862,-926049.0536689758,-885292.0532226562,-333977.8482913971,-533518.9700126648,-493392.1694755554,-44695.1650083065,-419185.90664863586,-356647.9980945587,-688638.44871521,-662887.5136375427,-650648.2362747192,-520334.78021621704,-458259.9401473999,-545272.8271484375,-410414.9341583252,-641501.0690689087,-694805.6817054749,-673465.0731086731,-240929.09693717957,-202216.32719039917,-140181.22851848602,-630741.2385940552,-654217.6604270935
0.005,10185261.726379395,1133435.3685379028,-92319.48852539062,8965944.290161133,-3715978.6224365234,11485334.396362305,10389527.320861816,10646183.013916016,6089999.675750732,1628178.358078003,-2209044.2180633545,-9533212.661743164,-10379456.520080566,-9590972.900390625,11730307.579040527,15210426.330566406,6060844.421386719,5501468.181610107,290112.82324790955,-1597710.4902267456,-6782806.873321533,-12214596.74835205,-10697427.749633789,-21515232.08618164,13711512.565612793,6626746.654510498,2587722.063064575,1438329.1006088257,-1898879.7664642334,-7659150.123596191,-9742962.837219238,-10601101.875305176,-15869187.355041504,-2936246.871948242,4072437.7632141113,2404207.468032837,1394833.9223861694,-4474570.274353027,-6636385.917663574,-1978755.4740905762,-715574.0857124329,-8430779.457092285,-4104441.1659240723,-2879909.038543701,-317930.4897785187,-1995463.9673233032,1539028.7637710571,-3715262.8898620605,-2770684.003829956,-2539500.951766968,-8390433.311462402,-6690873.622894287,-7259799.957275391,-1664867.639541626,-2691470.6230163574,-3809555.5305480957,-3431833.9824676514,-5213382.720947266,-5758388.996124268,-1572852.8499603271,-2268167.9725646973,-6280865.669250488
0.01,21153020.85876465,5948502.540588379,3001273.8704681396,17266674.041748047,-3011325.8361816406,21838678.35998535,20326637.268066406,20457227.70690918,11502865.7913208,3665868.2823181152,-1207977.4141311646,-11994060.516357422,-13206089.01977539,-13157942.771911621,22432725.90637207,24909156.799316406,10816946.983337402,8602183.34197998,1656841.75491333,-1599557.0421218872,-8921626.091003418,-16692371.368408203,-14646172.523498535,-24764865.87524414,21836017.608642578,10514358.520507812,3886124.849319458,1971671.7004776,-2463538.16986084,-10534075.736999512,-13293475.151062012,-14580234.52758789,-18233558.654785156,-1521288.0373001099,6622937.6792907715,2753483.295440674,1766263.0081176758,-5883404.731750488,-10206215.858459473,-2756126.642227173,-960045.5164909363,-9244593.620300293,-4479983.329772949,-2797297.0008850098,-2141358.8523864746,-5079283.714294434,112823.21065664291,-6328365.802764893,-4946260.929107666,-4578577.995300293,-10610965.728759766,-8447248.458862305,-9082060.813903809,-4710131.1683654785,-4802264.213562012,-6544591.426849365,-5910316.944122314,-6327714.443206787,-7673913.478851318,-2238911.1518859863,-4172067.642211914,-8521769.523620605
0.015,26498329.162597656,9703097.343444824,5692379.474639893,19647930.145263672,-1217471.3611602783,25188711.166381836,23815616.607666016,23551387.786865234,11946416.854858398,3153667.449951172,-334678.44128608704,-10229393.005371094,-11405549.049377441,-12920866.012573242,26534648.895263672,24686832.427978516,9811379.432678223,5996902.4658203125,1310982.9425811768,-1657388.0910873413,-8550514.221191406,-15748353.958129883,-14235118.865966797,-17435716.62902832,20338569.64111328,8331830.024719238,1995693.0875778198,676699.161529541,-2587470.531463623,-10337945.938110352,-12164976.119995117,-14165243.148803711,-13131497.383117676,-290359.9143028259,4620846.748352051,893082.7379226685,1253290.057182312,-4813185.691833496,-11226159.09576416,-3094606.1611175537,-1494934.08203125,-6715628.147125244,-4155120.372772217,-2645078.182220459,-4380100.727081299,-7255191.326141357,-1773719.6683883667,-7634035.110473633,-6291769.027709961,-5874922.752380371,-9718910.217285156,-7993605.136871338,-8407125.473022461,-7059734.82131958,-6101563.453674316,-7926234.245300293,-7227718.353271484,-5700027.942657471,-7732805.252075195,-2976573.4672546387,-5524141.311645508,-8363918.304443359
0.02,21541810.989379883,7211183.071136475,4358936.309814453,12277626.991271973,-3335227.9663085938,17804967.880249023,16613775.253295898,16158395.767211914,4769340.991973877,-2314074.5162963867,-3921482.0861816406,-10381333.351135254,-11437478.065490723,-12964421.272277832,19350278.854370117,15294502.258300781,2172787.90473938,-2269991.874694824,-3021647.9301452637,-4483321.189880371,-9730022.430419922,-15311259.269714355,-14125587.463378906,-18482923.50769043,10265032.768249512,746905.2076339722,-2796316.8621063232,-2314890.146255493,-3863526.1058807373,-10882246.971130371,-11374970.436096191,-13882040.977478027,-14275612.831115723,-5068436.145782471,-1454373.2404708862,-1664263.9636993408,711586.5349769592,-3397865.056991577,-11261697.769165039,-4026077.2705078125,-2809378.147125244,-9459022.521972656,-7311707.973480225,-5975975.036621094,-4842332.83996582,-5308568.000793457,536420.2260971069,-7698447.227478027,-6550814.151763916,-6083402.156829834,-11898625.373840332,-10395434.379577637,-10778420.448303223,-5253616.3330078125,-6343122.482299805,-7959752.559661865,-7361364.841461182,-7876667.9763793945,-9914367.67578125,-5001137.256622314,-5914466.857910156,-9376308.44116211
0.025,8207522.392272949,-3881828.0696868896,-4833484.649658203,-486520.7374095917,-11807285.30883789,5762506.96182251,4553488.254547119,4268921.852111816,-5249896.049499512,-10246072.769165039,-11992566.108703613,-16954462.0513916,-17989784.240722656,-18273164.749145508,7615233.898162842,5300899.028778076,-6219003.677368164,-10231818.199157715,-8896372.79510498,-9943765.640258789,-14989180.564880371,-20621381.759643555,-19528545.379638672,-30337043.76220703,-99899.09827709198,-6418725.01373291,-7323644.638061523,-4998874.187469482,-6864857.196807861,-14908441.543579102,-15538326.263427734,-19107522.96447754,-23729578.018188477,-13340203.285217285,-7530688.285827637,-3003817.081451416,751335.859298706,-3808499.336242676,-12616522.789001465,-7546598.9112854,-6420228.004455566,-17160852.432250977,-12594507.217407227,-11132498.741149902,-3546325.206756592,-564568.281173706,5597516.059875488,-8452569.007873535,-7471096.515655518,-6863439.083099365,-17258886.337280273,-15388860.702514648,-16093746.185302734,-557930.8867454529,-7244743.347167969,-8682924.270629883,-8164740.562438965,-12673713.684082031,-13865531.921386719,-7813231.468200684,-6795474.529266357,-12797027.587890625
0.03,-4326444.149017334,-18173143.38684082,-19290937.423706055,-8484828.94897461,-22444755.55419922,192124.50087070465,-1021807.7898025513,-1113304.4958114624,-9680872.917175293,-14940270.42388916,-19227478.02734375,-27069931.030273438,-28135623.931884766,-28559921.264648438,3672445.058822632,3597448.5874176025,-8183393.478393555,-11834239.959716797,-11366090.774536133,-14587013.244628906,-21969501.495361328,-30151510.23864746,-29904401.779174805,-37512874.603271484,-2716298.1033325195,-7666566.848754883,-8351040.840148926,-5410216.331481934,-10312720.29876709,-20936040.8782959,-23544767.379760742,-29543371.200561523,-30254978.17993164,-16660137.176513672,-9364983.558654785,-2605341.4344787598,1135684.9670410156,-6239520.072937012,-15900003.433227539,-13656867.027282715,-12348837.852478027,-21127408.981323242,-14533833.503723145,-12867065.4296875,-2570721.387863159,2261566.638946533,7472170.352935791,-11328207.015991211,-10495027.542114258,-9700739.860534668,-19996002.197265625,-17781789.779663086,-18808586.12060547,2227133.9893341064,-10243867.874145508,-11653665.542602539,-11058753.01361084,-15516264.915466309,-15371715.545654297,-9595215.797424316,-9502028.465270996,-16334121.704101562
0.035,-7650252.342224121,-25872238.159179688,-29105495.45288086,-6479354.8583984375,-27847969.05517578,4824886.798858643,3784273.386001587,3568635.4637145996,-6247745.513916016,-13920649.528503418,-20771329.879760742,-32879970.55053711,-33963352.20336914,-36680259.704589844,10821516.990661621,10190752.029418945,-3746506.690979004,-8200829.50592041,-9250963.21105957,-15375440.59753418,-25443864.822387695,-36567756.65283203,-37924980.16357422,-30960767.74597168,2020844.2211151123,-3922225.7137298584,-6118168.830871582,-3921846.1513519287,-12162343.978881836,-24598417.282104492,-29022321.701049805,-37780685.42480469,-26319694.51904297,-12069261.55090332,-6813034.534454346,-1480120.6588745117,1319099.3070602417,-8845771.789550781,-18839656.829833984,-18444248.19946289,-16996368.408203125,-16848657.608032227,-11128963.470458984,-9416964.530944824,-2859042.8829193115,1176158.4281921387,4493942.2607421875,-14380560.874938965,-13612768.173217773,-12757499.694824219,-16985631.942749023,-14868553.161621094,-15907312.393188477,1148056.149482727,-13381443.977355957,-14820957.18383789,-14094956.398010254,-13747439.38446045,-12510455.131530762,-9347877.502441406,-12281425.476074219,-17097135.543823242
0.04,-1334434.3900680542,-21810987.47253418,-26055259.704589844,1006609.2014312744,-24558259.963989258,13068938.255310059,12192272.186279297,11645837.783813477,-743639.9459838867,-10043578.147888184,-16960107.803344727,-29498939.514160156,-30597217.559814453,-34980770.111083984,20568975.4486084,17643907.54699707,890529.6921730042,-5316767.21572876,-5981059.551239014,-12490574.836730957,-22393922.805786133,-33920375.82397461,-36082427.978515625,-19576887.130737305,7585024.833679199,-378374.72558021545,-3632756.471633911,-2481871.3665008545,-11170558.92944336,-22680057.525634766,-26506355.28564453,-36025428.771972656,-17294191.360473633,-5280324.935913086,-3274781.2271118164,-667474.8659133911,1255800.2471923828,-9410440.444946289,-18169361.114501953,-17160110.473632812,-15753776.550292969,-9247238.159179688,-6011879.920959473,-4384324.073791504,-3164738.178253174,-1252343.0585861206,1453266.0245895386,-13806623.458862305,-12880525.588989258,-12212420.463562012,-11455730.438232422,-9517802.238464355,-10449149.131774902,-1104861.4978790283,-12746246.337890625,-14157917.976379395,-13440469.741821289,-9329187.393188477,-8098243.713378906,-7740774.631500244,-11537497.520446777,-14300236.701965332
0.045,8709352.493286133,-9881728.172302246,-12417163.848876953,6816586.971282959,-15641023.635864258,17743551.25427246,16815896.98791504,16106033.325195312,1487924.0989685059,-6772635.459899902,-11429263.1149292,-19370784.759521484,-20479108.810424805,-23255075.454711914,24550775.5279541,20786413.192749023,2401670.217514038,-5370935.440063477,-4121448.040008545,-8099853.515625,-14600771.9039917,-23422037.12463379,-24344999.313354492,-15043683.052062988,10214497.566223145,835004.0912628174,-2570606.9469451904,-1851265.0728225708,-7744153.97644043,-15926014.90020752,-16943346.02355957,-24193264.00756836,-12020333.290100098,-2084830.0457000732,-1215689.1822814941,-130975.58915615082,1322557.0917129517,-7323240.280151367,-13222619.05670166,-9579681.396484375,-8253159.523010254,-4857522.487640381,-2981764.554977417,-1493263.2446289062,-2414023.8761901855,-2353431.224822998,2207972.764968872,-8805898.666381836,-7558241.844177246,-7238677.501678467,-7829145.431518555,-5772676.467895508,-6808400.630950928,-1923482.4180603027,-7556599.6170043945,-8909113.883972168,-8312325.477600098,-5580443.382263184,-5672367.095947266,-6057477.951049805,-6560155.868530273,-9576168.060302734
