time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,8838337.898254395,8199598.31237793,8275651.931762695,5474452.018737793,4580629.348754883,4510320.18661499,3606033.3251953125,2718511.1045837402,2719328.1650543213,2953241.5866851807,2756886.0054016113,2660038.2328033447,3750979.6619415283,2653216.600418091,2536153.793334961,3122918.3673858643,1764196.8727111816,1760854.959487915,1589487.075805664,1800732.2549819946,1355290.8897399902,1705247.9982376099,1055754.0655136108,2452684.164047241,1828267.4551010132,1198998.4512329102,1126203.0601501465,428355.5746078491,844848.4539985657,1070499.1817474365,1229583.501815796,-1788012.7429962158,143438.14551830292,1082080.0065994263,1630223.274230957,936094.9397087097,365646.0642814636,-16619.14773285389,1156968.116760254,-193123.4896183014,2248833.656311035,89171.49901390076,173404.7830104828,1156466.4840698242,407832.8013420105,522919.237613678,749859.5714569092,1361661.3149642944,-293600.1420021057,512706.1605453491,58368.18367242813,136818.0513381958,54986.79727315903,-223073.12488555908,-135789.29007053375,-136047.16956615448,-29907.556250691414,2864.161739125848,70151.08317136765,-242699.533700943,-164365.30649662018,-215890.5267715454
0.005,-10228886.604309082,-5639236.4501953125,2160711.7652893066,-1665782.5708389282,-908472.7168083191,5084167.957305908,5058706.283569336,945903.3012390137,595976.0546684265,-1024236.798286438,1641895.2941894531,4410419.464111328,13142507.553100586,2664969.4442749023,8810749.053955078,8255690.574645996,4131361.961364746,4246387.481689453,3028534.412384033,4137470.245361328,4464995.384216309,9273777.00805664,-1496373.6534118652,8788192.749023438,4943806.171417236,5035052.299499512,5279736.042022705,2117024.1832733154,880664.050579071,-2813951.9691467285,5262410.1638793945,-6576840.877532959,-3312623.5008239746,-114065.7365322113,3910369.1577911377,5212356.5673828125,2117686.7485046387,-406567.0073032379,187173.79868030548,-30744594.57397461,38195648.193359375,-3814416.8853759766,-2911000.0133514404,4282449.245452881,2526839.017868042,1964971.7807769775,-171905.36856651306,-987117.350101471,-4845189.094543457,-5982530.117034912,-3764153.480529785,-2066040.7543182373,-3780864.953994751,-12767911.911010742,-5958514.69039917,-5486640.453338623,-4676896.572113037,-4621019.8402404785,-3299550.2948760986,-12576929.092407227,-6149194.240570068,-6703124.523162842
0.01,-19812456.130981445,-13084931.373596191,-2402421.712875366,-5788288.116455078,-3029550.075531006,5450078.964233398,6126429.557800293,522622.9429244995,-90392.3436999321,-2179551.839828491,1976207.4947357178,5895808.219909668,15440387.725830078,2381387.948989868,12038243.293762207,11219880.104064941,6056219.577789307,6336966.514587402,4297594.07043457,6102180.957794189,6802980.422973633,12588185.31036377,-2409681.558609009,12009489.059448242,8129382.133483887,8033579.8263549805,8715187.072753906,4364950.656890869,2612432.0030212402,-3058118.3433532715,7253141.403198242,-6830694.198608398,-1602596.5213775635,2100747.585296631,7238535.8810424805,9222148.895263672,4453973.293304443,-86858.3619594574,1935930.848121643,-42703220.36743164,54607734.68017578,-2159073.3528137207,-785322.0105171204,9042283.058166504,6177543.163299561,5369066.23840332,1930898.1895446777,1052571.5351104736,-2516273.7369537354,-4926996.231079102,-2010479.211807251,405154.4964313507,-1955728.29246521,-14940870.28503418,-4838594.913482666,-4309892.177581787,-3151181.697845459,-3234658.4796905518,-1382376.6708374023,-14621758.460998535,-5191056.251525879,-6131238.93737793
0.015,-16080307.006835938,-9692261.695861816,-335983.2167625427,-3710969.6865081787,898045.9570884705,7342731.475830078,8335029.602050781,3120281.934738159,2385242.700576782,1139021.635055542,5601619.243621826,9157103.538513184,14740200.04272461,4677836.4181518555,13875349.998474121,13058875.08392334,8201169.013977051,8600708.961486816,6574306.011199951,8889407.15789795,9816926.956176758,14045465.469360352,89863.65050077438,13870339.393615723,11592344.284057617,10114686.965942383,11278461.456298828,6854043.960571289,5934853.076934814,627141.7737007141,9001357.078552246,-2704371.452331543,3211523.0560302734,6793855.1902771,10914269.44732666,11792395.59173584,6945883.274078369,783487.1411323547,5753493.785858154,-39276344.299316406,53960041.04614258,2804117.441177368,4272259.23538208,13427955.627441406,9388762.474060059,8879664.421081543,5688408.851623535,5368937.015533447,3587573.0514526367,1259483.5758209229,2999758.48197937,5309336.6622924805,3217584.8484039307,-9895162.582397461,258128.37481498718,522616.2075996399,1785595.5362319946,1867819.4284439087,3552489.757537842,-9525588.035583496,-170697.68905639648,-1343052.1488189697
0.02,-5574044.227600098,390961.28940582275,8398082.733154297,3050287.4851226807,8083452.224731445,11364464.75982666,12142869.94934082,7732336.99798584,7024329.18548584,6443540.573120117,11026641.845703125,14115770.33996582,17846733.09326172,10222849.84588623,17017902.374267578,15402132.034301758,10489973.068237305,10835716.247558594,9765048.98071289,12368546.485900879,13754054.069519043,17292491.912841797,4521247.386932373,17131166.458129883,14249843.59741211,11178083.419799805,12743395.805358887,8311230.659484863,8538583.755493164,4572600.841522217,12298014.640808105,1418481.8267822266,5075694.0841674805,9697823.524475098,12705191.612243652,11685961.723327637,8242834.091186523,1384366.3930892944,8272914.886474609,-36740116.119384766,51886947.63183594,4606682.300567627,5970285.415649414,13754339.218139648,8986168.86138916,9303853.988647461,7269453.525543213,6606913.5665893555,5599341.39251709,4367315.292358398,4751998.424530029,6846832.752227783,5101070.404052734,-7988754.2724609375,1722783.6847305298,1846639.7523880005,3266879.7969818115,3841064.214706421,5218788.623809814,-7609100.818634033,1368407.6070785522,144259.45281982422
0.025,-319780.46894073486,5504363.059997559,14067888.259887695,7321639.537811279,10674008.3694458,14445184.707641602,14584185.600280762,10058686.256408691,9485734.939575195,8281913.757324219,12930619.239807129,16041604.995727539,21731744.76623535,13568504.333496094,19822307.586669922,17017288.208007812,11057174.682617188,11218375.205993652,11101251.602172852,13506584.167480469,15308429.718017578,19978223.80065918,5820796.489715576,20012945.1751709,14135417.938232422,10708474.159240723,12645849.227905273,7851660.72845459,8230756.759643555,4979376.792907715,14712981.224060059,2156309.127807617,2538940.668106079,8548031.8069458,11486516.952514648,9468164.443969727,7589795.5894470215,1185109.9729537964,7601026.0581970215,-40878273.010253906,54460548.400878906,1847097.2776412964,3009776.3538360596,9944152.83203125,5492175.579071045,7123575.210571289,5786837.100982666,4111132.6217651367,2775930.881500244,2037518.7397003174,1929978.2514572144,4022990.2267456055,2209586.8587493896,-11443843.841552734,-1190118.432044983,-885309.2193603516,715354.6214103699,1053630.7096481323,2342957.7350616455,-11118627.548217773,-1415926.5756607056,-2473885.5361938477
0.03,-4424888.134002686,533340.2156829834,9935744.285583496,5000874.996185303,5897580.146789551,13788310.050964355,13286514.282226562,8063734.05456543,7639924.049377441,5359354.019165039,9439682.960510254,12466927.528381348,19589210.510253906,10590244.29321289,19178079.60510254,16195634.841918945,9234004.020690918,9251229.286193848,9303683.280944824,10993837.356567383,12689785.957336426,18448522.567749023,2263410.5682373047,19307523.727416992,12001824.378967285,9224617.004394531,11607745.170593262,6462864.875793457,5994340.419769287,2754108.667373657,13733963.012695312,1147823.3337402344,145587.17608451843,6155927.658081055,9306394.577026367,7616816.520690918,6142091.751098633,459074.88465309143,5787949.562072754,-43887813.568115234,55948528.28979492,-534985.4230880737,363274.63388442993,6479481.6970825195,2971996.545791626,5959485.054016113,4258282.661437988,2464238.8820648193,1731480.1216125488,-120115.83149433136,-438721.1501598358,1591487.5268936157,-438664.43634033203,-13525001.525878906,-2639972.925186157,-2108282.8044891357,-551430.2253723145,-1518082.1418762207,-179155.75206279755,-13353513.717651367,-2851344.108581543,-3592458.2481384277
0.035,-10362478.256225586,-6311974.048614502,2799334.5260620117,785607.9339981079,1007727.5037765503,11426668.167114258,10727705.001831055,5512382.507324219,5135081.2911987305,3113726.854324341,6219295.501708984,8693292.617797852,14227227.210998535,5797721.385955811,16883562.088012695,14644174.575805664,7726817.1310424805,7723562.240600586,7660779.95300293,8663661.95678711,10045724.868774414,15875319.480895996,-543170.3925132751,17001710.891723633,11967333.793640137,8800041.198730469,11554067.611694336,6171659.469604492,5224452.972412109,2600764.513015747,12157544.136047363,2825676.202774048,1305847.406387329,6937632.083892822,9218123.435974121,7898163.318634033,5882936.477661133,-142598.76310825348,5888537.406921387,-41211318.96972656,54106224.060058594,903280.3177833557,1590883.3742141724,6835364.34173584,3597638.6070251465,7097311.496734619,4896131.992340088,4110216.6175842285,5640775.680541992,2132385.9691619873,1004070.0435638428,2754587.173461914,729993.7009811401,-11330363.273620605,-506059.34858322144,-26734.19564962387,1314759.7312927246,-331349.37286376953,1030363.3213043213,-11337388.038635254,-815543.1151390076,-1295220.8518981934
0.04,-10783977.508544922,-5930402.2789001465,2624745.1305389404,951794.445514679,3210429.4300079346,11915756.225585938,11145703.315734863,6710865.020751953,6219014.644622803,6046126.365661621,8906346.321105957,10871023.178100586,14543336.868286133,6159637.451171875,18163616.180419922,15598725.318908691,9233917.236328125,9271067.61932373,9590607.643127441,10518397.331237793,12214287.757873535,18311098.098754883,3045819.2825317383,18519268.035888672,15933208.465576172,10555591.583251953,13313601.49383545,7378417.96875,7253220.558166504,6537181.377410889,14255272.86529541,8651683.807373047,3863171.100616455,11054000.854492188,11011226.654052734,9109847.068786621,7062291.145324707,-246873.3787536621,7566485.88180542,-38478519.439697266,54341331.481933594,3569751.977920532,4198241.233825684,8834494.590759277,4827843.66607666,7702188.491821289,6013966.083526611,5774734.973907471,9771757.125854492,5740225.315093994,3514621.9730377197,5100271.701812744,3204497.5757598877,-10196580.88684082,787795.1264381409,1014926.0759353638,2334045.41015625,2124235.8684539795,3481618.642807007,-10247618.675231934,459881.63352012634,46569.474041461945
0.045,-7190747.261047363,-269375.38385391235,8417768.478393555,4755013.942718506,9672688.484191895,16704483.032226562,14761235.237121582,10385807.991027832,9685921.669006348,11260552.406311035,14954826.354980469,16807540.893554688,20959316.25366211,11083473.205566406,24187614.44091797,19122917.17529297,12445517.539978027,12532704.35333252,13371271.133422852,14735004.425048828,17353332.51953125,24694002.151489258,10398150.444030762,24879198.07434082,19727418.899536133,12792093.276977539,15263912.200927734,8375866.889953613,9621927.261352539,10989835.739135742,18701110.83984375,15414319.99206543,4691445.827484131,14353057.861328125,11539500.23651123,8858745.574951172,7993559.837341309,142460.49523353577,8017069.8165893555,-40134548.18725586,58950920.10498047,4127236.843109131,4718842.029571533,8187658.309936523,3659615.2782440186,5856269.836425781,5328411.102294922,4287576.675415039,9692247.39074707,6276285.171508789,3807653.9039611816,5651007.652282715,3701903.5816192627,-13038614.273071289,-950732.1119308472,-831414.0439033508,765971.1837768555,2677324.056625366,4057056.9038391113,-12931089.401245117,-1109468.5792922974,-1569621.5629577637
