time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,336738.0201816559,-97147.09967374802,-1659213.4237289429,1169130.2061080933,-880499.1841316223,2940630.4359436035,1982084.5127105713,1915561.7952346802,1567911.8633270264,48297.38289117813,-860354.2447090149,-2714215.7554626465,-11540076.25579834,5853806.972503662,1322470.784187317,1573393.1064605713,1861663.1031036377,1550173.4018325806,691259.2053413391,-1574944.9729919434,-746454.8945426941,-4158948.4214782715,2660939.4550323486,1308681.9648742676,1093837.3804092407,2058995.7237243652,1123324.5134353638,284005.8505535126,435846.9843864441,792713.5229110718,-724446.177482605,-3014476.537704468,1278928.9951324463,1176735.281944275,1211031.3177108765,433477.61034965515,-198537.23049163818,-355526.1492729187,789491.7130470276,2828276.6342163086,342492.550611496,1253834.2475891113,1278810.739517212,1202304.3632507324,280912.8165245056,647148.5495567322,609669.9237823486,944476.6044616699,1917817.5926208496,2672932.1479797363,2696282.386779785,2638709.783554077,2659636.7359161377,614967.5250053406,1344306.9458007812,1392682.433128357,1833334.6843719482,2847047.805786133,2802663.0878448486,3456955.4328918457,3517386.1980438232,2621944.6659088135
0.005,-35927246.09375,-22100589.752197266,-40167926.78833008,-9638957.023620605,-38034488.677978516,-335213.0651473999,-6201451.301574707,-5594688.415527344,-6224627.494812012,-9737454.414367676,-24105218.8873291,-73513198.85253906,-298501434.3261719,100174179.07714844,13876908.302307129,-1295192.7185058594,-5087674.140930176,-6408668.041229248,-6037045.955657959,-10854024.887084961,-24775844.57397461,-128326919.55566406,5117740.631103516,13430719.375610352,2355009.078979492,-1591545.2241897583,-6775011.5394592285,872507.6913833618,2422342.300415039,26757450.103759766,-21284023.28491211,-107552345.2758789,10011780.738830566,-964644.193649292,551499.3071556091,-3905260.3244781494,-2876691.5798187256,3307956.9339752197,39049716.94946289,112847053.52783203,-25529184.341430664,8794359.20715332,9836265.563964844,251381.7846775055,-2957769.8707580566,-3241839.1704559326,11980123.519897461,36651798.248291016,64168960.57128906,86639114.37988281,12553735.733032227,10937035.56060791,10529232.025146484,4843492.9847717285,25431156.158447266,35884166.7175293,44274543.76220703,11689659.118652344,12302805.90057373,15847777.366638184,24619300.842285156,20803848.266601562
0.01,-57939083.099365234,-35118915.55786133,-61345478.05786133,-14843869.20928955,-55123767.8527832,1336660.5043411255,-9760830.879211426,-8761349.67803955,-9509034.156799316,-13017366.409301758,-34204978.942871094,-103967956.54296875,-426904144.2871094,126547363.28125,20878694.534301758,-1946770.6680297852,-7930888.652801514,-9945435.523986816,-7903308.868408203,-12974451.065063477,-34035552.978515625,-182844909.66796875,1998368.263244629,20259050.369262695,5154108.52432251,-1569891.4527893066,-6651620.388031006,4793344.020843506,4508725.643157959,36556159.97314453,-40360458.37402344,-149777435.30273438,14611313.819885254,536454.1411399841,2853886.604309082,-1491352.2005081177,2165595.054626465,8304868.698120117,52763805.3894043,147620437.6220703,-32961101.531982422,13058203.69720459,14368041.9921875,2442806.4823150635,540563.16614151,147548.3924150467,18219530.10559082,49811176.30004883,87025154.11376953,120336441.04003906,16834794.998168945,14663672.44720459,14005743.980407715,8088500.9765625,33592140.197753906,48898803.7109375,59932189.94140625,15485497.47467041,16576665.878295898,21027198.791503906,32039695.739746094,28179992.67578125
0.015,-64608657.83691406,-38689552.307128906,-65384094.23828125,-14113378.524780273,-54703792.572021484,8451230.0491333,-8337686.538696289,-7339632.987976074,-8148732.1853637695,-11369166.374206543,-33614627.838134766,-100418815.61279297,-408511169.43359375,98296127.31933594,24169614.791870117,419064.4919872284,-6438116.550445557,-8770842.552185059,-6134874.8207092285,-10367291.450500488,-33611976.623535156,-179169784.54589844,4441715.240478516,23601867.67578125,9739463.806152344,2074658.3938598633,-195459.0678215027,9737753.868103027,5315644.264221191,29558019.638061523,-56383186.34033203,-127814079.28466797,16953828.811645508,6094447.135925293,8457006.454467773,6503094.19631958,12450541.496276855,12989551.544189453,44021030.42602539,115975372.31445312,-18704671.85974121,15743054.389953613,16691440.58227539,8170876.502990723,9394328.117370605,9246362.686157227,19805101.39465332,42884021.7590332,74585723.87695312,108597244.26269531,17820465.087890625,15945447.92175293,15278532.028198242,12519516.944885254,30004013.061523438,43646652.22167969,52477146.14868164,16527832.03125,17785039.9017334,22288494.110107422,29950654.983520508,27822599.411010742
0.02,-65373321.533203125,-39010181.42700195,-65330078.125,-11405270.57647705,-53237281.799316406,17200075.149536133,-5242075.9201049805,-4490220.546722412,-5485407.829284668,-10370809.555053711,-33277923.583984375,-96948303.22265625,-370527557.3730469,80549591.06445312,28811195.373535156,4472583.770751953,-3609502.3155212402,-6063793.182373047,-4814555.1681518555,-9632251.739501953,-37372829.43725586,-174280349.7314453,22262401.580810547,28346313.4765625,14669151.306152344,6068515.300750732,4664131.164550781,11406048.774719238,4257898.330688477,19028135.299682617,-63896564.48364258,-90313697.8149414,21128227.23388672,12680733.680725098,14809745.788574219,13152138.710021973,19238769.53125,14897315.979003906,34623767.8527832,86414550.78125,4837896.823883057,20166986.4654541,20807725.90637207,14777698.516845703,16281908.03527832,16371253.967285156,20816677.09350586,35917972.564697266,61690376.28173828,94966484.06982422,21401128.7689209,19803285.598754883,19264457.70263672,19892259.59777832,30195297.241210938,39813781.73828125,46114410.400390625,20366804.122924805,21459318.161010742,27301557.540893555,31939350.128173828,30234003.0670166
0.025,-67165283.203125,-39789264.67895508,-68796714.78271484,-9394800.186157227,-56815605.16357422,24057119.369506836,-2901064.395904541,-2357287.645339966,-3589634.1800689697,-10437150.955200195,-35505020.14160156,-105021034.24072266,-379368530.2734375,101904373.16894531,34949459.075927734,8039665.222167969,-1449615.1208877563,-4035635.9481811523,-4065014.8391723633,-10581515.312194824,-44893981.93359375,-183277526.85546875,41234413.146972656,34602775.57373047,18210651.397705078,7775599.956512451,4547030.448913574,10454959.869384766,4082698.8220214844,17485298.15673828,-54681236.267089844,-76567962.64648438,26431198.120117188,16946907.04345703,19007135.39123535,14413392.066955566,19441364.288330078,14835448.265075684,38466667.17529297,97822029.11376953,23153482.43713379,25370477.6763916,26080593.10913086,19166875.8392334,17229396.82006836,17928945.541381836,23288543.701171875,40290363.31176758,67896469.11621094,103597923.2788086,27730344.772338867,26017524.71923828,25572748.1842041,27216043.47229004,38432235.71777344,46711685.18066406,52717990.87524414,26899375.915527344,27679990.768432617,35618869.78149414,40573745.72753906,37423580.169677734
0.03,-68539596.55761719,-38187881.46972656,-71415359.49707031,-6919872.760772705,-57300254.821777344,29163694.381713867,-386745.72110176086,115991.21987819672,-1184471.607208252,-7317351.341247559,-33470264.434814453,-107058158.87451172,-394655456.54296875,133171035.76660156,38724113.46435547,10407165.52734375,1138479.8288345337,-1677698.7314224243,-856472.1941947937,-7664679.050445557,-43458007.8125,-174245559.6923828,38868721.00830078,38525802.61230469,20258184.4329834,7609328.746795654,3392093.4200286865,11301334.381103516,8177941.32232666,26305551.528930664,-28635379.791259766,-83317131.04248047,28551870.346069336,18333602.905273438,20495542.526245117,12790876.388549805,18571371.07849121,16092056.274414062,50037597.65625,127016433.71582031,31834169.387817383,27394598.00720215,28295703.887939453,20652721.405029297,15673057.556152344,17990816.116333008,25956369.400024414,49529251.09863281,81227363.58642578,119640281.6772461,31131315.231323242,29244476.318359375,28798938.751220703,29767173.767089844,44528919.2199707,55227016.44897461,61778945.92285156,30339691.162109375,30992156.982421875,39494247.43652344,45613800.048828125,41218727.111816406
0.035,-66013381.95800781,-31077356.338500977,-67956367.49267578,-2687894.821166992,-50193977.35595703,34522937.7746582,3651294.708251953,4184019.5655822754,2960617.5422668457,-943569.8986053467,-25670427.322387695,-93777793.88427734,-375625091.5527344,145347930.90820312,39458309.173583984,12596411.70501709,5413970.470428467,2251676.321029663,4413331.508636475,-572067.7971839905,-30343072.89123535,-136563537.59765625,17109762.19177246,39290477.75268555,22261671.06628418,7547153.472900391,5065152.168273926,14801824.569702148,15370876.31225586,38030433.654785156,183583.39369297028,-87679313.65966797,26760761.260986328,18883916.8548584,21077226.638793945,12768128.395080566,21800273.895263672,19549949.645996094,57936534.8815918,138764984.13085938,35668567.6574707,25674573.89831543,26619316.10107422,21066236.49597168,16733222.961425781,21147869.110107422,27367624.282836914,53722106.93359375,84400039.67285156,122858749.38964844,28834735.870361328,26976013.18359375,26505859.375,27474367.141723633,41168182.373046875,54952228.54614258,60979167.93823242,27839788.43688965,28708992.00439453,35887229.919433594,40960826.8737793,36467403.411865234
0.04,-61674354.553222656,-22978713.989257812,-62749542.236328125,637867.9275512695,-43584323.88305664,39613014.221191406,7128704.54788208,7673634.5291137695,6397265.911102295,2358193.874359131,-20395093.91784668,-80422912.59765625,-346263275.1464844,147050460.8154297,40444255.82885742,14947644.233703613,9186413.764953613,5568861.00769043,6992888.450622559,4006793.0221557617,-18719364.166259766,-103196769.71435547,-286334.753036499,40062477.111816406,24843265.533447266,8277339.935302734,7921608.448028564,16676891.326904297,20135423.66027832,44876964.5690918,15474424.362182617,-81826515.1977539,25372125.62561035,20218433.380126953,22299604.415893555,15312495.231628418,26721818.923950195,22263729.095458984,59190547.943115234,131905670.16601562,39086177.825927734,24274059.295654297,25170104.98046875,22112190.24658203,20343059.539794922,25633342.742919922,27644966.12548828,52266567.23022461,78346588.13476562,115795272.82714844,25129848.48022461,23343648.91052246,22873130.798339844,24912498.474121094,33795616.149902344,48408153.53393555,53163940.4296875,23797849.655151367,24954528.80859375,30911844.25354004,33443233.489990234,28668174.743652344
0.045,-61821704.86450195,-23821893.6920166,-64656211.853027344,-1366919.5175170898,-45841350.55541992,40996734.619140625,6049622.058868408,6644343.852996826,5060115.337371826,-1579402.8043746948,-23403583.526611328,-80489662.17041016,-337470825.1953125,155421600.34179688,42651260.37597656,15780405.99822998,8397959.70916748,4320890.9034729,4326533.317565918,2195272.445678711,-18605493.545532227,-97939613.34228516,-1100006.5803527832,42024841.30859375,26249757.766723633,8573758.125305176,8233172.416687012,13999468.803405762,19008331.298828125,44402011.87133789,15476490.97442627,-74537704.46777344,27381689.071655273,21417825.69885254,23392301.559448242,17742319.107055664,27190235.137939453,21966779.708862305,57527095.794677734,124856109.61914062,41176944.732666016,26120155.334472656,26982452.392578125,23151969.90966797,22311061.85913086,26363288.87939453,27616142.27294922,49979148.864746094,73888069.15283203,111013198.85253906,25532220.8404541,23732999.801635742,23255504.608154297,25278541.564941406,31207891.4642334,44685184.478759766,48612468.71948242,24135568.618774414,25203672.409057617,31316606.521606445,32421924.591064453,26361064.910888672
