time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1608132.6007843018,-821296.5130805969,-311112.9403114319,-1335514.1878128052,-760727.7631759644,-1369555.2349090576,-1156272.7689743042,-1156504.511833191,-1237304.6875,-810903.6684036255,-590083.3606719971,148460.43288707733,352000.47492980957,298805.68385124207,-1254610.7769012451,-1209701.7765045166,-505664.4082069397,-1289947.6289749146,-516697.7643966675,-462776.89933776855,-375531.49461746216,330032.25922584534,265994.5785999298,-1628968.9540863037,-2061917.0665740967,-974515.6168937683,-407715.5590057373,-402928.9484024048,123565.48756361008,26328.09802889824,96947.96055555344,189556.0771226883,-972018.4803009033,-598263.2637023926,-307138.7708187103,-44129.1444003582,-4748.336039483547,81653.27459573746,142843.29116344452,-8754.230104386806,-24123.24957549572,-794454.8726081848,-538874.626159668,-445144.921541214,-129616.29033088684,57847.36946225166,58386.51582598686,-38855.63462972641,-18135.419115424156,-62043.800950050354,-506530.7021141052,-528670.9666252136,-506531.7153930664,55989.46660757065,-32260.309904813766,-30986.228957772255,-18502.699211239815,-1013874.1731643677,-1120566.6065216064,63476.36133432388,-41707.53434300423,-46131.05580210686
0.005,4983.608610928059,-4009417.0570373535,-5183259.963989258,1457337.737083435,-929222.583770752,8984618.186950684,6688382.625579834,6851045.608520508,4544777.393341064,1979475.736618042,684697.6280212402,673790.8720970154,-8858213.424682617,-9909702.30102539,8409631.729125977,4204370.021820068,7129590.5113220215,4992316.722869873,2829336.643218994,4196712.970733643,-1650802.493095398,-4544910.907745361,-10168095.588684082,4990057.945251465,-7668583.869934082,2073176.1455535889,2224518.5375213623,2825870.990753174,-3976758.4800720215,-5300722.599029541,-8699102.401733398,-11429744.720458984,-6316026.68762207,-2950924.3965148926,-678897.1424102783,1111636.1618041992,406350.85105895996,-4709660.530090332,-8129869.46105957,-14219467.163085938,-14650016.784667969,-8872826.57623291,-9404253.005981445,-7290800.094604492,-4678973.67477417,-8236629.486083984,-5528394.69909668,-15142148.0178833,-14142253.875732422,-15188151.359558105,-9290059.089660645,-9860775.9475708,-9258077.621459961,-8042408.9431762695,-14698989.868164062,-14442701.33972168,-13711851.119995117,-14611749.649047852,-12019558.906555176,-7289832.11517334,-14840600.01373291,-14802093.505859375
0.01,-3044871.3302612305,-8423510.551452637,-10105093.955993652,-217844.81406211853,-5079248.428344727,12011858.940124512,8109302.520751953,8406406.40258789,4346675.872802734,285408.25843811035,-2700645.685195923,-2848941.8029785156,-14805079.460144043,-16146299.362182617,13805677.41394043,5848433.017730713,9016442.29888916,5171267.509460449,948428.0347824097,2674870.729446411,-4501877.784729004,-8477911.949157715,-16504528.045654297,7855311.870574951,-8663638.1149292,3027238.130569458,1937340.7363891602,2547790.52734375,-7128919.1246032715,-9221035.957336426,-13683573.722839355,-18161531.448364258,-9305459.022521973,-4279558.6585998535,-938903.2125473022,1479486.584663391,456670.76110839844,-6478169.4412231445,-12722455.978393555,-21639358.520507812,-22483861.923217773,-14169223.78540039,-14744143.48602295,-11044151.306152344,-6343139.6484375,-11492271.423339844,-7688702.10647583,-22820911.407470703,-21556798.934936523,-23007839.20288086,-14569243.431091309,-15416840.553283691,-14576406.478881836,-11247506.141662598,-22113990.783691406,-21965988.159179688,-21093984.603881836,-23734947.204589844,-19070100.784301758,-10331059.455871582,-22473543.167114258,-22467147.827148438
0.015,-8991155.624389648,-12617701.530456543,-13749277.114868164,-4850125.312805176,-10078039.169311523,6708891.868591309,4132559.7763061523,4514680.862426758,-171037.13750839233,-3756717.4434661865,-7838258.743286133,-7463485.240936279,-15856929.779052734,-16873407.3638916,13397555.351257324,2999298.334121704,6183758.735656738,1006748.4378814697,-3487594.1276550293,-2254104.1374206543,-6958802.700042725,-10243316.650390625,-17219577.78930664,6980832.099914551,-5791908.264160156,2444322.109222412,-256571.41208648682,209955.96051216125,-8361671.447753906,-10361515.998840332,-13856469.15435791,-18622503.28063965,-9294711.112976074,-4195353.984832764,-903488.81483078,1090135.5743408203,298094.2130088806,-5516088.008880615,-12810538.291931152,-21179883.95690918,-22355070.114135742,-15474100.112915039,-15314239.501953125,-10960461.616516113,-5731989.38369751,-10096371.6506958,-6764310.836791992,-22186714.17236328,-21175468.44482422,-22538530.349731445,-14994158.744812012,-15866502.76184082,-15111299.514770508,-9907943.725585938,-21351711.27319336,-21564504.623413086,-20971927.642822266,-25719074.249267578,-20065416.33605957,-9233289.71862793,-21954269.409179688,-21963211.059570312
0.02,-11210103.034973145,-13409696.578979492,-14351462.364196777,-6641829.490661621,-9924540.519714355,475418.23983192444,1643935.6803894043,2027222.1565246582,-2434469.46144104,-4333071.231842041,-8263961.7919921875,-7227196.216583252,-13208628.65447998,-13966451.644897461,10715523.719787598,-488168.8356399536,4643468.856811523,-1127448.7972259521,-3937091.112136841,-3177373.8861083984,-5914659.50012207,-9039058.685302734,-14286409.378051758,6251948.356628418,-3171374.797821045,2288534.164428711,-1001217.9613113403,-236570.89471817017,-7198627.948760986,-8404795.64666748,-11038942.337036133,-15510455.131530762,-7102859.973907471,-3058520.793914795,-481002.92682647705,584249.8540878296,294674.18789863586,-4448766.231536865,-10326610.565185547,-17303829.193115234,-18624141.693115234,-13772793.769836426,-13029163.360595703,-9043331.146240234,-5772109.031677246,-8664597.511291504,-5709598.541259766,-18316944.122314453,-17412124.633789062,-18673458.099365234,-12431735.038757324,-13287732.124328613,-12656162.26196289,-8527990.341186523,-17403993.606567383,-17829086.303710938,-17327598.571777344,-22337318.420410156,-17230228.424072266,-7900204.181671143,-18133071.899414062,-18017206.1920166
0.025,-5781146.049499512,-8978775.024414062,-11155029.296875,-2543599.843978882,-4321121.692657471,2399967.908859253,5026649.951934814,5300237.655639648,390012.4430656433,168506.63721561432,-2966786.3845825195,-1577037.8112792969,-9541859.62677002,-10507378.578186035,11741003.99017334,702508.6879730225,7738784.313201904,946819.0670013428,620747.983455658,1446766.6149139404,-1605417.9668426514,-4976318.836212158,-10866783.142089844,9162149.429321289,-2647204.3991088867,2793992.757797241,751524.2695808411,1915983.0808639526,-4288137.435913086,-4771681.785583496,-7398447.513580322,-12298831.939697266,-4001665.5921936035,-1614366.6505813599,96539.18445110321,354100.76379776,417400.62832832336,-4628706.932067871,-7484540.4624938965,-14454838.752746582,-15720740.31829834,-11368611.335754395,-11198969.841003418,-7944452.285766602,-7658133.983612061,-10056509.017944336,-5994555.473327637,-15748558.044433594,-14676183.700561523,-15944154.739379883,-10408815.383911133,-11296992.301940918,-10653660.774230957,-9946456.909179688,-14883459.091186523,-15226332.664489746,-14406063.079833984,-19126138.68713379,-16326095.581054688,-9036780.35736084,-15566981.315612793,-15268130.3024292
0.03,4191969.871520996,-304636.74664497375,-4231966.495513916,4359623.432159424,1726206.4218521118,12304855.346679688,11402527.809143066,11512173.652648926,4855939.3882751465,5614079.475402832,3154132.127761841,4643377.780914307,-5958806.51473999,-7337222.099304199,17433097.83935547,6936009.883880615,12598859.786987305,3697220.56388855,5054568.290710449,6213673.114776611,2758149.6238708496,1123828.5303115845,-7842926.502227783,14509501.457214355,-2810382.36618042,2192302.942276001,2655594.58732605,3858889.579772949,-1233226.8953323364,-1554790.6160354614,-3727471.351623535,-9545763.969421387,-1631804.2278289795,-585407.3762893677,391465.54470062256,246812.8800392151,326062.1428489685,-4914318.084716797,-5077838.42086792,-12707648.277282715,-13794834.13696289,-10038211.822509766,-11198675.155639648,-8253366.470336914,-9477790.832519531,-12304963.111877441,-6304907.79876709,-14129808.42590332,-13017291.069030762,-14184860.229492188,-10552453.994750977,-11428322.792053223,-10711630.821228027,-12191790.580749512,-13505725.860595703,-13703814.506530762,-12541583.061218262,-19489770.889282227,-19839731.216430664,-11125248.908996582,-14041624.069213867,-13726467.13256836
0.035,12041838.645935059,9742410.659790039,5783756.732940674,8659949.30267334,5564478.874206543,19326103.21044922,14557880.401611328,14590410.232543945,6787065.9828186035,8065692.901611328,6830388.069152832,8519632.339477539,-1295858.62159729,-2889141.55960083,20797472.00012207,11767053.604125977,14412998.19946289,4142969.1314697266,6049693.584442139,7354449.74899292,5449142.932891846,8060190.200805664,-3647864.818572998,16954195.022583008,-2947359.085083008,-496114.9990558624,2496649.2652893066,4071363.4490966797,633017.5995826721,424010.9622478485,-17350.714653730392,-5409300.327301025,-2013972.7592468262,-580443.9187049866,142630.23436069489,28123.23160469532,-13619.131408631802,-3979482.650756836,-2955750.7038116455,-9571292.877197266,-10440113.067626953,-10026185.989379883,-11517230.033874512,-8407500.267028809,-9180943.489074707,-12053306.579589844,-5219052.791595459,-10812608.71887207,-9903032.302856445,-10886222.839355469,-11223105.430603027,-11990956.30645752,-11251245.498657227,-11824148.178100586,-10427279.472351074,-10632263.18359375,-9493309.97467041,-20817420.959472656,-23107395.17211914,-10993094.444274902,-10830393.79119873,-10711771.965026855
0.04,13147647.857666016,17074207.305908203,15839911.460876465,7794733.047485352,8912234.30633545,13866632.461547852,11677648.544311523,11813472.747802734,5790350.914001465,7817553.520202637,9420482.635498047,11489735.60333252,4584584.712982178,2981688.7378692627,14587879.180908203,8614359.855651855,11970818.519592285,3334222.3167419434,5756652.355194092,6980333.8050842285,7480536.460876465,13941987.037658691,1986189.9614334106,12532413.482666016,-4618303.298950195,-3887991.428375244,891930.4609298706,4114632.1296691895,1105204.8206329346,1741556.0483932495,3115746.7365264893,198543.518781662,-5931471.824645996,-2018669.605255127,-567035.3174209595,-256831.3181400299,-181428.13444137573,-2398291.826248169,-1360043.0488586426,-4953430.652618408,-5628137.111663818,-10697570.80078125,-10618267.059326172,-7391634.941101074,-7460982.322692871,-9309891.700744629,-3477394.8192596436,-6042852.878570557,-5219417.095184326,-6233790.397644043,-10453413.963317871,-11131885.528564453,-10389852.523803711,-8850900.650024414,-5613507.270812988,-5904520.511627197,-5047099.590301514,-18820493.698120117,-20666088.104248047,-8284183.502197266,-6000663.757324219,-6055856.704711914
0.045,7499173.641204834,17827648.162841797,20427352.905273438,3160904.4075012207,12423837.661743164,-800473.8092422485,5384104.7286987305,5729875.564575195,3678314.208984375,6903829.574584961,12149623.87084961,14738734.245300293,8781949.996948242,7086254.596710205,1276604.5331954956,-1097126.3647079468,7956331.253051758,2973395.824432373,6679130.554199219,7828841.209411621,9615840.911865234,16784259.796142578,6059059.619903564,3530192.1367645264,-8397006.98852539,-5974542.140960693,-227769.8516845703,5106882.572174072,704589.7841453552,2843976.2592315674,4538947.105407715,4005487.9188537598,-11067032.814025879,-4591405.391693115,-1461937.5467300415,-490079.01549339294,117356.65798187256,-1696749.8064041138,-1043600.2016067505,-2244363.307952881,-2790584.087371826,-11618868.827819824,-9624603.271484375,-6520157.814025879,-6670925.617218018,-7185308.456420898,-2782958.2691192627,-3436914.2055511475,-2399966.4783477783,-3691651.8211364746,-9222190.856933594,-9939433.097839355,-9139083.862304688,-6605795.860290527,-2718749.761581421,-3019489.7651672363,-2327121.4962005615,-14569496.154785156,-14929675.102233887,-5900592.803955078,-3248467.9222106934,-3242146.4920043945
0.05,-1737026.2145996094,11155261.993408203,16075805.6640625,-2488322.4964141846,13120233.535766602,-12948153.495788574,55261.35489344597,538914.5612716675,1321347.3558425903,5575376.987457275,12812187.194824219,16288839.340209961,8473873.138427734,6522919.178009033,-8778958.320617676,-9323748.588562012,5091519.832611084,2319021.701812744,7355808.258056641,8550676.345825195,10445357.322692871,16177772.521972656,5684833.526611328,-3420658.3499908447,-11657495.498657227,-6471911.907196045,-409862.60771751404,5444765.567779541,-207619.51804161072,3223773.241043091,3980870.246887207,3216176.986694336,-13341044.425964355,-6989672.1839904785,-2322437.524795532,-738909.7809791565,632576.6444206238,-2150773.763656616,-2163596.1532592773,-3903645.2770233154,-4382351.398468018,-12637682.914733887,-10671529.769897461,-7595643.520355225,-7645317.077636719,-7450248.718261719,-3348818.54057312,-5228267.669677734,-3975912.8093719482,-5426670.074462891,-10045037.269592285,-10864968.299865723,-9969223.022460938,-7051816.463470459,-4311477.6611328125,-4567195.415496826,-3769816.8754577637,-13252981.185913086,-13532865.524291992,-5978870.391845703,-5047938.823699951,-4848073.959350586
0.055,-10743350.0289917,835070.3716278076,5874073.505401611,-7367438.316345215,9124960.899353027,-16552034.378051758,-2432517.5285339355,-1991541.1472320557,-1157082.438468933,3161782.97996521,9437419.891357422,14203913.688659668,4922591.209411621,2871482.3722839355,-9524520.874023438,-10981087.684631348,3651474.952697754,270313.7695789337,5571710.109710693,6921007.15637207,8560188.293457031,13772294.998168945,2215952.157974243,-4248402.5955200195,-11671278.953552246,-6764117.71774292,-735366.3444519043,3714288.9499664307,-1380108.2372665405,2485022.54486084,2559167.1466827393,-439728.0812263489,-11106174.46899414,-7867997.169494629,-3112144.4702148438,-1126678.228378296,897911.3101959229,-2510513.0672454834,-3560216.6652679443,-7687596.321105957,-8122270.584106445,-13370879.173278809,-13274002.075195312,-10034008.026123047,-8963861.465454102,-8349343.299865723,-3749395.3704833984,-8927568.435668945,-7723902.702331543,-9016582.489013672,-12796918.869018555,-13642850.875854492,-12690266.609191895,-8265367.50793457,-8086887.359619141,-8349707.60345459,-7338281.631469727,-16053293.228149414,-18171710.968017578,-7110517.501831055,-8889241.218566895,-8638353.34777832
