time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2625760.078430176,-1061351.8953323364,-247325.47998428345,-1266028.1658172607,-1487191.4386749268,-3535056.3526153564,-1443988.8000488281,-883217.9307937622,-2503051.0425567627,-1780895.5907821655,-1395924.687385559,-1376423.2397079468,-1387394.0706253052,-1496759.057044983,-2269076.347351074,-2551454.782485962,24943.625554442406,-1825058.4602355957,-1148607.850074768,-1056083.5599899292,-928347.8260040283,-1498414.6356582642,-2339864.492416382,3444435.5964660645,-6061432.361602783,-813858.8666915894,991244.375705719,244581.53545856476,-1051149.845123291,531409.5616340637,-2302421.808242798,-6484122.753143311,-1545291.0661697388,-1955797.9106903076,-769493.9374923706,3464962.0056152344,-22651.690989732742,501835.3462219238,576467.2160148621,-1566579.5803070068,-1124675.2738952637,-3225558.042526245,-1296982.2883605957,-1302038.6695861816,-82940.63806533813,-20486.16111278534,527202.6062011719,436926.7225265503,38995.563983917236,-636092.1859741211,-2144045.114517212,-2196610.927581787,-2411711.9312286377,-168468.54984760284,-529602.4084091187,-392457.0679664612,1404765.8443450928,-3576069.5934295654,-3067384.719848633,-436158.06102752686,-332916.82600975037,-537838.8166427612
0.005,-18345151.901245117,-3689446.9261169434,-2491062.1643066406,-4893239.974975586,-577131.5693855286,-19361032.485961914,-13173143.38684082,-7613823.890686035,-3421818.733215332,-518585.205078125,-2326830.3871154785,-2750825.6435394287,-3008968.3532714844,-3238885.8795166016,-13591361.045837402,-20272670.74584961,-7355299.472808838,-285261.1839771271,-612624.7048377991,-280602.99158096313,931020.9155082703,-3780032.157897949,-8923417.091369629,25139858.24584961,-19513422.0123291,-3211772.918701172,3615807.53326416,-1325081.2292099,1037438.6310577393,-1525208.2347869873,-11588040.351867676,-31329366.68395996,-6661645.889282227,-8614435.195922852,-6290838.718414307,2671956.0623168945,-132187.69431114197,-1623169.4221496582,-1538708.5676193237,-8281037.330627441,-6146697.521209717,-16886705.39855957,-7480883.1214904785,-6616151.332855225,-8500275.611877441,-9394903.182983398,-4800316.333770752,-1747758.8653564453,-5870635.986328125,-13377430.91583252,-13578048.706054688,-12318952.560424805,-12646584.510803223,-10004868.507385254,-10480875.015258789,-9811393.737792969,536368.4892654419,-15955742.835998535,-15816134.452819824,-12089216.232299805,-8865327.835083008,-10209572.792053223
0.01,-24530626.29699707,-3345824.2416381836,-2371730.089187622,-5881196.975708008,1641478.180885315,-27557403.564453125,-18384235.382080078,-11435149.192810059,-2484216.6900634766,2887565.3743743896,-2564469.0990448,-4066922.664642334,-4308806.419372559,-4817521.095275879,-19562351.22680664,-29259683.60900879,-9960862.159729004,2013758.1825256348,1159713.0298614502,1721264.362335205,3363100.76713562,-5364748.001098633,-13186955.451965332,31289665.22216797,-26741336.822509766,-4235511.302947998,4341702.938079834,-1751914.143562317,2090801.9542694092,-2636526.346206665,-16807075.50048828,-44832561.49291992,-9206086.158752441,-12795415.878295898,-10072372.436523438,3100355.386734009,-154694.42307949066,-2753483.295440674,-2629505.8727264404,-12330341.339111328,-11226333.618164062,-23906721.115112305,-11704941.749572754,-10646273.612976074,-11461499.214172363,-12431162.83416748,-6859046.936035156,-3104080.91545105,-9230282.7835083,-19865003.58581543,-18897480.010986328,-17058084.48791504,-17017137.52746582,-13377499.5803833,-14214864.730834961,-13331468.58215332,-965231.8358421326,-21251983.642578125,-21172311.782836914,-16088788.986206055,-12123637.199401855,-13903820.037841797
0.015,-22120338.439941406,-1043038.7258529663,-797018.28956604,-4316899.299621582,3853809.118270874,-26578081.130981445,-16207225.799560547,-11004866.600036621,-497378.76653671265,6178431.987762451,-2578515.7680511475,-5310570.240020752,-5362947.940826416,-6110021.114349365,-18152210.235595703,-27811330.795288086,-7016628.742218018,5208653.450012207,2610953.3309936523,3325765.609741211,4825440.406799316,-6387666.702270508,-14810731.887817383,26765348.434448242,-26206363.677978516,-3018096.446990967,4370184.421539307,-1430343.2703018188,1535283.088684082,-2869400.2628326416,-18173622.131347656,-46503849.029541016,-7041436.195373535,-12573935.508728027,-9883357.048034668,5311764.717102051,-245099.35081005096,-2923766.851425171,-2755629.777908325,-13113978.385925293,-15007019.996643066,-22500823.974609375,-11497728.34777832,-10777333.25958252,-8319622.039794922,-8702984.809875488,-5730185.985565186,-3235103.130340576,-9709214.210510254,-19309383.392333984,-16605892.181396484,-14831917.762756348,-14614974.975585938,-9819045.066833496,-11673861.503601074,-10870506.286621094,-1716329.81300354,-18866441.72668457,-18519737.243652344,-12017579.078674316,-9892968.17779541,-11466732.9788208
0.02,-19073881.149291992,-38330.5624127388,-591991.7225837708,-2439699.88822937,4080365.6578063965,-21559654.235839844,-11355775.833129883,-7636147.022247314,-143348.88756275177,6105301.380157471,-2974092.0066833496,-6120145.797729492,-6107175.350189209,-6779187.202453613,-12795625.686645508,-21487361.907958984,-2000813.9610290527,8185832.977294922,1799138.1883621216,2512400.1502990723,3835012.912750244,-7069105.625152588,-14664088.249206543,26108947.75390625,-21847986.221313477,-486535.04252433777,5633261.203765869,-1389925.0030517578,-19770.119339227676,-3146966.9342041016,-18687988.28125,-43918212.890625,-1976254.7016143799,-9309748.649597168,-6358922.004699707,7727777.481079102,-492167.1152114868,-3110922.5749969482,-2941120.6245422363,-12400615.692138672,-16410228.729248047,-17584156.036376953,-7637079.238891602,-7113500.595092773,-3979063.7493133545,-3963714.599609375,-4636131.763458252,-3175926.685333252,-9336441.040039062,-16629158.020019531,-11497879.981994629,-9829402.923583984,-10456032.752990723,-5144327.640533447,-8781968.116760254,-8086473.46496582,-1015014.1716003418,-14863880.157470703,-14186256.408691406,-6801953.7925720215,-7238519.668579102,-8595185.279846191
0.025,-19781213.760375977,-1513875.6036758423,-2872650.8617401123,-2172024.2500305176,2513818.5024261475,-18859086.990356445,-9136755.94329834,-4799196.720123291,-3309031.0096740723,3404050.827026367,-3617609.2624664307,-6257025.241851807,-6408678.5316467285,-6804606.4376831055,-9557130.813598633,-17067279.815673828,685436.7852210999,8865389.823913574,-455235.15343666077,141607.5825691223,1472222.6858139038,-7343865.871429443,-13543546.676635742,31499437.33215332,-19153457.641601562,848072.88646698,6997612.953186035,-1855755.8059692383,-1075481.653213501,-3867163.1813049316,-19800107.955932617,-42500164.03198242,637775.0635147095,-7213417.053222656,-3963468.074798584,7445764.541625977,-623992.0258522034,-3825899.124145508,-3716040.849685669,-12180552.48260498,-16508701.32446289,-15664592.742919922,-4922073.841094971,-4201856.1363220215,-3615229.606628418,-3643139.8391723633,-5861619.94934082,-4435678.005218506,-10004305.839538574,-16718351.364135742,-9656915.664672852,-7948659.420013428,-9967610.359191895,-4864111.423492432,-10250940.322875977,-9531957.626342773,-684858.9777946472,-14747729.301452637,-13953754.425048828,-6685772.41897583,-8489229.202270508,-10006505.966186523
0.03,-22102863.311767578,-3815790.1763916016,-6196011.066436768,-3732868.6714172363,437652.02164649963,-19885622.024536133,-10926193.237304688,-5372923.851013184,-9639059.066772461,869887.65001297,-4780157.566070557,-6809514.999389648,-7185016.15524292,-7461949.825286865,-10327233.31451416,-16836202.62145996,-540455.9969902039,6162319.660186768,-2290222.644805908,-1725281.000137329,-414840.37041664124,-8018206.596374512,-12880872.72644043,34583290.100097656,-20199934.005737305,-393544.67391967773,5832646.84677124,-2578496.4561462402,-992236.5546226501,-4197797.2984313965,-20735929.489135742,-42528163.90991211,-728742.8379058838,-7689651.012420654,-5376852.512359619,4105213.6421203613,-377181.35118484497,-4238793.37310791,-4244104.862213135,-12449060.440063477,-17113573.07434082,-16940471.649169922,-5745961.1892700195,-4874648.571014404,-6596696.376800537,-6641039.848327637,-7728669.166564941,-6396430.969238281,-11225702.285766602,-19024721.145629883,-10911592.483520508,-9462626.457214355,-12351450.92010498,-7883764.743804932,-13673759.460449219,-12855378.150939941,-1458669.3048477173,-16866436.004638672,-16290027.618408203,-9994384.765625,-11595160.484313965,-13446125.984191895
0.035,-22247081.756591797,-4610527.515411377,-8263987.5411987305,-5391270.160675049,-1666320.562362671,-20280355.45349121,-13544800.758361816,-8337433.815002441,-16273237.228393555,-730791.3899421692,-7111885.070800781,-9077415.466308594,-9557858.46710205,-9955960.273742676,-10495302.200317383,-18008638.381958008,-3180515.766143799,2156813.144683838,-3505444.049835205,-2721083.641052246,-1573481.9173812866,-10255739.212036133,-14362806.32019043,34148944.85473633,-22383632.65991211,-2560458.183288574,2856751.9187927246,-3432330.846786499,-737984.1208457947,-3553534.2693328857,-21043560.028076172,-43335216.5222168,-649355.2327156067,-7046864.5095825195,-7569010.7345581055,1239338.2787704468,35313.2002055645,-3629027.3666381836,-3758816.719055176,-11997862.815856934,-18202373.504638672,-15835585.594177246,-6532699.108123779,-5962646.007537842,-8004459.381103516,-7898024.559020996,-7484435.558319092,-7077856.540679932,-11492884.635925293,-19436864.852905273,-9766819.953918457,-9173467.636108398,-12302495.956420898,-9100575.44708252,-13652457.237243652,-12760396.957397461,-933333.6353302002,-15650775.909423828,-15601092.338562012,-10601961.135864258,-11515404.70123291,-13500440.59753418
0.04,-18512886.04736328,-2525470.495223999,-7772666.931152344,-4518893.241882324,-3297477.4837493896,-15467683.792114258,-12652438.163757324,-9317321.77734375,-19007078.170776367,-1645252.1085739136,-9649989.128112793,-11989439.964294434,-12444921.493530273,-12951533.317565918,-5505795.955657959,-16795700.073242188,-3232010.1261138916,880032.479763031,-4350321.7697143555,-3210509.3002319336,-2173815.2503967285,-13145836.83013916,-17281446.45690918,36935726.165771484,-21875125.885009766,-3021380.90133667,2087623.5961914062,-3845559.597015381,-1347817.6593780518,-3242484.0927124023,-21437644.958496094,-44863864.89868164,4638200.283050537,-2883770.9426879883,-6874298.095703125,1840427.9947280884,206344.0978527069,-3241854.667663574,-3405451.774597168,-11248416.900634766,-18649066.925048828,-10857073.783874512,-4354845.04699707,-4280713.081359863,-6113856.792449951,-6329637.52746582,-6329442.977905273,-7085921.287536621,-11394598.960876465,-17189794.540405273,-4994912.147521973,-5396464.824676514,-8715980.529785156,-7448226.451873779,-10897868.156433105,-9997895.240783691,1380876.7795562744,-10960466.384887695,-11528823.852539062,-7652194.976806641,-8883789.0625,-10744245.529174805
0.045,-12100980.758666992,1716828.465461731,-5654362.678527832,-699335.2174758911,-3528895.616531372,-6925148.963928223,-7723991.870880127,-6087594.032287598,-16210912.704467773,-1002603.7693023682,-10423117.637634277,-13134119.033813477,-13501358.032226562,-13964794.158935547,2028328.8955688477,-12973701.477050781,162632.0481300354,3555704.116821289,-3944875.955581665,-2646276.7124176025,-1540434.2412948608,-14330094.337463379,-18765132.904052734,42713703.15551758,-18162279.12902832,-1615333.4379196167,5110962.867736816,-2943654.775619507,-2462596.1780548096,-4956921.577453613,-22397737.503051758,-45960159.30175781,9668967.247009277,668692.4695968628,-5115290.16494751,4257382.869720459,136079.40077781677,-4877058.029174805,-4938206.195831299,-12433092.11730957,-19057723.999023438,-8652003.288269043,-2768833.637237549,-2829580.307006836,-4575667.858123779,-5948003.768920898,-8015491.485595703,-9238680.839538574,-13071779.251098633,-16634841.918945312,-2964950.0846862793,-3750738.6207580566,-7110710.620880127,-7015332.221984863,-11877520.561218262,-11054644.584655762,917455.9712409973,-9455621.719360352,-10279171.94366455,-6770890.235900879,-9984658.241271973,-11676395.416259766
