time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2236595.630645752,-341834.24711227417,-1831531.047821045,-898774.0874290466,-767174.243927002,-1343652.9636383057,-1522694.1108703613,-1476541.7575836182,-279383.3315372467,-172953.14371585846,-247129.05287742615,365557.2533607483,-330572.7243423462,-313525.37870407104,-1028743.9823150635,-421436.1906051636,-186877.98082828522,-179179.74293231964,-109664.01547193527,107646.73352241516,89509.80752706528,217831.49242401123,-303752.6309490204,-1006349.8020172119,-347844.30265426636,76112.65778541565,-73420.79281806946,71088.13524246216,-99772.81838655472,-135018.11027526855,155710.8461856842,532743.513584137,-978194.4155693054,-991371.750831604,-228727.87714004517,-46147.68177270889,68780.38495779037,34796.69243097305,161606.40120506287,-71719.81781721115,-341956.7346572876,-977141.6187286377,-1298960.4473114014,-1031045.3176498413,-583645.5225944519,-256808.1021308899,393306.6427707672,198878.52668762207,256183.1772327423,157177.76119709015,-719550.4307746887,-786805.2124977112,-784326.3745307922,-322637.2301578522,271129.90617752075,1023359.1794967651,995829.4630050659,-533704.2212486267,-808449.0895271301,-307875.3650188446,210122.39158153534,183774.82891082764
0.005,-11841737.747192383,30889612.197875977,-1824482.798576355,-1977491.1403656006,-1295417.6664352417,-7738874.435424805,-1909837.9611968994,-1440977.931022644,1491129.3983459473,3165915.012359619,6597755.908966064,15286763.191223145,6768161.296844482,7228014.945983887,-6548152.923583984,-3734551.429748535,660784.7213745117,848531.9018363953,4487545.490264893,7863562.107086182,8387412.071228027,7851702.2132873535,7314441.680908203,-6415454.864501953,4496858.1199646,-1903199.553489685,69257.52013921738,2513162.136077881,5750816.345214844,8091734.886169434,12556933.403015137,10932994.842529297,-5692997.932434082,-6241343.021392822,-1503178.7157058716,-2166423.797607422,2069071.7697143555,5626014.709472656,8079679.489135742,7535392.284393311,793302.059173584,-5861246.109008789,-27513679.50439453,-5011168.479919434,-6434934.616088867,-2210707.664489746,7605509.7579956055,5590085.506439209,7239826.679229736,4362471.580505371,-10692227.363586426,-10578474.044799805,-10816739.082336426,-3614813.0893707275,3452030.4203033447,22202640.533447266,21239818.572998047,-11449135.780334473,-11253720.2835083,-4589865.684509277,2120755.434036255,1089814.6629333496
0.01,-14598864.555358887,45765594.482421875,-1624345.4217910767,-937416.0170555115,311402.20165252686,-13105348.587036133,-2585488.3193969727,-1955085.6351852417,3130337.715148926,6600531.101226807,11661335.945129395,21593000.411987305,7517156.12411499,8104074.478149414,-11281826.01928711,-6963201.04598999,1113867.6404953003,1179123.2824325562,6896579.742431641,12777122.497558594,13694395.065307617,10224382.400512695,8210820.198059082,-11246522.903442383,5050182.819366455,-2988559.2460632324,53248.87111783028,3503146.8868255615,8894531.25,12761660.5758667,17489803.314208984,11514548.301696777,-10166423.797607422,-10863333.702087402,-2721555.709838867,-3093771.21925354,2813004.732131958,7955082.893371582,11587528.228759766,9559044.83795166,-1787140.130996704,-10530670.166015625,-41541492.4621582,-7692951.202392578,-9227708.81652832,-3817199.70703125,10331551.551818848,5636057.8536987305,7880176.067352295,3645756.721496582,-16533254.623413086,-16417963.027954102,-16757495.880126953,-5845823.764801025,2633964.5385742188,29408229.82788086,28072809.21936035,-18648450.85144043,-17256982.803344727,-7778980.255126953,703478.4555435181,-789807.379245758
0.015,-12179181.098937988,43753910.064697266,-1339368.1049346924,800849.1396903992,2390254.497528076,-15615517.616271973,-3676148.8914489746,-3113373.7564086914,3863100.76713562,9376637.45880127,14013381.958007812,19641006.469726562,3351822.853088379,3838553.6670684814,-13420668.601989746,-8609429.359436035,1362648.9639282227,1135575.4137039185,7051435.470581055,14143614.768981934,15434124.946594238,7893689.155578613,3916585.2069854736,-13552871.704101562,3074445.4860687256,-2157105.2074432373,351419.8362827301,3094477.1766662598,9161886.215209961,14052298.545837402,15623082.160949707,5085540.771484375,-12468521.118164062,-12980661.392211914,-2779543.399810791,-2638334.274291992,2390409.7080230713,7035486.698150635,11196150.779724121,7433119.773864746,-5963345.527648926,-12948220.252990723,-41069416.04614258,-8396198.272705078,-9007642.74597168,-4759809.494018555,8759558.67767334,2307086.46774292,4261158.466339111,122628.44294309616,-17209899.90234375,-17253786.087036133,-17612470.626831055,-6772763.729095459,-833804.726600647,24422761.917114258,23227748.87084961,-20443744.659423828,-17911556.243896484,-9278885.841369629,-2690167.188644409,-4109472.7516174316
0.02,-10975728.988647461,37033809.661865234,-1503415.822982788,633634.5672607422,2121371.269226074,-14473501.205444336,-4954774.379730225,-4445253.372192383,3120713.472366333,10332001.686096191,14032375.33569336,16174291.610717773,-63000.83547830582,416198.2536315918,-12475880.62286377,-7483126.640319824,1757157.6833724976,1467252.8505325317,6437528.133392334,13375722.885131836,14934686.660766602,5060839.653015137,451147.9139328003,-12584933.280944824,2997053.384780884,226775.94423294067,1251340.627670288,2445010.185241699,8355797.76763916,14198790.550231934,12858208.656311035,898536.3245010376,-11625452.995300293,-11918558.120727539,-1325185.775756836,-1931315.302848816,1849645.3762054443,5218430.995941162,10229800.2243042,6353067.874908447,-7387526.035308838,-12015162.467956543,-35326629.638671875,-7893314.361572266,-8676818.84765625,-5402118.682861328,6044775.485992432,517320.1560974121,2137559.413909912,-1532144.30809021,-15891090.393066406,-16063718.795776367,-16438600.540161133,-7311110.973358154,-3543568.6111450195,18747381.21032715,17748809.814453125,-19433605.194091797,-16645898.818969727,-10334004.402160645,-5177298.069000244,-6395175.933837891
0.025,-11304473.876953125,36607151.03149414,-1064897.5372314453,208178.25198173523,1096930.3846359253,-10834939.002990723,-5059490.68069458,-4456805.229187012,2310301.0654449463,9796489.715576172,13528209.686279297,15916126.251220703,-169329.1962146759,483959.70463752747,-10622923.851013184,-4395169.734954834,2440714.8361206055,2431730.031967163,6263182.640075684,12598446.8460083,13805155.754089355,4233338.356018066,473258.4059238434,-10560087.203979492,5346354.007720947,2005868.911743164,2122568.6073303223,2304317.4743652344,7976489.067077637,14044075.965881348,12326553.344726562,1473803.5202026367,-9702632.904052734,-9860233.306884766,-180958.71806144714,-2323939.800262451,1827442.2883987427,4061499.1188049316,9878641.128540039,7682146.072387695,-6010205.7456970215,-9855525.970458984,-35157062.53051758,-7847856.9984436035,-10363978.385925293,-6419082.164764404,4032512.664794922,525549.8886108398,2186400.890350342,-1457680.2253723145,-16571723.937988281,-16708114.624023438,-17000345.23010254,-8336983.680725098,-5186993.12210083,17685688.018798828,16702886.581420898,-20335569.381713867,-17370609.283447266,-12811581.6116333,-6818970.203399658,-7976933.95614624
0.03,-6816413.879394531,44616710.6628418,3203054.189682007,4520444.393157959,4010975.8377075195,-5645027.160644531,-1853892.207145691,-1127594.232559204,4139177.7992248535,10072705.268859863,14505812.644958496,18657283.782958984,2359087.7056121826,3165120.840072632,-9194651.60369873,-672529.6974182129,3618437.7670288086,3899236.6790771484,6761452.198028564,13216301.918029785,13381870.26977539,5480148.792266846,3121431.589126587,-9088544.845581055,7566925.048828125,1942546.6060638428,2395009.756088257,2494326.35307312,8262290.000915527,13425045.96710205,13131272.315979004,3311310.052871704,-8327239.990234375,-8387477.874755859,-759020.0304985046,-3579366.683959961,2106342.554092407,3610315.3228759766,9264905.92956543,8919095.993041992,-4614197.254180908,-8307558.059692383,-40479209.899902344,-8343814.849853516,-12371300.69732666,-6955539.226531982,3169711.3513946533,215025.09713172913,2030086.7557525635,-1910086.8701934814,-18602354.049682617,-18633493.423461914,-18675453.186035156,-8753284.454345703,-6183208.94241333,18698846.8170166,17681558.60900879,-23152715.6829834,-19231718.063354492,-15007143.9743042,-7922537.326812744,-9108838.081359863
0.035,4099825.382232666,55833763.122558594,11928858.757019043,13951158.52355957,10707041.74041748,1309221.2677001953,4683125.972747803,5399321.07925415,8813231.468200684,12539711.952209473,16659399.032592773,21929103.85131836,6811935.4248046875,7612603.664398193,-6124039.649963379,3650758.2664489746,5392415.523529053,5647975.921630859,7489198.207855225,14814754.486083984,14161591.529846191,8335494.9951171875,7579936.981201172,-6175546.169281006,9425656.31866455,1769863.0094528198,2657825.9468078613,2661322.1168518066,8748827.934265137,13262037.27722168,14766082.763671875,6259689.3310546875,-5526127.338409424,-5580133.438110352,-1263033.390045166,-3816734.552383423,2312322.8549957275,3964555.025100708,8924329.75769043,9555447.578430176,-3061284.065246582,-5504604.339599609,-41275978.088378906,-7116571.426391602,-10988274.574279785,-4728095.054626465,4616346.836090088,1486137.6285552979,3313332.3192596436,-756321.6090202332,-16929784.774780273,-17000514.98413086,-16831960.678100586,-6200630.187988281,-3660958.0516815186,21108747.482299805,20127079.010009766,-21760576.248168945,-17369306.564331055,-11825423.240661621,-5359030.723571777,-6553739.070892334
0.04,11562395.095825195,60905815.12451172,17849227.905273438,20359794.61669922,13651265.144348145,8117532.730102539,10017198.56262207,10620928.764343262,11976810.455322266,14855151.176452637,16894935.607910156,22957710.26611328,11024007.797241211,11770746.231079102,-85458.83744955063,8093290.328979492,6833284.378051758,6868975.639343262,7585462.57019043,15308019.638061523,14804039.001464844,11232781.410217285,11788459.777832031,-259562.1645450592,12673606.872558594,3513791.561126709,3643432.855606079,2821448.32611084,8819060.325622559,14536728.858947754,17949270.248413086,13025967.597961426,335039.1387939453,113489.93331193924,865367.05493927,-1973523.2591629028,2410186.290740967,5598538.875579834,10698754.31060791,12055239.6774292,1049721.598625183,296499.43113327026,-32282432.556152344,-2738748.073577881,-5544749.736785889,619448.2445716858,9003139.49584961,7572309.0171813965,9383370.399475098,5476177.69241333,-9423076.629638672,-9731706.619262695,-9628803.253173828,-639151.4539718628,4446118.354797363,27292253.494262695,26324111.938476562,-12824205.39855957,-10060199.737548828,-2190066.5760040283,2918647.050857544,1723481.6551208496
0.045,5448052.883148193,53369712.829589844,12558348.655700684,16042825.698852539,7719313.144683838,9768226.623535156,8631370.544433594,9200719.833374023,9200701.713562012,13657388.687133789,13464860.916137695,20324192.04711914,10863492.012023926,11630601.88293457,4898964.405059814,10013693.809509277,6348964.691162109,6320394.515991211,6523931.503295898,13448383.331298828,13460483.55102539,11420984.268188477,11690292.358398438,4802210.330963135,16036003.112792969,5692736.1488342285,4563523.292541504,3034033.0600738525,8171726.226806641,16191156.387329102,21669038.772583008,21130935.668945312,5444583.892822266,5012257.099151611,4203394.889831543,232181.1020374298,2446160.7933044434,7993842.601776123,14281394.958496094,16814872.74169922,6783510.684967041,5416389.942169189,-21651494.9798584,2044025.6595611572,-253532.64808654785,5580476.2840271,13810175.895690918,15393229.484558105,17278419.494628906,13586498.260498047,-1524754.8818588257,-2074645.0424194336,-2167103.052139282,4204631.328582764,13183055.877685547,34814716.33911133,33747222.900390625,-2986724.1382598877,-2676391.6015625,6593397.617340088,11710320.472717285,10513436.317443848
