time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,563654.4823646545,823819.8757171631,1172326.3263702393,1033391.4756774902,8898.944593966007,199451.68495178223,1481640.2196884155,1817322.6118087769,280141.5026187897,-78049.33190345764,-74266.01648330688,-123868.85285377502,-114335.0601196289,769089.40076828,198391.854763031,1303211.4505767822,1347528.9344787598,652083.4565162659,115802.07198858261,-404673.1889247894,-388733.77442359924,38406.39814734459,-284889.3105983734,2405959.367752075,608534.0976715088,-43420.67986726761,158406.5556526184,-183733.9699268341,10374.829173088074,-277179.7776222229,-188115.14973640442,-499172.00207710266,-162749.88651275635,631477.0579338074,-1670.8674374967813,176445.1414346695,1851.636217907071,-33785.26866436005,138718.99247169495,464258.2833766937,450177.937746048,-200930.11856079102,-226016.01481437683,-208018.4519290924,-1485267.6391601562,-387666.9406890869,-341452.4495601654,285727.67972946167,243289.08324241638,491752.83312797546,-155415.78829288483,-213173.0020046234,125155.13598918915,-378863.0962371826,-335819.0655708313,280620.87297439575,280397.6833820343,832917.3922538757,168120.20540237427,-359167.218208313,-361028.5818576813,-335019.0222263336
0.005,19076478.958129883,11622681.617736816,7879303.932189941,15052830.696105957,5660169.1246032715,44579250.33569336,26704486.846923828,25213550.567626953,20959184.646606445,5509732.246398926,3127493.6199188232,1619612.8129959106,1796472.191810608,-8936609.268188477,44630996.70410156,28664785.385131836,15781717.300415039,12768639.56451416,4495402.3361206055,-1395099.401473999,-943945.2886581421,-14086478.233337402,-20631757.736206055,65133003.23486328,19006153.106689453,7442345.142364502,7439575.672149658,4708553.314208984,-1175083.9948654175,-4014998.9128112793,-15897139.549255371,-18023849.487304688,-2267129.1828155518,19264478.68347168,4086339.4737243652,-1385031.3425064087,269119.0540790558,-2534671.3066101074,-2428062.2005462646,8895766.258239746,8227134.704589844,-3216100.4543304443,-3802288.770675659,-3502374.4106292725,-4247452.735900879,-3915725.2311706543,-4066241.74118042,7227140.426635742,6114142.894744873,9544342.041015625,-2192047.119140625,-3567383.289337158,-3924207.6873779297,-3758431.4346313477,-4223680.9730529785,6597436.428070068,6427721.5003967285,5491364.479064941,-2334045.886993408,-3256958.0078125,-4616471.767425537,-4228262.901306152
0.01,27751272.201538086,18820795.0592041,13807993.88885498,20570451.736450195,9964855.194091797,62020042.419433594,39802577.97241211,39431869.50683594,29624908.447265625,8353073.1201171875,6479006.767272949,4402224.063873291,4782650.947570801,-8389650.344848633,61900501.2512207,38447105.407714844,20841165.54260254,15682262.420654297,6259888.172149658,841433.6442947388,1281964.898109436,-15614105.224609375,-23475164.41345215,90112289.42871094,26646661.75842285,8334552.764892578,8792490.95916748,7054951.6677856445,890822.70860672,-2539469.7189331055,-16923196.79260254,-19294496.536254883,-338677.9725551605,26947633.743286133,4308627.605438232,-3925344.944000244,360888.0043029785,-969148.2186317444,-504974.00760650635,18104570.388793945,17336465.83557129,-1649658.0839157104,-2327096.462249756,-1977973.9379882812,-4589123.725891113,-2849288.4635925293,-2807294.6071624756,15883815.76538086,14264886.856079102,19081016.540527344,-180644.34826374054,-2190036.5352630615,-3146594.762802124,-2626326.7993927,-2974409.580230713,14930758.476257324,14784788.131713867,14374670.98236084,-971587.8367424011,-1916980.0281524658,-3454174.757003784,-3021914.482116699
0.015,27379068.37463379,20836906.43310547,16070346.83227539,19394092.559814453,10655092.239379883,59174034.118652344,35239448.54736328,33870277.404785156,26920192.71850586,8242944.717407227,7964821.338653564,6062912.464141846,6588273.525238037,-3483797.073364258,58831073.76098633,36435089.111328125,21002803.802490234,15550030.708312988,6176155.090332031,3359458.2080841064,3467510.223388672,-9430742.263793945,-15694262.504577637,83978897.09472656,26217792.510986328,4572359.085083008,6339797.019958496,7119522.571563721,3823894.0238952637,993430.6144714355,-9299520.492553711,-10699000.358581543,4315262.317657471,26468509.674072266,2320874.9294281006,-5037863.254547119,271693.79591941833,2146541.118621826,3256609.4398498535,23918479.919433594,23495050.43029785,3125902.1759033203,2608371.0193634033,2906271.21925354,-4333145.1416015625,-80712.83996105194,236292.2877073288,21875350.952148438,20296560.287475586,24925342.559814453,4531994.819641113,2515167.474746704,60476.90659761429,168940.17159938812,186745.0624704361,20931520.462036133,20919486.99951172,24306880.950927734,1984024.8823165894,803476.2144088745,-182772.32348918915,200598.95515441895
0.02,24363426.208496094,18004753.11279297,12327676.773071289,17850553.512573242,6981435.775756836,58386943.81713867,20410982.131958008,12045166.015625,21961633.682250977,6773905.7540893555,5850632.667541504,4128733.6349487305,4585972.309112549,-6092024.803161621,58104362.48779297,38119430.54199219,24941286.087036133,21677707.67211914,6384030.818939209,1543133.25881958,1449258.804321289,-8972114.562988281,-15632368.087768555,79092124.93896484,27032724.380493164,2991387.8440856934,6107602.119445801,6777703.285217285,3318722.96333313,191800.5496263504,-8947663.307189941,-9568907.737731934,7149776.935577393,27389350.89111328,2534003.496170044,-2364410.400390625,139751.18100643158,1813673.6154556274,3280833.4827423096,22316902.16064453,22140476.22680664,6128047.943115234,5539455.890655518,5926331.043243408,-5810112.476348877,-918605.625629425,-840888.4406089783,20376613.61694336,18990701.67541504,23271270.751953125,7379919.052124023,5486316.680908203,842060.5063438416,-613035.6788635254,-764402.0318984985,19602626.80053711,19596652.98461914,28694225.311279297,2523224.115371704,-96307.53099918365,-1138584.017753601,-527243.8526153564
0.025,20445697.784423828,11781798.362731934,4591876.983642578,16338386.535644531,1660890.3408050537,62168521.881103516,11367355.346679688,-2907195.806503296,19718341.827392578,5090748.7869262695,1716986.4177703857,-69315.56016206741,121263.23580741882,-15325756.072998047,62207973.48022461,43616832.7331543,30256212.23449707,28981746.673583984,6716764.9269104,-3394303.321838379,-3413652.8968811035,-16376201.629638672,-25469354.6295166,86497497.55859375,31002269.744873047,5901855.46875,9032469.749450684,6635327.8160095215,-77297.05423116684,-4728174.209594727,-17931425.094604492,-18261869.430541992,7218025.684356689,31656415.939331055,6041852.4742126465,2033142.5666809082,99956.79557323456,-1665085.792541504,-521972.00059890747,16376733.779907227,16096223.831176758,6245893.955230713,5383064.746856689,5946275.234222412,-6534599.304199219,-3718564.748764038,-4857050.41885376,14315855.026245117,13081495.28503418,17344238.28125,7492763.996124268,5646646.976470947,889742.8512573242,-3375590.5628204346,-4677557.945251465,13723031.997680664,13539042.472839355,27393264.770507812,2744053.1253814697,-2823493.003845215,-5287945.27053833,-4294438.362121582
0.03,13840785.98022461,4746782.302856445,-2291140.556335449,11733895.301818848,-1895892.62008667,57656238.5559082,16342182.159423828,5654372.692108154,18302097.32055664,3492979.7649383545,-1358507.3947906494,-3147675.2758026123,-3166541.576385498,-20572378.158569336,57891231.536865234,42474525.451660156,29037313.46130371,26626060.485839844,5507987.976074219,-6355699.53918457,-6268520.355224609,-22115531.92138672,-31828779.220581055,91493949.89013672,33497486.114501953,9588598.251342773,11034614.562988281,5957756.519317627,-2060827.0168304443,-8038290.023803711,-24264661.78894043,-23909286.499023438,8857123.374938965,34412075.04272461,10325231.552124023,4334255.218505859,206921.90527915955,-3667173.147201538,-3312084.913253784,13017360.68725586,12503973.960876465,7983938.694000244,7038422.584533691,7663013.458251953,-2267023.801803589,-1730862.2598648071,-5560093.402862549,11091870.307922363,10030876.159667969,14030218.124389648,9279156.684875488,7521027.565002441,6473855.495452881,-1445372.223854065,-5278764.724731445,10613355.63659668,10275582.313537598,27708421.70715332,8578854.56085205,-764682.8293800354,-6141638.278961182,-5014777.660369873
0.035,6543022.632598877,-226981.7739725113,-5979691.028594971,5960343.837738037,-3349297.523498535,45685237.884521484,26696681.97631836,24697998.046875,16092512.130737305,2498420.476913452,-2558992.385864258,-4195514.20211792,-4127770.9007263184,-19198564.529418945,45759452.81982422,35303005.21850586,22993904.11376953,17370916.36657715,3116705.6560516357,-5897592.067718506,-5836745.262145996,-21311096.19140625,-29255235.67199707,86386039.73388672,33584678.649902344,10852729.797363281,10323542.594909668,4847301.959991455,-1094657.4211120605,-7436394.691467285,-21945753.09753418,-20521839.141845703,14944740.295410156,34537063.59863281,13390676.498413086,4351438.522338867,441736.4299297333,-2501019.4778442383,-2761008.7394714355,14233631.134033203,13612891.19720459,14242763.51928711,13471657.752990723,14059783.935546875,5570319.652557373,6331440.448760986,-1597017.2882080078,12793828.010559082,11882974.624633789,15235738.754272461,15531476.974487305,13871316.909790039,17886735.916137695,6530126.094818115,-1291434.2880249023,12273391.723632812,12009378.433227539,34356258.392333984,19961755.752563477,7252322.673797607,-2168790.340423584,-1193912.8637313843
0.04,2717607.4981689453,-2227411.2701416016,-8170166.969299316,3829710.2451324463,-4386555.194854736,40227214.81323242,29589641.571044922,30669147.491455078,14715728.759765625,2701808.452606201,-3021178.960800171,-4633404.25491333,-4276853.561401367,-18917608.2611084,40003570.556640625,32401237.48779297,20702222.82409668,13224009.51385498,1887064.2185211182,-4890197.75390625,-4847016.81137085,-19294277.19116211,-26686780.92956543,80655426.02539062,34006790.16113281,10436639.785766602,9365684.509277344,4589724.063873291,311769.39606666565,-5994408.130645752,-17942556.381225586,-16584577.560424805,20824869.15588379,34837280.2734375,14790384.292602539,4579412.937164307,695489.764213562,-944940.9246444702,-1170132.8754425049,16196315.76538086,15573759.078979492,20129821.77734375,19491485.595703125,20093753.814697266,10147579.193115234,13379191.398620605,1876442.313194275,15108118.057250977,14137669.563293457,17113239.288330078,21424966.81213379,19690538.40637207,26588661.193847656,13598893.165588379,2023802.2804260254,14357594.49005127,14328592.300415039,42217571.25854492,28475688.934326172,14257964.134216309,1350868.4635162354,2194271.3260650635
0.045,1764223.0987548828,-2847121.238708496,-10726673.126220703,4719207.286834717,-5231082.439422607,43064220.4284668,24638488.76953125,22546899.795532227,14938732.147216797,3660217.28515625,-3039621.591567993,-4822330.474853516,-4326714.515686035,-23727638.244628906,42735919.95239258,35053508.75854492,23226917.266845703,16100482.940673828,2717650.1750946045,-4871724.605560303,-4684218.406677246,-20803245.544433594,-30681016.92199707,79699150.08544922,33752864.837646484,9927303.314208984,9846897.12524414,5647071.361541748,385204.58340644836,-5937801.361083984,-18797771.453857422,-19600414.276123047,19045108.795166016,34468154.90722656,13793483.73413086,5304757.118225098,783790.9460067749,-951810.1215362549,-568437.2186660767,16171707.153320312,15540329.933166504,18137643.814086914,17481916.427612305,18100727.081298828,7558837.890625,13103621.482849121,1369287.7292633057,15063639.640808105,13848225.593566895,16968624.114990234,19493398.666381836,17581974.029541016,25249025.344848633,13430041.313171387,1279095.0536727905,14056352.615356445,14156044.960021973,42578594.20776367,27078086.853027344,14088519.096374512,769394.2189216614,1603284.8358154297
