time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,4254689.2166137695,2744545.6981658936,2467511.1770629883,4178636.5509033203,2406118.869781494,4596819.877624512,6718986.988067627,3196744.441986084,1290436.5062713623,632772.7437019348,1491133.3322525024,2075174.09324646,3444140.4342651367,4081046.1044311523,7089561.939239502,4167451.3816833496,1280724.048614502,1121643.9008712769,153184.81624126434,764159.619808197,1415090.2032852173,6625680.446624756,6683442.115783691,4434791.564941406,3658562.183380127,970258.891582489,1106083.0354690552,400157.4516296387,233653.53047847748,1329299.807548523,2415332.794189453,6112122.535705566,3268140.0775909424,3179525.375366211,1919323.5635757446,856904.3874740601,1833346.3668823242,274091.2735462189,2341645.7176208496,2631905.7941436768,3492226.6006469727,4551270.008087158,3195174.9324798584,2105433.464050293,3101694.345474243,3322185.99319458,1216584.0864181519,2346108.1981658936,3881360.0540161133,5093394.2794799805,5236262.798309326,5239964.008331299,4483755.111694336,4462583.541870117,4546662.8074646,4594178.199768066,-4515213.966369629,4446628.093719482,4470352.1728515625,4717158.794403076,4601806.640625,4471926.212310791
0.005,-14347312.927246094,-25352254.86755371,-17585077.2857666,-4987195.4917907715,-3787529.468536377,14594229.698181152,32420337.677001953,14254302.978515625,9853648.18572998,8358549.118041992,10204215.049743652,11215196.60949707,16471439.361572266,18727405.548095703,42154254.91333008,32903263.092041016,15643500.328063965,15209117.889404297,10827724.45678711,14159630.77545166,17619041.442871094,30444557.189941406,34867668.15185547,28843732.833862305,31593479.15649414,21547161.102294922,20672487.258911133,16735910.415649414,15206894.874572754,18207729.33959961,24080335.61706543,36353572.845458984,26812397.003173828,33323856.353759766,28141799.926757812,20779680.252075195,26593114.852905273,16526885.986328125,21067216.873168945,22458599.090576172,28211170.196533203,35330581.66503906,32241806.030273438,27032917.022705078,37732925.41503906,36813133.239746094,19228200.912475586,22175518.035888672,27638143.53942871,31776008.60595703,42936191.55883789,42997467.041015625,42560218.811035156,40969974.517822266,34617332.458496094,35396923.06518555,-187536590.57617188,41744636.53564453,42137882.232666016,39786689.75830078,36430919.6472168,36271060.943603516
0.01,-44993350.982666016,-61834587.09716797,-48511837.005615234,-30597913.74206543,-22126964.569091797,2937197.44682312,16326671.600341797,5697407.245635986,7367511.749267578,6459289.073944092,6824532.985687256,4843636.512756348,10436926.84173584,11005644.798278809,36607688.903808594,30653556.82373047,16407188.415527344,17823764.80102539,13139840.126037598,16955345.153808594,19850601.196289062,27568849.563598633,31112016.677856445,28224510.192871094,32985755.920410156,24013580.322265625,25628339.767456055,22669216.15600586,20899019.241333008,21399898.529052734,26134672.164916992,36524002.07519531,28909029.006958008,36610527.03857422,34471717.834472656,28386779.78515625,32139675.14038086,24181543.350219727,25488605.499267578,26362743.377685547,33934062.95776367,38125293.73168945,37922298.431396484,33722057.3425293,44869911.193847656,42694438.93432617,25026887.893676758,27434377.670288086,31771316.528320312,33440902.709960938,46199108.1237793,46249118.80493164,49429813.385009766,46917320.251464844,42568664.55078125,43578418.73168945,-266364135.7421875,48231330.87158203,48852119.44580078,46599620.8190918,45142227.17285156,45351642.60864258
0.015,-84002975.46386719,-102832069.39697266,-86194061.27929688,-68583953.85742188,-48809818.267822266,-27034482.955932617,-32061847.686767578,-19307432.174682617,-4955497.264862061,-3789487.600326538,-6230781.555175781,-13115232.467651367,-10346899.032592773,-14275936.126708984,-2215712.785720825,2247610.092163086,4949001.312255859,10206050.872802734,8017250.061035156,10954037.6663208,10703248.023986816,2991834.6405029297,1676397.681236267,6171961.307525635,11524855.613708496,10953039.169311523,17926342.010498047,19564464.569091797,18517841.339111328,12949897.766113281,12043364.524841309,12022924.423217773,11859001.159667969,16944444.65637207,23144277.572631836,24591615.676879883,21476922.9888916,23544939.041137695,17402450.561523438,16552770.614624023,22599798.20251465,16638534.545898438,22998556.13708496,23830448.150634766,28339653.01513672,24785480.499267578,19332828.521728516,19700048.446655273,18944028.854370117,13862097.74017334,20529048.919677734,20560317.993164062,29247901.916503906,26270719.528198242,30514585.494995117,31389150.619506836,-249697250.36621094,28051532.745361328,28724246.978759766,28556138.99230957,32979846.954345703,33773120.88012695
0.02,-117983711.24267578,-137402770.99609375,-117394027.70996094,-101685104.37011719,-70509193.42041016,-55375900.26855469,-71011413.57421875,-42438514.709472656,-17369485.85510254,-13720770.835876465,-17531253.814697266,-27109495.162963867,-27381534.576416016,-35598796.84448242,-35533210.75439453,-23398672.103881836,-6985270.5001831055,2422062.1585845947,2796894.073486328,5864712.238311768,2969175.8155822754,-17877805.709838867,-23017065.048217773,-14739767.074584961,-8728216.171264648,-1128051.4001846313,10746659.278869629,16681074.142456055,16045000.076293945,4942432.880401611,-363063.39502334595,-9366506.576538086,-5945092.20123291,-1404008.5077285767,11524731.636047363,19601615.90576172,12320757.865905762,21120492.935180664,9122997.283935547,6577429.294586182,9842102.05078125,-4655182.838439941,7422069.072723389,12486932.754516602,12861148.834228516,8154690.742492676,11860718.727111816,10999830.24597168,5979230.880737305,-4912955.284118652,-2832727.4322509766,-2728560.68611145,9164704.322814941,5923073.291778564,16375858.306884766,17216932.29675293,-224828704.83398438,8014971.733093262,8653956.413269043,9726824.760437012,18732662.200927734,19790924.072265625
0.025,-140297134.39941406,-160635238.64746094,-136090866.0888672,-121114608.76464844,-81682823.18115234,-71404335.02197266,-81964927.67333984,-53912006.37817383,-24013359.06982422,-18534975.051879883,-22111364.364624023,-31244850.158691406,-33272975.92163086,-44044303.89404297,-44520702.36206055,-31229986.1907959,-12623476.9821167,208233.26706886292,1530793.6668395996,5991716.8617248535,1791187.5247955322,-23379730.224609375,-29694095.611572266,-23072080.612182617,-15158210.754394531,-3698012.8288269043,10952328.6819458,18610761.642456055,17131641.387939453,2800351.619720459,-3645225.0480651855,-15502721.786499023,-14563741.683959961,-6322772.50289917,9024135.58959961,19368898.391723633,13188557.624816895,20640874.8626709,6536569.118499756,2348776.10206604,3464873.790740967,-13537614.822387695,1261714.9353027344,7963301.658630371,11022971.153259277,5879361.152648926,8344896.31652832,7154537.200927734,622840.7621383667,-12875168.800354004,-9113201.141357422,-8864183.42590332,2504580.25932312,-336392.0748233795,9299360.275268555,10304973.602294922,-238964477.5390625,1206798.4342575073,1864102.9596328735,2138321.1612701416,11932101.249694824,12781942.367553711
0.03,-153574768.06640625,-174814208.984375,-146122482.2998047,-131249038.69628906,-87311210.63232422,-79874298.09570312,-81562812.80517578,-58402881.62231445,-26518297.19543457,-20312849.044799805,-24332950.592041016,-32858661.651611328,-36108940.12451172,-48648010.25390625,-43691364.28833008,-30735143.661499023,-14584315.299987793,973284.0061187744,2092676.8779754639,7282303.810119629,1449388.3848190308,-23919002.532958984,-31371818.54248047,-26050428.39050293,-15331097.602844238,-2255576.6105651855,14015187.26348877,21731077.194213867,18636016.845703125,1754708.5285186768,-5446870.803833008,-17834163.665771484,-18848428.72619629,-6104400.634765625,10534091.94946289,21413351.05895996,16842283.248901367,20624691.009521484,5175726.890563965,-1045583.8441848755,-1083220.7202911377,-17463453.29284668,-1283189.8927688599,6639336.109161377,14482644.081115723,9387731.552124023,6891636.371612549,4479611.396789551,-2805194.616317749,-18022117.614746094,-9270109.176635742,-8913145.065307617,840650.4988670349,-865434.1101646423,4871881.484985352,5949123.382568359,-262278839.11132812,-682785.3322029114,101312.5479221344,-1275748.4912872314,7758949.279785156,8360925.674438477
0.035,-158916687.01171875,-180286392.21191406,-149816665.64941406,-135411941.5283203,-90604682.92236328,-84234558.10546875,-82449325.56152344,-59979549.407958984,-27245464.324951172,-21528644.561767578,-27354589.462280273,-36782012.939453125,-41254623.41308594,-55271587.37182617,-45484420.77636719,-30868432.998657227,-15971446.03729248,1242445.945739746,1661336.1835479736,6084569.931030273,-2052568.4356689453,-28257036.209106445,-38004913.330078125,-29371646.881103516,-16298810.958862305,-2073980.8082580566,14948712.348937988,22023124.69482422,17719890.594482422,-1873442.8882598877,-10939089.77508545,-24499763.48876953,-22572177.88696289,-7670558.929443359,10980885.50567627,22539255.142211914,16348728.17993164,19293031.692504883,1377177.5960922241,-6273958.206176758,-6770542.621612549,-21256145.477294922,-3917773.962020874,5655310.63079834,15663041.114807129,9936780.92956543,5236655.235290527,688816.1897659302,-7544297.695159912,-25159656.524658203,-10830019.9508667,-10451509.475708008,-1374252.200126648,-2580807.4474334717,891829.0138244629,1839175.7011413574,-258640350.34179688,-2951514.0056610107,-2034048.5572814941,-5141948.223114014,3644104.00390625,4334040.641784668
0.04,-152493896.484375,-173518722.5341797,-143298568.72558594,-128759323.12011719,-87346076.96533203,-77602478.02734375,-70357734.68017578,-53610069.274902344,-25239477.157592773,-21150497.436523438,-27822561.264038086,-37011524.20043945,-41953239.44091797,-55414302.825927734,-36490352.630615234,-22724784.85107422,-14757626.5335083,1891934.5140457153,646057.0096969604,4419548.034667969,-4391085.624694824,-27977563.858032227,-38378009.79614258,-24797302.24609375,-10873314.85748291,1458550.214767456,16158422.470092773,20799930.572509766,15928668.022155762,-4319720.74508667,-13343434.33380127,-24673131.942749023,-18874694.82421875,-2872109.4131469727,15102772.71270752,24243940.353393555,16621358.871459961,17456563.94958496,-1101427.0782470703,-7863001.346588135,-7960140.228271484,-15034639.358520508,998851.7761230469,9658767.700195312,21932981.491088867,14084497.451782227,5036265.3732299805,122272.3051905632,-6768848.419189453,-24776718.139648438,-1677895.3075408936,-1340263.2474899292,5940675.258636475,3296207.6663970947,4103137.493133545,4961260.3187561035,-239581237.79296875,4481115.341186523,5358335.494995117,-661534.6670150757,6568738.4605407715,7408632.755279541
0.045,-134601257.32421875,-155173645.01953125,-125268119.81201172,-109124427.79541016,-74791603.0883789,-56147079.46777344,-32989578.247070312,-36399024.963378906,-20052801.13220215,-17991325.37841797,-22693050.384521484,-27717332.83996582,-32095523.834228516,-41661769.86694336,-2776585.817337036,2747689.2471313477,-9258179.664611816,4644147.3960876465,622469.3655967712,5382751.941680908,-1102688.5509490967,-13311972.618103027,-20459878.92150879,-5322342.395782471,7943892.002105713,13317150.115966797,21520301.818847656,21241233.825683594,15537851.333618164,-1672368.5264587402,-6219451.427459717,-7930227.756500244,-2607848.882675171,15870568.27545166,27693544.387817383,28532573.699951172,24653139.114379883,16155881.881713867,1749785.1848602295,-2049114.9425506592,-665129.3039321899,7856192.588806152,18131254.196166992,21231084.8236084,40563964.84375,29963357.92541504,7408293.724060059,5649765.0146484375,4013764.8582458496,-9685966.491699219,27155803.680419922,27393299.102783203,29248126.983642578,23940113.067626953,17322132.110595703,18286577.224731445,-233376205.44433594,27816183.09020996,28440395.35522461,17632137.298583984,19746679.306030273,20278625.48828125
