time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,7351222.991943359,6764839.649200439,5281335.830688477,5022051.3343811035,3943261.3849639893,5755575.656890869,4786343.574523926,4770444.869995117,2567846.5366363525,2208874.9408721924,1909189.9394989014,1846288.561820984,876150.9656906128,375159.1742038727,4304352.283477783,3460869.073867798,2544985.771179199,1535802.6027679443,1710097.9089736938,755875.3490447998,1025252.6998519897,215646.31164073944,-321005.6722164154,2723966.8369293213,2640191.7934417725,2078500.747680664,1201496.1242675781,323666.39375686646,407875.657081604,31794.719398021698,-642785.906791687,-1104120.6121444702,2168028.5930633545,1562044.0244674683,910079.4792175293,417455.4646015167,70008.24809074402,259516.06035232544,-1138648.6291885376,-947044.0149307251,-860595.8223342896,735130.6676864624,821000.0991821289,498220.65234184265,338621.49715423584,-324572.8015899658,156164.83986377716,-401846.7664718628,-974563.0025863647,-700284.481048584,403241.6641712189,341803.31230163574,143007.68077373505,-1277785.8972549438,-532030.5228233337,-809687.2568130493,-868874.1326332092,-399985.3730201721,-206857.14483261108,-463820.9342956543,-981196.2246894836,-642649.3525505066
0.005,4554428.577423096,17053459.16748047,26264600.75378418,9923104.286193848,19276548.385620117,601636.2309455872,4850425.720214844,5621697.425842285,4796285.152435303,7735539.91317749,10846504.211425781,13185564.994812012,13166573.524475098,9329796.79107666,1536497.5929260254,1482626.6765594482,2403064.489364624,1620572.3285675049,7198321.81930542,4732658.863067627,7775649.547576904,10022486.686706543,7729494.571685791,3112138.9865875244,4144211.769104004,1649677.038192749,1129423.1414794922,2962358.7131500244,4946727.275848389,3798757.553100586,5541814.32723999,2350082.3974609375,4719862.461090088,1892432.3320388794,-710317.9693222046,-1135759.5920562744,806004.8818588257,-261212.61715888977,2581891.7751312256,2657486.4387512207,3849178.7910461426,3691873.31199646,3957181.930541992,495588.3026123047,1167909.9798202515,-3248196.840286255,-3870115.5185699463,1403245.8066940308,2595504.5223236084,4749615.19241333,5791286.945343018,4867964.267730713,3177153.1105041504,-3174239.39704895,-213703.37903499603,3674733.4003448486,2666385.4122161865,2335176.944732666,2112117.5289154053,206103.42919826508,464217.24557876587,-828011.2147331238
0.01,2625648.260116577,19926368.713378906,33334690.09399414,9304888.725280762,22955154.418945312,-2464007.85446167,3200598.955154419,4351111.41204834,2569144.7257995605,6329658.031463623,11055940.628051758,15359712.600708008,16989751.8157959,11751616.477966309,354531.466960907,614350.1400947571,976681.5304756165,-672964.0960693359,6356413.3644104,3538582.8018188477,8752723.693847656,13111411.094665527,9800947.189331055,3454853.5346984863,5901044.845581055,1659713.9835357666,413126.1706352234,2654179.096221924,5994902.13394165,4772507.667541504,7704004.287719727,3410025.119781494,7545341.491699219,4083936.6912841797,146879.50909137726,-1161267.0421600342,1020456.9101333618,664530.7540893555,4015649.7955322266,4195026.397705078,6854896.068572998,6697592.735290527,7528265.953063965,2041628.360748291,3582362.174987793,-1875683.307647705,-2301678.18069458,3477120.6378936768,5514636.039733887,8794806.480407715,9955551.147460938,8818683.624267578,6650905.609130859,-1350429.0580749512,2085323.8105773926,6382498.264312744,5153059.482574463,3535170.555114746,4779031.276702881,2212882.7571868896,2612941.265106201,370601.7732620239
0.015,5315495.014190674,20047571.182250977,30715784.072875977,6961319.923400879,18459831.23779297,-779095.7689285278,2429251.6708374023,3522994.041442871,-1578977.9424667358,748390.4361724854,4935190.677642822,10550764.083862305,13515198.707580566,8976622.581481934,2278543.472290039,1880594.8495864868,-362880.9154033661,-3836332.5595855713,1269055.3665161133,-1058450.3412246704,5117745.399475098,10219291.687011719,6523972.511291504,4537155.1513671875,8043928.146362305,2511823.6541748047,-430004.3284893036,335383.2960128784,4542955.8753967285,3671197.1759796143,5998996.734619141,1745317.5783157349,10612408.638000488,7263189.792633057,2414673.8052368164,-96972.11533784866,823484.6591949463,2856613.874435425,3799607.038497925,3747324.4667053223,7335179.805755615,8969426.155090332,10271878.242492676,4156097.412109375,6212563.514709473,1861851.3345718384,3374267.816543579,5861471.176147461,7666233.062744141,10476008.415222168,11545320.510864258,10670018.196105957,8856192.588806152,1864755.2728652954,5866799.354553223,7213138.103485107,6326933.860778809,2642682.7907562256,6238130.569458008,3743090.1527404785,4171603.202819824,1560041.4276123047
0.02,11961081.504821777,24161199.56970215,30618494.033813477,8445050.239562988,16684448.2421875,4410416.603088379,4615969.181060791,5502877.712249756,-2776991.128921509,-1639317.274093628,1429162.9791259766,7840993.881225586,10552432.0602417,7194001.6746521,6078890.800476074,4257254.600524902,-42274.359613657,-4866734.981536865,-1179462.4328613281,-3159096.7178344727,2786493.0629730225,7685816.764831543,3807282.9246520996,6408806.324005127,9649383.544921875,3726393.938064575,-516324.6989250183,-831472.2180366516,4197514.057159424,3540457.9639434814,4322541.7137146,-66663.2354259491,12913251.876831055,8971957.206726074,3225063.3239746094,585996.3297843933,677449.2263793945,4842122.0779418945,4799761.2953186035,3693845.03364563,6720927.2384643555,9602919.578552246,10854604.721069336,4922004.222869873,6811899.185180664,3192412.6148223877,7264268.398284912,8477548.599243164,9814557.075500488,10786399.841308594,10625418.663024902,9829307.556152344,8411720.275878906,2053159.9521636963,9274319.648742676,8066524.505615234,7364345.073699951,1133141.040802002,5487389.087677002,2884520.0538635254,4076869.9645996094,1191610.9323501587
0.025,14661723.136901855,28205394.744873047,34023651.123046875,11034153.938293457,19586271.286010742,7292146.682739258,6781541.82434082,7553046.703338623,-1465878.1290054321,376938.5516643524,3626185.417175293,10498425.483703613,12149798.393249512,8896219.253540039,7970834.255218506,5094326.019287109,910274.9228477478,-3623858.92868042,1225022.9120254517,-723539.0543937683,4634369.373321533,9283091.54510498,5584785.938262939,7729645.729064941,9573323.249816895,4183542.7284240723,201606.6312789917,169032.5140953064,6115443.706512451,5612864.971160889,5704781.055450439,1181930.3035736084,13355390.548706055,8730135.917663574,2258305.311203003,628999.2928504944,725650.7277488708,5620498.6572265625,8383030.891418457,6131129.741668701,7975381.374359131,9206138.610839844,10370450.019836426,4576774.120330811,5985871.7918396,1641322.9703903198,7017702.579498291,11181312.561035156,12853405.952453613,12473828.315734863,9663278.579711914,8553469.65789795,7351094.2459106445,-156782.26947784424,11709766.387939453,10896089.553833008,9933982.849121094,1716552.2575378418,4747851.848602295,1643250.9422302246,4012221.336364746,1019552.7076721191
0.03,10369022.369384766,25869714.736938477,33987808.22753906,9964400.291442871,21078580.856323242,5904388.427734375,6542753.219604492,7301573.753356934,-846117.1388626099,2332875.967025757,6770743.370056152,13534599.304199219,15304873.4664917,11302422.523498535,7292605.400085449,4556452.751159668,1408104.419708252,-1961051.344871521,4600104.808807373,2687485.694885254,7762270.927429199,12553030.014038086,9844684.600830078,8436318.397521973,9202650.07019043,4190457.344055176,1458413.6009216309,1547826.1709213257,8072855.9494018555,7852421.283721924,8923818.588256836,5356003.284454346,13132269.859313965,9059511.184692383,2254906.415939331,1181173.324584961,764479.4583320618,5517166.614532471,12227408.409118652,9981738.090515137,11974381.446838379,10052146.911621094,11416870.1171875,5153421.878814697,6332115.173339844,614657.3424339294,5538235.664367676,13271831.512451172,16129600.524902344,16530834.197998047,11329530.715942383,9913679.122924805,8840709.686279297,-669067.6808357239,13628367.42401123,14954162.59765625,13680983.543395996,5309968.948364258,6833357.810974121,3311609.2681884766,6065656.661987305,3711258.1729888916
0.035,8436502.456665039,22631147.384643555,31896280.28869629,9146774.291992188,20335206.985473633,6612896.919250488,7995719.909667969,8743532.180786133,364410.31098365784,3116073.6083984375,7527663.230895996,13275473.594665527,16612916.946411133,12458716.39251709,8814699.172973633,6779979.705810547,3457309.4844818115,122461.91501617432,5972337.72277832,3840269.3271636963,8655299.186706543,13655712.127685547,12439439.77355957,11014609.336853027,11925021.171569824,5860815.048217773,3558810.9493255615,1970189.6905899048,8205456.733703613,7976978.778839111,10545031.547546387,8703116.416931152,15369975.090026855,12193624.496459961,4947012.424468994,2859599.5903015137,745663.8813018799,5157416.343688965,12859943.389892578,11771726.608276367,15700868.606567383,13625720.977783203,14583687.782287598,7256062.984466553,8159909.248352051,981533.1101417542,5150652.885437012,13191868.782043457,17192686.080932617,19850328.44543457,15184671.401977539,13788422.584533691,12241703.987121582,783359.5275878906,14194496.154785156,16727994.918823242,15480845.45135498,9419841.766357422,10618881.225585938,6880828.857421875,8855740.547180176,7928928.852081299
0.04,16986246.10900879,28076059.341430664,35982089.99633789,15461635.58959961,23136451.721191406,14700055.122375488,15453708.64868164,16144458.770751953,5864251.136779785,6196867.4659729,8521848.678588867,12809329.986572266,17326917.64831543,14188758.850097656,15901833.534240723,13784553.527832031,9107346.534729004,3969527.244567871,6689595.699310303,3668002.8438568115,7841257.572174072,12832593.91784668,12656994.819641113,16820537.567138672,18184816.360473633,10065246.58203125,6553449.630737305,2102938.652038574,7175079.822540283,6359631.061553955,9468829.154968262,8549742.698669434,20994447.708129883,16933038.71154785,8530124.66430664,4833549.499511719,854329.9436569214,4325239.181518555,9937800.407409668,9830107.688903809,15794573.783874512,18381019.592285156,17641935.348510742,9246509.552001953,8970641.136169434,-19485.674798488617,4271721.839904785,9855552.673339844,14493572.235107422,18750268.936157227,18107852.935791016,16890855.78918457,13699312.210083008,440100.61025619507,11797963.14239502,13935542.106628418,12939739.227294922,10979498.863220215,12325736.999511719,8209780.693054199,9191385.269165039,9554407.119750977
0.045,28550132.751464844,38709537.506103516,45296829.22363281,25543334.9609375,30072313.30871582,24936929.70275879,24523826.599121094,25138097.763061523,13436721.801757812,11562868.118286133,11949244.499206543,15516461.372375488,19624141.693115234,17549329.75769043,24375497.817993164,20965808.868408203,15485139.846801758,8180067.06237793,8005109.786987305,4007175.922393799,7665785.312652588,12764411.926269531,12817114.83001709,22905311.584472656,23577695.846557617,14223799.705505371,9023989.6774292,2478872.537612915,6150934.69619751,4809497.833251953,7702959.060668945,6522179.60357666,26748231.887817383,20205480.575561523,10268769.264221191,6115646.3623046875,1065118.432044983,2620123.6248016357,6600515.842437744,6451951.503753662,13005302.429199219,21314451.217651367,18924457.550048828,10151806.831359863,7954323.768615723,-2822139.024734497,1567759.0370178223,4859260.082244873,10180542.945861816,14493413.925170898,18612380.981445312,17476932.525634766,12313156.127929688,-2032739.8777008057,7764724.7314453125,9293997.764587402,8444761.276245117,10438953.399658203,11472095.489501953,6910063.26675415,7548501.491546631,8155074.119567871
0.05,30288022.994995117,42053039.55078125,48807178.49731445,28879384.994506836,33441001.892089844,28405330.657958984,26867645.263671875,27427291.870117188,15590023.9944458,13243923.18725586,14123192.78717041,18230491.638183594,21568115.234375,19519441.604614258,27765157.69958496,22583591.46118164,17096549.98779297,8742295.265197754,7702438.3544921875,3707630.157470703,7781600.475311279,13553703.308105469,13795501.708984375,25543146.13342285,24456928.253173828,15109130.859375,9166414.260864258,1977902.1739959717,4882245.5406188965,3742825.508117676,6956894.874572754,5800788.402557373,29418064.11743164,21271717.071533203,10231999.397277832,6822637.557983398,1050574.8987197876,901682.6152801514,5578468.322753906,5046859.7412109375,11296873.092651367,22083278.65600586,20053743.362426758,11502634.048461914,8162367.820739746,-3165969.8486328125,-49250.48723816872,2339435.577392578,8814436.912536621,12768116.95098877,19318126.678466797,18214239.1204834,12519979.476928711,-1279577.2552490234,7080319.404602051,8663819.313049316,7771653.175354004,11629673.957824707,12418596.267700195,8026051.5213012695,8706871.98638916,8737977.027893066
0.055,23027708.053588867,35705554.9621582,42062763.21411133,23088464.736938477,28710306.16760254,25142263.412475586,22110372.54333496,22647377.014160156,9697839.736938477,7634335.041046143,10445600.509643555,15614195.823669434,19741348.266601562,17236362.45727539,26221120.834350586,19575050.354003906,13029988.288879395,4336935.043334961,3733492.612838745,707904.4580459595,5935978.412628174,12835012.435913086,13994123.458862305,25494064.331054688,23021474.838256836,12970454.216003418,7026762.008666992,-261757.13539123535,3055406.8088531494,2417237.0433807373,6776452.06451416,6933982.849121094,30233366.012573242,22326812.744140625,10638840.675354004,7520222.187042236,706569.9696540833,920287.9667282104,6638983.249664307,6343032.360076904,12972761.154174805,23737630.84411621,23622858.04748535,14832828.521728516,12084506.034851074,1812003.3740997314,3065964.460372925,5161606.788635254,12599864.00604248,16908321.380615234,23533349.990844727,22527235.03112793,18094911.575317383,6009430.885314941,12982004.165649414,14664525.032043457,13690121.6506958,17106712.341308594,18380792.61779785,14962225.914001465,15473814.010620117,15105874.061584473
0.06,17507251.739501953,28841617.584228516,33030845.642089844,15955204.963684082,21018619.537353516,21951475.143432617,17289249.420166016,17798942.56591797,1659488.0819320679,-753863.6326789856,2643266.9162750244,8721375.465393066,15071876.525878906,12884365.08178711,24626970.291137695,17205453.872680664,7961807.2509765625,-1321004.9867630005,-1680930.733680725,-3794626.9512176514,2394192.695617676,10403817.176818848,12738500.595092773,26047292.709350586,23226165.771484375,10659316.062927246,4460968.971252441,-2855651.85546875,1875227.8089523315,1333871.9606399536,6607180.595397949,8311333.656311035,32043182.373046875,24410758.97216797,12035978.317260742,7989572.525024414,419156.014919281,3096245.288848877,8372208.595275879,8637944.221496582,16554580.688476562,27930370.330810547,28639156.341552734,18490566.25366211,17019058.227539062,8458657.264709473,9425736.427307129,11459164.6194458,18856126.78527832,23762065.887451172,29895252.227783203,28925596.237182617,25921566.009521484,15088925.3616333,22023826.599121094,23332334.518432617,22334583.282470703,24452716.827392578,26069034.576416016,23734964.37072754,24096427.91748047,23847684.860229492
0.065,15594114.303588867,25279203.414916992,28399850.845336914,12049285.888671875,16691671.371459961,20227396.01135254,15269292.831420898,15691858.291625977,-2448271.7514038086,-5180776.119232178,-3012923.9559173584,4281458.377838135,11942529.678344727,10722885.131835938,23610841.751098633,16551467.895507812,5539441.108703613,-3938097.4769592285,-4460669.51751709,-6143467.903137207,427360.02802848816,9077975.273132324,11549386.024475098,26717582.70263672,23892181.396484375,9303699.493408203,2857731.342315674,-3672214.0312194824,2578921.318054199,2021259.3078613281,7185860.157012939,9094909.66796875,33591464.99633789,24974004.7454834,12221763.610839844,7480644.702911377,541921.0195541382,5503224.3728637695,10382774.353027344,10478956.22253418,19203653.33557129,31112255.096435547,30422380.447387695,18914649.963378906,17814926.147460938,10819044.11315918,13492280.960083008,16211387.634277344,22896064.75830078,27545263.290405273,32589805.603027344,31466762.54272461,28843799.591064453,18361227.03552246,27095430.374145508,28174358.367919922,27174085.61706543,27987018.585205078,28697410.583496094,27072261.810302734,27998842.239379883,27642400.74157715
0.07,9526224.136352539,18830818.17626953,24417119.9798584,7583990.573883057,14500083.923339844,15579155.921936035,12145604.133605957,12414592.742919922,-3303594.3508148193,-4888253.688812256,-3668262.243270874,5301967.144012451,11348144.53125,10465213.775634766,19534238.815307617,14202465.057373047,4799448.013305664,-3202498.197555542,-3672583.58001709,-4973426.342010498,1507469.7732925415,9770284.652709961,10922957.420349121,23885026.931762695,21071434.020996094,7762890.338897705,2258609.0564727783,-2589251.756668091,4178767.204284668,3945970.7736968994,8272545.81451416,9190903.663635254,31176504.135131836,21758602.142333984,9836026.191711426,6180396.556854248,878620.5649375916,5788685.321807861,12192729.949951172,11195192.337036133,19376331.329345703,28661758.422851562,26469604.4921875,15401915.550231934,13818215.370178223,8092569.351196289,12345933.91418457,16324834.823608398,22581871.032714844,26209348.678588867,28285861.96899414,27018846.51184082,24473035.81237793,14436367.988586426,25159996.032714844,26764286.041259766,25739280.700683594,24587770.462036133,23979419.708251953,23023172.37854004,25118936.53869629,23862129.21142578
0.075,-555066.9431686401,8139154.434204102,16631198.88305664,1112022.042274475,10359025.001525879,9486244.201660156,7354645.729064941,7453909.397125244,-4054655.5519104004,-3678366.8994903564,-2119901.657104492,7239683.628082275,9394976.615905762,7934220.314025879,13802062.98828125,10449682.235717773,4450098.514556885,-1263204.3361663818,-1495564.1031265259,-2575870.7523345947,2910539.150238037,9357280.731201172,8940490.72265625,18531349.182128906,16524431.228637695,6480340.003967285,2808265.6860351562,-1274085.9985351562,4548120.975494385,4185091.495513916,7496446.132659912,7720784.1873168945,26187623.977661133,17769163.131713867,7410352.2300720215,5666201.114654541,1010341.0482406616,3784607.8872680664,11876066.207885742,9878850.936889648,17158918.380737305,22512371.063232422,21077098.846435547,11971937.17956543,10077436.447143555,4577145.099639893,8340787.887573242,13012349.128723145,19210792.541503906,22345403.67126465,21432027.81677246,20294885.635375977,18281959.533691406,8569003.105163574,19625511.169433594,22053520.20263672,21004409.790039062,17730432.510375977,17176807.403564453,16861623.764038086,19587583.541870117,17513420.10498047
