time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,15696372.032165527,36648899.07836914,36637218.4753418,11086197.853088379,19744579.315185547,-8384120.941162109,-8076465.606689453,-8247441.291809082,4911372.184753418,10892625.80871582,9230935.096740723,9626814.842224121,9626631.736755371,14134533.882141113,-8713853.83605957,-11321411.1328125,-3547888.2789611816,1909779.7870635986,8316932.678222656,8991538.047790527,8819421.768188477,9858277.320861816,13906895.637512207,-8590933.799743652,-12710761.070251465,-4970958.232879639,-1434768.4383392334,355110.5856895447,441563.7254714966,2033778.9058685303,396114.2897605896,13786406.517028809,-8382802.0095825195,-8442583.084106445,-6190295.219421387,-3642059.326171875,308432.7280521393,-1854179.7399520874,2185523.748397827,-4299949.169158936,14033067.70324707,-8324782.371520996,-8474611.282348633,-8535874.366760254,-5546607.494354248,-5539514.064788818,-1758760.8098983765,-4213418.006896973,-4199594.974517822,-4454467.7734375,-7753639.221191406,-7550815.582275391,-7594887.256622314,-5666946.4111328125,-5235682.010650635,-5320774.555206299,-5501939.296722412,-7406596.1837768555,-7504189.014434814,-5320584.297180176,-5739431.858062744,-5371631.145477295
0.005,9003499.031066895,30897418.975830078,31565631.866455078,13674818.992614746,24955986.02294922,-2128795.862197876,-1593742.4898147583,-2046578.4072875977,12595043.182373047,17746715.545654297,12751309.394836426,12725611.686706543,11905398.36883545,5332708.835601807,-2392259.359359741,-1575089.2162322998,2981821.060180664,5647985.458374023,10675459.861755371,12135461.807250977,12000288.963317871,12528697.967529297,4623420.238494873,-2757231.9507598877,-5703351.020812988,-39994.92526054382,635951.817035675,1182458.8775634766,754632.6518058777,7162905.216217041,5616077.423095703,4405958.17565918,-3393081.4266204834,-3892511.8446350098,-2606684.446334839,-711333.9304924011,963851.6306877136,10023111.343383789,8098554.611206055,6367187.976837158,5395018.577575684,-3738195.6577301025,-4107017.993927002,-4172347.068786621,4570132.255554199,4959692.95501709,10684411.04888916,7499982.833862305,6897745.132446289,6463163.375854492,-2647180.7956695557,-2248525.381088257,-2753003.8356781006,4949896.812438965,5769094.944000244,5913839.340209961,4989277.8396606445,-3107620.95451355,-2874897.7184295654,5810979.36630249,5187162.399291992,6520004.749298096
0.01,648639.5597457886,21522825.241088867,22739299.774169922,10004968.643188477,21886117.935180664,-1752308.3686828613,-1080526.7095565796,-1692215.085029602,12378437.995910645,15897062.301635742,11008878.707885742,10707876.205444336,9685282.707214355,-4069539.5469665527,-2026099.443435669,422989.21942710876,4069084.644317627,5597054.004669189,8787392.616271973,10483811.378479004,10333976.745605469,10325158.11920166,-4831025.60043335,-2515300.2738952637,-4515639.305114746,1523504.7340393066,1578154.0870666504,1383377.6712417603,861645.6389427185,6563159.465789795,3685416.9368743896,-5139894.485473633,-3271790.7428741455,-3898865.4613494873,-1307280.3020477295,881651.6399383545,1178953.766822815,13202976.22680664,7789882.183074951,6925708.293914795,-3886296.033859253,-3801729.679107666,-4031993.3891296387,-4132981.300354004,5980047.225952148,6249576.568603516,14242174.14855957,8686873.435974121,7772943.496704102,7116406.9175720215,-2586913.3472442627,-2167996.883392334,-2791400.909423828,6188287.258148193,6675367.35534668,6831147.67074585,5647877.216339111,-3344699.3827819824,-2889524.459838867,7294310.092926025,6127202.51083374,7977538.108825684
0.015,-4573580.741882324,15139130.592346191,16548868.179321289,5078392.028808594,15668261.528015137,-4415983.200073242,-3732990.9801483154,-4335997.104644775,8374132.15637207,10193153.381347656,7447978.0197143555,7196107.387542725,6381566.524505615,-9575626.373291016,-4770488.739013672,-2743757.0095062256,1992521.5244293213,4168349.266052246,5872511.386871338,7319047.451019287,7158743.858337402,6745147.705078125,-10150358.200073242,-5000973.224639893,-6909088.134765625,681288.5403633118,1714726.0904312134,1057742.3572540283,778284.0728759766,2375041.961669922,-2081827.6405334473,-10483046.531677246,-5414559.841156006,-5855544.567108154,-1548955.5597305298,896265.2087211609,1066775.7987976074,8376189.231872559,3443613.7676239014,-129442.20006465912,-9410240.173339844,-5838602.542877197,-5811641.216278076,-6015902.996063232,431830.67440986633,286425.70972442627,9493771.55303955,1739141.345024109,813578.9632797241,26737.231761217117,-4884752.27355957,-4544838.905334473,-5035906.791687012,84900.68465471268,-153664.09718990326,-148213.16301822662,-1137427.3300170898,-5515807.628631592,-4908855.438232422,1158463.716506958,-619323.0152130127,1347516.5367126465
0.02,-1990868.9260482788,18804046.630859375,19840795.516967773,7056014.060974121,15844770.431518555,-3586952.2094726562,-2987349.033355713,-3474439.6209716797,9567076.683044434,10870460.510253906,8208752.632141113,8297208.786010742,7502090.4541015625,-7619904.9949646,-4009086.1320495605,-3200619.697570801,2432132.0056915283,5893000.602722168,7151753.902435303,8328358.6502075195,8239967.346191406,7669237.6136779785,-8203500.747680664,-3933058.023452759,-6815161.70501709,642008.900642395,2197006.2255859375,774181.7831993103,652083.7545394897,176828.33969593048,-3930167.9134368896,-8479330.062866211,-4255892.276763916,-4498407.363891602,-1127093.0767059326,270182.87777900696,1019305.5868148804,2594242.811203003,1061527.132987976,-5263110.160827637,-7625255.584716797,-4461242.67578125,-4502449.035644531,-4856827.735900879,-4024257.6599121094,-4320988.178253174,3547541.1415100098,-3612807.035446167,-4458235.740661621,-5132394.790649414,-3807380.9146881104,-3478087.1868133545,-3912589.5500183105,-4557292.461395264,-5192502.021789551,-5286786.5562438965,-6075829.029083252,-4372516.632080078,-3640317.916870117,-3600222.587585449,-5633289.337158203,-3600831.2702178955
0.025,3760958.194732666,25879655.838012695,26052902.221679688,13111385.345458984,20079299.926757812,931243.3004379272,1407152.8911590576,1025731.2059402466,15330574.989318848,17035652.16064453,11573299.407958984,11917253.494262695,10889206.886291504,-2806091.070175171,536166.9659614563,707307.6963424683,5647753.715515137,9822817.8024292,10620327.949523926,11739001.274108887,11763907.432556152,11102200.508117676,-3564787.8646850586,667578.4587860107,-3193234.920501709,2287613.1534576416,3381013.870239258,784733.2954406738,549519.956111908,496541.3808822632,-1364639.8782730103,-3809495.210647583,126635.43224334717,-172061.81585788727,512630.52225112915,255917.63854026794,1079798.5792160034,94323.14336299896,1386921.2865829468,-5085524.559020996,-2963419.6758270264,-36125.242710113525,-393947.958946228,-831509.8285675049,-3862349.033355713,-3936442.8520202637,841407.1798324585,-3711065.5307769775,-4510859.01260376,-4916003.704071045,539078.3548355103,912707.9248428345,369056.5526485443,-4079227.4475097656,-4790030.956268311,-4865893.363952637,-5743761.5394592285,-238862.39528656006,501712.441444397,-3183430.1948547363,-5216948.03237915,-3053227.424621582
0.03,3687777.7576446533,23363044.73876953,22659172.05810547,13090837.478637695,18001876.831054688,3710459.4707489014,4063868.0458068848,3690615.41557312,16821121.215820312,18415590.286254883,10791166.305541992,10973059.65423584,9888369.5602417,-2608631.372451782,3427459.955215454,3880820.0359344482,7124409.198760986,10914193.153381348,9955373.764038086,11078660.011291504,11136988.639831543,10222731.590270996,-3340417.8619384766,3455795.5265045166,59441.26099348068,4029210.090637207,4528790.473937988,855935.2159500122,462484.12132263184,98744.86178159714,224655.73251247406,-3656556.3678741455,2927073.2402801514,2374609.4703674316,2314433.5746765137,1327031.6123962402,955950.2601623535,121356.37551546097,993710.8159065247,-3227443.4566497803,-2714465.1412963867,2563139.2002105713,2108731.0314178467,1760802.0305633545,-1696000.9336471558,-1535715.5799865723,766749.5608329773,-2000095.1290130615,-2789452.075958252,-3023981.809616089,3221735.715866089,3569641.590118408,2948018.789291382,-1592834.5918655396,-2467856.8840026855,-2513261.318206787,-3596306.324005127,2210063.934326172,2788470.983505249,-713563.3826255798,-2795985.221862793,-647881.6270828247
0.035,-2831336.259841919,11277960.777282715,10162507.057189941,5476110.935211182,8784653.663635254,2353401.8993377686,2621816.873550415,2163335.3233337402,11368761.06262207,12067482.948303223,5591443.5386657715,5361046.314239502,4501834.869384766,-7037655.353546143,2133104.8011779785,3362515.449523926,5358926.296234131,8048508.644104004,5053036.689758301,6121973.514556885,6086754.322052002,4866137.0277404785,-7515710.830688477,2182893.753051758,734401.4644622803,4816259.384155273,4895107.269287109,798314.8694038391,430861.80090904236,-1005439.043045044,-554514.2292976379,-7913012.0277404785,2025566.577911377,1289852.6191711426,3356200.933456421,2591211.5573883057,589921.2956428528,1258396.6255187988,-308144.4203853607,-1828387.3796463013,-6941740.989685059,1450113.5349273682,1237081.6469192505,1085000.5149841309,11381.77327811718,197709.76901054382,1862285.4948043823,-580964.7440910339,-1389634.8476409912,-1674806.833267212,2141726.493835449,2406115.770339966,1861927.1516799927,164538.23447227478,-754408.2403182983,-828646.9578742981,-1897150.8741378784,1157701.1346817017,1577288.5084152222,1036937.1175765991,-984783.5898399353,872382.7004432678
0.04,-7766483.306884766,3133830.785751343,2076281.0707092285,-156440.6305551529,3261150.121688843,-234866.4253950119,21787.30070590973,-536937.415599823,6495532.512664795,6894612.3123168945,3094138.3838653564,2693603.992462158,1932049.036026001,-9948736.190795898,-601472.3777770996,1655524.0154266357,3639445.0664520264,5639714.71786499,2664928.436279297,3747388.3628845215,3554177.0458221436,2289023.1609344482,-10308644.29473877,-422546.6847419739,55163.87149691582,4822004.318237305,4463339.805603027,764061.689376831,497048.0799674988,102005.89895248413,-143501.72877311707,-10673984.52758789,-370866.2986755371,-1095346.3315963745,3052932.9776763916,2507951.9748687744,332907.5872898102,2907779.2167663574,530548.9897727966,95788.48630189896,-9720726.013183594,-974906.5637588501,-979435.6226921082,-1044375.3004074097,1083797.0972061157,1210851.788520813,3433033.4663391113,1393279.3140411377,555370.9864616394,110300.9283542633,-393818.736076355,-138725.1913547516,-564454.197883606,1211982.9654693604,910190.9399032593,796960.8902931213,-17264.163121581078,-1173901.4387130737,-709755.3610801697,2112893.581390381,592125.654220581,2085214.376449585
0.045,-7106524.467468262,5887581.825256348,5138539.3142700195,2109866.8575286865,7243170.738220215,-1494668.72215271,-1190931.9162368774,-1787957.9067230225,7910143.3753967285,9268740.6539917,6508756.637573242,6370158.1954956055,5342170.238494873,-9206105.23223877,-2185064.5542144775,1359644.4129943848,4114533.9012145996,6564662.933349609,5816798.210144043,7087554.454803467,6746901.988983154,5773766.51763916,-9688247.680664062,-2063620.8057403564,-882350.3851890564,4103641.5100097656,3704708.3377838135,910649.4784355164,588579.535484314,2982405.9009552,2240335.22605896,-9975120.544433594,-2291104.555130005,-2920629.0245056152,1126409.649848938,760549.5452880859,457665.5328273773,3435528.9936065674,3337295.2938079834,1384168.7440872192,-8992903.709411621,-2847063.0645751953,-2899069.07081604,-3088467.1211242676,774566.5311813354,861175.8351325989,3890364.170074463,2581006.7653656006,1788725.733757019,1241095.3044891357,-2431510.4484558105,-2090475.32081604,-2501606.9412231445,916726.7084121704,1585692.048072815,1477001.0709762573,849310.5173110962,-3102919.101715088,-2481183.5289001465,1884565.4726028442,1032870.0542449951,2370748.996734619
