time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1295445.6806182861,-1447350.8596420288,-2032968.0442810059,197384.40215587616,-1191660.1657867432,1857581.2578201294,520852.5061607361,484807.01446533203,-175672.56093025208,-75895.11573314667,-916699.4094848633,-1243125.557899475,-1242299.4375228882,-1244121.9091415405,1576986.1936569214,911713.0637168884,545914.1135215759,497120.9168434143,-399624.67551231384,-420543.4322357178,-644828.200340271,-1697820.0674057007,-969014.2273902893,1564937.710762024,584047.6751327515,-313424.7064590454,-60133.30817222595,-21224.526688456535,-719636.6786956787,-1112834.4535827637,-902505.5170059204,-951086.0443115234,1557512.2833251953,1321942.0909881592,475157.6781272888,47534.11561250687,-7560.402154922485,-111466.10975265503,-774850.4877090454,77663.28006982803,83997.71898984909,1562984.7049713135,492364.0191555023,481799.4832992554,367652.62484550476,-23336.827754974365,-542527.1987915039,18152.056261897087,30742.540955543518,45506.034046411514,1239961.7433547974,1242756.0091018677,891205.1320075989,1482242.3458099365,79106.19676113129,58368.9883351326,51967.38615632057,1394652.4858474731,1391977.6678085327,1483841.896057129,79566.94811582565,78175.70120096207
0.005,27244949.340820312,23655250.549316406,8975662.231445312,21862966.537475586,7217758.1787109375,29687168.12133789,20422052.38342285,18001277.923583984,12976702.690124512,8212553.977966309,4368652.34375,-4457747.936248779,-3523602.7240753174,-4799496.650695801,12950555.801391602,4367287.635803223,6974467.754364014,5946282.386779785,3407449.245452881,215569.43655014038,-3109775.0663757324,-7071149.3492126465,-11057430.267333984,11483846.664428711,11460765.838623047,2604809.284210205,3243850.4695892334,200589.65682983398,-3087151.288986206,-6199508.6669921875,-3085468.053817749,-11084259.986877441,11350749.015808105,5408486.843109131,-572915.3752326965,-516136.7058753967,560965.7764434814,-4576737.880706787,-9191327.095031738,-13160386.085510254,-12429480.55267334,11262288.093566895,270239.6512031555,-237111.09161376953,-661492.0496940613,-94527.49788761139,-3390250.9212493896,-12979403.495788574,-12169686.317443848,-12748664.855957031,-8756764.41192627,-8339662.551879883,-13961214.065551758,-2598884.105682373,-12608572.959899902,-13637843.132019043,-13138764.381408691,-3203586.1015319824,-2745666.265487671,-3136381.6261291504,-12594100.952148438,-13494316.101074219
0.01,40174095.153808594,34113540.64941406,11306957.244873047,31563667.29736328,9114581.108093262,46402526.85546875,30180320.739746094,26795900.344848633,18855545.043945312,11522880.554199219,4856524.467468262,-10035796.165466309,-8724902.153015137,-10789381.980895996,18930826.18713379,8597881.317138672,10742914.199829102,8684267.9977417,5190634.250640869,-1061952.829360962,-7193475.246429443,-15435041.427612305,-22595214.84375,16867795.944213867,17162168.502807617,4651967.525482178,5490778.44619751,438382.3275566101,-5464615.345001221,-11847572.326660156,-8717951.774597168,-22747034.072875977,16657020.568847656,7381098.27041626,-487307.6379299164,-603800.892829895,817578.3157348633,-5738917.350769043,-15550681.114196777,-21470186.233520508,-20413606.643676758,16631938.934326172,642880.4993629456,-82863.88963460922,-972679.3766021729,106504.81283664703,-4253506.183624268,-20831993.103027344,-19719476.6998291,-20757093.42956543,-10912837.028503418,-10301940.91796875,-14933707.237243652,-1378427.6247024536,-20311418.533325195,-21735586.166381836,-21224004.7454834,-1845566.5111541748,-1057833.4331512451,-2028399.4674682617,-20418350.219726562,-21596736.907958984
0.015,38542137.145996094,30895956.03942871,6602431.297302246,29886537.551879883,5448347.568511963,51457252.502441406,30121606.826782227,27044399.26147461,17432434.08203125,9413768.768310547,1100106.120109558,-16206985.473632812,-15021197.319030762,-17322462.08190918,21143436.431884766,12768718.719482422,11733888.626098633,8234515.190124512,4358052.730560303,-4123197.555541992,-11826211.929321289,-23787029.266357422,-32524379.73022461,19348217.010498047,18578027.725219727,6138418.197631836,6100039.005279541,706623.4350204468,-7272795.677185059,-16247268.676757812,-15414069.175720215,-32816047.66845703,19047517.776489258,7937064.647674561,446805.9539794922,-265851.31883621216,815842.5092697144,-5117897.987365723,-18678258.895874023,-24506433.486938477,-23600553.512573242,19233943.939208984,1343357.3246002197,686929.1663169861,-1224155.6644439697,478900.7902145386,-3198220.2529907227,-23389209.747314453,-22452825.54626465,-23749256.134033203,-6777760.5056762695,-6234187.602996826,-8552525.520324707,2693723.9170074463,-22963548.66027832,-24201419.830322266,-24012689.5904541,5014812.94631958,5751893.997192383,2196180.820465088,-23256309.509277344,-24218370.43762207
0.02,34191299.43847656,24961826.32446289,1841996.669769287,25530494.689941406,981659.6508026123,52065547.943115234,27678009.033203125,24950963.973999023,13630162.239074707,4618459.224700928,-3565839.5290374756,-20296865.463256836,-19276031.494140625,-21499534.606933594,24819747.924804688,15211233.139038086,11464457.511901855,5915670.871734619,1240264.1773223877,-7909519.672393799,-15305140.495300293,-27496713.638305664,-36922634.12475586,23476367.950439453,20150974.27368164,7559235.095977783,5207158.56552124,950126.7671585083,-8565812.110900879,-17552074.432373047,-18672510.147094727,-37220436.096191406,23035573.959350586,9557564.735412598,1774368.166923523,72834.40232276917,837374.6275901794,-5929193.019866943,-18860738.75427246,-24680189.13269043,-24096748.35205078,23386646.270751953,2382100.5821228027,1836962.5806808472,-1527267.6944732666,689358.3536148071,-1467051.2676239014,-23362792.96875,-22649715.423583984,-24051017.76123047,-3166732.5496673584,-2829820.394515991,-8859803.199768066,3859797.716140747,-23150962.829589844,-24166175.842285156,-24090274.810791016,11305724.143981934,11574960.708618164,3344943.5234069824,-23525985.717773438,-24365221.02355957
0.025,33234542.846679688,22034355.16357422,-846214.3540382385,23061204.91027832,-2701125.6217956543,52804050.44555664,26970207.21435547,24022848.12927246,10635209.083557129,-348837.4650478363,-7672545.433044434,-22924594.87915039,-21865737.915039062,-23900590.896606445,30044124.603271484,15260039.329528809,10821097.373962402,3223279.7145843506,-3241481.5425872803,-11806418.418884277,-17880201.33972168,-27256120.681762695,-36950504.302978516,28830171.585083008,22956151.962280273,8347457.8857421875,3734368.8011169434,1021348.5956192017,-10452023.50616455,-16888040.54260254,-18610671.997070312,-37074962.6159668,28308832.1685791,12632764.81628418,3660444.736480713,127755.23960590363,966133.5945129395,-7193529.12902832,-17726013.18359375,-23312660.217285156,-22827138.900756836,28595338.821411133,4264251.232147217,3642320.6329345703,-476651.99637413025,588993.489742279,61868.082731962204,-21969463.348388672,-21217514.038085938,-22695224.76196289,-2933901.54838562,-2785217.761993408,-14539767.265319824,1730419.635772705,-21836343.76525879,-22950786.590576172,-22605766.29638672,12127502.44140625,11897626.876831055,1017048.1204986572,-22156908.03527832,-23182863.235473633
0.03,33510738.372802734,20565834.045410156,-3075923.204421997,21266073.22692871,-5934649.467468262,52609760.28442383,26529388.427734375,23300065.994262695,8718008.995056152,-3346150.1598358154,-10532464.981079102,-25399608.612060547,-24224559.783935547,-26093585.968017578,31061561.584472656,13686448.097229004,9970225.33416748,1327082.2763442993,-6700002.670288086,-14574156.761169434,-20029443.740844727,-26884552.001953125,-37266349.79248047,29742544.174194336,23723196.029663086,7846462.249755859,3078207.25440979,830631.2561035156,-12933732.032775879,-16701278.686523438,-18875158.309936523,-37161666.87011719,29288333.892822266,14133910.179138184,5104851.722717285,-60856.591910123825,1000683.9036941528,-4925637.245178223,-17275886.53564453,-21406370.162963867,-20693956.37512207,29350635.528564453,5924293.041229248,5045837.879180908,1815703.1536102295,333724.5285511017,387078.3746242523,-19861486.434936523,-18912841.796875,-20549051.28479004,-4811650.276184082,-4712341.785430908,-14272339.820861816,202243.8645362854,-19639318.466186523,-20982128.143310547,-20365184.783935547,8463459.014892578,8044935.22644043,-507575.21390914917,-19878185.272216797,-21066833.49609375
0.035,34093971.252441406,20017177.58178711,-3589597.463607788,20129011.154174805,-6690814.49508667,50809139.251708984,25264200.21057129,22235250.47302246,8255316.734313965,-2487768.1732177734,-10131977.081298828,-26145015.716552734,-24920337.677001953,-26802185.05859375,25381034.85107422,11860376.358032227,9427847.862243652,957023.9782333374,-6537381.172180176,-14241967.20123291,-20433874.130249023,-26925827.026367188,-39664318.0847168,24025342.94128418,20669929.50439453,6771419.048309326,3959225.89302063,527018.6066627502,-13893764.49584961,-17349723.81591797,-20595626.831054688,-39443393.70727539,23646738.052368164,11698417.663574219,3944773.1971740723,-294220.9541797638,830402.0166397095,1357755.7802200317,-18403219.22302246,-21511932.373046875,-20511051.177978516,23605039.596557617,4990116.119384766,3864291.6679382324,2442320.8236694336,165546.7003583908,-1630899.3101119995,-19581571.578979492,-18525485.99243164,-20407995.223999023,-8220447.540283203,-7989707.946777344,-7929973.602294922,226724.2968082428,-19373954.77294922,-20698450.088500977,-20159427.642822266,4983676.433563232,4520196.437835693,-172897.26436138153,-19581438.064575195,-20638963.69934082
0.04,37332202.91137695,21791761.39831543,-434943.43757629395,21668832.778930664,-3423369.1692352295,50261070.251464844,24895204.544067383,22282506.942749023,9591535.568237305,1067367.434501648,-6348387.241363525,-23797906.87561035,-22566518.783569336,-24665466.30859375,19170644.760131836,10989312.171936035,9562329.292297363,1523466.70627594,-3556620.5978393555,-11093168.258666992,-18303106.3079834,-25285604.47692871,-41662479.400634766,17893875.122070312,16861402.51159668,6304993.152618408,5388529.300689697,399157.0174694061,-11902265.548706055,-17380857.467651367,-21439989.08996582,-41494720.458984375,17391002.655029297,7814652.919769287,519856.21452331543,-374071.98548316956,664673.0303764343,7257127.285003662,-19949117.66052246,-24644088.745117188,-23584398.26965332,17520397.186279297,1737172.7228164673,529512.4650001526,55215.69773554802,199010.29765605927,-4869325.160980225,-22521091.46118164,-21470478.057861328,-23571941.375732422,-12415422.439575195,-11965106.964111328,-6109587.1925354,-601873.1594085693,-22587640.7623291,-23618782.04345703,-23379270.553588867,4519522.190093994,3823844.4328308105,-781065.4640197754,-22792343.139648438,-23635549.545288086
0.045,41601100.92163086,23363868.713378906,2544538.736343384,24289470.672607422,151395.85733413696,52630851.74560547,26018911.361694336,23507484.436035156,10738311.767578125,2588786.6020202637,-3544477.939605713,-21139225.006103516,-19911371.2310791,-22179882.049560547,19960237.503051758,11479337.692260742,9613282.203674316,1251702.070236206,-1973646.1639404297,-8692706.108093262,-15744114.875793457,-22328155.517578125,-40850616.455078125,18720977.783203125,16172790.52734375,6217046.26083374,5525522.708892822,522613.5849952698,-8661036.491394043,-16063850.402832031,-19805738.44909668,-40811038.970947266,17962583.541870117,7245719.909667969,-1321092.6055908203,-226040.21430015564,709147.5129127502,9468850.135803223,-19458362.579345703,-26593358.993530273,-25693765.64025879,18352132.79724121,8426.235057413578,-1087684.8697662354,-2176052.0935058594,361732.00607299805,-5206587.314605713,-24641290.66467285,-23571065.90270996,-25711786.2701416,-13867534.637451172,-13290709.495544434,-11034348.487854004,-2144712.6865386963,-24987930.297851562,-25769039.154052734,-25680919.647216797,5940300.464630127,4935317.9931640625,-2501981.258392334,-25188432.693481445,-26082248.68774414
