time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,7921284.6755981445,9196157.455444336,9739838.600158691,-322133.4218978882,6095605.373382568,835031.3901901245,2583848.476409912,2589432.47795105,2728005.1708221436,3423536.0622406006,3336843.0137634277,2911135.196685791,3007733.8218688965,3203433.2752227783,82368.47817897797,1005356.5502166748,1707016.2296295166,1533021.6884613037,1712393.879890442,1524379.4918060303,1720008.0156326294,2424416.0652160645,1011842.8468704224,-938798.725605011,9468.18571537733,-160231.18793964386,189126.05941295624,47251.34000182152,1139430.8805465698,508199.5129585266,403653.5322666168,864054.5010566711,-682294.1899299622,-428079.15806770325,-306371.45042419434,364759.1769695282,178437.78431415558,640536.904335022,501372.8737831116,515548.5272407532,761223.316192627,-1116358.0417633057,-241080.73115348816,507367.90895462036,753927.9460906982,23722.30961918831,631273.8060951233,749142.7659988403,537106.454372406,638962.8052711487,-595536.3512039185,-662139.8329734802,-66024.83987808228,-12977.411970496178,584299.0875244141,641290.4262542725,745934.0691566467,-1832099.199295044,52764.225751161575,199282.40776062012,473851.20391845703,417564.9881362915
0.005,7988268.3753967285,10205169.677734375,8745404.243469238,-3041118.860244751,11154499.053955078,4421752.9296875,8771155.35736084,8418776.512145996,9638135.91003418,10867622.375488281,10554383.277893066,3831851.2439727783,4673272.132873535,2810677.0515441895,2073826.0746002197,2658253.6697387695,6283535.957336426,8095777.51159668,7780362.606048584,7246947.765350342,4351280.212402344,1691850.5430221558,964603.066444397,-4766021.251678467,1240334.7492218018,2390384.9124908447,3565213.441848755,1040264.8448944092,3238427.4005889893,1257489.4428253174,446089.65516090393,276707.7386379242,-4471872.806549072,-2248641.2525177,860068.9768791199,475670.81451416016,2276213.4075164795,847411.4537239075,979753.7326812744,809858.1433296204,418960.0348472595,-7658235.0730896,-3943139.3146514893,-190149.84369277954,826537.6687049866,714366.9724464417,1027702.2123336792,998946.9647407532,-443039.4172668457,223863.33346366882,-3106372.117996216,-3285907.26852417,-1188529.9682617188,659967.839717865,910736.9184494019,525576.8895149231,1270721.9123840332,-4703989.028930664,1856181.6215515137,-2472255.229949951,850770.890712738,467878.90791893005
0.01,8350869.178771973,14809052.467346191,15323453.903198242,-4506342.41104126,16426984.786987305,-619971.2157249451,10177881.240844727,9820609.092712402,11688344.00177002,14785685.539245605,14256647.109985352,6706073.28414917,7913422.584533691,9540974.617004395,-2153832.197189331,774420.7382202148,6963381.767272949,10195660.591125488,10231809.616088867,9491399.765014648,6584898.948669434,4011856.5559387207,2484241.008758545,-9567125.32043457,-430961.10224723816,2579710.7219696045,4856837.749481201,1228227.4961471558,4753481.388092041,2848993.5398101807,1625434.5178604126,1407768.2495117188,-7529487.133026123,-3778764.009475708,1055343.0318832397,769078.0162811279,2983861.6847991943,1479897.379875183,2081297.6360321045,1866415.023803711,1622634.4108581543,-11075098.991394043,-5589803.218841553,-598606.9440841675,1732508.4209442139,956595.9572792053,1697597.2652435303,2128772.020339966,44539.958238601685,1095913.290977478,-4666870.594024658,-4934683.799743652,-2135484.6954345703,851138.710975647,1738139.3909454346,1313773.9896774292,2448088.4075164795,-7245637.893676758,2219372.9877471924,-2284533.5006713867,1596130.37109375,1107303.6193847656
0.015,9921667.098999023,22441749.572753906,27838624.954223633,-4649126.5296936035,22024309.158325195,-11304724.69329834,7608641.147613525,7500531.196594238,9540021.896362305,15893122.673034668,15158417.701721191,11664310.455322266,12898847.579956055,21171037.673950195,-10624203.6819458,-3548793.077468872,4268610.954284668,8226242.0654296875,9496240.615844727,8669400.215148926,8825124.740600586,9138688.087463379,5323107.2425842285,-14843955.039978027,-4164035.7971191406,395357.07235336304,3716079.2350769043,766305.5658340454,5737856.864929199,5309487.819671631,3988061.4280700684,4119369.5068359375,-9280604.362487793,-4836027.6222229,227858.61790180206,814676.4636039734,2486782.0739746094,2642267.4655914307,3843827.486038208,3687217.7124023438,4186878.204345703,-12336893.081665039,-5550523.75793457,-1031174.3021011353,2766122.579574585,794680.0589561462,2770351.4099121094,4113259.792327881,2002502.44140625,3180409.4314575195,-5404485.702514648,-5786688.327789307,-2272455.930709839,629597.0678329468,3167179.822921753,3038730.1445007324,4347532.749176025,-8212120.056152344,1824239.4924163818,1289255.7382583618,2868508.815765381,2532016.5157318115
0.02,12440402.98461914,28682647.705078125,37589878.08227539,-4301397.800445557,27038753.509521484,-17855281.829833984,5269084.453582764,5313367.84362793,7323348.9990234375,17141473.7701416,16233457.565307617,16728063.583374023,17969705.58166504,29052112.579345703,-16514850.616455078,-6406186.103820801,1805974.6026992798,6060888.290405273,8704940.795898438,7833056.926727295,11440255.165100098,13969971.656799316,7937922.954559326,-18780757.904052734,-6795865.535736084,-2165244.3408966064,1775216.817855835,449818.55154037476,6615141.39175415,7807189.94140625,6487709.045410156,6816113.471984863,-9907798.767089844,-5399899.005889893,-774910.6287956238,147269.8599100113,2006099.7009277344,4066311.836242676,5761073.589324951,5663341.999053955,6622586.727142334,-14218113.899230957,-5808284.282684326,-2032457.8285217285,2536164.0453338623,571047.6636886597,4141195.774078369,6177370.548248291,4233169.5556640625,5371322.154998779,-6031416.416168213,-6550010.681152344,-1555823.802947998,415877.64024734497,4866908.550262451,5012063.980102539,6418660.1638793945,-6705356.597900391,2363470.7927703857,6092617.034912109,4508000.373840332,4429439.067840576
0.025,13796180.725097656,30148181.915283203,39216541.2902832,-4070057.3921203613,29746664.04724121,-16641143.798828125,4953709.602355957,4976914.405822754,6957268.714904785,19147264.48059082,18160240.173339844,19635345.458984375,21003646.850585938,28768808.364868164,-17128860.473632812,-6164047.718048096,1618580.8181762695,5975148.2009887695,9362691.879272461,8491926.193237305,13746301.651000977,16072694.778442383,9474493.026733398,-19831199.645996094,-6851485.252380371,-3332433.7005615234,988410.0556373596,655284.8815917969,7516065.1206970215,9492317.199707031,8116234.77935791,8428896.9039917,-10138092.041015625,-5417872.905731201,-1027178.4067153931,-809470.2363014221,2124206.066131592,5400987.148284912,7393682.00302124,7365396.022796631,8040232.6583862305,-16360340.118408203,-7105341.911315918,-3393467.664718628,1043701.0526657104,460969.9249267578,5568895.8168029785,7756192.207336426,5855266.571044922,6979890.823364258,-6507691.860198975,-7031768.798828125,-1103082.0608139038,409182.3101043701,6450224.876403809,6701138.019561768,8085364.34173584,-3726944.4465637207,4063946.24710083,9321367.263793945,6192221.641540527,6279252.052307129
0.03,12878513.33618164,28272192.001342773,35913661.95678711,-3932665.5864715576,29689125.061035156,-12665709.495544434,5151253.223419189,5224797.248840332,7121669.292449951,20094944.00024414,19169450.759887695,20141876.220703125,21591497.42126465,24344058.990478516,-15526161.193847656,-4577785.015106201,2592079.8778533936,6812761.7835998535,10189876.556396484,9379660.606384277,14838324.546813965,16130836.486816406,10514587.40234375,-18137687.68310547,-5477908.134460449,-2932660.8180999756,1580484.2710494995,1006690.0253295898,8233680.725097656,10400011.06262207,8978370.666503906,9413129.806518555,-9995443.344116211,-4692136.287689209,-381863.20662498474,-1087725.7585525513,2362594.6044921875,6538213.729858398,8831350.326538086,8926168.441772461,9003131.866455078,-15669749.25994873,-8014871.597290039,-4025861.7401123047,-105531.63290023804,444142.7290439606,6901179.313659668,9023300.170898438,7106385.231018066,8329585.075378418,-5942115.306854248,-6247592.926025391,-1538533.9260101318,472798.9435195923,7837945.461273193,8167466.163635254,9340570.449829102,-1327672.839164734,5541201.591491699,9977123.260498047,7731079.578399658,7799123.287200928
0.035,11753097.534179688,27279792.78564453,34022243.49975586,-3767207.622528076,28807260.513305664,-10936559.677124023,4814722.061157227,5087814.3310546875,6807371.616363525,19465955.73425293,18698320.388793945,20192642.211914062,21524007.79724121,21932691.57409668,-14814867.973327637,-3680145.025253296,2993732.213973999,6802115.440368652,9989591.598510742,9192831.039428711,15139842.987060547,16626317.977905273,11799490.928649902,-15662789.344787598,-4212141.990661621,-1917004.942893982,1979236.8412017822,1016436.9344711304,8730242.729187012,11286846.160888672,9973697.662353516,10647014.617919922,-8845111.846923828,-3453880.3100585938,314541.16106033325,-551274.3592262268,2209584.951400757,7531428.813934326,10351177.215576172,10526087.760925293,10326597.213745117,-11764433.860778809,-7269989.967346191,-3328128.3378601074,148349.8066663742,505887.9256248474,8065588.95111084,10317403.793334961,8498132.705688477,9816969.871520996,-4229200.839996338,-4278563.499450684,-1855318.9039230347,444886.5354061127,9081361.770629883,9553538.32244873,10511020.66040039,-708198.4281539917,5639485.836029053,9165638.92364502,9017910.957336426,8957317.352294922
0.04,12817445.755004883,28824947.357177734,35340835.57128906,-3742139.5778656006,29188146.591186523,-11397250.175476074,4735552.3109436035,5054303.6460876465,6724209.785461426,18972909.927368164,18351497.650146484,21362894.05822754,22478624.34387207,22519708.63342285,-15256941.795349121,-3877558.2313537598,2624094.7246551514,6015408.515930176,9488317.489624023,8542181.968688965,15824445.724487305,18455354.690551758,12893044.471740723,-14919717.788696289,-3717892.1699523926,-1308284.1634750366,950205.0876617432,660279.8104286194,9176019.668579102,12325788.497924805,11237539.291381836,11875182.151794434,-7249743.938446045,-2875793.218612671,-1137.1970176696777,-234935.41777133942,1815791.7261123657,8197793.006896973,11615151.405334473,11698680.877685547,11589760.780334473,-8892862.319946289,-5898840.427398682,-2288925.6477355957,936955.5115699768,591972.2318649292,8783434.867858887,11285475.730895996,9612648.010253906,10892104.148864746,-2953192.949295044,-2985957.622528076,-1161141.276359558,301498.53229522705,9857479.095458984,10417609.214782715,11420683.860778809,-1877543.2109832764,4383515.83480835,8351762.771606445,9670164.108276367,9543780.326843262
0.045,15296902.656555176,30700983.04748535,37133853.912353516,-4061031.3415527344,30487863.540649414,-12403441.429138184,5288650.035858154,5278198.2421875,7250825.881958008,19624015.80810547,19076213.836669922,22735841.751098633,23740064.62097168,22463582.99255371,-16633256.912231445,-4853912.353515625,2226994.514465332,5503595.82901001,9669734.001159668,8494961.738586426,16709869.384765625,19663030.62438965,12592143.058776855,-16978502.27355957,-4389987.468719482,-1580685.1387023926,-741251.9454956055,237497.56813049316,9443838.119506836,12348178.86352539,11395483.016967773,11784652.709960938,-7300047.397613525,-4075297.3556518555,-1302174.687385559,-906960.1893424988,1557562.1128082275,8025114.059448242,11592525.482177734,11510110.855102539,11420384.407043457,-10813363.075256348,-5955116.271972656,-2443674.325942993,921515.703201294,526480.7343482971,8503398.895263672,10976089.477539062,9260450.36315918,10443231.582641602,-3757857.322692871,-4000718.116760254,-555894.3748474121,56140.84750413895,9444603.91998291,9917490.005493164,11175792.694091797,-4603663.444519043,2319169.521331787,7938783.168792725,9044084.548950195,9000796.3180542
