time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,5592995.643615723,5362135.887145996,7487846.851348877,2920214.6530151367,3560006.3800811768,1745600.5811691284,1955350.399017334,1377962.589263916,1198870.062828064,1103973.0310440063,1079056.1437606812,2132552.146911621,2147946.1193084717,2524522.066116333,1750572.919845581,650970.7570075989,1064811.110496521,659077.7635574341,651544.0344810486,643711.0900878906,954537.4512672424,1066986.9184494019,752857.8639030457,371637.3145580292,480459.3324661255,227039.76929187775,684357.0470809937,1196177.8402328491,497421.2348461151,446492.5825595856,525658.3094596863,341704.5474052429,-158053.1746149063,133548.8259792328,-21717.021241784096,-118701.95716619492,34149.330109357834,189945.47426700592,86951.3526558876,138417.5568819046,45334.07464623451,-350734.8299026489,-367667.13857650757,-431036.47232055664,9479.478001594543,39416.50688648224,272181.77914619446,-271654.6654701233,-237440.66059589386,-171976.43220424652,-295768.9166069031,-307424.24726486206,-142374.6645450592,-10145.213454961777,-218883.58891010284,-237239.88234996796,-296634.16743278503,-133887.02273368835,-120349.90638494492,-501961.350440979,-231260.4784965515,-93934.13364887238
0.005,873277.5449752808,-20326200.485229492,38017398.834228516,8496335.983276367,9020596.504211426,3983278.512954712,6307425.975799561,5060823.917388916,7084029.674530029,8489066.123962402,8995659.828186035,12932266.235351562,13167226.791381836,8715742.111206055,4033791.0652160645,2037303.4477233887,14414530.754089355,3788991.689682007,4751661.777496338,3332597.255706787,2703087.091445923,1054415.9412384033,-12072415.351867676,4955782.413482666,3967496.633529663,1105755.090713501,221175.1937866211,906884.6106529236,121130.8240890503,-1621276.4978408813,-1402511.9543075562,1133583.664894104,2502469.062805176,3260288.715362549,2065514.326095581,-197842.0615196228,-103764.3700838089,-1911667.7045822144,-4581551.551818848,-116686.17278337479,5761992.931365967,3873903.751373291,2943768.5012817383,201436.90705299377,1444248.914718628,693712.3537063599,-2142865.1809692383,-4946100.234985352,-4286973.476409912,2191121.5782165527,5820478.439331055,4124484.062194824,5980408.191680908,138708.1742286682,2131335.735321045,-156496.5844154358,817649.7220993042,6422357.082366943,6120922.565460205,3932691.3356781006,3760024.309158325,8792098.999023438
0.01,-3346990.3469085693,-32333312.98828125,50333881.37817383,11044172.286987305,11757834.434509277,3908357.858657837,7818987.3695373535,7229608.058929443,10253453.254699707,12382700.92010498,12289953.231811523,18935752.868652344,19278009.41467285,11158005.714416504,3883904.9339294434,2699569.4637298584,21183324.813842773,6004105.091094971,6914966.583251953,5451640.1290893555,4603515.625,2085746.5267181396,-17525537.490844727,6451494.6937561035,5440534.591674805,1732304.573059082,827305.9725761414,1310196.7573165894,994579.1959762573,-1080869.0786361694,-1106678.0090332031,1327548.2654571533,3565100.66986084,4591860.771179199,3194052.9346466064,-209055.23002147675,-66573.73905181885,-1121709.704399109,-4866056.9190979,1363073.1105804443,8616504.669189453,5762659.072875977,4421187.400817871,225117.7430152893,1725962.2812271118,971548.9149093628,-2403113.36517334,-5374669.075012207,-4479393.95904541,3749598.741531372,8316987.991333008,5462791.919708252,8205252.647399902,93312.28584051132,3253657.817840576,-5268.948152661324,1614300.7278442383,8685046.195983887,8391840.934753418,4968537.8074646,5357963.562011719,12754602.432250977
0.015,-5179841.041564941,-30320739.74609375,46954330.44433594,11057487.487792969,12467042.922973633,2092020.7500457764,7468949.794769287,7960033.416748047,10644286.155700684,12631831.169128418,11405331.6116333,20574796.676635742,20950780.868530273,10489437.103271484,2013951.063156128,2803971.290588379,21459478.3782959,7335614.6812438965,7382421.970367432,7077461.242675781,6738885.879516602,3959727.2872924805,-16259059.90600586,5143363.952636719,5131938.934326172,2046268.9399719238,2580649.8527526855,2970482.587814331,3312066.5550231934,1750890.2549743652,1093451.1423110962,575371.6230392456,2515477.8957366943,4009060.859680176,3320810.556411743,303197.0262527466,100813.92526626587,1874014.139175415,-1752363.920211792,3216912.5080108643,7549254.894256592,4513831.615447998,3259308.099746704,-733957.6482772827,971720.814704895,868145.6446647644,-1164756.7749023438,-3494247.4365234375,-2725741.6248321533,2932137.7277374268,6178805.351257324,2994765.9969329834,5827757.835388184,-111361.02676391602,2049228.6682128906,-1023851.3946533203,459695.3094005585,6033977.031707764,5930061.817169189,1552331.0899734497,3625558.376312256,10213924.407958984
0.02,-3111664.056777954,-24128402.709960938,44060321.80786133,11239209.175109863,13643986.701965332,1847794.771194458,8609621.047973633,8421320.915222168,10160760.879516602,11802217.483520508,10006539.344787598,21658782.958984375,22090557.098388672,10602990.15045166,1904884.2191696167,3614215.612411499,20045545.57800293,8061511.039733887,7494958.877563477,8179155.349731445,8545195.579528809,5822867.870330811,-13682675.3616333,4691849.708557129,5210205.078125,2090947.8664398193,4076566.696166992,5021861.0763549805,5584818.363189697,4183305.263519287,3316096.782684326,181590.69120883942,1339890.956878662,3351404.905319214,3076440.0959014893,1065810.7995986938,188507.61651992798,3900749.921798706,780648.4699249268,3551649.808883667,5392659.664154053,2479621.8872070312,1410081.148147583,-1981707.8113555908,273118.9727783203,692106.1873435974,-432789.3555164337,-3197482.5859069824,-2551077.6042938232,792072.7729797363,2798787.3554229736,-80268.88221502304,2801709.1751098633,-201001.89745426178,-182950.4370689392,-2792817.8310394287,-2014377.8324127197,2849299.907684326,2764838.457107544,-2566493.511199951,1155817.0318603516,5578499.794006348
0.025,1772161.9606018066,-20421438.217163086,49545028.68652344,12932507.514953613,16043392.181396484,5407353.87802124,12164131.164550781,9288119.316101074,10179950.714111328,12013943.672180176,9873473.167419434,23911296.844482422,24405805.587768555,13747281.074523926,5639462.471008301,6039459.228515625,19839239.1204834,7928013.324737549,7472280.502319336,8080034.255981445,8927922.248840332,7345001.220703125,-11938233.375549316,7913726.329803467,7038370.132446289,1863501.787185669,3638684.7496032715,5170811.653137207,5721086.9789123535,4228232.383728027,4543002.605438232,2329607.7251434326,3018352.746963501,4462062.835693359,2875553.1311035156,724136.8889808655,97552.56026983261,3274068.593978882,1293961.2865447998,3341327.667236328,6785096.645355225,3457850.217819214,2389273.8819122314,-1944191.0982131958,440687.26897239685,698815.8226013184,-559846.3416099548,-3664934.6351623535,-2870842.218399048,1759046.7929840088,3195508.2416534424,673690.8555030823,4185667.5148010254,36081.794649362564,109658.66595506668,-1956794.6195602417,-1498702.5260925293,4401964.6644592285,4159942.150115967,-1353581.428527832,2386525.3925323486,5911462.306976318
0.03,6596892.356872559,-17935430.5267334,56929523.46801758,15387699.127197266,18380517.959594727,10493864.059448242,15109770.774841309,10299623.489379883,10757117.27142334,13350031.852722168,9995875.358581543,25644567.489624023,26131072.998046875,18085313.79699707,10648159.02709961,8832447.052001953,20011045.455932617,6965821.743011475,6675336.837768555,6586185.932159424,7577333.927154541,8470955.848693848,-9517556.190490723,12875879.287719727,9332098.960876465,1384184.8373413086,1533877.7303695679,2469016.5519714355,3348640.203475952,2365544.319152832,4889869.689941406,6586696.624755859,7279723.167419434,6868070.602416992,2701905.9658050537,-1131604.552268982,-25966.75604581833,1290176.3916015625,1033759.7131729126,4415177.345275879,12052392.00592041,7804399.490356445,6629627.227783203,-51641.47913455963,1434970.8557128906,872045.4573631287,-496475.07071495056,-1924373.3882904053,-812495.5892562866,7306674.957275391,7773790.8363342285,5299727.916717529,9782228.469848633,433265.7754421234,3940349.578857422,2736383.6765289307,3810033.082962036,10259620.666503906,9992016.792297363,5919362.545013428,7692048.5496521,12349250.793457031
0.035,9233714.10369873,-14796953.201293945,58344520.568847656,17595472.33581543,19405256.271362305,12497147.560119629,14562782.287597656,11058627.128601074,11628084.182739258,14824207.305908203,9506646.156311035,25183586.12060547,25627410.888671875,20383136.749267578,12338826.179504395,9582188.606262207,19585527.420043945,6244898.319244385,5408057.21282959,4882206.439971924,5682413.101196289,8684588.432312012,-6615014.07623291,15158546.447753906,9916126.251220703,772330.8801651001,26706.63595199585,-879599.8096466064,439764.20164108276,404864.22181129456,4529208.660125732,9481201.171875,10221189.498901367,8366362.571716309,2564396.619796753,-2703689.5751953125,-432.0329171605408,-153881.86275959015,164925.54545402527,5904671.669006348,16092765.808105469,11339301.109313965,10132531.16607666,2227902.889251709,2755738.4967803955,1052197.4563598633,-202224.89535808563,758261.7402076721,2082005.500793457,12226456.642150879,11339244.842529297,8811444.282531738,13782682.418823242,599010.5271339417,7459807.872772217,6989906.787872314,8878918.647766113,14289131.164550781,14223921.775817871,12458352.088928223,11754844.665527344,17910531.997680664
0.04,9081066.131591797,-13880839.347839355,54157135.009765625,18875284.19494629,18644859.313964844,10359766.006469727,11817627.906799316,11370557.78503418,12510401.725769043,15628122.329711914,8761468.887329102,23243337.631225586,23740573.88305664,19921537.399291992,9996444.702148438,7968691.349029541,19286014.556884766,6569715.976715088,4802007.19833374,4231544.017791748,4697975.158691406,7706173.896789551,-5592564.582824707,13929759.979248047,8776395.797729492,-28146.281838417053,408701.8668651581,-2077602.1480560303,-996976.3159751892,-537901.9379615784,3853773.1170654297,9388017.654418945,9802169.799804688,8027921.676635742,2511613.607406616,-2383701.0860443115,117696.92599773407,-893852.949142456,-2498761.8923187256,5883512.496948242,15723033.905029297,11022583.961486816,9845419.883728027,3122756.9580078125,3854293.3464050293,1148521.7809677124,-645793.4975624084,783284.7833633423,2103310.8234405518,11679944.038391113,10351469.039916992,7981317.520141602,12585797.309875488,430006.89148902893,7265876.770019531,6603463.172912598,8491750.717163086,12912614.822387695,12989497.184753418,12480237.007141113,10641685.485839844,16999134.063720703
0.045,6465191.841125488,-17872545.24230957,49097023.010253906,18128387.451171875,16132144.927978516,7854146.0037231445,10453801.155090332,10790018.081665039,12425855.63659668,15270307.540893555,7707630.634307861,21550600.051879883,22213041.305541992,18757516.860961914,7594294.07119751,6332684.9937438965,19374181.747436523,6963837.623596191,4967097.282409668,4314033.031463623,4770825.8628845215,6515442.371368408,-6549002.647399902,12687148.094177246,7781260.013580322,-1446720.6001281738,1098841.905593872,-1283963.0842208862,-1105100.154876709,-647384.2263221741,3874685.764312744,9053383.827209473,8736557.960510254,7075995.922088623,2121276.1402130127,-1427342.176437378,103365.23503065109,-1743706.464767456,-6375739.097595215,5056790.351867676,14415025.71105957,9148713.111877441,7927435.874938965,2556817.5315856934,4205860.614776611,1153292.7751541138,-1657544.9705123901,-1130390.7632827759,93776.62092447281,8653078.079223633,7911450.8628845215,5774330.139160156,9779264.450073242,242040.32123088837,5509313.583374023,3919469.118118286,5233134.746551514,10023280.143737793,9953423.500061035,8804204.940795898,7577505.588531494,13248539.924621582
