time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,1189459.4430923462,-10347540.855407715,-14947804.45098877,1196215.033531189,-7136054.039001465,13137922.286987305,3907579.183578491,3869190.216064453,3730049.6101379395,676948.9049911499,-4184998.5122680664,-6056988.716125488,-9596221.923828125,-17465112.686157227,11966227.531433105,3898793.2205200195,3776067.2569274902,3694725.751876831,378981.20284080505,-2506009.578704834,-3130614.5191192627,-10670713.424682617,-11809543.60961914,7490860.462188721,3712153.434753418,3818045.6161499023,3681067.46673584,-889052.3314476013,-228750.61631202698,239251.5391111374,-6447256.565093994,-6672712.802886963,3291959.047317505,3297435.2836608887,1045428.8721084595,3579607.2483062744,-1076526.6418457031,-327962.81576156616,-2567568.54057312,-5057830.810546875,-5676349.16305542,3282241.8212890625,3249026.7753601074,3255828.857421875,595982.8495979309,1092085.1230621338,-360561.0132217407,-1221774.8165130615,1962396.0256576538,-2819133.2817077637,3285031.795501709,3275442.8386688232,3212750.6732940674,1089087.963104248,-3072617.292404175,-351612.5977039337,-360364.52651023865,1071113.4672164917,3255345.8213806152,1083322.286605835,-2078076.6010284424,596707.820892334
0.005,26148351.669311523,19495866.775512695,11825952.529907227,1751232.385635376,11323365.211486816,-106909.8711013794,643700.122833252,1399733.7818145752,-373879.64129447937,6959224.700927734,6805209.636688232,12627639.770507812,10194388.389587402,15922410.96496582,1808951.735496521,821349.561214447,1111804.485321045,1160852.6706695557,-458765.32793045044,97891.88951253891,5551609.992980957,4297242.641448975,4904142.379760742,3628717.4224853516,-1047150.8502960205,1751164.436340332,1345787.763595581,-1140588.641166687,-271625.48899650574,647079.4081687927,-305033.53476524353,18101903.915405273,1250952.959060669,2418238.1629943848,-1174998.164176941,1879116.8928146362,-387793.3919429779,1067288.0411148071,-3082149.7440338135,550845.1461791992,11088400.840759277,874477.744102478,1248786.8070602417,874897.3608016968,636444.2110061646,-696896.0165977478,-2122166.156768799,-721112.7877235413,3938790.0829315186,-1482303.3809661865,1175503.9691925049,633442.6999092102,1710067.5106048584,-187904.84964847565,1630983.829498291,-91675.97442865372,-272814.48245048523,-812776.7443656921,1045135.498046875,-1567969.799041748,-2278023.4813690186,-1361529.9463272095
0.01,30992624.282836914,31066596.98486328,24639522.552490234,-704981.0290336609,18141788.482666016,-10903608.322143555,-2720768.2132720947,-1741013.0500793457,-3971596.7178344727,8416614.532470703,11266203.880310059,22084129.333496094,20635002.13623047,34491863.25073242,-6855846.405029297,-2484568.1190490723,-1912829.5183181763,-1779804.4681549072,-1102854.609489441,2970760.5838775635,9754503.25012207,13744415.283203125,15598483.085632324,1037384.9868774414,-4640267.848968506,-1141874.5517730713,-1556465.983390808,-548469.1262245178,-337388.7240886688,200881.12354278564,4615140.914916992,29914369.583129883,71050.16708374023,1671298.2654571533,-2603809.8335266113,686110.0792884827,40861.476212739944,2281124.8302459717,-2727940.320968628,3664127.5882720947,17863246.91772461,-420758.60500335693,50557.66552686691,-573098.7191200256,2289497.6139068604,-1990744.4715499878,-3185479.164123535,-304179.72803115845,3109325.408935547,-611449.8376846313,-44348.85084629059,-821999.2518424988,756468.7132835388,-1360039.472579956,1999923.7060546875,-1675734.519958496,-1929270.9827423096,-2335997.8199005127,-176521.36087417603,-3314284.086227417,-2934743.4043884277,-3432190.8950805664
0.015,18860715.866088867,25517274.856567383,24585834.503173828,-4912474.632263184,14212543.487548828,-16737598.419189453,-5625473.0224609375,-4918353.080749512,-6696532.726287842,4900069.236755371,8565867.42401123,21290014.266967773,20692155.838012695,37096675.872802734,-11106557.846069336,-5467308.521270752,-4838264.465332031,-4677189.826965332,-2404408.9317321777,4248400.688171387,8864633.560180664,15821313.858032227,17982439.041137695,703566.0743713379,-5439137.935638428,-4289858.818054199,-4597807.40737915,66164.0390753746,-1112839.8180007935,-1478231.3108444214,6657616.61529541,29119791.03088379,1094712.9726409912,2356382.6084136963,-2434666.872024536,103999.01121854782,550789.9522781372,2453348.159790039,-2599160.1943969727,2757083.4159851074,15769030.570983887,601313.9486312866,900360.0478172302,266982.9726219177,5328093.0519104,-241034.25443172455,-2855265.6173706055,193598.06180000305,565623.5218048096,186333.13477039337,919228.196144104,181603.5658121109,1733848.4525680542,264813.21454048157,982428.1930923462,-3624013.900756836,-3865988.9698028564,-789749.5031356812,865486.3834381104,-1506500.244140625,-1676126.480102539,-2274889.7075653076
0.02,9475287.437438965,17340963.36364746,21307655.334472656,-5798187.255859375,9194884.300231934,-14966086.387634277,-5969847.202301025,-5502261.638641357,-7004742.622375488,1652763.843536377,4113525.390625,16609733.581542969,16029409.408569336,31343952.178955078,-7808989.524841309,-5920221.328735352,-5416501.522064209,-5270532.608032227,-4014624.59564209,2315515.5181884766,6031799.793243408,11511938.095092773,13221589.088439941,3194584.1312408447,-2895488.0237579346,-4992884.635925293,-5399109.840393066,-357523.94795417786,-3047706.127166748,-3565566.062927246,4104254.2457580566,24614580.154418945,4488292.694091797,5248281.002044678,-863545.7158088684,332077.9502391815,1083817.958831787,751373.5890388489,-4385994.434356689,-1794201.135635376,11930859.565734863,3852117.3000335693,3999436.140060425,3561370.1343536377,7077824.115753174,4709949.493408203,-1776139.8553848267,245082.5870037079,-909324.4671821594,367244.154214859,4235230.922698975,3515923.9768981934,5057696.81930542,5249869.823455811,2335109.9491119385,-4494212.1505737305,-4698190.212249756,4253562.450408936,4186412.3344421387,3771370.4109191895,1760331.153869629,2778458.3568573
0.025,13748341.56036377,16210458.755493164,20325920.10498047,-530415.1773452759,9470504.760742188,-6259600.639343262,-2313206.672668457,-1749010.3244781494,-3478662.7292633057,3863030.6720733643,3802833.5571289062,15032118.797302246,12751164.436340332,24263177.8717041,1733615.517616272,-2295311.689376831,-1900747.7760314941,-1801135.778427124,-3541944.0269470215,-655415.7137870789,5029131.4125061035,4743293.285369873,6056259.1552734375,7843677.520751953,737037.5394821167,-1355919.8379516602,-2071151.4949798584,-944983.4823608398,-5164906.978607178,-4366784.09576416,-1519392.0135498047,22205644.607543945,8047120.094299316,8711615.562438965,577163.815498352,1395642.2805786133,969009.0417861938,-2121597.0516204834,-7334717.750549316,-6882502.07901001,9638107.299804688,7213163.85269165,7402733.80279541,7136605.739593506,5220592.498779297,7502600.66986084,-1930534.9588394165,-1038891.1962509155,-1156373.2624053955,-1242484.68875885,7832113.742828369,6906464.099884033,8620260.238647461,8276825.904846191,3256036.0431671143,-6073408.603668213,-6217823.028564453,7385183.334350586,7586779.1175842285,6799385.547637939,2258331.537246704,5214622.497558594
0.03,23576974.868774414,22915906.90612793,25174989.700317383,6411553.859710693,14806765.55633545,708857.3575019836,2105873.5847473145,2928212.4042510986,1049785.9716415405,9885740.280151367,8526971.817016602,19971616.744995117,15780350.685119629,24758445.739746094,8650967.597961426,2187019.8249816895,2662815.3324127197,2705105.5431365967,-576730.7281494141,-313413.3219718933,7630430.221557617,4976806.640625,6178554.534912109,11792661.666870117,2082958.9366912842,3321868.1812286377,2403156.9957733154,140351.92131996155,-5772621.631622314,-3259338.855743408,-2937465.4293060303,23703800.201416016,9316367.149353027,10264966.011047363,864752.7098655701,1850829.005241394,811361.6704940796,-3900892.496109009,-8194540.977478027,-7544632.911682129,10096731.185913086,8512849.807739258,8869871.139526367,8533920.288085938,1776173.1147766113,3700084.447860718,-3831024.8851776123,-2615599.8706817627,-2219665.765762329,-2402781.0096740723,9314772.605895996,8108108.5205078125,9882686.614990234,4577949.523925781,1193873.2862472534,-9275541.305541992,-9363815.307617188,3782394.4091796875,8768430.709838867,2934795.618057251,-3162676.0959625244,148252.6808977127
0.035,26480146.408081055,34947734.83276367,40019950.86669922,7355897.426605225,22084299.087524414,-4076062.6792907715,1358279.9434661865,2298807.8594207764,650067.5082206726,12399358.749389648,13734792.709350586,29706525.802612305,26295116.424560547,41093971.252441406,4391669.750213623,1527492.5231933594,2194643.259048462,2205179.6913146973,1046823.8592147827,3755359.888076782,12408788.681030273,19490631.103515625,20286434.173583984,11948954.582214355,561476.1710166931,2786651.611328125,1944891.9296264648,2651870.9659576416,-4572909.355163574,-1855112.5526428223,5704767.70401001,30711936.950683594,8633830.070495605,9796540.260314941,929965.4364585876,-220499.87316131592,2488434.076309204,-3087282.180786133,-5396412.372589111,-1679871.4399337769,16363164.901733398,8080678.939819336,8582762.718200684,7981060.50491333,1660333.9910507202,-2689393.2819366455,-5084088.325500488,-1728930.4733276367,-4464626.312255859,1738458.6334228516,8833848.95324707,7587687.015533447,9155555.725097656,-1984366.4169311523,1641444.6830749512,-10348935.1272583,-10479002.952575684,-2783328.2947540283,8140105.247497559,-3732749.9389648438,-8431895.25604248,-6187077.522277832
0.04,22036697.387695312,45158439.63623047,57591552.734375,1887090.9214019775,26087646.484375,-16164270.401000977,-4377750.396728516,-3545841.4554595947,-5017759.323120117,8100593.566894531,14294891.357421875,36976032.25708008,36207859.03930664,63084251.403808594,-6059348.106384277,-4184952.2590637207,-3496939.182281494,-3476257.562637329,-1343081.7127227783,6026651.382446289,15386970.520019531,37955436.70654297,37789279.93774414,9453651.428222656,-773168.0274009705,-3004176.378250122,-3681370.0199127197,3992126.46484375,-3243799.924850464,-2027851.1047363281,17129781.72302246,40011157.98950195,8464645.385742188,9517301.559448242,2016290.9030914307,-3610361.8144989014,5499453.544616699,-968342.7214622498,-2171892.1661376953,5354024.410247803,25953981.399536133,8073300.361633301,8610572.814941406,7802434.44442749,5716897.010803223,-3820374.9656677246,-3789460.1821899414,1512800.3358840942,-5930162.42980957,9928049.087524414,8626177.787780762,7656836.50970459,8976231.575012207,-3311500.7877349854,9047148.704528809,-6746774.196624756,-7031195.640563965,-4227021.217346191,8057350.158691406,-5077457.904815674,-6500826.835632324,-4496362.209320068
0.045,19670680.99975586,41740650.17700195,56612709.045410156,-1029447.9131698608,20600769.04296875,-16290252.685546875,-6520058.155059814,-5917901.515960693,-7591608.047485352,2974341.1540985107,9799824.714660645,33644554.138183594,31962297.439575195,61334983.825683594,-6077194.690704346,-6396285.533905029,-5979828.834533691,-5943756.103515625,-3974305.6297302246,1457438.1113052368,13319375.991821289,36266719.818115234,35690158.84399414,9990940.09399414,624948.2035636902,-5453474.521636963,-6139925.956726074,2655705.9288024902,-3462481.0218811035,-3299939.8708343506,14801619.529724121,40672466.27807617,9862144.470214844,10694490.432739258,3357210.874557495,-3886677.7420043945,5849517.822265625,-194780.31992912292,-3402411.937713623,4494760.990142822,26383644.104003906,9394204.139709473,9841041.564941406,9035303.115844727,8465920.448303223,703274.4884490967,-2052082.0617675781,2245024.2042541504,-5685419.55947876,12169010.162353516,9791679.382324219,9153070.449829102,10389782.905578613,1232575.77419281,14877441.40625,-3890558.0043792725,-4280686.378479004,245118.45409870148,9454396.24786377,-477247.2679615021,-1601084.7091674805,2280811.071395874
