time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1562925.2195358276,1017992.0196533203,2989401.5789031982,-1622983.9324951172,1653455.8534622192,-3588406.3243865967,-3447647.8099823,-3441202.6405334473,-1209606.5282821655,754656.6128730774,773209.6314430237,805456.8767547607,807726.9792556763,5412690.63949585,-3560072.660446167,-2407928.705215454,-1835368.037223816,-1004545.8078384399,573675.0960350037,603134.8705291748,617548.4657287598,2601200.3421783447,3088540.79246521,-3536973.714828491,-1665099.6208190918,-1465083.0030441284,-555611.9680404663,-307802.4387359619,991814.4941329956,1008026.7190933228,2042957.3059082031,3039885.7593536377,-1579401.6122817993,-1626913.4283065796,-915240.7646179199,-359836.8763923645,-4099.137149751186,175215.08038043976,924076.1995315552,1892187.9529953003,2253550.0526428223,-1035605.1921844482,-412674.57604408264,-577840.3878211975,74308.67850780487,278639.9722099304,809547.0666885376,818018.8536643982,1233680.1290512085,929848.9093780518,-1144075.632095337,-1167884.7074508667,-231710.24024486542,-161067.27719306946,639755.0106048584,635193.5863494873,21783.119067549706,-658301.4726638794,-658764.1835212708,-423872.6794719696,137794.33071613312,-1238152.265548706
0.005,26565280.91430664,7754032.135009766,-13854213.71459961,5162944.316864014,5790821.552276611,17101125.717163086,14610297.203063965,12940999.031066895,3776801.347732544,266713.7384414673,1314157.247543335,150768.57805252075,1019404.6497344971,5713199.138641357,17516233.444213867,11416659.355163574,8830135.345458984,2875818.2525634766,-1637578.010559082,-787227.3325920105,-3180351.2573242188,-6550040.721893311,-10772599.220275879,17598163.604736328,9424327.850341797,5777024.745941162,1639944.076538086,-809884.9058151245,-1471423.9835739136,-785640.9549713135,-11048687.934875488,-10580182.075500488,59714000.7019043,9676536.560058594,8484693.52722168,5819172.8591918945,744683.9213371277,27255.954220891,-2022073.745727539,1192736.1488342285,2808525.0854492188,16958707.809448242,12654968.26171875,8946940.422058105,6227726.459503174,2041506.7672729492,3127794.027328491,685924.5300292969,1837267.8756713867,6386028.76663208,5715773.582458496,4786076.068878174,8411766.052246094,1805574.0594863892,-158842.8020477295,-273264.88494873047,251447.73721694946,3862139.4634246826,4437824.249267578,406161.45730018616,-6226582.050323486,-6693912.506103516
0.01,35284233.09326172,10213097.57232666,-19988573.07434082,6392479.419708252,8380985.260009766,21714771.270751953,18476243.97277832,16072797.775268555,5872133.255004883,992584.764957428,2445528.507232666,808742.7020072937,1959264.5168304443,7461525.917053223,22417720.794677734,14289900.779724121,11859389.305114746,4288166.046142578,-1769982.8147888184,-750261.664390564,-3834649.3244171143,-9587263.107299805,-15513759.61303711,22560644.149780273,11480017.66204834,6977258.205413818,1369881.510734558,-779783.6661338806,-1829737.1864318848,-977207.3030471802,-16716428.756713867,-15068928.718566895,81358894.34814453,11368798.25592041,10662197.11303711,7305426.120758057,1118635.4160308838,509484.7083091736,-3205205.4405212402,1248808.6223602295,2848420.1431274414,20902793.884277344,14625450.134277344,10550949.096679688,6492266.1781311035,1543254.4946670532,4012182.7125549316,489353.1799316406,1899904.8471450806,7274534.702301025,3983333.8260650635,2773443.4604644775,7147075.653076172,-1133041.7394638062,-2399553.7757873535,-2718242.645263672,-2123356.580734253,1323625.5645751953,1911887.1688842773,-4587706.565856934,-13778540.61126709,-13149824.142456055
0.015,29059362.411499023,9787281.036376953,-16536975.860595703,4268973.350524902,9516828.536987305,15482610.702514648,12868014.335632324,10659623.146057129,5925815.105438232,2904330.9688568115,4197256.088256836,2753978.967666626,3652815.341949463,9533823.013305664,16253339.767456055,9775897.026062012,9231270.790100098,3625633.2397460938,-271991.0144805908,448136.27004623413,-1965557.336807251,-7370316.505432129,-12275188.446044922,16468481.063842773,7291316.509246826,3850237.8463745117,-646973.9675521851,-500088.9301300049,-393619.2989349365,227715.6263589859,-15161898.612976074,-11575945.854187012,68845993.04199219,5999263.763427734,6979240.894317627,4819911.003112793,1136581.540107727,1582694.5304870605,-2394221.782684326,1933788.6571884155,2612814.6648406982,14090006.828308105,7945371.150970459,5814096.450805664,2262615.203857422,-102020.34562826157,3998596.9066619873,818472.5046157837,1883156.0611724854,4739885.8070373535,-3179411.8881225586,-4175833.7020874023,-992095.0531959534,-6083834.171295166,-4431184.2918396,-4954506.397247314,-5242277.6222229,-5259747.505187988,-5016355.514526367,-11753773.68927002,-18819080.352783203,-17645515.44189453
0.02,26712129.592895508,11236704.82635498,-12439627.647399902,5022471.4279174805,10672628.402709961,15439929.008483887,12989319.801330566,11137627.601623535,6902467.727661133,5122143.268585205,6212239.2654418945,5055376.052856445,5674549.579620361,10662689.208984375,16091428.756713867,9578200.340270996,8670282.363891602,3158149.7192382812,1032121.5391159058,1642459.6309661865,-311988.6517524719,-4684083.938598633,-8404829.978942871,16391685.485839844,6432847.97668457,2760088.2053375244,-1714730.3819656372,-606142.6997184753,1069620.7284927368,1559289.4554138184,-11729088.78326416,-7515681.743621826,58189071.65527344,3638929.605484009,4364339.351654053,2623729.705810547,1026872.3964691162,2541289.5679473877,-628052.6518821716,2887230.396270752,3268144.8459625244,10971902.847290039,3771974.802017212,2382657.289505005,-812719.7027206421,-406487.94174194336,4307469.844818115,2209825.5157470703,2836084.1274261475,4018202.304840088,-5693229.198455811,-6560070.037841797,-5467798.233032227,-6766268.730163574,-3636384.0103149414,-4201991.081237793,-4896504.878997803,-7090345.859527588,-6944081.3064575195,-13147139.549255371,-17237476.348876953,-16182645.797729492
0.025,34158668.518066406,15780792.236328125,-11744606.971740723,9271980.285644531,12885601.997375488,24759824.752807617,21584033.966064453,19732158.660888672,9181754.112243652,7015930.652618408,8148546.21887207,7071718.692779541,7677845.001220703,12923301.696777344,25333486.557006836,16191768.646240234,12280009.269714355,3612505.9127807617,1668520.450592041,2538598.06060791,300004.7504901886,-2746471.881866455,-6369264.125823975,25703275.680541992,11259770.393371582,5592237.47253418,-993269.4435119629,-1094708.9195251465,1885514.0209197998,2549257.516860962,-9250004.768371582,-5454387.664794922,66193214.416503906,7584885.120391846,5585505.962371826,2539580.3451538086,878936.9463920593,2784332.036972046,1119663.2385253906,4370465.278625488,5921645.641326904,16942060.470581055,6455678.462982178,3281086.9216918945,-832428.9917945862,512577.23569869995,4693614.0060424805,3978026.6284942627,4897773.742675781,7672775.2685546875,-600359.9166870117,-1628393.7692642212,-3063416.9578552246,-3065471.410751343,-661938.6672973633,-1097807.765007019,-482475.9066104889,-1869542.956352234,-1454596.2810516357,-8210522.651672363,-11593441.9631958,-9871217.727661133
0.03,39180400.84838867,19287567.138671875,-10937059.40246582,11045499.801635742,15375986.099243164,29209995.26977539,25645435.333251953,23653379.440307617,9784582.138061523,8258577.346801758,9530920.028686523,8479610.443115234,9199632.64465332,19070110.321044922,29839487.075805664,20300207.138061523,14317422.866821289,3283491.849899292,2509069.9195861816,3564463.8538360596,1114305.3770065308,748062.3722076416,-2711794.853210449,30221651.077270508,14530192.375183105,7834546.5660095215,-455349.05791282654,-1349330.5444717407,2685919.2848205566,3561463.3560180664,-6712884.426116943,-1949541.8071746826,75437614.44091797,10840014.457702637,6666337.966918945,2471185.9226226807,706229.6867370605,2445761.6806030273,2350672.2450256348,6426504.611968994,9748620.986938477,22540849.685668945,9246878.623962402,4250738.620758057,-765338.4208679199,347044.6467399597,4058716.297149658,4432233.810424805,6501864.910125732,12279521.942138672,4728366.851806641,3520521.402359009,-474471.9862937927,-988359.0340614319,790308.3562850952,528505.802154541,3433622.360229492,3353748.321533203,3970585.584640503,-4366970.062255859,-8930733.680725098,-5201361.179351807
0.035,33281551.361083984,17964834.213256836,-8182396.88873291,7339025.974273682,16067043.30444336,20855787.27722168,17846702.575683594,15964101.791381836,7180955.410003662,8275613.784790039,9578744.888305664,8621969.223022461,9388648.986816406,26083295.822143555,21444974.899291992,16248769.760131836,11103815.078735352,1214909.6727371216,3446264.0285491943,4307423.5916137695,2204765.796661377,4865619.18258667,2436203.2413482666,21797933.57849121,11476295.471191406,6216606.616973877,-1523061.3946914673,-1069743.275642395,3372502.326965332,4234648.704528809,-4499539.852142334,3013664.722442627,68686943.05419922,7708378.791809082,4305210.113525391,832668.9600944519,644252.4790763855,1969195.9619522095,2350322.0081329346,7520379.066467285,11569555.282592773,19086109.161376953,5905351.638793945,1720109.462738037,-2539541.9597625732,-1657432.6753616333,2381899.59526062,2486411.8099212646,5560763.835906982,12589571.952819824,3705994.6060180664,2490317.5830841064,-2921579.122543335,-3798746.109008789,-1595027.208328247,-1733419.2991256714,2310888.0519866943,2012592.5540924072,2513023.1380462646,-6743683.338165283,-12065114.974975586,-7146503.925323486
0.04,25887084.9609375,13458406.448364258,-8631236.07635498,3997434.8545074463,13400877.952575684,12923773.765563965,10365321.159362793,8726366.996765137,4830089.092254639,6570788.860321045,7789484.977722168,6871595.38269043,7656975.746154785,25374412.536621094,13190617.561340332,12001731.872558594,8044276.237487793,-200797.73664474487,2915966.033935547,3489599.7047424316,1677271.3661193848,3923552.5131225586,1807791.7098999023,13558190.34576416,8001692.771911621,4313659.66796875,-2338718.891143799,-602584.8388671875,2532059.669494629,3265081.4056396484,-6161058.9027404785,2354131.4601898193,56707561.49291992,3124551.296234131,1730755.4483413696,-379716.2473201752,763863.8019561768,1201538.2051467896,181583.55355262756,5425046.920776367,8410964.965820312,12154260.635375977,363186.62762641907,-1243244.6479797363,-4181997.299194336,-3829197.883605957,424281.7759513855,-1307102.7994155884,1563700.556755066,7645133.018493652,-804562.9262924194,-1974996.2091445923,-7146799.087524414,-8179941.177368164,-6481638.431549072,-6564380.645751953,-3247948.169708252,-3860928.535461426,-3541786.4322662354,-12744404.792785645,-17358423.233032227,-13807749.74822998
0.045,30190765.380859375,10232922.554016113,-17667383.193969727,8315272.331237793,7547816.753387451,22619712.829589844,19357530.59387207,17662715.911865234,7442962.646484375,3517133.951187134,4606575.965881348,3603977.4417877197,4461855.888366699,12091400.146484375,22516681.671142578,18521614.07470703,12811517.715454102,2246173.620223999,157835.42394638062,759184.9565505981,-1397805.2139282227,-5284082.412719727,-9750391.006469727,22996995.92590332,12820319.175720215,7761892.318725586,-38385.03360748291,-302086.4427089691,-594458.6396217346,134215.93606472015,-13465263.366699219,-9070501.327514648,60539604.18701172,6081365.10848999,4342803.001403809,1498211.8606567383,831322.6103782654,-483441.561460495,-4102736.473083496,-155486.47940158844,763142.2281265259,13551959.991455078,879816.4129257202,558480.6203842163,-3558686.9716644287,-4968138.694763184,-1899937.1528625488,-5517067.432403564,-3874157.9055786133,1260223.0310440063,-1853511.3334655762,-3015201.5686035156,-7836947.441101074,-10063729.286193848,-11429520.606994629,-11532309.532165527,-8990369.79675293,-7626816.749572754,-7277402.877807617,-17504915.237426758,-21320421.21887207,-19386938.095092773
