time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2702233.31451416,-1574551.2247085571,-4826415.538787842,-1551733.8514328003,-2949522.4952697754,-2077167.5109863281,-1913927.674293518,-1838995.5759048462,-1799520.492553711,-984397.1729278564,-2014875.888824463,-4923503.398895264,-4790031.909942627,-6375113.487243652,-1910104.6323776245,-3042269.9451446533,-994331.5386772156,-230558.380484581,-852667.2124862671,-1163350.7013320923,-5402044.296264648,-5777349.472045898,-6473052.978515625,-1091951.2510299683,-530574.5005607605,-2696278.0952453613,656741.5595054626,134748.9356994629,-2445734.2624664307,-5395452.976226807,-5432766.914367676,-6540935.99319458,-3176476.240158081,-611443.4599876404,853195.7268714905,861096.441745758,-14024.614356458187,-1648661.732673645,-3243532.419204712,-4486925.12512207,-4616845.607757568,-1771411.5381240845,-1194756.269454956,-1182677.6266098022,-1650845.1700210571,-1275624.6328353882,-2147020.8168029785,-3415833.4732055664,-3448066.473007202,-3371581.554412842,-2397288.5608673096,-2329700.9468078613,-2352705.240249634,-1434790.2536392212,-3446489.8109436035,-3424546.957015991,-3450484.7526550293,-3165341.377258301,-2882895.9465026855,-2181711.6737365723,-3436777.8301239014,-3783198.595046997
0.005,10941933.631896973,-924435.7943534851,5147781.848907471,-1304338.812828064,-1055920.7201004028,4229236.125946045,4102457.046508789,4477972.030639648,-1825821.6381072998,1068801.1646270752,-3104866.5046691895,-8751515.38848877,-7533535.003662109,-12270038.604736328,6455603.122711182,-517288.3868217468,-1627106.785774231,1672337.293624878,722744.345664978,-8402450.561523438,-19401973.724365234,-14456714.630126953,-13210062.026977539,9710736.274719238,4262106.418609619,-2302451.3721466064,5244688.987731934,1274636.149406433,-12617026.329040527,-19580091.47644043,-14069355.964660645,-14048031.8069458,5281268.59664917,3413985.49079895,2085859.775543213,1188604.5932769775,-461368.6501979828,-10237767.219543457,-13323799.133300781,-17343196.868896484,-17914228.439331055,5451910.495758057,3025286.6744995117,3072411.53717041,-4569971.561431885,-2244977.7126312256,-5675707.817077637,-6370401.859283447,-5801278.591156006,-5898017.406463623,4485335.826873779,5150243.282318115,4208462.715148926,-3319542.407989502,-6322391.986846924,-5963509.082794189,-6247397.422790527,10806992.530822754,4558282.375335693,5854261.875152588,-6529819.011688232,4024434.0896606445
0.01,12556175.231933594,-3644706.4876556396,6721801.7578125,-3885104.179382324,-2695557.8327178955,3272180.5572509766,3072616.8155670166,3491512.7754211426,-3673791.1701202393,1300508.737564087,-4116791.7251586914,-10470323.56262207,-8981174.46899414,-18061079.025268555,5003495.216369629,-3131535.291671753,-3003576.7555236816,2061772.346496582,1544813.0369186401,-8876783.37097168,-20751874.923706055,-15862599.37286377,-19298549.65209961,9038190.841674805,1082018.7330245972,-5823761.463165283,5728750.228881836,3317177.7725219727,-12364011.764526367,-20398162.841796875,-17651758.193969727,-20279357.91015625,2464482.307434082,-642001.6884803772,-3419329.881668091,-1433731.6751480103,-616560.5187416077,-10344636.917114258,-15579800.605773926,-23722812.65258789,-24349897.384643555,2751192.092895508,508692.9202079773,550708.2939147949,-7873509.407043457,-4800384.044647217,-7672126.770019531,-10035620.68939209,-9343840.599060059,-9307796.478271484,2329324.48387146,3096034.288406372,1932276.0105133057,-6256791.591644287,-9928630.828857422,-9471654.891967773,-9787116.050720215,10624795.913696289,2360938.549041748,4835686.206817627,-10188470.840454102,2680779.457092285
0.015,4766080.379486084,-8701900.482177734,566071.9871520996,-8540236.473083496,-7757473.468780518,-2916554.4509887695,-3033972.74017334,-2742598.056793213,-7493484.4970703125,-1032774.4483947754,-6330461.025238037,-12032695.770263672,-10926115.036010742,-23359361.64855957,-2674061.7752075195,-8716141.700744629,-5270803.451538086,814343.273639679,571073.6513137817,-5691360.4736328125,-15981197.357177734,-15006696.701049805,-24398586.27319336,1558101.6540527344,-6841740.131378174,-10962677.001953125,3296088.695526123,4720835.6857299805,-5901365.280151367,-14273798.942565918,-19468898.77319336,-25090364.456176758,-6759738.445281982,-8460583.686828613,-11589944.839477539,-4364463.806152344,-552105.7844161987,-4306758.880615234,-13138327.598571777,-24950254.440307617,-25315395.35522461,-4675645.82824707,-4832832.336425781,-4826138.496398926,-9290421.485900879,-6681445.598602295,-7537069.320678711,-13223743.438720703,-12757976.531982422,-12439871.788024902,-4331322.66998291,-3833331.823348999,-4518947.601318359,-7977686.882019043,-13042757.034301758,-12707869.529724121,-12894721.031188965,1671127.5577545166,-4890787.601470947,-1434131.383895874,-13202452.659606934,-3585969.6865081787
0.02,104665.67426919937,-11754644.393920898,-4677983.76083374,-11564537.048339844,-12121869.087219238,-6079625.129699707,-6185101.03225708,-5899674.892425537,-10751689.910888672,-4035072.8034973145,-9584530.8303833,-15215327.262878418,-14388861.656188965,-26023145.67565918,-5286297.798156738,-10368190.76538086,-7169260.9786987305,-647450.1490592957,-1696968.5554504395,-6277475.833892822,-18762540.817260742,-19911575.317382812,-26863355.63659668,110111.765563488,-9891913.414001465,-11976835.250854492,1938297.0333099365,3702911.615371704,-4768070.697784424,-15977749.824523926,-24471250.534057617,-27448188.78173828,-8934881.210327148,-10162428.855895996,-13874064.445495605,-3804749.4888305664,-532813.2510185242,-1244204.4019699097,-14243947.982788086,-25814832.68737793,-25993494.033813477,-4835896.968841553,-4872947.216033936,-4886461.25793457,-7133191.108703613,-5154851.913452148,-6321419.239044189,-13964947.700500488,-13601092.338562012,-13216054.916381836,-4723037.7197265625,-4363549.709320068,-4478919.506072998,-6176176.071166992,-13674966.812133789,-13462015.151977539,-13589926.719665527,-333192.49749183655,-5531024.45602417,-2857704.8778533936,-13726065.635681152,-4055662.6319885254
0.025,4010226.7265319824,-10578989.98260498,-2963675.2605438232,-10816320.419311523,-12032454.490661621,-2935750.4844665527,-3165427.2079467773,-2671972.2747802734,-10480255.126953125,-4426900.386810303,-10784650.802612305,-17206809.997558594,-16269876.480102539,-23874061.584472656,-148623.0492591858,-6031747.341156006,-7152230.739593506,-1012888.5507583618,-2779350.0423431396,-10723747.253417969,-27587860.107421875,-27050849.91455078,-24804534.912109375,6207501.411437988,-5753344.0589904785,-8094329.833984375,2349402.42767334,1399007.2011947632,-10627320.289611816,-25163303.37524414,-29566604.614257812,-25587671.279907227,-1981237.769126892,-5527296.06628418,-10549669.26574707,-1601500.2727508545,-623914.361000061,-4493524.551391602,-19531160.354614258,-26723842.62084961,-27019641.876220703,2212393.283843994,-542259.693145752,-539534.6879959106,-4469192.028045654,-2438519.7162628174,-6183345.794677734,-12645769.119262695,-12119715.690612793,-11906000.137329102,1254980.5641174316,1777960.181236267,1841735.3630065918,-3405194.9977874756,-12271333.694458008,-12040841.102600098,-12233217.239379883,7008534.4314575195,1364784.836769104,1386344.5520401,-12306791.305541992,1535682.201385498
0.03,8814958.572387695,-8085247.993469238,1643447.1607208252,-8779351.234436035,-9068947.792053223,527618.1697845459,198546.6629266739,912086.6656303406,-7684466.83883667,-2024380.9223175049,-8436556.816101074,-15346309.661865234,-14278306.96105957,-19604875.564575195,3137098.550796509,-2377871.9902038574,-6063774.585723877,-895995.1400756836,-1609190.1063919067,-12380012.512207031,-29754508.97216797,-27040761.947631836,-20726907.73010254,8230794.906616211,-2419704.4372558594,-5573362.350463867,1593139.886856079,361832.1418762207,-14345974.922180176,-28154916.763305664,-28564250.946044922,-21629692.07763672,1515179.7533035278,-4283354.759216309,-10108747.482299805,-2450396.776199341,-686163.8426780701,-8340295.791625977,-22281940.460205078,-25644107.818603516,-26215543.746948242,3837928.295135498,-1055667.4003601074,-1018934.8459243774,-6343616.962432861,-3851439.2375946045,-8431949.615478516,-12695277.214050293,-12013474.464416504,-11900211.334228516,2242077.112197876,2931162.118911743,2921151.876449585,-4930099.4873046875,-12321832.656860352,-12021838.188171387,-12232840.538024902,9634057.998657227,3883230.447769165,1946683.645248413,-12420317.649841309,1516041.2788391113
0.035,6246914.863586426,-8359951.972961426,952117.1450614929,-9321397.78137207,-8419425.010681152,-2268992.1855926514,-2529371.2615966797,-1762895.941734314,-6983799.934387207,-715292.2749519348,-6031644.344329834,-12903403.282165527,-11952979.08782959,-19839874.267578125,-3141452.3124694824,-6278034.687042236,-6550506.114959717,-1900120.9735870361,-609600.2459526062,-8745732.307434082,-23042949.676513672,-20873857.498168945,-20980936.05041504,-366580.5160999298,-6286853.313446045,-9240060.806274414,-1402444.1242218018,771100.9383201599,-10935949.325561523,-20426622.39074707,-23529659.271240234,-21750656.127929688,-7278405.666351318,-11240962.982177734,-15969310.760498047,-5987644.672393799,-678655.0283432007,-7432968.1396484375,-19741720.19958496,-24336349.487304688,-25078369.140625,-6197301.864624023,-10001812.934875488,-9908438.682556152,-12856688.499450684,-10237078.666687012,-11892329.216003418,-16540758.13293457,-15900449.752807617,-15659508.70513916,-7800250.053405762,-7177782.5355529785,-7100269.317626953,-11361283.302307129,-16225893.020629883,-15951627.731323242,-16037038.803100586,-1570598.1254577637,-5665475.845336914,-5951956.272125244,-16392200.469970703,-10627185.821533203
0.04,4667.733330279589,-10601655.960083008,-5181897.6402282715,-11780323.028564453,-11369107.246398926,-8797658.920288086,-8868400.573730469,-8146801.948547363,-10019401.550292969,-2772870.0637817383,-7050674.915313721,-14483836.17401123,-13664162.635803223,-26117527.00805664,-13226537.704467773,-14616244.316101074,-8686038.970947266,-3773267.984390259,-2016731.5006256104,-4886786.460876465,-18473388.671875,-18767223.358154297,-27154716.49169922,-10450625.4196167,-12838694.57244873,-15159759.521484375,-3573647.4990844727,702889.2636299133,-6322346.210479736,-13188201.904296875,-22488351.821899414,-27788545.608520508,-20008226.39465332,-18890785.217285156,-21211551.666259766,-7070106.506347656,-722372.3530769348,-4231338.977813721,-16708765.029907227,-25936403.274536133,-26654928.20739746,-17584571.838378906,-19238019.943237305,-19018899.91760254,-18192108.154296875,-15734776.496887207,-13747280.12084961,-21444717.407226562,-20925863.26599121,-20507801.055908203,-19913002.014160156,-19421720.504760742,-19055080.41381836,-16767343.521118164,-21181255.340576172,-21002906.799316406,-20973560.333251953,-16639616.012573242,-19012453.079223633,-14522226.333618164,-21355175.018310547,-25124708.17565918
0.045,429530.20334243774,-9827705.383300781,-7940852.165222168,-11254565.238952637,-12794880.867004395,-10377571.105957031,-10286327.362060547,-9570762.634277344,-12150339.126586914,-4836578.369140625,-8995448.112487793,-17977708.81652832,-17055500.030517578,-30940656.661987305,-15240751.266479492,-17151250.8392334,-8747488.021850586,-4206650.257110596,-3958094.1200256348,-5128407.4783325195,-21529216.766357422,-23546844.482421875,-31958480.834960938,-9591992.378234863,-13163901.329040527,-15653625.48828125,-2134508.1329345703,-234120.175242424,-7161831.855773926,-15331942.558288574,-26722404.47998047,-32622840.881347656,-21735237.12158203,-17855932.235717773,-18792501.44958496,-3667772.054672241,-858647.2868919373,-4191301.3458251953,-16943305.96923828,-28083293.914794922,-28673677.444458008,-16970657.348632812,-19328607.5592041,-18928798.67553711,-17426990.509033203,-14665034.294128418,-12218884.468078613,-21749378.204345703,-21284740.447998047,-20834035.873413086,-21370666.50390625,-20822095.87097168,-20315439.224243164,-15609125.137329102,-21511728.286743164,-21345905.303955078,-21415542.602539062,-19444780.349731445,-22080141.067504883,-13791875.839233398,-21617715.83557129,-27191120.147705078
