time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-53087.77093887329,-655598.3424186707,-759046.1373329163,687915.9212112427,-274334.28168296814,2264744.520187378,1662911.4151000977,607316.1959648132,657644.6294784546,684893.786907196,248848.5723733902,49129.56431508064,-1154109.001159668,-2185183.7635040283,2819566.7266845703,1696380.853652954,781718.7905311584,711799.681186676,736900.3295898438,364635.6463432312,63142.068684101105,-999306.6191673279,-1281421.5421676636,2806215.286254883,1925872.3258972168,894974.1125106812,234868.49665641785,170648.2768058777,-47928.668558597565,330051.60093307495,-119419.49278116226,-645875.5731582642,1265385.8661651611,1450708.270072937,706606.9841384888,78877.65765190125,161793.72370243073,-65864.9206161499,251871.4964389801,7117645.263671875,928806.483745575,1201697.3495483398,1267627.477645874,984291.0170555115,209429.59189414978,25479.618459939957,231866.34480953217,686391.8304443359,1370521.7838287354,394349.8730659485,1213268.6376571655,1196720.9577560425,1205875.7543563843,550957.5009346008,809811.8901252747,812958.3597183228,860939.9199485779,1243032.0978164673,1214193.7017440796,642574.4891166687,792036.6525650024,783059.1201782227
0.005,-22311536.78894043,-25857019.424438477,-27745012.283325195,-23511701.583862305,-33846832.275390625,-20686815.26184082,-23360378.26538086,-24983148.5748291,-23738554.000854492,-24399532.318115234,-29552370.071411133,-33230392.456054688,-34683818.81713867,-36254455.56640625,-1106917.7389144897,-25961688.995361328,-24301727.294921875,-24363138.19885254,-20604848.861694336,-24667520.52307129,-28149044.036865234,-28657867.431640625,-36447879.791259766,2557368.755340576,-24592418.670654297,-24728736.877441406,-23270639.419555664,-22572389.602661133,-24300407.40966797,-22420223.236083984,-25844995.498657227,-53535060.88256836,-19679836.27319336,-16168088.912963867,-21326322.555541992,-26470121.383666992,-22745475.76904297,-7055227.756500244,-29173366.54663086,160197662.35351562,-31639913.55895996,-20538867.950439453,-20263299.9420166,-25975931.16760254,-28034709.930419922,-25095739.364624023,-24688533.782958984,-15308819.770812988,-20237169.26574707,-34229976.654052734,-20105205.535888672,-20199178.69567871,-20497581.481933594,-18721752.166748047,-21726985.931396484,-21812255.859375,-21647758.48388672,-19444898.60534668,-20030351.638793945,-17026382.446289062,-21790586.471557617,-22234272.003173828
0.01,-31239618.3013916,-34438613.89160156,-37660121.91772461,-32203948.974609375,-45708137.51220703,-30346775.05493164,-33358764.6484375,-34361183.166503906,-32575439.453125,-32540061.950683594,-39490207.67211914,-45883911.1328125,-49168159.48486328,-51095851.89819336,-3094284.5344543457,-35981754.302978516,-33491733.55102539,-33660610.19897461,-28372476.57775879,-34191898.345947266,-40085330.963134766,-41358528.13720703,-52122436.5234375,1940202.1169662476,-35729740.142822266,-35277996.06323242,-32393569.946289062,-32490943.908691406,-35131725.3112793,-32139801.025390625,-38348197.93701172,-76732124.32861328,-29777786.254882812,-23896575.927734375,-32602821.350097656,-38236721.03881836,-32741210.9375,-9476367.950439453,-44359756.46972656,222378479.00390625,-45978351.59301758,-30864021.30126953,-30518209.45739746,-38308742.52319336,-40709033.96606445,-36827846.52709961,-36992279.052734375,-24173604.96520996,-29886766.43371582,-50027622.22290039,-30394800.186157227,-30261381.149291992,-30832408.905029297,-28675874.710083008,-33185844.42138672,-33318290.71044922,-32932601.928710938,-29436468.12438965,-30184061.05041504,-26427284.240722656,-33221595.764160156,-33660842.89550781
0.015,-27656044.006347656,-28638601.303100586,-32572868.34716797,-26500619.888305664,-38355876.92260742,-27144065.856933594,-28873416.900634766,-28780666.35131836,-27106346.130371094,-25560174.9420166,-32115741.729736328,-39903411.865234375,-46093391.41845703,-49190074.9206543,-3180489.5401000977,-29898563.385009766,-28279760.360717773,-28582002.639770508,-23841718.673706055,-29717878.341674805,-36938518.52416992,-40092960.357666016,-50282745.361328125,1075733.9000701904,-32437873.84033203,-31485990.524291992,-28598278.045654297,-30260972.97668457,-33173179.626464844,-29414581.298828125,-37559738.15917969,-71762641.90673828,-30025085.44921875,-22897037.506103516,-32768405.91430664,-36195888.51928711,-30498315.811157227,-8009747.505187988,-44526340.48461914,201875625.61035156,-42754474.63989258,-30885009.765625,-30535915.37475586,-37213878.6315918,-39078479.7668457,-35801685.33325195,-36434894.56176758,-25117004.39453125,-27726366.04309082,-47707344.05517578,-30618261.337280273,-30223381.04248047,-30886850.357055664,-29523826.599121094,-33791229.248046875,-33933300.01831055,-33371166.229248047,-29711853.02734375,-30263120.651245117,-27670478.82080078,-33778045.654296875,-33985309.60083008
0.02,-22542259.216308594,-23078695.29724121,-26897598.266601562,-19854005.813598633,-30342336.654663086,-22799074.172973633,-22951562.881469727,-22254659.65270996,-20845636.36779785,-18370094.299316406,-24641597.747802734,-32515300.750732422,-40445621.490478516,-46041275.02441406,-3847691.535949707,-23528812.408447266,-22750846.86279297,-23037517.547607422,-18644741.05834961,-24375946.044921875,-31773393.630981445,-36332912.44506836,-46570724.48730469,-555706.0241699219,-28199247.360229492,-26111913.681030273,-24513761.520385742,-26315977.096557617,-28979812.622070312,-24431402.2064209,-33355064.392089844,-62440460.205078125,-29904441.833496094,-22192138.671875,-30135168.075561523,-32542926.788330078,-26508890.15197754,-6676532.26852417,-39767284.39331055,174036514.28222656,-36499107.360839844,-30604612.350463867,-30207126.61743164,-34955741.88232422,-36025760.650634766,-32812519.073486328,-32502208.709716797,-22948236.4654541,-23369840.621948242,-42258071.89941406,-30404592.514038086,-30114316.940307617,-30632858.276367188,-28667943.954467773,-32341117.85888672,-32473079.681396484,-31969511.032104492,-29621591.567993164,-29984386.444091797,-27260950.088500977,-32348278.045654297,-32573795.318603516
0.025,-22510728.83605957,-24642467.498779297,-27252752.30407715,-20656303.40576172,-30742059.7076416,-25764026.641845703,-24885301.58996582,-23220855.712890625,-21880441.665649414,-19064100.26550293,-25156839.37072754,-32453216.552734375,-39677425.384521484,-47271343.23120117,-7475209.2361450195,-26581657.40966797,-25089157.104492188,-25214992.52319336,-19110345.8404541,-24936784.744262695,-31440479.278564453,-35748752.59399414,-47907367.70629883,-4141091.823577881,-31819534.301757812,-27454917.907714844,-26973680.49621582,-26822103.50036621,-28630676.26953125,-23169372.55859375,-32455638.885498047,-63114067.07763672,-34652019.50073242,-26511272.430419922,-31245542.526245117,-34196235.65673828,-26980024.337768555,-7236612.319946289,-38087379.455566406,177550888.06152344,-36439437.86621094,-35448688.50708008,-35016998.291015625,-38031906.12792969,-38373817.443847656,-34268524.169921875,-32079460.14404297,-22221406.936645508,-23773853.302001953,-43066673.278808594,-35158908.84399414,-35164142.60864258,-35507812.5,-30958131.790161133,-34677471.16088867,-34767669.677734375,-34469333.64868164,-34340038.29956055,-34739624.0234375,-29552610.397338867,-34746902.46582031,-35225662.23144531
0.03,-24925046.920776367,-27633293.15185547,-28374124.52697754,-25193613.052368164,-32887538.90991211,-32786254.8828125,-31504051.208496094,-27479692.459106445,-26061632.15637207,-22471221.923828125,-27046989.44091797,-33821479.79736328,-39489120.48339844,-46162971.49658203,-12850464.820861816,-33825122.83325195,-30399059.295654297,-30408605.575561523,-21270362.854003906,-26654268.264770508,-31926582.33642578,-35093097.68676758,-48617580.41381836,-9044750.213623047,-39251171.11206055,-31974105.834960938,-31094053.268432617,-28706907.272338867,-29324480.056762695,-23328666.68701172,-33536853.790283203,-67897789.00146484,-40426517.486572266,-31696111.67907715,-34818145.751953125,-37115810.39428711,-28847015.380859375,-8021031.379699707,-39208488.46435547,186767288.2080078,-39517749.78637695,-41326557.15942383,-40947490.69213867,-41677112.5793457,-41543075.56152344,-36949024.20043945,-33838115.69213867,-23534545.8984375,-27560033.798217773,-46787979.12597656,-41030616.760253906,-41029129.02832031,-41405456.54296875,-34556591.03393555,-38834415.435791016,-38843338.01269531,-38659179.6875,-40096038.818359375,-40601108.55102539,-32981544.494628906,-38908615.11230469,-39447135.92529297
0.035,-25706241.607666016,-26719141.006469727,-26301410.675048828,-26780525.20751953,-30595329.28466797,-35738975.524902344,-34635089.87426758,-28249517.4407959,-26765672.68371582,-21998619.079589844,-24398273.468017578,-30992494.583129883,-37011032.10449219,-40338714.599609375,-15887933.731079102,-36009571.07543945,-31175245.28503418,-31239683.151245117,-20206912.994384766,-24466075.897216797,-29433362.96081543,-32409900.665283203,-45264751.43432617,-12121570.587158203,-42179954.528808594,-32792949.676513672,-30563447.952270508,-27705247.87902832,-27725984.573364258,-22073749.542236328,-33564144.134521484,-67783874.51171875,-41957489.013671875,-32416088.104248047,-35978252.41088867,-36000221.252441406,-27854074.478149414,-7681409.83581543,-39711662.29248047,176573654.1748047,-40332618.713378906,-42793750.76293945,-42442558.28857422,-40475017.54760742,-40453445.43457031,-36314147.94921875,-33953826.904296875,-24916400.909423828,-30198034.286499023,-47825325.01220703,-42602977.75268555,-42282661.43798828,-42809230.80444336,-35755584.716796875,-40736812.591552734,-40681850.43334961,-40490543.365478516,-41689697.265625,-42141807.556152344,-34206459.045410156,-40767990.11230469,-41034343.71948242
0.04,-25305690.76538086,-24849805.83190918,-24975784.301757812,-25161357.879638672,-27967590.33203125,-32971431.732177734,-32342330.932617188,-25941093.44482422,-24422500.610351562,-19270677.56652832,-21212491.989135742,-27953788.75732422,-36547817.23022461,-37425849.91455078,-14846220.016479492,-32491950.98876953,-27896390.914916992,-28095542.907714844,-17522851.943969727,-21054962.158203125,-27058553.69567871,-31286111.83166504,-43077110.290527344,-11558619.499206543,-39305843.353271484,-29673431.396484375,-26933254.24194336,-25215370.178222656,-25796419.143676758,-21035106.658935547,-33008979.79736328,-64355773.92578125,-39969337.463378906,-29849327.087402344,-33523921.966552734,-32477298.736572266,-25406642.91381836,-7237654.685974121,-38915172.5769043,164311187.74414062,-39461257.93457031,-40707252.502441406,-40257152.55737305,-37015762.32910156,-37479267.12036133,-33600711.822509766,-32320640.563964844,-24797885.89477539,-30144464.49279785,-46942558.28857422,-40553794.860839844,-40079505.920410156,-40572349.548339844,-34015987.396240234,-40041202.545166016,-40010925.29296875,-39867637.634277344,-39785511.0168457,-40096298.21777344,-32631134.033203125,-40105003.356933594,-40104827.880859375
0.045,-25728883.743286133,-26281085.968017578,-28001968.383789062,-24618654.251098633,-30428915.02380371,-30308309.55505371,-29815477.37121582,-25458751.678466797,-23910135.26916504,-19487939.834594727,-22921260.833740234,-30140268.325805664,-40828327.17895508,-42362552.642822266,-13021760.940551758,-29751426.696777344,-26422414.779663086,-26666612.62512207,-17565834.045410156,-21484954.833984375,-28687948.22692871,-34117465.97290039,-46172546.38671875,-9972962.379455566,-36302196.50268555,-27776897.430419922,-25924304.962158203,-24986440.658569336,-26621698.3795166,-22398410.79711914,-33662216.18652344,-63479351.04370117,-38669452.66723633,-28965106.964111328,-31015310.287475586,-31186185.836791992,-25218540.19165039,-7847085.475921631,-38222850.79956055,173663192.74902344,-39913490.295410156,-39403156.28051758,-38878852.84423828,-36801689.14794922,-36956111.907958984,-32321304.321289062,-31234256.744384766,-23180856.704711914,-28725984.573364258,-47330127.71606445,-39199447.63183594,-38931648.25439453,-39156044.006347656,-31179927.825927734,-38856636.04736328,-38909214.01977539,-38920246.12426758,-38448757.17163086,-38796863.5559082,-29867782.592773438,-39057788.84887695,-39091922.760009766
