time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,4757172.107696533,4674220.561981201,4379382.610321045,4002586.3647460938,3907326.2214660645,4156917.095184326,3746479.5112609863,3681200.2658843994,3709937.09564209,3543911.2186431885,3408461.570739746,3507313.013076782,3256880.283355713,4026293.2777404785,3460319.5190429688,3383309.841156006,3558329.5822143555,3698483.943939209,3094251.6326904297,2658328.056335449,3106803.8940429688,2387777.090072632,2648794.412612915,3288345.8137512207,2480447.292327881,2437277.5554656982,2845487.356185913,1920294.2848205566,2218221.1875915527,2554629.325866699,2592401.5045166016,2316932.439804077,2732636.2133026123,2444241.523742676,2448151.8268585205,2211544.5137023926,2393296.718597412,2364636.6596221924,2208572.8645324707,2292097.0916748047,2178534.746170044,2722419.261932373,2751518.964767456,2442458.8680267334,1957490.32497406,2744373.7983703613,2688112.497329712,2315001.4877319336,2093031.406402588,2476299.524307251,2576960.563659668,2572234.630584717,2580352.544784546,1852750.301361084,2195003.9863586426,2108899.8317718506,2059014.7972106934,2594502.9258728027,2575966.3581848145,2663507.4615478516,1960324.764251709,2166157.4840545654
0.005,-7900839.805603027,-7008235.931396484,-37500476.8371582,10017714.500427246,1501537.799835205,-914004.9815177917,7312179.088592529,7896254.062652588,5317190.647125244,2575911.045074463,-569168.6272621155,-1153595.209121704,-8621876.71661377,-6347513.675689697,1745711.8034362793,5527077.198028564,5071971.416473389,6680297.8515625,4308062.553405762,1405606.1506271362,-4317082.405090332,-10129043.579101562,-10240152.359008789,1628881.9313049316,592339.6944999695,-1842274.54662323,309900.76065063477,-277299.1359233856,-1852777.123451233,-3996798.9921569824,-6476814.746856689,-14589639.663696289,-7302501.201629639,-4566310.405731201,-3683862.9245758057,2354820.0130462646,603699.266910553,3860006.332397461,-4487954.139709473,-7545526.027679443,-9160273.551940918,-7406426.906585693,-7328658.580780029,-4804432.392120361,-3968457.6988220215,-2800411.2243652344,-2332816.1239624023,-3604457.8552246094,-6797642.707824707,-9441664.695739746,-5527150.1541137695,-6828165.531158447,-5751130.5809021,-797801.3753890991,-2764079.809188843,-4487931.251525879,-4977246.284484863,-5570465.564727783,-5108067.035675049,-3229819.5362091064,-1668288.9461517334,-4500503.063201904
0.01,-11311619.758605957,-10912520.408630371,-49316490.173339844,12001504.898071289,4881072.998046875,-3653902.530670166,8626526.832580566,9470255.851745605,6088841.915130615,5139099.12109375,1855919.599533081,2103069.78225708,-7206652.641296387,-2990518.569946289,69885.84995269775,6389633.655548096,5827816.009521484,7831211.090087891,6993989.944458008,3410175.085067749,-2642772.912979126,-9540307.04498291,-9192045.211791992,-154547.3039150238,372092.96226501465,-2603678.2264709473,-150612.07115650177,3232253.7899017334,-1084815.1445388794,-2889863.967895508,-5353716.850280762,-15928247.451782227,-10080500.602722168,-5786918.163299561,-4564677.2384643555,3562848.3295440674,1821824.312210083,4807841.777801514,-3726706.7432403564,-7797606.468200684,-9763612.747192383,-10183399.200439453,-10129339.218139648,-6006606.578826904,-4315402.984619141,-2204723.119735718,-1744745.7313537598,-2755130.7678222656,-7272996.90246582,-11668861.389160156,-6444443.702697754,-8169878.959655762,-6683892.250061035,911677.4797439575,-1877938.5089874268,-4452690.601348877,-6137468.8148498535,-6579427.719116211,-5894999.5040893555,-2880019.6647644043,-329605.46016693115,-4052257.537841797
0.015,-7043501.377105713,-8336617.469787598,-39808185.57739258,11239905.35736084,9061997.413635254,1146322.6079940796,9035332.679748535,9713378.90625,6718791.0079956055,8633662.223815918,6255046.367645264,7144006.252288818,-387361.88411712646,6314484.596252441,2958303.928375244,8450156.211853027,6583339.691162109,8071527.481079102,8850466.72821045,5887076.854705811,1855031.2519073486,-3080745.4586029053,-2510592.6990509033,2318437.8147125244,3457637.071609497,242683.3063364029,865992.00963974,9456713.676452637,1126248.4788894653,392910.83812713623,6689.070258289576,-9110953.330993652,-4848529.33883667,-1596623.5399246216,-589892.3873901367,5068751.811981201,3417765.1405334473,4364482.402801514,-371256.35147094727,-3611778.0208587646,-4749311.923980713,-4916052.341461182,-4941376.686096191,-1698806.2858581543,-868621.8857765198,900391.2806510925,915260.7321739197,110970.21400928497,-3279796.838760376,-7070277.690887451,-580738.9616966248,-2019889.5931243896,-715810.6565475464,5657887.4588012695,2105203.151702881,155403.5097360611,-1786775.5889892578,-742617.130279541,-119238.10839653015,2148808.240890503,4643512.725830078,2386905.9085845947
0.02,-2372565.507888794,-5940030.574798584,-38074802.39868164,12376227.378845215,5880852.699279785,16787282.943725586,11783753.395080566,12157802.58178711,8910242.080688477,8324392.318725586,4463233.947753906,3602566.2422180176,-4205922.1267700195,4953198.9097595215,14040002.822875977,14641580.581665039,8981960.29663086,10037367.820739746,7334259.510040283,4395040.988922119,-1597293.9729690552,-5786260.604858398,-6848200.798034668,12554776.191711426,9359541.893005371,3669155.8361053467,1603445.8875656128,11201564.78881836,-768390.5959129333,-3051711.320877075,-2148259.401321411,-10796865.463256836,2893052.339553833,2819364.309310913,3483367.443084717,5449747.085571289,1823739.0518188477,2687664.50881958,-2760943.88961792,-5243420.124053955,-5273429.393768311,2789013.385772705,2732792.854309082,2610615.4918670654,510060.8468055725,-460688.5313987732,-429856.7473888397,-2722541.332244873,-3191450.595855713,-4138710.9756469727,5686920.166015625,4452937.602996826,5545999.526977539,8784621.238708496,3029095.17288208,3352345.9434509277,3615488.290786743,5685337.066650391,6133379.4593811035,5900582.313537598,8450625.4196167,8516234.397888184
0.025,444672.8527545929,-6728661.060333252,-51099815.368652344,17010643.005371094,-2999875.545501709,37725906.37207031,17267396.926879883,17490280.151367188,13073684.692382812,4702823.162078857,-2513916.9692993164,-6300295.352935791,-18132860.18371582,-7338936.805725098,28470888.137817383,22800525.665283203,13283836.364746094,14422086.715698242,4420764.446258545,168459.77306365967,-10255377.769470215,-17003349.30419922,-21299831.39038086,25787231.4453125,14498854.637145996,5106960.773468018,1983042.2401428223,7458838.939666748,-4867930.4122924805,-10216828.346252441,-10810530.662536621,-21033960.342407227,7175855.63659668,3919226.4080047607,4477730.751037598,4891722.202301025,-821220.4575538635,1581459.403038025,-8476407.051086426,-11436875.343322754,-10968001.365661621,7010439.395904541,7035580.635070801,3396562.5762939453,-1585949.3017196655,-4987779.140472412,-3609496.1166381836,-8356246.9482421875,-6272970.199584961,-4248799.3240356445,7469063.282012939,6057790.279388428,7219502.925872803,8821819.305419922,1121414.7806167603,4202974.796295166,6885991.57333374,7752765.655517578,8073840.141296387,6187712.669372559,9314699.172973633,10795104.98046875
0.03,3522712.469100952,-9138258.934020996,-61949485.778808594,21680242.53845215,-9095951.080322266,52468376.15966797,21966445.922851562,22254684.448242188,17091985.70251465,2300946.7124938965,-6792777.538299561,-11914337.158203125,-28393686.294555664,-16689199.447631836,36612773.89526367,27270126.342773438,17396959.30480957,18575227.737426758,3918131.8283081055,-1982906.5799713135,-13385457.992553711,-24107696.533203125,-31496294.021606445,32837131.50024414,15603043.556213379,5056520.938873291,3065992.832183838,4008881.5689086914,-5457006.931304932,-11942808.151245117,-16075284.957885742,-27327714.920043945,6365151.882171631,2952659.3685150146,3637388.4677886963,4882310.86730957,-139649.71899986267,2270122.0512390137,-9424309.730529785,-13789002.418518066,-13818525.314331055,6267480.850219727,6388517.379760742,2243707.6568603516,-2990236.759185791,-5534120.559692383,-2025115.4899597168,-8438981.056213379,-6590785.980224609,-4203769.683837891,5018738.746643066,3439650.058746338,4800177.097320557,8574320.793151855,1193424.3440628052,5097880.840301514,6550880.432128906,5478350.1625061035,5776906.490325928,5138760.566711426,8628424.644470215,9529731.750488281
0.035,5907444.477081299,-11925837.516784668,-61995437.62207031,22603847.50366211,-9947975.158691406,55164039.611816406,22638868.33190918,23078365.325927734,18225372.314453125,2620534.1815948486,-6062929.630279541,-11059752.464294434,-30483089.447021484,-17602592.46826172,35384620.666503906,25993190.76538086,18809087.7532959,19465707.778930664,5561224.460601807,-1381341.814994812,-10631684.303283691,-24056867.599487305,-33574825.286865234,31197799.682617188,13538624.76348877,5537127.494812012,4422691.345214844,4555197.715759277,-3173672.676086426,-9015415.19165039,-16396665.573120117,-27485460.28137207,3151782.989501953,2775993.1087493896,3593223.0949401855,5786281.108856201,2751784.086227417,3177552.4616241455,-6555015.087127686,-12420939.445495605,-13813519.477844238,3258833.408355713,3319547.176361084,2177832.3650360107,-1020063.9963150024,-982538.3424758911,3515472.412109375,-3990600.109100342,-5486974.716186523,-5722465.991973877,1389796.0186004639,-52616.39505624771,1433104.2766571045,10029541.969299316,3376471.2810516357,4760573.863983154,1495961.1892700195,1804889.9173736572,2152449.369430542,3944619.655609131,6881514.549255371,5318399.429321289
0.04,4523583.889007568,-14489066.123962402,-60505744.93408203,20302019.119262695,-10300193.786621094,51238632.20214844,20081272.12524414,20599969.8638916,16216501.235961914,2943718.194961548,-5362833.499908447,-11097217.559814453,-32400600.43334961,-17491928.100585938,31253681.182861328,22729576.110839844,17257238.388061523,17264400.482177734,5801723.957061768,-1791873.812675476,-11294898.986816406,-25425060.272216797,-36614227.294921875,27403999.32861328,11841834.06829834,6695847.988128662,4236610.889434814,6462943.553924561,-3788811.9220733643,-10193578.720092773,-18791400.909423828,-30441850.662231445,1244475.3646850586,3746367.931365967,4568031.311035156,6207723.140716553,2874108.7913513184,1833502.5310516357,-7958633.899688721,-14614303.588867188,-17476139.068603516,1496573.2097625732,1335928.6785125732,3368676.6624450684,1591366.4102554321,2194749.8321533203,5453011.035919189,-3963683.605194092,-9036028.861999512,-11954680.442810059,-733442.6641464233,-1969892.978668213,-445740.6997680664,11484570.503234863,2897941.1125183105,491913.88487815857,-6192820.5490112305,-409526.4673233032,-34490.99138379097,2020188.570022583,3900474.3099212646,-430043.488740921
0.045,964833.8556289673,-14187709.80834961,-63003704.07104492,18257606.506347656,-11856849.670410156,49504856.10961914,17723537.44506836,18195358.276367188,13667943.000793457,1892593.502998352,-7122001.171112061,-14550295.82977295,-36979965.20996094,-19493181.228637695,30935113.90686035,21471138.00048828,14849634.170532227,14949739.456176758,3741119.384765625,-4505328.178405762,-17180360.794067383,-30549507.14111328,-42808322.90649414,27582614.89868164,11866177.558898926,6482509.136199951,2047102.928161621,6260869.979858398,-8022819.519042969,-16283075.332641602,-23824060.440063477,-36784194.94628906,2042006.7310333252,3966003.179550171,4734797.00088501,5055776.119232178,-320888.1616592407,-1299368.0238723755,-14007292.747497559,-20093675.61340332,-23343200.68359375,2244266.2715911865,1911787.509918213,3690821.886062622,1137182.7125549316,228622.04909324646,1556795.0010299683,-10045500.755310059,-15332406.044006348,-17930297.8515625,-374264.9257183075,-1626643.7768936157,-141351.3720035553,10698186.874389648,-1166265.368461609,-4459052.562713623,-9790347.0993042,-220.05478967912495,313800.4243373871,286713.74917030334,1859209.5375061035,-3649603.1284332275
