time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-1929001.5697479248,-1568099.1411209106,-2470086.8129730225,-1190662.0264053345,-1400324.7022628784,-12961671.829223633,-1278809.5474243164,-1174561.2621307373,-1574163.556098938,-71126.02144479752,-1106186.866760254,43632.02303647995,-5247475.147247314,-5135893.34487915,-10786141.395568848,-7028332.233428955,-413143.8434123993,229543.22397708893,268924.355506897,267837.37540245056,2285374.879837036,-10472435.95123291,-4890974.998474121,-13528062.82043457,-3401912.9276275635,188312.70933151245,-563833.8923454285,890769.8392868042,-198835.93916893005,400592.6847457886,-7125644.207000732,-4659652.7099609375,-6570631.980895996,-2500473.4992980957,-330902.5466442108,-493504.01759147644,32264.1059756279,-454177.94585227966,-445295.8106994629,-3169872.999191284,-3459813.117980957,-2579538.106918335,-870815.7539367676,-373440.2060508728,-733361.4230155945,-1225933.55178833,-505989.3727302551,-3125701.427459717,-3161640.405654907,-3243457.078933716,-837185.6808662415,-875202.7750015259,-855070.4121589661,-1209834.8140716553,-3098589.6587371826,-3153191.566467285,-3186503.8871765137,477379.59027290344,-795683.0263137817,-1177455.4252624512,-3060630.7983398438,-3083498.001098633
0.005,647403.4786224365,-1691482.5439453125,-940451.3239860535,6042755.603790283,5367541.790008545,5187045.574188232,2927626.848220825,3426126.24168396,2813906.192779541,1034120.4404830933,3965584.7549438477,2153116.464614868,-2158458.709716797,-943404.4361114502,-5489476.203918457,8542116.165161133,-468199.55110549927,957539.2007827759,715795.0401306152,383204.48994636536,4297626.495361328,4896309.375762939,-1488899.3501663208,-58211112.97607422,160756.4389705658,309010.773897171,1075713.7537002563,-156680.94158172607,912700.7722854614,-605485.0816726685,-55674.2437183857,-2213304.7580718994,-15772133.827209473,-4508163.4521484375,573049.0684509277,997447.0734596252,586821.2580680847,3403365.8504486084,-410781.592130661,-3521968.364715576,-4328402.042388916,-728019.5355415344,1813046.6938018799,2405357.3608398438,1217671.8711853027,972680.6879043579,3249803.066253662,-3410377.025604248,-4026876.449584961,-4159390.449523926,1651739.8357391357,1455247.6406097412,1567450.2849578857,635960.4597091675,-4343544.960021973,-4606961.727142334,-4079422.4739074707,757476.5086174011,1817712.903022766,1328320.3840255737,-2826740.026473999,-4027620.792388916
0.01,-2122021.436691284,-4695487.976074219,-3622636.556625366,7077460.289001465,4971904.754638672,19200365.06652832,3360460.9966278076,4066774.368286133,3349624.3953704834,-678674.3402481079,2844158.887863159,-162470.7579612732,2168433.666229248,4054129.6005249023,2217029.571533203,18848701.47705078,-1972925.9014129639,-327602.65469551086,-1371691.2269592285,-1641149.640083313,1550760.1499557495,19288393.020629883,3215670.585632324,-68210029.60205078,2221673.4886169434,-445535.1233482361,1543822.169303894,-1398953.3185958862,983848.512172699,-1944063.425064087,8037347.793579102,2035467.8630828857,-15755721.092224121,-3053126.096725464,1385458.3501815796,2313229.560852051,888995.4090118408,5737454.414367676,-58433.908969163895,-967439.1150474548,-1883503.0794143677,3289951.0860443115,5129026.412963867,5449754.71496582,4098270.4162597656,3702215.6715393066,5407879.35256958,-828269.8392868042,-1705229.7592163086,-1891022.2053527832,5102044.582366943,4801917.552947998,4775758.743286133,3275236.8450164795,-2138246.536254883,-2456543.207168579,-1795221.0903167725,-341236.4721298218,4846695.899963379,4227047.443389893,-138073.07183742523,-1897760.7488632202
0.015,-9691397.666931152,-9904472.351074219,-9497364.99786377,3096146.34513855,-850495.2192306519,25443819.046020508,1109509.3488693237,1823964.238166809,937407.7916145325,-3991796.4935302734,-2595555.7823181152,-5273510.932922363,5673838.6154174805,7827862.739562988,9122430.801391602,22224834.442138672,-3707249.164581299,-2736459.732055664,-4874447.345733643,-4771878.719329834,-3601768.970489502,27717523.5748291,7086497.783660889,-51091693.87817383,1936164.379119873,-1315697.0739364624,1370813.8465881348,-2647073.268890381,44807.50113725662,-3187709.093093872,13903507.232666016,6011108.875274658,-10542377.471923828,-239248.3800649643,1780089.8551940918,3109937.1910095215,930128.0379295349,6103756.904602051,293469.28000450134,2742165.0886535645,2033963.680267334,6513802.528381348,6993309.497833252,7063683.50982666,6516617.298126221,5706616.401672363,5581520.557403564,2891822.576522827,2151985.4068756104,1805693.0303573608,7311178.684234619,6986268.997192383,6678236.961364746,5361342.430114746,1774539.828300476,1509293.1985855103,1929745.6741333008,-2858767.509460449,6713876.247406006,6255697.727203369,3347348.928451538,1661401.9870758057
0.02,-15485058.784484863,-12364112.854003906,-12336669.921875,882528.6626815796,-3640593.7671661377,22870708.465576172,457615.4053211212,1107888.8177871704,-243139.386177063,-5190670.013427734,-4760507.583618164,-7112743.854522705,5454097.747802734,7718751.430511475,9712737.083435059,20549478.53088379,-3302870.750427246,-3554920.434951782,-6245602.607727051,-5853109.836578369,-4467421.054840088,25574932.098388672,7056962.966918945,-41067756.65283203,-227264.28508758545,-839681.86378479,1673051.5956878662,-3230279.4456481934,-782767.5938606262,-3249028.444290161,13248928.07006836,6275352.001190186,-10514190.673828125,-376258.7904930115,1619354.3672561646,3140211.582183838,846776.8430709839,5227746.963500977,244699.09071922302,3590415.7161712646,3034189.7010803223,4968395.233154297,5382225.513458252,5800374.507904053,6436550.140380859,5400118.827819824,4626426.696777344,3772386.7893218994,3337792.6349639893,2712814.8078918457,5872632.026672363,5587320.804595947,5139293.670654297,5053800.582885742,2931041.955947876,2693351.2687683105,2871210.813522339,-5125003.337860107,5837206.840515137,5962398.052215576,4041816.234588623,2625761.2705230713
0.025,-13888062.477111816,-7684985.637664795,-7557102.680206299,4252377.033233643,1155709.6242904663,14093957.901000977,2947924.3755340576,3590066.909790039,1794610.2619171143,-2927296.1616516113,-81491.83541536331,-2772442.579269409,1937896.966934204,4165263.6528015137,3201997.995376587,16387184.143066406,-780593.991279602,-1900869.2502975464,-4013761.043548584,-3616214.7521972656,1133079.6480178833,15258518.21899414,3509090.4235839844,-52618610.38208008,-2998079.0615081787,1013831.2578201294,2237946.2718963623,-2550507.3070526123,-453334.18250083923,-1565158.3671569824,6742764.472961426,2830139.636993408,-17249858.856201172,-3449445.962905884,1293847.680091858,2598386.287689209,709765.4342651367,4178047.1801757812,80195.27792930603,793534.8153114319,198633.87942314148,161753.29685211182,2038816.4520263672,3235174.8943328857,4239462.852478027,3258747.5776672363,3645299.6730804443,1034695.029258728,719012.4988555908,-67129.55981492996,2395451.545715332,2168970.1080322266,1840590.5961990356,2800118.923187256,173073.1725692749,-64378.976821899414,63358.135521411896,-5450216.770172119,3281760.6925964355,3922578.5732269287,1331506.9675445557,83091.69113636017
0.03,-7292567.253112793,1448742.8665161133,1023506.1645507812,9602290.153503418,8455319.40460205,3925347.089767456,5350635.528564453,6089744.567871094,4699090.480804443,130626.08242034912,6406460.285186768,3269551.7539978027,-1755201.3397216797,197185.75477600098,-5497769.832611084,11439216.613769531,1131247.7588653564,-41327.498853206635,-805941.5817260742,-584955.8115005493,7761489.391326904,4757867.336273193,-295913.9049053192,-68756507.87353516,-5701184.272766113,2656424.7608184814,2080412.6262664795,-1055014.3718719482,697659.4924926758,681340.9924507141,-175193.6674118042,-1084551.453590393,-23037986.755371094,-5700715.065002441,1242303.3714294434,2033063.4117126465,552974.1048812866,3595329.523086548,280750.1554489136,-2643002.2716522217,-3320513.4868621826,-2835817.813873291,525791.4066314697,2237316.131591797,2471666.8128967285,1419099.21169281,3177243.47114563,-2311601.6387939453,-2860618.829727173,-3490269.422531128,678100.049495697,468608.94560813904,350017.6668167114,906266.987323761,-3473315.2389526367,-3650142.9080963135,-3483474.016189575,-4424185.276031494,1440676.4507293701,2168369.5316314697,-1985113.9783859253,-3136425.256729126
0.035,-3852834.463119507,6511956.691741943,4251798.629760742,10789669.99053955,9889524.459838867,-3109116.554260254,4196450.710296631,5086808.204650879,5061456.680297852,483030.9748649597,7329175.4722595215,3999785.900115967,-3810096.9791412354,-2168112.5164031982,-11098095.893859863,7280498.504638672,299798.96545410156,-627274.0960121155,-429791.2120819092,-398691.47539138794,8903331.756591797,-327712.17823028564,-2364241.600036621,-71838508.60595703,-8491316.795349121,2836515.9034729004,1278468.2512283325,-319866.2996292114,1111629.1284561157,1227252.0065307617,-3355103.2543182373,-3209349.3938446045,-23363733.291625977,-5517928.123474121,1401270.1511383057,1927968.144416809,501279.65211868286,3661702.3944854736,569218.8739776611,-4180309.772491455,-4923825.740814209,-2352202.4154663086,1563553.9293289185,3254576.9214630127,2900301.933288574,1364869.236946106,3296843.2903289795,-3727423.667907715,-4648881.912231445,-5007762.432098389,1677835.1068496704,1403528.5711288452,1366494.059562683,897818.2673454285,-5207079.887390137,-5293419.361114502,-5102683.544158936,-4272686.958312988,993506.4911842346,2006461.8587493896,-3547243.356704712,-4589827.537536621
0.04,-7463235.378265381,3107889.413833618,-1156997.799873352,6641989.231109619,4105082.5119018555,-3862640.380859375,549723.6251831055,1510565.6385421753,2267710.6857299805,-2683295.965194702,1871435.1654052734,-1822961.688041687,-4489989.757537842,-2851638.078689575,-11379865.646362305,6060054.779052734,-2451160.9077453613,-3554888.2484436035,-3738609.0755462646,-3800564.765930176,4369044.780731201,-213683.56049060822,-2935902.1186828613,-65163963.317871094,-10738274.574279785,1970777.5115966797,804807.3649406433,-1657572.5078582764,-222945.898771286,-810563.0278587341,-3045560.598373413,-3607336.0443115234,-21432081.22253418,-4644920.825958252,1581341.8626785278,2413284.7785949707,666783.0944061279,4445639.610290527,277795.4339981079,-3830467.2241210938,-4739183.42590332,-620755.9108734131,3233886.480331421,4609909.0576171875,5204165.935516357,3204622.983932495,4069580.554962158,-3310577.154159546,-4351183.891296387,-4726403.23638916,3447169.303894043,3051598.310470581,2944070.1007843018,2753759.1457366943,-4873854.160308838,-4976893.424987793,-4737575.531005859,-5217096.80557251,1330908.5369110107,3605805.6354522705,-3289299.0112304688,-4256973.743438721
0.045,-13206828.117370605,-3329226.016998291,-8193543.434143066,1566386.9380950928,-2189203.2623291016,1930470.9434509277,-1635365.7245635986,-781680.8223724365,-1550394.4158554077,-7358422.27935791,-3908051.7292022705,-8390431.40411377,-3917526.7219543457,-1982874.1550445557,-6868231.296539307,8852006.912231445,-4727088.451385498,-6425771.713256836,-7990185.737609863,-7969233.03604126,-528362.1549606323,2568371.295928955,-2254764.0800476074,-59891796.11206055,-10725030.899047852,1242666.244506836,789047.1816062927,-4583735.466003418,-2459293.6038970947,-3682857.036590576,-1361047.5063323975,-2641388.6547088623,-20403247.833251953,-4036515.235900879,2012529.6115875244,3233422.040939331,940252.4828910828,5788048.267364502,-534285.3665351868,-2401698.112487793,-3586370.7065582275,1443885.8032226562,4884652.614593506,5764729.4998168945,8169046.401977539,6472793.5791015625,5401296.615600586,-2000362.1578216553,-2796212.673187256,-3496160.0303649902,5175923.3474731445,4692239.761352539,4507932.662963867,5971959.590911865,-3344794.988632202,-3590003.01361084,-3277542.3526763916,-4435056.686401367,2904806.8523406982,6790369.510650635,-1902881.8607330322,-2870221.8532562256
