time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,631216.5260314941,865346.3125228882,677212.119102478,-85799.2023229599,-48859.51057076454,874399.9004364014,-3608762.264251709,-1718968.152999878,250233.85882377625,455439.7761821747,-253695.69659233093,-325586.55738830566,-355474.71046447754,-409998.8341331482,773768.1865692139,-1935677.0515441895,1436526.5369415283,786841.869354248,-271764.72544670105,-288709.6405029297,-349074.0656852722,-350777.5664329529,-518095.0164794922,-1753911.852836609,-220308.15482139587,-984849.6317863464,9999.386966228485,1583303.5707473755,644337.4156951904,300976.12738609314,904477.4770736694,-12737.254612147808,-554537.5347137451,-497249.7522830963,-129526.09360218048,-2214622.4975585938,88705.874979496,373645.75266838074,342870.71228027344,-553976.5357971191,-1557404.2797088623,480853.6171913147,-397322.6249217987,-455681.05578422546,-227850.21364688873,-768594.4437980652,-88354.13306951523,442915.02237319946,-177522.4357843399,-264481.8425178528,1599748.7306594849,1553447.2465515137,1108106.6131591797,-705533.9217185974,383108.0198287964,373628.07989120483,586662.769317627,1330665.4691696167,1000508.5468292236,-316048.41351509094,408862.97821998596,417243.4210777283
0.005,16316871.643066406,18576335.906982422,6156978.607177734,-3525687.2177124023,4308960.437774658,1641641.2591934204,-13816539.764404297,-11102053.64227295,-1056567.668914795,-1528652.6679992676,-1918316.6027069092,-3176248.073577881,-3493656.3968658447,-4405263.423919678,4494843.95980835,-8235630.989074707,1689261.6748809814,-549230.7543754578,2654498.1002807617,2330916.166305542,1731786.2510681152,-3798078.2985687256,-4322252.7503967285,-18191762.924194336,-1996896.1477279663,-5069969.177246094,1042168.140411377,4908127.784729004,-2568198.4424591064,2810833.45413208,-1165313.482284546,5415492.534637451,-4574340.8203125,272650.5696773529,-1514160.2754592896,-276955.15751838684,1202725.4104614258,4185752.8686523438,3761650.562286377,2615640.878677368,-6101266.860961914,-8191411.018371582,-3516288.5189056396,-3648961.5440368652,3686077.356338501,113430.50003051758,4846630.096435547,8693858.14666748,3857920.1698303223,929786.0264778137,2163327.217102051,648775.1603126526,1214947.3428726196,1774417.8771972656,7896979.808807373,7818607.330322266,-1737318.992614746,-1160223.6032485962,423777.34184265137,1015488.5053634644,7633754.730224609,8146637.916564941
0.01,20174430.84716797,20426181.79321289,6070126.056671143,-8562021.255493164,1707662.4631881714,-4333735.466003418,-19232807.159423828,-16483922.958374023,-3487195.7302093506,-4798882.007598877,-8142571.449279785,-10209993.362426758,-10772974.014282227,-11920554.161071777,412014.27578926086,-12325719.833374023,-1416471.6005325317,-1809229.850769043,1214054.2268753052,940748.3339309692,20211.25890314579,-11138817.78717041,-12825556.755065918,-29102087.020874023,-6495420.455932617,-5040952.682495117,942624.4497299194,4452703.952789307,-5954827.785491943,744339.1680717468,-6178881.645202637,-213933.61687660217,-10713598.251342773,-2146841.526031494,-2131901.741027832,866347.9089736938,1620900.3925323486,2681210.0410461426,1968544.9600219727,233248.2784986496,-10728408.813476562,-13365814.208984375,-4838165.760040283,-5230897.426605225,4837738.990783691,-589830.5773735046,3425616.979598999,8690278.053283691,1339298.129081726,-2462825.059890747,1772129.1780471802,-528898.9543914795,-1621586.561203003,1800492.286682129,6087458.610534668,5981655.120849609,-6614593.982696533,-5810892.581939697,-2909916.877746582,-636102.2591590881,5662687.301635742,6409365.177154541
0.015,15076700.210571289,12582589.149475098,2739753.9615631104,-11979204.177856445,-3504577.63671875,-11823939.323425293,-19215818.405151367,-17017107.009887695,-5018266.677856445,-6136505.603790283,-14403573.989868164,-16876924.514770508,-17508123.39782715,-18463729.858398438,-6873965.740203857,-14348256.11114502,-5096540.927886963,-2319965.362548828,-1928888.440132141,-1914479.6133041382,-2861750.602722168,-17764808.654785156,-20605854.034423828,-31729883.193969727,-10602279.663085938,-2108649.969100952,399133.6524486542,2568377.0179748535,-7822979.927062988,-3723484.992980957,-10914590.835571289,-10362285.614013672,-15657416.343688965,-4927885.53237915,-1393910.1696014404,1336658.000946045,1388509.3927383423,-2020959.6157073975,-2740518.569946289,-4482606.887817383,-14352095.603942871,-14505907.05871582,-4081716.537475586,-4771551.609039307,3700342.893600464,-2293251.9912719727,-2167351.007461548,2722572.3266601562,-4510283.470153809,-7049273.0140686035,446075.975894928,-1795910.5968475342,-5489376.068115234,-51198.527216911316,-1450939.655303955,-1479504.942893982,-11892166.137695312,-10716383.934020996,-7212754.726409912,-3885692.358016968,-1911873.698234558,-1158244.4906234741
0.02,11797443.389892578,10441527.366638184,2572327.8522491455,-11582326.889038086,-3169409.2750549316,-12965581.893920898,-17697746.27685547,-15754797.93548584,-4445260.524749756,-3548203.706741333,-13760832.786560059,-16200353.622436523,-16681339.263916016,-17616188.049316406,-8809141.159057617,-16004150.390625,-5685462.474822998,-2108831.8824768066,-1978554.2488098145,-1818184.733390808,-2611033.6780548096,-16925676.345825195,-19531642.91381836,-29504335.403442383,-11017014.503479004,-663065.6719207764,480182.4688911438,3215414.524078369,-6750948.429107666,-5002695.560455322,-9949630.737304688,-10964962.005615234,-16326143.264770508,-4743199.825286865,-395966.47024154663,1490584.9695205688,1168542.1466827393,-3755965.4712677,-4172897.3388671875,-4184272.289276123,-14268614.768981934,-14142171.859741211,-3820384.740829468,-4550437.450408936,2481789.3505096436,-3281423.330307007,-4893771.648406982,-286541.4023399353,-5523417.949676514,-5918582.439422607,-1778169.03591156,-3526971.5785980225,-7452217.578887939,-1421492.2189712524,-4497470.855712891,-4367186.069488525,-13135286.331176758,-13066791.534423828,-9484786.033630371,-5368968.486785889,-4951472.759246826,-4210825.9201049805
0.025,13072049.140930176,14617397.30834961,7020596.027374268,-11669751.167297363,1692750.9307861328,-11091233.253479004,-18887899.39880371,-16511240.005493164,-4932450.294494629,-1712139.8448944092,-7937834.2628479,-9640661.239624023,-9946268.081665039,-11137523.651123047,-7057248.592376709,-18016588.21105957,-5595776.557922363,-2577494.8596954346,-65309.3159198761,-4118.644166737795,-675411.1051559448,-10349512.100219727,-11442471.504211426,-29744489.669799805,-10900963.78326416,-2209067.5830841064,671341.3596153259,4995484.828948975,-4297389.507293701,-1835647.9406356812,-3595624.2084503174,-1255209.6843719482,-16091033.935546875,-4341117.382049561,-1525597.2146987915,985289.454460144,1428220.1528549194,-734091.8183326721,-826582.3721885681,2099798.4409332275,-8568114.280700684,-14692435.264587402,-7145016.193389893,-7653998.374938965,1806920.5284118652,-2862940.788269043,-2214049.816131592,3436058.759689331,-25051.73347890377,1407899.8565673828,-5078498.363494873,-6475268.363952637,-8526701.927185059,-1149996.6382980347,-497294.7835922241,-282518.9232826233,-9271666.526794434,-13374677.658081055,-10159123.420715332,-4352335.9298706055,-938406.229019165,-192158.65433216095
0.03,13219963.073730469,15166629.791259766,12203604.698181152,-15951640.129089355,4136585.7124328613,-14161973.95324707,-22195259.09423828,-19252618.78967285,-8849290.84777832,-5081900.119781494,-4208112.716674805,-4616233.825683594,-4910366.535186768,-6251684.188842773,-8910203.93371582,-19183851.24206543,-8771328.926086426,-4308919.429779053,-621958.6730003357,-664962.5301361084,-1389501.452445984,-5444895.267486572,-5235343.933105469,-34403453.8269043,-14333124.160766602,-3885528.564453125,56865.84115028381,4020492.5537109375,-3259271.1448669434,2142826.0803222656,2471755.7430267334,7065004.825592041,-18790302.276611328,-7195303.440093994,-4874523.162841797,-503287.8518104553,1932555.7947158813,3407975.196838379,3349602.460861206,8453511.238098145,286454.6775817871,-15478726.387023926,-12625880.241394043,-12963315.963745117,866640.0909423828,-1352482.3188781738,2548697.2332000732,9489790.916442871,6156066.89453125,8561840.057373047,-8140972.137451172,-9614797.592163086,-10641914.367675781,427282.3631763458,4787775.993347168,4906281.9480896,-3328297.3766326904,-13265516.28112793,-10843262.672424316,-2319241.0469055176,4375758.171081543,5034296.989440918
0.035,10928941.72668457,12634864.807128906,15909073.829650879,-19169057.846069336,3851023.1971740723,-19135854.721069336,-22653657.913208008,-19765176.77307129,-11901459.693908691,-9185724.258422852,-3899672.508239746,-3408239.3646240234,-3775041.8186187744,-5015707.969665527,-12540712.356567383,-17874092.10205078,-12384371.757507324,-5311878.204345703,-3148691.6542053223,-3105061.5310668945,-4020481.586456299,-4257149.219512939,-3901003.360748291,-36175865.173339844,-17597309.112548828,-2696287.8704071045,-535064.9952888489,1303308.2485198975,-3756405.3535461426,4447518.825531006,4861865.043640137,8372072.219848633,-20490726.470947266,-9451070.785522461,-6855939.3882751465,-2126786.947250366,2116497.755050659,5844430.446624756,5591023.4451293945,11114940.643310547,6627183.91418457,-13975974.082946777,-14431961.059570312,-14844347.953796387,-55230.721831321716,1034183.7406158447,6418727.397918701,13244882.583618164,8877971.649169922,11421028.137207031,-8441077.23236084,-10302493.09539795,-11839927.673339844,2926865.816116333,7913232.803344727,7884099.960327148,1658163.30909729,-11810553.550720215,-10320638.656616211,216788.3664369583,7524735.450744629,8016995.429992676
0.04,11917899.131774902,16897516.25061035,19445123.67248535,-14142718.315124512,6556531.4292907715,-15888411.521911621,-17528440.475463867,-15267806.053161621,-8294436.454772949,-6481158.73336792,-2014102.2205352783,-1810429.8114776611,-2146198.7495422363,-3313550.2338409424,-9224219.32220459,-14323250.770568848,-10392208.099365234,-3500590.0859832764,-2961438.1790161133,-2700065.6127929688,-3789739.1319274902,-2511152.2674560547,-2719260.4541778564,-28657148.361206055,-14080123.901367188,891781.9261550903,404069.36407089233,1476275.5632400513,-3353369.2359924316,6073892.116546631,5579290.390014648,8852851.867675781,-15250700.950622559,-4997131.824493408,-4660899.1622924805,-2583796.739578247,1824281.930923462,7397891.521453857,7056521.892547607,12435922.622680664,7734362.1253967285,-9959530.8303833,-9729935.646057129,-10292483.32977295,420205.9507369995,3644392.0135498047,9301713.943481445,15235513.687133789,9934165.000915527,12485020.637512207,-5815339.088439941,-8040854.454040527,-9523515.701293945,5645799.160003662,10755846.977233887,10762240.409851074,4864197.731018066,-8049500.465393066,-7133894.443511963,3266077.756881714,10344835.28137207,10761244.773864746
0.045,17642559.051513672,27106933.59375,22270341.873168945,-4615889.549255371,12164372.444152832,-5743986.6065979,-11061344.146728516,-9111498.832702637,-325484.2758178711,1326280.5938720703,2514108.657836914,1679750.4425048828,1474856.7342758179,191297.248005867,-141503.51285934448,-11538103.103637695,-3933888.9122009277,-173275.9028673172,631133.4371566772,1066862.1063232422,-61662.96452283859,1077368.974685669,397257.4174404144,-17784551.6204834,-6112031.45980835,3864982.3665618896,2404259.204864502,5133955.001831055,-1069155.216217041,7610796.4515686035,6941253.185272217,13194432.258605957,-6925087.928771973,3504921.9131469727,-637636.8403434753,-1962493.896484375,1474875.569343567,8794648.170471191,8621972.08404541,14797886.848449707,6236437.797546387,-6690925.598144531,-3232222.557067871,-3758822.9179382324,2200091.600418091,4546088.218688965,10604598.999023438,17003156.661987305,11373487.47253418,14715587.615966797,-3619610.30960083,-5895617.961883545,-6077896.595001221,6622735.977172852,13494916.915893555,13739048.00415039,6048362.731933594,-4856999.87411499,-3921044.34967041,4964957.237243652,13039190.292358398,13534420.96710205
0.05,20458625.79345703,30207942.962646484,20378021.240234375,-1985499.7396469116,13379974.365234375,-2618834.972381592,-10319059.371948242,-7627183.437347412,3338888.168334961,4977935.791015625,4269099.235534668,2722643.6138153076,2606515.407562256,1222434.0438842773,1678313.7321472168,-13294160.842895508,-848075.0918388367,1241811.0370635986,3026639.223098755,3469572.067260742,2427272.5582122803,2034446.2394714355,1228414.4163131714,-15878317.832946777,-3530072.6890563965,3779424.4289398193,3404150.2475738525,7955315.113067627,988568.902015686,7176851.272583008,7549728.3935546875,16637537.002563477,-6103160.381317139,6749721.050262451,389069.8850154877,-1803616.2853240967,1484925.7469177246,8293892.860412598,8361670.49407959,15840369.22454834,4932636.737823486,-7263545.989990234,-1490971.4460372925,-1817584.8722457886,3121889.114379883,2195617.914199829,8315530.776977539,16484952.926635742,11133690.83404541,15785164.833068848,-4659633.636474609,-6623199.939727783,-6211568.832397461,4246442.794799805,12424637.794494629,12853356.36138916,4376239.29977417,-6017144.680023193,-4704238.414764404,3086537.5995635986,11971795.082092285,12564659.118652344
0.055,14526849.746704102,21871440.887451172,12744215.965270996,-9196247.100830078,7752473.831176758,-12849987.030029297,-16520317.077636719,-12392792.701721191,-673228.5022735596,1412396.4309692383,467493.0274486542,-1256260.633468628,-1350662.9467010498,-2639722.3472595215,-9781046.867370605,-20002769.470214844,-4352425.098419189,-223387.10725307465,1866893.4106826782,2122450.113296509,1170657.8731536865,-2014704.942703247,-2676811.933517456,-25095882.415771484,-9712959.289550781,794245.8391189575,2759461.4028930664,7600474.3576049805,690799.8919487,3889395.4753875732,5281265.2587890625,13853322.02911377,-15062225.341796875,1861957.311630249,-2769725.561141968,-2986108.3030700684,1740445.852279663,4941038.131713867,5113125.324249268,12735624.313354492,2606424.09324646,-11399114.608764648,-5110995.292663574,-5309716.701507568,1565457.2248458862,-2186183.9294433594,2923279.047012329,11447372.436523438,7145645.1416015625,12016222.953796387,-8143916.130065918,-9676409.721374512,-10284155.84564209,-238074.6155977249,6545235.633850098,6880701.065063477,-132946.6700553894,-10887819.290161133,-9258964.538574219,-1363120.198249817,6144974.231719971,6724900.722503662
0.06,4902835.369110107,13676099.77722168,4803655.624389648,-17024192.810058594,2199916.124343872,-25695413.58947754,-23673456.1920166,-18519584.65576172,-6496065.139770508,-2620334.1484069824,-4435813.903808594,-6515707.969665527,-6604139.804840088,-7717061.996459961,-23586050.033569336,-27259824.752807617,-9177670.4788208,-2272777.0805358887,259829.13374900818,254812.3300075531,-740177.8101921082,-7131453.037261963,-7440438.747406006,-34674980.16357422,-17028408.05053711,-2633407.3543548584,1874953.269958496,6447892.665863037,-1262906.1937332153,341543.67446899414,1273975.3723144531,7574981.689453125,-24441705.70373535,-4179525.375366211,-6891520.977020264,-4567267.894744873,1806610.8226776123,1233621.1204528809,1381751.1796951294,7617255.687713623,-2308736.801147461,-16759212.493896484,-9754892.349243164,-9978788.375854492,-1548593.4019088745,-5527542.1142578125,-1485055.3274154663,4817797.1839904785,1965762.0191574097,5124408.721923828,-12192487.716674805,-13511353.492736816,-14761136.054992676,-3633942.8424835205,415858.3879470825,453661.6802215576,-5668716.907501221,-15743427.276611328,-14059125.900268555,-4911145.210266113,36715.48888087273,514240.026473999
