time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,9726386.070251465,9082753.18145752,7688184.2613220215,4604381.561279297,3437769.889831543,3129521.131515503,2718023.3001708984,2777168.2739257812,1799829.2446136475,1510587.3346328735,1260154.128074646,682150.6023406982,-68420.67837715149,-72826.17688179016,-152898.6692428589,934933.3047866821,760859.6682548523,756516.695022583,1003546.8339920044,-4898.1839790940285,-690834.4626426697,-717158.0791473389,-41488.684713840485,-216953.62031459808,-710579.5741081238,89425.50420761108,305972.00989723206,3432.887140661478,-7383.586838841438,-603905.3201675415,-736481.3685417175,484902.2626876831,-365296.8406677246,-538935.1844787598,-433873.83222579956,-112599.7081398964,-10969.451628625393,-401893.9435482025,-690149.7840881348,-2029380.7983398438,-1297538.161277771,-364835.4709148407,-235893.04089546204,-435605.1981449127,525223.7915992737,109123.56525659561,154893.9347267151,-579538.6433601379,-571348.9651679993,-634560.2869987488,1869998.574256897,2021123.8861083984,1967731.4758300781,167897.2691297531,967018.7830924988,-940688.0736351013,-924156.7254066467,8157131.195068359,1945062.1604919434,233680.3823709488,1232087.8505706787,1565071.702003479
0.005,17086421.966552734,4548197.269439697,-298405.0214290619,-4694866.65725708,-7177554.607391357,8017083.168029785,7268690.10925293,8776033.401489258,-3553546.190261841,-8372954.368591309,-6428679.466247559,-1887127.2802352905,405926.79381370544,1223664.5221710205,-6179888.2484436035,10479182.243347168,1651185.154914856,1280642.7478790283,-3063274.383544922,-3254767.894744873,-1850824.8329162598,3960736.9899749756,2090382.0991516113,-7802124.500274658,-11576768.87512207,-865422.785282135,-1676316.8573379517,689635.3363990784,-2728923.3207702637,-4150392.0555114746,2560640.335083008,13026985.168457031,-8640054.702758789,-8858623.504638672,-2190419.4355010986,-1410524.0106582642,-74792.66077280045,3604640.007019043,176169.7232723236,-15488020.896911621,2947148.7998962402,-8462175.369262695,58130386.35253906,-356704.980134964,7354317.665100098,19233110.427856445,14384303.092956543,20374786.376953125,20981248.85559082,21260105.13305664,35826877.59399414,36617057.80029297,37589538.57421875,19737091.064453125,-148619.51768398285,-2112463.95111084,-2091447.353363037,20797552.10876465,36842079.162597656,3291008.710861206,-127655.44652938843,26209.941133856773
0.01,29294244.76623535,11713858.604431152,5678445.816040039,-4127524.3759155273,-7228125.095367432,10725181.579589844,10804465.293884277,13125082.015991211,-5267994.403839111,-12340649.604797363,-9355431.55670166,-2455524.444580078,398549.6461391449,1578293.6811447144,-8816187.858581543,13005509.376525879,779686.8681907654,191374.92775917053,-6552820.205688477,-5457538.604736328,-2877385.8547210693,4457270.14541626,2715193.271636963,-10984146.118164062,-18195957.18383789,-3433495.7599639893,-3471545.2194213867,938301.9208908081,-5285628.318786621,-6735661.98348999,3122839.2124176025,16604448.318481445,-12162956.237792969,-12283224.105834961,-4200317.859649658,-1998555.4218292236,74448.6004114151,7133630.752563477,1657039.0462875366,-20367301.94091797,3951054.811477661,-11769858.360290527,77376876.83105469,-460740.6556606293,12479925.155639648,30804578.78112793,23030536.651611328,30791114.807128906,31732278.82385254,31866548.538208008,48307815.55175781,49787158.96606445,51293624.87792969,31516185.760498047,-2031441.4501190186,1913685.5602264404,1986536.8604660034,9606799.125671387,50083374.0234375,-10064364.433288574,-2449580.430984497,-3051662.6834869385
0.015,43583702.087402344,27582178.115844727,22557182.31201172,4509482.860565186,1010362.982749939,10123884.201049805,13035116.195678711,15654206.275939941,-2632570.266723633,-9738931.655883789,-7189450.263977051,-814667.7017211914,516584.3367576599,1652448.7733840942,-11440433.502197266,8480274.200439453,-512936.2344741821,-1162047.7437973022,-7732188.2247924805,-5616810.7986450195,-2737217.1878814697,2303878.3073425293,2559000.253677368,-13350579.261779785,-22689411.163330078,-7185401.916503906,-4320073.127746582,789937.6153945923,-6708999.6337890625,-8027274.131774902,829143.4049606323,11849551.2008667,-14674745.559692383,-14588301.658630371,-8001324.653625488,-2435777.187347412,288694.1432952881,9099536.895751953,2258695.363998413,-20916873.931884766,513079.34522628784,-14086153.984069824,61572952.27050781,-3747167.5872802734,13058539.390563965,30759347.915649414,23327650.07019043,29305229.18701172,30291143.4173584,30153755.18798828,38561386.10839844,40536952.97241211,42107883.45336914,31358457.565307617,-7350615.501403809,4094913.959503174,4293702.125549316,-16348482.131958008,40806327.81982422,-35673282.623291016,-8195983.88671875,-9798968.315124512
0.02,43407817.84057617,29810935.974121094,25509126.663208008,6639500.617980957,2108155.4889678955,5474358.081817627,12391116.14227295,15279222.48840332,-501101.43423080444,-6917876.720428467,-5837316.036224365,-969887.6738548279,-810165.4052734375,275945.4548358917,-17525129.318237305,3010936.2602233887,-520274.5795249939,-1130605.936050415,-5994223.117828369,-4721789.360046387,-2201181.8885803223,730084.4192504883,939470.1719284058,-19245529.174804688,-27640838.623046875,-9832511.901855469,-4054880.6190490723,613986.4325523376,-6490398.88381958,-8812073.707580566,-2332971.3344573975,6020795.3453063965,-20784091.94946289,-20569351.196289062,-13227442.741394043,-3516224.8611450195,288067.2812461853,8702884.674072266,466511.0409259796,-24774320.602416992,-4550803.184509277,-20122694.01550293,45249996.185302734,-10710834.503173828,8809408.187866211,23641605.377197266,19105957.03125,23819522.857666016,24703889.846801758,24744239.807128906,25448194.50378418,27488222.122192383,29028673.17199707,24002994.537353516,-12221957.206726074,-638242.4831390381,-318703.62162590027,-23186231.61315918,27852699.279785156,-46735065.46020508,-12992999.076843262,-14687450.408935547
0.025,14895089.149475098,761244.1182136536,-5028322.696685791,-8417430.877685547,-14323043.823242188,-2119279.384613037,7422450.065612793,10576802.253723145,-4771921.634674072,-10473778.72467041,-11089619.636535645,-7288921.83303833,-6501303.672790527,-5275139.808654785,-22060840.606689453,2246036.7679595947,-239900.8423089981,-736937.2248649597,-3484506.130218506,-5340184.211730957,-3967127.3231506348,-472636.49106025696,-4590883.731842041,-23899963.37890625,-29110441.207885742,-9490285.873413086,-3789919.137954712,610429.7041893005,-5591498.851776123,-10056686.401367188,-4155815.601348877,3976227.9987335205,-25575653.076171875,-25455484.39025879,-15771323.204040527,-4693283.557891846,102850.96615552902,6825578.689575195,-1981093.0490493774,-28215040.20690918,-5750956.5353393555,-24979959.48791504,47615215.30151367,-15137957.572937012,4634732.246398926,20527208.32824707,18592699.05090332,22825359.344482422,23568159.103393555,23983755.111694336,26195791.244506836,28047786.712646484,29658241.271972656,20874061.584472656,-5400552.749633789,-1364215.8508300781,-1104326.1289596558,5070312.976837158,28536727.905273438,-22843320.846557617,-5474238.872528076,-5744338.035583496
0.03,-21633573.532104492,-37425151.82495117,-45307147.97973633,-28079082.489013672,-34432456.970214844,-6132484.912872314,2894004.5833587646,5968527.317047119,-12077644.348144531,-16876787.185668945,-18336080.55114746,-15057649.612426758,-12693233.489990234,-11298086.166381836,-17709022.521972656,7056777.000427246,-444477.2005081177,-814549.0884780884,-2029637.8135681152,-7002554.416656494,-6736502.170562744,-1206531.6438674927,-10439920.425415039,-19562910.079956055,-22898111.34338379,-6607264.041900635,-4145746.7079162598,652634.0842247009,-4751986.026763916,-10865834.23614502,-2965862.75100708,6015612.602233887,-21101657.86743164,-21255266.189575195,-13073920.249938965,-4893830.299377441,6491.553969681263,5700617.31338501,-1336265.4447555542,-22749969.482421875,-731124.6991157532,-20599130.630493164,57021224.97558594,-11792689.323425293,5215895.652770996,26222845.07751465,24316980.361938477,27361888.885498047,27957784.65270996,28250774.383544922,38589225.76904297,40338050.842285156,41986362.45727539,26886211.395263672,14047012.329101562,11726036.071777344,11693315.505981445,41255859.375,40759250.64086914,16415254.592895508,14653282.165527344,16145078.659057617
0.035,-17320898.056030273,-33012786.865234375,-39869041.442871094,-24236425.399780273,-29719335.556030273,2404454.469680786,9100676.536560059,11785750.389099121,-9576694.48852539,-13840341.567993164,-14339573.860168457,-11107963.562011719,-7990087.509155273,-6574513.4353637695,-7320028.305053711,14752093.315124512,1756784.5582962036,1404239.8929595947,-87537.51218318939,-4611642.360687256,-3180826.425552368,3323609.1136932373,-5570661.544799805,-9005119.323730469,-14277900.695800781,-3398537.8742218018,-3703029.3941497803,585237.2050285339,-2779212.236404419,-8517581.939697266,2035169.6014404297,11625025.749206543,-10479088.78326416,-10848116.874694824,-9318696.975708008,-4521065.235137939,72819.50861215591,6808728.6949157715,3466649.7707366943,-11870834.350585938,6508442.8787231445,-9956708.908081055,57524211.88354492,-5817906.379699707,8089940.071105957,31869678.497314453,28349523.544311523,31788717.26989746,32283020.01953125,32012336.73095703,46051197.05200195,47748428.34472656,49275531.76879883,32857799.530029297,27190837.860107422,25611024.856567383,25280698.776245117,43021190.64331055,47981224.060058594,23329669.952392578,27615747.451782227,29094589.233398438
0.04,45252162.93334961,30274820.32775879,27971578.59802246,11272277.83203125,6603731.632232666,23511541.36657715,28783041.00036621,31245307.92236328,8405357.360839844,3172129.6310424805,5158800.12512207,9098177.909851074,11241353.988647461,12578308.10546875,-1566626.5487670898,22290967.94128418,8846721.649169922,8390814.781188965,4288400.173187256,4600260.7345581055,10400731.086730957,15794129.371643066,13638257.026672363,-3333391.1895751953,-12460276.60369873,-1354101.1810302734,-962673.9025115967,476823.24051856995,1407278.1801223755,-2214717.388153076,9260460.85357666,19377614.974975586,-5303405.76171875,-5571164.131164551,-10450382.232666016,-4948282.241821289,100266.74717664719,9315906.524658203,9119604.110717773,-8241656.303405762,10092853.546142578,-4608657.360076904,51658054.35180664,-6693981.170654297,7029774.6658325195,26997085.571289062,22848697.662353516,31414020.538330078,31906446.45690918,31389394.760131836,39073211.669921875,40543861.389160156,41900306.701660156,27946453.094482422,17717018.127441406,20134834.28955078,19783021.926879883,4996131.896972656,40728675.842285156,-19539264.678955078,17089984.893798828,16282503.128051758
0.045,114275573.73046875,97594261.1694336,98748031.61621094,48480766.29638672,42919742.584228516,42940071.10595703,48204452.51464844,50787754.05883789,27866186.141967773,20395706.176757812,24553855.895996094,29729930.877685547,30046344.757080078,31341079.711914062,-4111661.434173584,27395780.563354492,16583198.547363281,16076833.724975586,8549189.567565918,14243083.953857422,25028514.862060547,28196468.353271484,32347553.253173828,-6320820.8084106445,-16816316.604614258,-3385.61600074172,2606688.4994506836,507624.92418289185,5525603.294372559,3966175.079345703,14405203.819274902,24370809.55505371,-9068208.694458008,-8912783.6227417,-14894046.783447266,-5913237.09487915,-2762.10461743176,10957991.600036621,11615401.268005371,-14683955.192565918,8880691.528320312,-8156201.362609863,50576805.114746094,-13327099.800109863,2318483.352661133,16298385.620117188,12611497.87902832,27566492.080688477,28133054.733276367,27827335.357666016,27221849.44152832,28533145.904541016,29862335.205078125,16950241.088867188,-2261274.0993499756,891932.2490692139,738425.7316589355,-31612155.91430664,28837535.858154297,-69599464.4165039,-3841242.551803589,-7112811.088562012
