time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-4739375.114440918,-4846822.261810303,-8523087.501525879,-15156274.795532227,-4687846.1837768555,-1147460.5798721313,-183710.79862117767,-324904.76965904236,3948567.6288604736,-338003.12876701355,-3968690.1569366455,-3824787.139892578,-3742480.754852295,-6808747.291564941,-1261931.4193725586,-1756557.822227478,-5686311.2449646,630816.2808418274,-457152.8136730194,-2473287.1055603027,-2610620.0218200684,-5661367.416381836,-6925256.252288818,5314971.923828125,-640298.9625930786,-631524.8012542725,1303686.1419677734,1031230.4496765137,-1713000.774383545,-2517434.3585968018,-5239325.523376465,-7340941.429138184,-213107.48159885406,-629207.1342468262,1865474.820137024,-1431856.2746047974,-32709.158957004547,-1631197.3333358765,-2570679.4261932373,-4739818.572998047,-4671709.5375061035,-188041.41879081726,-268077.7907371521,-373970.627784729,-3059845.9243774414,-2525456.9053649902,-1132540.4644012451,-3995593.786239624,-4135861.873626709,-4605555.057525635,-163541.91303253174,-178239.19653892517,-1368410.9449386597,-2572479.248046875,-926888.2274627686,-4052185.05859375,-4066734.790802002,-1377099.871635437,-1260113.23928833,-2361808.3000183105,-1094179.9879074097,-1027960.8964920044
0.005,-36338890.075683594,-12209382.057189941,-30453622.817993164,-17043363.571166992,-8590261.459350586,-20871995.92590332,-14216311.45477295,-15554659.843444824,24991167.068481445,-6724429.130554199,-12982851.9821167,-11846035.00366211,-11289025.30670166,-18080797.19543457,-21606061.935424805,-14972507.47680664,-2823572.3972320557,3442022.8004455566,-3980582.9524993896,-8688906.6696167,-10345345.497131348,-15551836.967468262,-13792168.617248535,14290585.5178833,-4089205.265045166,-1477948.6656188965,909475.8033752441,1405247.5690841675,-8419221.878051758,-10869650.840759277,-14627171.516418457,-24584373.474121094,-1574669.9571609497,-4228258.13293457,9057764.053344727,3370417.1180725098,-20005.57631254196,-7876931.190490723,-11065400.123596191,-15782805.442810059,-14929880.142211914,-1361071.8250274658,-1599164.605140686,-2573045.492172241,2695764.5416259766,-7386151.313781738,-6521297.931671143,-13579284.66796875,-14423876.762390137,-14832383.155822754,-1237759.1133117676,-1420864.9396896362,1500522.8519439697,-7754734.992980957,-5541025.638580322,-13119309.425354004,-13233152.389526367,-6230875.9689331055,1909571.1708068848,-6244992.733001709,-6236636.161804199,-5563285.827636719
0.01,-41154090.881347656,-9254264.831542969,-32437412.26196289,-11038968.086242676,-5652699.947357178,-23331335.067749023,-15810996.055603027,-17324363.708496094,36860233.306884766,-5371979.713439941,-12467840.194702148,-11046051.025390625,-10309150.695800781,-19389833.450317383,-24217679.977416992,-16582689.28527832,826473.4745025635,6535984.992980957,-2900891.3040161133,-8057211.875915527,-10429678.916931152,-16886020.66040039,-14661535.263061523,20433525.08544922,-3278634.786605835,-1132997.3936080933,1411564.826965332,3127963.7813568115,-10131831.169128418,-12117030.143737793,-16685148.239135742,-30678962.70751953,-479032.84430503845,-3461532.5927734375,12368469.23828125,5587075.233459473,151259.94384288788,-9424524.307250977,-13271667.48046875,-19655639.6484375,-18655555.725097656,-275756.4187049866,-633286.4761352539,-1972916.841506958,3270286.3216400146,-10389309.883117676,-8838462.829589844,-16977718.353271484,-18096769.332885742,-18566789.627075195,-31193.455681204796,-297507.76290893555,2048161.0298156738,-10847531.31866455,-7473988.056182861,-16393033.981323242,-16552885.055541992,-7087932.586669922,2692270.9941864014,-8887896.537780762,-8497168.54095459,-7616425.514221191
0.015,-28094688.415527344,-2685620.7847595215,-23132982.25402832,-5046732.425689697,-1121859.1928482056,-15060559.272766113,-9412114.143371582,-10399800.300598145,37496936.7980957,-539714.3363952637,-7460492.134094238,-6362907.886505127,-5700824.26071167,-16082971.572875977,-15765545.845031738,-10779576.301574707,2331334.114074707,8154063.2247924805,56424.39052462578,-4145040.988922119,-6402349.472045898,-14160042.762756348,-14039239.883422852,20695663.452148438,-952614.6054267883,-459423.5420227051,2147284.0309143066,5261631.011962891,-8531332.015991211,-9065957.069396973,-15149805.068969727,-29967487.335205078,-48065.46866893768,-1116114.9740219116,11896082.878112793,5124168.872833252,331968.21808815,-7933017.730712891,-11409090.995788574,-19413625.717163086,-18736143.112182617,91553.90411615372,-421106.39810562134,-1573691.6065216064,-816709.7568511963,-11977446.556091309,-8794860.83984375,-16684616.088867188,-17752017.974853516,-18603517.532348633,346188.60483169556,123915.8883690834,-466264.66512680054,-12386386.87133789,-7418626.308441162,-16403558.731079102,-16526968.002319336,-7566213.130950928,244132.83169269562,-10702415.466308594,-8582301.139831543,-7824273.109436035
0.02,-24734056.47277832,-5337182.04498291,-24023756.02722168,-8958661.079406738,-4104790.687561035,-13706181.526184082,-8070121.765136719,-8874772.071838379,31838954.92553711,-1614042.4013137817,-8996505.737304688,-8177618.026733398,-7584573.268890381,-19424760.818481445,-14354515.075683594,-9404926.300048828,-124201.56598091125,6747210.97946167,-595039.427280426,-4816344.261169434,-6701653.957366943,-16814975.73852539,-19146936.416625977,15157865.524291992,-2298788.547515869,-648310.2440834045,1904998.6600875854,5693892.002105713,-8578936.576843262,-9185971.2600708,-17963237.762451172,-33557037.353515625,-4171486.3777160645,-2510387.182235718,10408058.166503906,4122820.3773498535,297220.2003002167,-8099199.295043945,-11692612.648010254,-22385103.225708008,-21872436.5234375,-3947266.5786743164,-4659554.481506348,-5411475.658416748,-4457897.663116455,-13278139.114379883,-8970011.711120605,-18975112.915039062,-20019510.26916504,-21585151.67236328,-3824922.800064087,-3945135.1165771484,-4443884.84954834,-13718018.531799316,-7699007.987976074,-19096233.367919922,-19139492.03491211,-12797533.03527832,-3886427.402496338,-12320302.00958252,-8892617.225646973,-8231953.6209106445
0.025,-36708469.39086914,-15517018.31817627,-36169780.73120117,-16208812.713623047,-12577405.92956543,-21386569.97680664,-14263140.678405762,-15459976.196289062,26189285.278320312,-8496098.518371582,-16678354.263305664,-15736671.447753906,-15099907.875061035,-28436681.747436523,-22209318.161010742,-14214735.03112793,-2747860.6700897217,3960809.9460601807,-4216166.4962768555,-9838484.764099121,-11517047.882080078,-23893493.65234375,-27215240.478515625,8651687.622070312,-6723783.493041992,-1160033.4644317627,825194.0608024597,4094568.2525634766,-10809743.881225586,-13122205.73425293,-24236047.744750977,-41536018.37158203,-10400197.982788086,-7063927.65045166,9250421.524047852,4201826.095581055,136260.43498516083,-10285061.836242676,-14535549.16381836,-28085681.915283203,-27406801.223754883,-10056852.340698242,-10843525.886535645,-11309456.825256348,-4551326.274871826,-13730294.227600098,-9535636.901855469,-23588474.27368164,-24692106.246948242,-26974094.39086914,-9978413.581848145,-10059574.127197266,-7409940.719604492,-14265696.52557373,-8383265.495300293,-23884735.107421875,-23898168.563842773,-19946868.896484375,-7094191.551208496,-12870494.842529297,-9456216.812133789,-8710554.122924805
0.03,-44978664.39819336,-19736108.779907227,-41621768.951416016,-14318924.903869629,-15862958.908081055,-25968353.271484375,-18971801.7578125,-20428878.784179688,23976697.92175293,-11863932.609558105,-19793928.146362305,-18557176.58996582,-17909746.170043945,-31880743.0267334,-26896530.151367188,-17093603.134155273,-1641115.665435791,3035627.3651123047,-5078031.063079834,-11767662.048339844,-13364880.561828613,-26153654.098510742,-29236465.454101562,5847698.68850708,-9388895.988464355,-1310055.8519363403,83107.32245445251,2505908.966064453,-11206539.154052734,-14744182.586669922,-26013633.728027344,-44202438.35449219,-12968637.466430664,-9771314.62097168,7463305.950164795,4566229.820251465,146296.36704921722,-10550911.903381348,-14799085.61706543,-29056245.803833008,-28275709.15222168,-12674518.585205078,-13309313.774108887,-13714980.125427246,-3631136.178970337,-12344360.3515625,-8406467.43774414,-24117319.107055664,-25199460.983276367,-27821372.985839844,-12423732.75756836,-12527821.54083252,-8587946.891784668,-12870513.916015625,-7413888.931274414,-24370954.513549805,-24449169.158935547,-21694982.528686523,-8357530.59387207,-11449906.349182129,-8230723.3810424805,-7342699.05090332
0.035,-38746898.65112305,-13222862.243652344,-33244125.366210938,-5939803.123474121,-10052792.5491333,-23569044.11315918,-17307338.71459961,-18505487.4420166,25481132.50732422,-6920267.581939697,-13718947.410583496,-12365773.20098877,-11851032.257080078,-25557762.145996094,-24360006.33239746,-14903639.793395996,509167.1347618103,4687812.805175781,-1219556.5700531006,-7564057.350158691,-9046034.812927246,-20689781.188964844,-23504940.032958984,5994337.08190918,-9170342.445373535,-2275586.3666534424,-69660.68595647812,2725076.913833618,-7980858.325958252,-11161469.459533691,-20801162.719726562,-38010551.45263672,-11296092.987060547,-9377337.455749512,4482548.236846924,3466397.0470428467,388959.6164226532,-7283000.946044922,-10578999.519348145,-22576734.54284668,-21990566.25366211,-11131064.414978027,-11557654.38079834,-12089094.161987305,-5648284.912109375,-10249643.325805664,-5237377.166748047,-17994091.033935547,-19023170.471191406,-21564842.224121094,-10740656.852722168,-10809827.80456543,-9095449.447631836,-10678502.082824707,-4348793.506622314,-18217391.967773438,-18377908.70666504,-17386222.83935547,-8702586.17401123,-9327387.809753418,-5009132.862091064,-4046308.5174560547
0.04,-29468690.872192383,-5625797.271728516,-23974029.541015625,-3440782.308578491,-2519639.730453491,-22797626.495361328,-14452867.50793457,-15350232.124328613,28972265.243530273,454660.7732772827,-5809138.774871826,-4592228.412628174,-4209311.008453369,-17326616.287231445,-23389915.466308594,-13297125.816345215,-1095987.319946289,6623705.3871154785,2809820.1751708984,-2481261.968612671,-3847627.1629333496,-14308196.067810059,-17068487.1673584,5712553.50112915,-9254594.802856445,-4931083.202362061,-570301.9499778748,4089650.1541137695,-4328836.441040039,-6540965.0802612305,-14547534.942626953,-30000667.572021484,-9781163.215637207,-9195954.322814941,1935909.5096588135,1127180.3379058838,603681.206703186,-3722538.709640503,-6177875.04196167,-14669062.614440918,-14275005.340576172,-9621737.480163574,-9982843.399047852,-10707624.435424805,-9685332.298278809,-9523132.32421875,-2590765.953063965,-10436660.766601562,-11567907.333374023,-13827876.091003418,-9356839.179992676,-9319521.9039917,-9102819.442749023,-9952452.659606934,-1595144.271850586,-10724788.665771484,-10869631.76727295,-13537421.226501465,-8490306.854248047,-8539561.27166748,-2380758.285522461,-1423370.599746704
0.045,-29315923.6907959,-5658895.015716553,-25031164.169311523,-7650790.214538574,-909984.4694137573,-27011926.651000977,-15248483.657836914,-16255531.311035156,31485126.495361328,2435180.425643921,-4152081.4895629883,-3216169.834136963,-2754367.1131134033,-14830176.35345459,-27541852.951049805,-15536855.697631836,-4968366.622924805,6891738.8916015625,2595601.0818481445,-1867886.4240646362,-3224535.9420776367,-12677294.731140137,-14853225.708007812,5159802.436828613,-10356188.774108887,-7036784.1720581055,-1737203.83644104,4513300.895690918,-3614322.9007720947,-5380292.4156188965,-12318926.811218262,-26539573.669433594,-9693002.700805664,-10214792.251586914,2061479.5684814453,-74312.75397539139,591625.5116462708,-3107829.0939331055,-5524613.380432129,-11491451.263427734,-10975617.408752441,-9465024.948120117,-9846567.153930664,-10665882.110595703,-10674648.28491211,-9817644.119262695,-2348858.118057251,-7234079.837799072,-8530726.432800293,-10519600.868225098,-9387845.039367676,-9331171.989440918,-6602455.615997314,-10355176.92565918,-1109894.9909210205,-7560241.222381592,-7590317.249298096,-13427956.581115723,-5947609.424591064,-8690368.65234375,-2110922.336578369,-1256545.6628799438
