time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,12192859.649658203,-1900853.6338806152,-13314992.904663086,15500901.222229004,12572918.891906738,37382232.666015625,107626159.66796875,13208034.51538086,5509695.529937744,8820356.369018555,4701680.1834106445,-3677911.9968414307,4046508.7890625,9043011.665344238,34450836.181640625,7359967.231750488,115100.17514228821,2925762.414932251,3618972.5399017334,346363.0974292755,-5716020.584106445,21219011.306762695,14330703.735351562,-3208448.1716156006,-3267187.8337860107,-8075349.807739258,-3922698.497772217,4761026.382446289,-383916.58663749695,-12072793.960571289,-15626993.179321289,20243816.375732422,-4717790.603637695,-485547.4531650543,-5695001.602172852,-3465121.030807495,-16754146.575927734,-8590158.462524414,-10696646.690368652,-6952413.082122803,3370434.045791626,-14406397.819519043,-6375011.444091797,-9885560.989379883,-18544416.427612305,-36782199.85961914,-24411582.946777344,-15767455.101013184,-32144378.662109375,-46987312.31689453,-60540565.490722656,-60711143.493652344,-111534515.38085938,-102390380.859375,-78502197.265625,-79598289.4897461,-105621894.83642578,-115985084.5336914,-114542533.87451172,-59687927.24609375,-82258750.91552734,-108420837.40234375
0.005,5725656.986236572,86541.68248176575,-10642230.033874512,5019084.930419922,596472.3229408264,-11920505.52368164,76166725.1586914,3695568.323135376,66436.58876419067,-1859204.5307159424,-12288426.399230957,-26241157.53173828,-22138147.354125977,-9083012.580871582,-67385971.06933594,470837.0268344879,9816066.74194336,5693426.609039307,-2437314.748764038,-15589818.000793457,-29527795.791625977,-13139159.202575684,-18454111.099243164,-159974655.1513672,37852268.21899414,38007110.595703125,8237666.130065918,2961588.3827209473,-12998583.793640137,-39032882.69042969,-51704566.955566406,-29076494.216918945,-133506240.84472656,118476837.15820312,53726627.349853516,18597377.77709961,-9494867.324829102,-17729812.622070312,-36953071.59423828,-53508544.921875,-42455944.0612793,-34907306.67114258,49959903.717041016,45121639.251708984,8524905.20477295,-23349248.8861084,-26347370.147705078,-41523784.63745117,-66757148.74267578,-91065643.31054688,4555744.647979736,4015062.3321533203,-43354953.76586914,-63469936.37084961,-63852199.55444336,-65484901.428222656,-114523475.64697266,-47133060.455322266,-45018543.2434082,-12321162.223815918,-65224784.85107422,-47247623.443603516
0.01,2364080.4290771484,3325971.3649749756,-5047988.8916015625,-3572420.358657837,-9688099.86114502,-47461029.052734375,31113428.115844727,-3962062.358856201,-3037795.5436706543,-9556096.076965332,-23254419.326782227,-39198448.181152344,-38075794.2199707,-23415102.005004883,-131069839.47753906,-8846219.062805176,16084812.16430664,7407059.669494629,-5788214.683532715,-24357553.482055664,-40988063.81225586,-38424175.26245117,-44105464.935302734,-246256210.32714844,60593952.17895508,63575061.7980957,16318550.109863281,636892.1399116516,-19401790.618896484,-49710044.860839844,-66765304.56542969,-59658603.66821289,-199251495.36132812,175915176.39160156,85628936.76757812,30876705.169677734,-3143316.9841766357,-20506931.30493164,-46941280.364990234,-72698883.05664062,-63708679.19921875,-42376850.12817383,77533889.77050781,74758041.38183594,24787855.14831543,-10272981.643676758,-22428672.790527344,-50456279.75463867,-74213928.22265625,-99064094.54345703,48694454.193115234,48066276.55029297,16534626.007080078,-18043947.219848633,-33393695.831298828,-34895393.37158203,-84309455.87158203,14602896.690368652,16436292.64831543,21328516.006469727,-32367496.490478516,13647620.20111084
0.015,5722550.868988037,10477161.407470703,4492260.932922363,-6195559.024810791,-14896247.863769531,-61673995.97167969,-15729945.182800293,-7876917.362213135,-2958411.21673584,-12617022.514343262,-26770153.045654297,-42058170.318603516,-42666126.2512207,-31545791.625976562,-148340606.68945312,-17962734.22241211,18089822.76916504,7784231.662750244,-6295217.990875244,-25601902.00805664,-40796733.85620117,-50974666.595458984,-59684257.50732422,-254496170.0439453,59582527.16064453,66284156.799316406,18731691.360473633,-1175135.1356506348,-19544315.338134766,-45461971.282958984,-62610599.517822266,-67886604.30908203,-199890579.2236328,169336502.0751953,87374664.30664062,32343082.427978516,195535.5852842331,-17394937.51525879,-42005886.07788086,-66293022.15576172,-59693328.857421875,-37681484.22241211,75894622.80273438,77254287.71972656,28071514.129638672,-670140.4452323914,-14397522.926330566,-44647830.963134766,-59568004.6081543,-77341415.40527344,67291450.50048828,66801818.84765625,59478588.10424805,23575805.6640625,3586527.109146118,2648435.354232788,-29362503.051757812,59904174.8046875,60742057.80029297,39106021.881103516,6579351.902008057,64994331.35986328
0.02,16030553.817749023,22832950.592041016,16923252.10571289,-1508620.023727417,-13466701.50756836,-59093025.20751953,-44818824.768066406,-8153944.969177246,-1014917.6120758057,-12084369.659423828,-26149263.381958008,-41409740.44799805,-42714778.900146484,-34297267.91381836,-141449203.49121094,-23143407.821655273,17424158.096313477,7126936.912536621,-6035933.494567871,-24384819.03076172,-38465373.99291992,-54496135.71166992,-67997207.64160156,-231060333.25195312,45302398.681640625,59438331.604003906,16919784.545898438,-1539986.3719940186,-17838562.01171875,-39584499.35913086,-56774429.32128906,-65924148.55957031,-181106735.2294922,143895263.671875,77293731.68945312,29481443.405151367,-485628.4260749817,-13205365.180969238,-35086933.13598633,-56352172.8515625,-48952476.501464844,-31266666.412353516,66604011.53564453,70034072.87597656,24792846.6796875,3880061.626434326,-7606412.887573242,-38023712.158203125,-47035537.71972656,-57971809.38720703,74428855.8959961,74062782.28759766,86803833.0078125,49739273.07128906,29379470.825195312,28761220.932006836,10810244.5602417,88718711.85302734,88810539.24560547,50985240.9362793,33601238.25073242,99999214.17236328
0.025,27960363.388061523,36554244.99511719,28754922.86682129,5613937.854766846,-8388135.91003418,-51469596.86279297,-52208366.39404297,-6726975.440979004,825421.7505455017,-10627878.189086914,-25111314.77355957,-41904216.76635742,-43467853.54614258,-34518630.98144531,-135542785.64453125,-25068733.21533203,16320854.187011719,6130957.126617432,-6498951.9119262695,-24392272.94921875,-39196075.439453125,-54668891.90673828,-73432388.30566406,-218987884.52148438,34143733.978271484,55252426.14746094,13852437.019348145,-1251221.2991714478,-17103395.462036133,-39516841.888427734,-59554748.53515625,-66543365.478515625,-177198379.51660156,135706161.49902344,71825149.53613281,28050992.965698242,-3709848.165512085,-10772729.873657227,-33268299.102783203,-55736110.68725586,-45627983.09326172,-29657611.846923828,65229942.321777344,67100624.084472656,21666883.46862793,4835997.104644775,-4628569.12612915,-37792469.0246582,-47934627.532958984,-56926380.1574707,83325363.15917969,82978858.9477539,104956245.42236328,61014217.376708984,40730968.4753418,40011863.708496094,23393062.591552734,107213432.31201172,107281990.05126953,63078891.75415039,45663688.65966797,118853767.39501953
0.03,36376388.54980469,45153312.68310547,34713054.65698242,10547946.92993164,-2835305.92918396,-43060123.443603516,-38037334.44213867,-3644605.3981781006,2538609.266281128,-9051050.186157227,-23766784.66796875,-42359699.24926758,-42914855.95703125,-32660339.35546875,-134153442.3828125,-26281082.153320312,16486700.057983398,6092337.131500244,-6777603.1494140625,-24709892.27294922,-40599895.47729492,-51264717.10205078,-75580627.44140625,-225480667.1142578,34171150.20751953,55139602.66113281,11745326.99584961,-975869.5363998413,-16638721.466064453,-42133571.62475586,-67312271.11816406,-69122688.29345703,-185276977.5390625,143973449.70703125,73060966.49169922,28305992.126464844,-8512918.472290039,-10207101.821899414,-34179584.50317383,-59495361.328125,-47797164.91699219,-32136425.018310547,68911750.79345703,67966232.29980469,18855274.200439453,320449.20325279236,-6967837.333679199,-41802982.330322266,-57289691.92504883,-68963104.24804688,85666015.625,85298339.84375,103407409.66796875,54175701.14135742,37999992.37060547,37035869.59838867,14614261.627197266,105205764.77050781,105740898.13232422,63887149.810791016,43103862.76245117,113300399.78027344
0.035,42692607.87963867,47788459.77783203,33728981.018066406,15171215.057373047,4146862.506866455,-28435993.194580078,958811.9983673096,2783925.2948760986,5743979.454040527,-5703916.549682617,-19916551.58996582,-40242122.650146484,-36957736.96899414,-26677087.783813477,-125625953.6743164,-26488039.016723633,18374061.584472656,7960557.460784912,-5230383.396148682,-23081264.49584961,-39823169.70825195,-40575634.00268555,-71006744.38476562,-234512680.05371094,40166210.17456055,54245326.99584961,10692543.983459473,375246.4950084686,-15318729.400634766,-42813335.41870117,-73614967.3461914,-65584930.419921875,-188765686.03515625,150600280.76171875,74728553.77197266,27640430.450439453,-15854467.391967773,-11253737.449645996,-34926876.068115234,-60308631.896972656,-47242305.755615234,-36241615.295410156,68809318.54248047,66505241.39404297,13120390.892028809,-13538067.817687988,-15784624.099731445,-47732643.127441406,-70009422.3022461,-86988433.83789062,66178535.46142578,65761779.78515625,67607917.78564453,21188131.33239746,16539222.717285156,15310011.863708496,-14338690.757751465,68216659.54589844,69338577.27050781,41754089.35546875,20859077.45361328,75109748.84033203
0.04,51249233.24584961,51594474.79248047,33434463.500976562,22479866.02783203,13565444.946289062,-8813431.739807129,48208385.4675293,10541809.08203125,10200369.834899902,-645821.9289779663,-14087759.971618652,-36882198.333740234,-27955278.396606445,-18240674.97253418,-109133094.78759766,-25041912.078857422,20694124.221801758,10619452.476501465,-2473706.2454223633,-20124395.3704834,-37993274.6887207,-26567167.282104492,-62434627.532958984,-233341201.78222656,42692993.1640625,50221698.76098633,9426573.753356934,3210667.371749878,-13917951.583862305,-41288242.34008789,-77173019.40917969,-57793792.724609375,-183958190.91796875,147104309.08203125,72631118.77441406,25347934.72290039,-24782718.658447266,-12863420.486450195,-35783226.013183594,-59054306.03027344,-42551586.15112305,-40166893.005371094,64137580.87158203,62169200.8972168,5725945.949554443,-30829879.760742188,-26169986.724853516,-54812240.60058594,-83097373.96240234,-104389236.45019531,36476070.404052734,35954963.68408203,21243551.25427246,-20315975.189208984,-12326841.354370117,-13869170.188903809,-49604206.08520508,20511142.73071289,22044679.641723633,13076455.116271973,-9331899.642944336,29111206.0546875
0.045,60852661.1328125,62872268.67675781,43261959.075927734,28413087.844848633,20688650.131225586,-269851.2375354767,60819297.790527344,12975013.732910156,12595264.434814453,2042603.9695739746,-11024204.25415039,-36464714.05029297,-24229496.002197266,-14980009.078979492,-103494316.10107422,-25462541.580200195,21626659.393310547,11525329.58984375,-1352315.3066635132,-18933679.580688477,-37328193.66455078,-22649662.017822266,-60720146.17919922,-225348632.8125,39883972.16796875,46171665.19165039,7542388.916015625,4654930.114746094,-13877919.19708252,-38778755.18798828,-78914611.81640625,-59847831.72607422,-179507598.87695312,138617065.4296875,68419784.54589844,23629438.400268555,-30173067.092895508,-12362105.369567871,-36081897.7355957,-58978004.455566406,-39479919.43359375,-41446601.86767578,60532894.134521484,59613971.71020508,2961448.907852173,-35383125.30517578,-27227825.164794922,-59294601.44042969,-88313179.01611328,-107884140.01464844,32514072.41821289,31914756.774902344,21433801.651000977,-24179185.86730957,-14036816.596984863,-15714306.831359863,-49954093.93310547,20830272.674560547,22254901.885986328,12497085.571289062,-11269993.782043457,27128423.6907959
