time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-2539633.274078369,-2697071.075439453,-2383107.1853637695,-1384738.6837005615,-1463108.5395812988,-635855.2575111389,-999337.4943733215,-976536.4527702332,-834429.5024871826,-823283.5531234741,-1073762.8936767578,-1375272.9892730713,-1306511.8789672852,-1900642.7526474,-308737.8144264221,-436925.7986545563,-532253.6826133728,-483780.8907032013,-128685.71281433105,-411355.8530807495,-509770.4529762268,-810145.3185081482,-1252666.2349700928,135778.60593795776,-138658.97059440613,-55657.44638442993,-50781.238824129105,-115849.89726543427,-101630.17362356186,-134722.41163253784,-381436.5565776825,-1370677.4711608887,151268.21398735046,344613.9395236969,299339.6818637848,198350.4593372345,122438.56489658356,94225.74937343597,-302610.8145713806,-50302.4086356163,7464.458700269461,1610.0809443742037,396769.4044113159,279957.8011035919,93789.85315561295,336711.8239402771,-69010.68985462189,-12825.338169932365,213249.3406534195,273031.8307876587,336061.9246959686,305900.4843235016,378527.2240638733,50357.636064291,275267.5414085388,371840.8942222595,382088.66119384766,-63770.53260803223,172723.08468818665,33362.52272129059,253042.1018600464,-18465.783447027206
0.005,-29636234.283447266,-20894035.33935547,-8018017.768859863,-13541009.902954102,-3970516.9200897217,-24222076.416015625,-23505464.553833008,-22777761.459350586,-8476078.987121582,-4852436.065673828,-6867600.440979004,-5312817.573547363,-11478507.041931152,-21236053.466796875,-20234443.66455078,-15448752.403259277,-10363321.304321289,-5838123.321533203,956007.3614120483,-1559505.4626464844,-2069808.7215423584,-7308336.7347717285,-16132951.736450195,-11887378.692626953,-18992555.618286133,-7777217.864990234,-1301087.1410369873,3594437.36076355,1876193.881034851,-13827.522285282612,-4470894.813537598,-26555006.02722168,-18460321.4263916,-4590736.865997314,-4880559.44442749,-2295318.841934204,2550078.6304473877,3285527.229309082,4836722.850799561,-1360063.6720657349,665138.4830474854,-12478864.669799805,-5320014.476776123,-7332842.826843262,-3452245.7122802734,-2516606.8077087402,-144676.19359493256,4565675.258636475,3598186.96975708,278471.0228443146,-11086416.244506836,-11938912.391662598,-6775031.089782715,-7604070.18661499,-2379959.82170105,-3548689.603805542,-3161678.7910461426,-11697997.093200684,-12576059.341430664,-10637228.965759277,-7669634.819030762,-11608572.959899902
0.01,-34787548.06518555,-21154685.974121094,-1553765.1777267456,-14685614.585876465,290384.441614151,-31431365.966796875,-30143815.994262695,-29161520.00427246,-8871260.643005371,-4488196.37298584,-6404040.336608887,-3430507.8983306885,-11457979.202270508,-24639526.3671875,-27272550.582885742,-20365818.02368164,-12887922.286987305,-6867367.744445801,2382368.803024292,-307576.2093067169,873.7768512219191,-6684237.480163574,-18363857.26928711,-17450529.098510742,-26361104.96520996,-11151960.372924805,-1596509.4566345215,5356283.664703369,4217351.913452148,2300094.1276550293,-3178229.0935516357,-33433773.040771484,-27345172.882080078,-8072231.292724609,-7910609.722137451,-3813123.4645843506,3445776.2241363525,5622896.671295166,9489697.456359863,659239.1729354858,3455757.3795318604,-18815420.150756836,-9121467.590332031,-11557491.302490234,-4646210.193634033,-2437532.663345337,1546923.9950180054,8764767.64678955,8451511.38305664,2888367.6528930664,-16779291.1529541,-17917858.123779297,-9860021.591186523,-8578819.274902344,-182177.46913433075,-2022101.4022827148,-1564947.485923767,-17116607.666015625,-17707361.221313477,-14179528.23638916,-9362286.567687988,-15257030.487060547
0.015,-25168792.724609375,-11711792.945861816,8768033.981323242,-8772533.416748047,6297505.855560303,-25524179.458618164,-24217626.571655273,-23284177.780151367,-4759817.123413086,-2309874.5346069336,-3017163.7535095215,464044.8987483978,-6004866.123199463,-17936954.498291016,-23446365.356445312,-16989139.556884766,-10266423.225402832,-5554754.257202148,2189568.7580108643,1003802.5379180908,3114949.941635132,-2404209.613800049,-12601986.8850708,-16448804.85534668,-23178670.88317871,-10529483.795166016,-1601965.6658172607,4444754.600524902,5439503.192901611,5026727.199554443,1004475.8319854736,-26214534.759521484,-26211194.99206543,-8960960.388183594,-7603851.318359375,-3459954.261779785,3066643.9533233643,6558203.220367432,12224496.841430664,4457636.833190918,6271485.805511475,-18635135.650634766,-9462454.795837402,-10809273.719787598,-2573196.1727142334,597485.1250648499,4122594.8333740234,11647986.41204834,13044401.168823242,6342756.271362305,-16098445.892333984,-17097482.681274414,-7698502.540588379,-3932735.4431152344,4879137.03918457,2883629.083633423,3160856.9622039795,-16199270.248413086,-15524099.349975586,-11317542.07611084,-5930778.503417969,-12188385.009765625
0.02,-22892427.444458008,-12613240.242004395,6714675.426483154,-7168489.933013916,4420343.87588501,-21371480.94177246,-20364658.35571289,-19386013.03100586,-3801286.220550537,-3550943.613052368,-4300499.91607666,-1401403.0694961548,-6834017.753601074,-17879751.205444336,-19917543.411254883,-14267366.409301758,-9614620.208740234,-6612494.468688965,-1037290.4539108276,-1280120.4919815063,2112157.3448181152,-2970575.5710601807,-12328052.520751953,-13278028.48815918,-18790994.64416504,-9433875.08392334,-2510116.5771484375,2005787.3725891113,4030144.214630127,4720002.6512146,1455671.1912155151,-22535627.365112305,-21785606.384277344,-7130706.787109375,-4842015.743255615,-1428007.2450637817,2751393.0797576904,6099985.122680664,11953307.151794434,5679738.998413086,5645155.906677246,-15915836.334228516,-6496806.621551514,-6633169.651031494,1110596.6567993164,3732788.8011932373,5139378.547668457,12174939.155578613,14149688.720703125,6788957.595825195,-12817221.641540527,-13695199.966430664,-3164832.592010498,-497696.01225852966,6755298.614501953,4694849.491119385,4809855.4611206055,-13524328.231811523,-12166118.621826172,-8449283.599853516,-3478489.1605377197,-9644620.895385742
0.025,-31596462.24975586,-24417442.321777344,-6350974.082946777,-11364114.761352539,-4434881.210327148,-24130140.30456543,-23552978.515625,-22442239.76135254,-6931852.340698242,-7441333.770751953,-10266057.014465332,-8627604.484558105,-14807641.02935791,-27037601.470947266,-21253932.95288086,-15579658.508300781,-12313962.936401367,-9960838.317871094,-4563916.206359863,-5832718.372344971,-2870178.699493408,-9286134.719848633,-19944379.806518555,-11019288.063049316,-18338260.650634766,-9715380.668640137,-3971302.032470703,292728.57308387756,1184238.6722564697,1212287.0683670044,-3267467.260360718,-28739795.684814453,-19042917.251586914,-4221044.540405273,-2413905.143737793,515552.5207519531,2982600.688934326,4801930.904388428,9571310.043334961,2767297.0294952393,1809262.3949050903,-13935573.57788086,-3050892.114639282,-3080915.689468384,3015768.7664031982,4124595.1652526855,3712141.275405884,10104653.358459473,11048146.24786377,3384753.465652466,-10850781.440734863,-11748469.352722168,-1147705.5549621582,-2501054.048538208,3194744.348526001,1052828.6695480347,1120592.8325653076,-12838748.931884766,-11922637.939453125,-9583383.560180664,-5392463.207244873,-11380223.274230957
0.03,-35302524.56665039,-28969364.166259766,-12882005.69152832,-12891758.918762207,-9423775.672912598,-26605955.123901367,-26268138.885498047,-25228260.040283203,-8296512.603759766,-8338276.8630981445,-13468476.295471191,-12981505.393981934,-19904647.827148438,-32995899.200439453,-23221187.591552734,-17125463.485717773,-13699385.643005371,-11320978.164672852,-4213255.405426025,-7634835.720062256,-6531182.765960693,-14334452.629089355,-25893589.01977539,-10318481.4453125,-19783636.09313965,-10450198.17352295,-4516994.476318359,568973.0644226074,-331240.9520149231,-2406461.238861084,-8404702.186584473,-35772796.630859375,-18607196.807861328,-3164041.9960021973,-2751556.158065796,538295.0901985168,3069344.5205688477,3458624.839782715,7097943.7828063965,-1849144.9356079102,-2275784.0156555176,-13853800.773620605,-2969897.2702026367,-3567439.079284668,1208686.9478225708,1713767.5285339355,1406697.2732543945,6351893.424987793,6254051.685333252,-1293145.1797485352,-11905424.118041992,-12817153.930664062,-4249340.057373047,-7626411.914825439,-2258240.222930908,-4422153.472900391,-4378693.103790283,-14951421.737670898,-14547883.033752441,-13332136.154174805,-9824954.986572266,-15333065.032958984
0.035,-27113237.380981445,-18982261.657714844,-5054045.677185059,-8636864.66217041,-5395874.977111816,-24872264.862060547,-24045894.622802734,-23242448.806762695,-5673287.868499756,-4946775.436401367,-10624619.483947754,-10571894.645690918,-17467414.85595703,-29911367.416381836,-23549411.77368164,-16888473.510742188,-11972093.58215332,-9410333.633422852,-399910.569190979,-5331441.402435303,-6099397.659301758,-14340519.905090332,-25262319.564819336,-12011781.692504883,-21193174.362182617,-10875053.405761719,-3882285.1181030273,1751605.9875488281,177296.57888412476,-4175365.447998047,-10430215.835571289,-36665534.97314453,-20506483.07800293,-5847677.230834961,-5623091.697692871,-1270760.178565979,2545006.9904327393,2795580.1486968994,5507442.951202393,-5371614.456176758,-5413658.142089844,-16406190.872192383,-7465643.405914307,-7780607.223510742,-2576793.670654297,-992572.0691680908,223579.80906963348,2690208.4350585938,2722046.136856079,-4950603.008270264,-15847922.325134277,-16796146.392822266,-10272171.974182129,-11191243.171691895,-5404266.357421875,-7778529.644012451,-7742557.048797607,-19318140.029907227,-18487087.24975586,-16858999.252319336,-13707178.115844727,-19022466.6595459
0.04,-19726430.892944336,-8654150.009155273,5152430.534362793,-5807776.45111084,415011.0185146332,-24548439.025878906,-22422714.233398438,-21657899.856567383,-4066332.8170776367,-2743424.654006958,-7385891.914367676,-6905757.904052734,-14180468.559265137,-26406471.252441406,-25756322.860717773,-17933340.072631836,-11138466.835021973,-7950914.38293457,1835768.3420181274,-3220729.5894622803,-4532219.409942627,-13093655.586242676,-23913978.576660156,-16723085.403442383,-24032144.54650879,-11796308.517456055,-3590745.449066162,1687105.8940887451,788380.0268173218,-4840870.380401611,-10693736.07635498,-35373825.07324219,-25134996.41418457,-10925230.026245117,-8621179.580688477,-3204469.2039489746,1892170.3100204468,3296607.494354248,4617872.714996338,-6877929.210662842,-8189786.911010742,-21439083.099365234,-13441497.802734375,-12122709.274291992,-4879428.386688232,-1719840.7649993896,692821.5622901917,1085199.8329162598,1837308.406829834,-7006550.312042236,-20946634.29260254,-22080930.709838867,-14470746.994018555,-11552429.19921875,-5408315.658569336,-8488463.401794434,-8327077.865600586,-24466430.6640625,-22708026.885986328,-19200237.274169922,-15849805.83190918,-22272916.793823242
0.045,-23221553.802490234,-10437607.765197754,5466726.303100586,-9209739.685058594,188940.73367118835,-29316783.905029297,-25951347.35107422,-24934976.57775879,-6996837.615966797,-5396992.6834106445,-9123140.335083008,-7711739.063262939,-15812220.573425293,-29486074.447631836,-31036975.860595703,-21684282.302856445,-13838830.947875977,-9554667.472839355,-293077.17084884644,-4653680.324554443,-4938682.556152344,-13978724.479675293,-26437765.12145996,-21982585.906982422,-28380222.32055664,-13555606.842041016,-4784160.614013672,-154963.28473091125,257133.45408439636,-5063354.969024658,-11021222.114562988,-36492778.77807617,-30280082.70263672,-14772928.237915039,-9918383.598327637,-4162266.731262207,1682609.9157333374,4864033.6990356445,4563718.795776367,-6302244.663238525,-9591643.333435059,-26138488.76953125,-16406181.335449219,-13470044.136047363,-4535267.8298950195,-700101.1371612549,1833179.1162490845,2355751.2760162354,3493223.6671447754,-6984568.119049072,-24161520.00427246,-25471799.850463867,-14347457.885742188,-10376886.367797852,-3687944.6506500244,-7608814.239501953,-7210450.172424316,-27459123.611450195,-25417291.64123535,-20265710.830688477,-16049821.853637695,-24463697.43347168
