time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,462623.9538192749,-789982.0804595947,-708696.6037750244,1013382.4348449707,625949.9192237854,-1851830.7209014893,-1786734.3425750732,-1767062.6640319824,904146.671295166,609845.1614379883,-248978.31678390503,-216928.6459684372,-211521.72982692719,-6547330.856323242,-1982878.32736969,241075.2773284912,469430.20820617676,361469.5966243744,-175479.42698001862,-193395.4358100891,-194671.97358608246,-199912.9205942154,-6619775.295257568,-2111389.398574829,-369150.3405570984,691277.6231765747,71680.37444353104,30045.40503025055,9948.492050170898,-528223.6933708191,-943909.1682434082,-6622114.181518555,-2341688.394546509,-2392115.592956543,-539999.24659729,194981.00876808167,10326.90517604351,-681131.4225196838,-547060.0724220276,-3278648.614883423,-6609655.380249023,-2476691.0076141357,-2383215.1889801025,-2386158.9431762695,-2736835.479736328,-2741948.366165161,-700954.794883728,-3328723.192214966,-3323189.4969940186,-3303806.781768799,-2611253.499984741,-2628882.884979248,-2646529.9129486084,-2789316.415786743,-3444633.4838867188,-3461565.2561187744,-3512184.8583221436,-2801171.064376831,-2667578.69720459,-2802667.8562164307,-3462740.182876587,-3457697.629928589
0.005,12421057.70111084,31773057.93762207,26928297.04284668,6774606.227874756,15989072.799682617,100298.03961515427,-348939.7466182709,-425258.1596374512,2480358.123779297,3902460.3366851807,6787674.427032471,6497235.298156738,6734684.944152832,19041484.832763672,-226503.75962257385,2907093.286514282,1462353.3487319946,-23637.142032384872,5795408.248901367,5509725.093841553,6042574.882507324,6149137.9737854,20082172.393798828,-1409483.0751419067,-685450.2558708191,-1321201.0860443115,-2978092.4320220947,-1378942.847251892,-1040512.8002166748,546453.8335800171,-1487553.8349151611,20277162.551879883,-1704037.3086929321,-909150.1235961914,-5005320.5490112305,-6072371.006011963,-856018.0068016052,-6391470.909118652,951029.4198989868,-2315830.4691314697,20480581.283569336,-485145.59864997864,-1512197.6137161255,-1384724.9746322632,-3467278.7189483643,-3684425.3540039062,-5763408.184051514,-2380501.7471313477,-2167830.467224121,-2200352.191925049,-1245308.1607818604,-846021.4734077454,-1207382.7981948853,-3341312.1700286865,-2670955.8963775635,-2984979.3910980225,-1863548.5172271729,-656149.5065689087,-952286.4818572998,-3734103.9180755615,-3045358.180999756,-3380311.965942383
0.01,16275268.5546875,43200275.42114258,35389095.306396484,7137979.507446289,21008083.34350586,2571.854740381241,-617923.0213165283,-700934.4696998596,2267656.5647125244,5710534.572601318,9357045.17364502,8867658.615112305,9064570.426940918,24272533.416748047,-431302.0408153534,2426097.869873047,555734.5151901245,-913973.8082885742,7791433.334350586,7511505.603790283,8147398.948669434,8059072.494506836,25678318.02368164,-1936915.8744812012,-1786727.1900177002,-3299615.6215667725,-4864129.066467285,-1952013.9694213867,-1385907.6499938965,-269596.04024887085,-5629530.429840088,25989501.953125,-2204250.0972747803,-1052136.5404129028,-6585072.040557861,-9253526.68762207,-1238894.3433761597,-9851402.282714844,113018.7064409256,-4002944.4694519043,26199888.229370117,-464568.8831806183,-1886186.7189407349,-1722917.6759719849,-5729661.94152832,-5991398.811340332,-9047619.819641113,-4045538.902282715,-3674388.647079468,-3755762.3386383057,-1434958.1003189087,-737049.5200157166,-1300708.8899612427,-5490804.672241211,-4371859.073638916,-4704842.567443848,-3031046.8673706055,-483951.77721977234,-970574.4981765747,-6013487.815856934,-4592737.674713135,-5173564.910888672
0.015,12330593.10913086,34523429.87060547,25549459.45739746,2553791.046142578,15298926.35345459,-1374319.076538086,-1824793.815612793,-1915522.2177505493,119846.85063362122,4907059.192657471,6906453.1326293945,6369140.625,6339988.708496094,11759212.493896484,-1764048.69556427,-208298.921585083,-1796159.3866348267,-2331587.791442871,5364202.02255249,5295300.006866455,5736541.748046875,5211030.960083008,12803535.461425781,-2928464.17427063,-2960418.224334717,-4681140.899658203,-5402524.471282959,-1845377.9220581055,-1217322.587966919,-1650114.4170761108,-10766050.338745117,13095504.760742188,-3043512.8211975098,-1941079.85496521,-5041491.985321045,-8949448.585510254,-1253010.7498168945,-10190954.208374023,-1605749.3686676025,-6127428.5316467285,13248250.961303711,-1560188.0550384521,-2704505.205154419,-2561532.974243164,-7377496.242523193,-7604336.261749268,-9584436.416625977,-6140302.658081055,-5697153.091430664,-5855269.432067871,-2325622.320175171,-1547695.6367492676,-2081704.1397094727,-7097616.195678711,-6380621.433258057,-6547023.296356201,-4965085.983276367,-1340812.3254776,-1858702.6596069336,-7519500.255584717,-6141326.904296875,-6731676.10168457
0.02,7020652.294158936,23215852.737426758,13563028.335571289,-1960732.4600219727,7412909.507751465,-1682798.3856201172,-1924457.07321167,-2126221.8952178955,-2349836.3494873047,1796280.3840637207,2763627.052307129,2254921.4363098145,2096037.3878479004,89922.97947406769,-1928740.0245666504,-1353835.5827331543,-3361995.9354400635,-3675449.3713378906,1509107.8281402588,1537543.773651123,1931437.0155334473,1115262.1507644653,674142.1818733215,-2778052.806854248,-2942661.2854003906,-4764551.162719727,-5189103.126525879,-1828116.4169311523,-1252354.7410964966,-1280033.826828003,-11749486.923217773,856836.5573883057,-2643911.838531494,-1580878.734588623,-2641836.166381836,-7211032.867431641,-1352798.8195419312,-8640165.328979492,-1383028.3880233765,-5114031.3148498535,1104548.692703247,-1524039.2684936523,-2350298.1662750244,-2174087.7628326416,-5768762.588500977,-6049191.951751709,-8139003.753662109,-5107461.929321289,-4719788.074493408,-4957823.276519775,-2022371.530532837,-1371781.9452285767,-1696293.830871582,-5498391.628265381,-5297654.628753662,-5401818.27545166,-4083238.6016845703,-961510.0622177124,-1567807.912826538,-5799614.906311035,-4835983.2763671875,-5171043.395996094
0.025,5299288.272857666,21608415.603637695,11402054.786682129,-2736539.840698242,5348701.000213623,-284989.1781806946,-537212.7890586853,-849700.5701065063,-3350494.861602783,-1403146.743774414,746513.0686759949,247041.255235672,134465.90304374695,95499.16535615921,-461284.90567207336,338737.9050254822,-2956023.931503296,-4235202.789306641,-379700.54149627686,-548203.8855552673,68805.48596382141,-632593.6913490295,580911.5171432495,-1448758.3637237549,-1991172.5521087646,-3786591.7682647705,-4857808.589935303,-2159817.695617676,-1675028.0857086182,207688.0782842636,-8715216.636657715,709518.9690589905,-1043442.7261352539,160592.07916259766,-1846955.5377960205,-6314468.3837890625,-1633953.0944824219,-7411177.158355713,348641.12734794617,-1748019.0992355347,1150941.014289856,24968.66323053837,-848142.4450874329,-568187.7732276917,-2384636.402130127,-2754456.5200805664,-6744616.508483887,-1679290.2946472168,-1462485.5518341064,-1682649.3740081787,-405999.5412826538,71257.54654407501,-65283.842384815216,-2163218.0213928223,-1965731.9784164429,-2161512.1364593506,-892484.3072891235,876923.4418869019,111015.71470499039,-2448935.031890869,-1580522.5372314453,-1632222.294807434
0.03,8108233.451843262,28443304.06188965,18281543.731689453,-332938.5221004486,9678327.560424805,1230663.537979126,775043.8451766968,516602.9930114746,-2545385.5991363525,-2151271.5816497803,2057780.2658081055,1519372.820854187,1468149.185180664,6529402.256011963,932865.7984733582,2480335.235595703,-1726374.1493225098,-3807305.8128356934,817079.5440673828,311664.1342639923,1134353.1608581543,738131.7615509033,7202315.807342529,-381747.8120326996,-1699351.42993927,-3010017.156600952,-4703627.586364746,-2332491.874694824,-1923245.6684112549,174415.85659980774,-7038653.85055542,7415441.036224365,197170.27246952057,1568875.5512237549,-3245559.9308013916,-7078030.586242676,-1721741.1994934082,-7346964.8361206055,609057.8436851501,319174.8559474945,7904032.230377197,1445384.6216201782,321215.6593799591,660478.949546814,-870053.6489486694,-1186884.2840194702,-6515550.136566162,507081.15100860596,592647.8505134583,484209.5077037811,975648.4627723694,1403409.481048584,1250366.3301467896,-719438.8508796692,66475.39138793945,-144918.60568523407,1254696.9652175903,2406792.163848877,1543659.5678329468,-1017333.3883285522,492315.798997879,446903.7055969238
0.035,13471887.588500977,36191490.173339844,26454626.083374023,2232561.3498687744,14790404.319763184,1462166.5477752686,848284.0061187744,744042.9925918579,-1114375.8296966553,-163393.9892053604,4815699.100494385,4256567.95501709,4157950.4013061523,9252312.660217285,951174.0803718567,2689136.743545532,-1194922.0895767212,-2664913.8927459717,3534279.8233032227,2856153.2497406006,3638035.535812378,3267857.074737549,10102785.110473633,-421046.2272167206,-2587561.1305236816,-3151535.987854004,-4583620.548248291,-1924422.7409362793,-1574373.9604949951,-1742578.9833068848,-9707605.361938477,10431143.760681152,133267.3281431198,1563716.7692184448,-5313191.4138793945,-8522659.301757812,-1361427.1879196167,-7370498.6572265625,-1340202.5699615479,-173525.73573589325,10772469.520568848,1578144.0734863281,361101.77636146545,603533.9832305908,-2000269.1745758057,-2156927.5856018066,-6623417.377471924,75727.52982378006,272286.3554954529,179907.96267986298,1195425.033569336,1690188.8847351074,1348512.053489685,-1914916.6345596313,-382345.88503837585,-443429.1124343872,1030716.061592102,2548171.7586517334,1671271.562576294,-2125992.5365448,349289.98351097107,32090.872526168823
0.04,16791273.11706543,38236499.78637695,28521945.95336914,2672351.598739624,15232217.788696289,955401.7782211304,425677.1504878998,356030.76219558716,-159406.8557024002,2281621.4561462402,6099584.579467773,5636151.313781738,5422069.072723389,3333203.3157348633,351559.5495700836,2136183.261871338,-791978.3592224121,-1018404.483795166,5131808.757781982,4595385.551452637,5177484.512329102,4412623.405456543,4216505.527496338,-807078.9575576782,-2826735.258102417,-2998473.644256592,-3861659.049987793,-1243575.930595398,-987332.0460319519,-3024979.829788208,-13610783.576965332,4517489.433288574,-434118.0622577667,928135.5738639832,-5683478.832244873,-8557329.177856445,-820832.4313163757,-6602440.83404541,-2870348.2151031494,-1850507.7362060547,4724359.035491943,1064573.049545288,42464.785277843475,66073.10473918915,-3666738.510131836,-3793709.2781066895,-6060883.045196533,-1694610.834121704,-1181725.6212234497,-1467187.6430511475,884923.5773086548,1420658.4692001343,934517.6815986633,-3652795.5532073975,-1968252.8972625732,-1964004.1589736938,-552468.0614471436,2025820.9705352783,1148361.6828918457,-3688666.582107544,-997945.3682899475,-1538172.960281372
0.045,14395475.387573242,32481666.564941406,22426708.221435547,1477359.2948913574,11230732.917785645,1536102.056503296,1291427.9699325562,1105049.1333007812,545057.9524040222,2886224.5082855225,4838153.36227417,4590192.794799805,4282613.754272461,-9709817.886352539,1030149.3406295776,3978666.305541992,1347799.4203567505,974922.6570129395,4348211.288452148,4138264.6560668945,4546971.321105957,3369660.1390838623,-8885267.25769043,-32351.922243833542,-242365.5092716217,-746022.9396820068,-2084517.240524292,-886584.6395492554,-775551.7959594727,-2238437.1757507324,-14499289.512634277,-8754419.326782227,208170.75669765472,1340282.7978134155,-3233876.2283325195,-5976469.993591309,-540811.9559288025,-5817175.86517334,-2119996.3092803955,-3817699.909210205,-8540923.118591309,1476126.3132095337,778435.8263015747,611851.5133857727,-4525181.293487549,-4817906.856536865,-5339495.658874512,-3801437.3779296875,-3096012.830734253,-3590020.6565856934,1357589.1256332397,1858036.8757247925,1424717.7839279175,-4627829.074859619,-3833228.349685669,-4067750.4539489746,-2718556.8809509277,2315439.224243164,1472134.7093582153,-4538765.907287598,-2878226.7570495605,-3368862.1520996094
