time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-6637934.684753418,-7781074.523925781,-2952300.786972046,-3947667.121887207,-2404398.9181518555,-4551790.237426758,-3298797.607421875,-3234113.6932373047,-1412146.2106704712,-1425276.279449463,-1152805.9244155884,-362635.61248779297,-442903.19085121155,-487415.93956947327,-178305.59611320496,-2928592.6818847656,-1711118.6981201172,-779641.5686607361,-769676.4469146729,-273278.71322631836,-572685.956954956,-567712.3069763184,595947.0868110657,-219680.14538288116,-1256632.924079895,-751102.8051376343,-90672.72394895554,80368.79450082779,342843.9199924469,678037.4050140381,727323.8897323608,678495.466709137,-89889.60832357407,761680.6030273438,403043.7171459198,139976.50146484375,51475.81547498703,596060.1568222046,382261.33584976196,974702.000617981,1059714.913368225,-126531.12411499023,436250.38862228394,443525.105714798,1029850.6021499634,79559.13990736008,-89302.07788944244,1065061.5692138672,1101655.0064086914,1039080.3813934326,357827.7826309204,328896.76094055176,1353939.6524429321,2795098.066329956,1039497.971534729,1000052.0944595337,1068012.1183395386,1577382.8029632568,1627887.6066207886,2843159.9140167236,1000180.721282959,1023662.6863479614
0.005,-7597665.786743164,-20232780.45654297,27903047.561645508,-928324.9974250793,6768220.901489258,-13632197.380065918,-965951.8003463745,-825599.1339683533,2517407.8941345215,4521227.836608887,4196632.385253906,416025.90680122375,-174223.6167192459,-640429.2583465576,2136338.472366333,-7226609.230041504,-1050198.9126205444,3302890.5391693115,3969490.7665252686,3280314.2070770264,-1743521.9287872314,-4644913.196563721,-14670816.421508789,681529.2835235596,-664669.394493103,-1203711.8673324585,2640615.463256836,1030964.4937515259,1648068.3088302612,-3910567.9988861084,-7565336.227416992,-13566637.03918457,1818232.536315918,753368.3776855469,-4087234.9739074707,2141128.3016204834,595956.7427635193,248739.76409435272,-7063778.877258301,-10241971.969604492,-9525660.514831543,1551490.306854248,-4024174.213409424,-3431128.740310669,-1554293.2748794556,967608.1538200378,-8443603.515625,-10205425.262451172,-9564097.40447998,-10015914.916992188,-11578166.961669922,-11763606.071472168,-5223840.713500977,-5028908.729553223,-9908257.484436035,-10432480.812072754,-9637502.670288086,-11864044.189453125,-10308182.716369629,-3964464.6644592285,-10664948.463439941,-10650722.50366211
0.01,-2763737.440109253,-18744771.95739746,42346794.12841797,1376053.810119629,10949282.6461792,-13955331.802368164,1224785.327911377,1525849.3423461914,4833230.972290039,7499288.558959961,6122604.3701171875,-893798.291683197,-1771318.9125061035,-2305711.7462158203,1249779.7012329102,-7206530.570983887,-141928.19595336914,5315905.0941467285,6586585.998535156,3574392.795562744,-4098236.083984375,-8332482.33795166,-25058427.810668945,-581563.2939338684,-886993.5870170593,-1340515.8519744873,3714075.803756714,1347167.2534942627,559303.6413192749,-7629855.632781982,-14727722.16796875,-23494905.471801758,873411.5958213806,-2060189.962387085,-8310755.729675293,2793502.3307800293,807768.2256698608,-1032217.264175415,-12242145.538330078,-18862936.01989746,-18022150.03967285,439823.9850997925,-8321162.223815918,-7559533.596038818,-3699131.965637207,1210612.0586395264,-13294071.197509766,-18942056.65588379,-18092134.475708008,-18757394.790649414,-19312803.268432617,-19578573.22692871,-11467740.058898926,-13018905.639648438,-18516422.271728516,-19249895.095825195,-18101570.12939453,-21784070.96862793,-19606555.938720703,-11605801.582336426,-19542345.04699707,-19571117.401123047
0.015,1426302.3138046265,-11961198.806762695,38375354.7668457,997914.0162467957,8897583.0078125,-9771925.926208496,1992192.6259994507,2501851.797103882,4428730.9646606445,7345187.664031982,4624398.231506348,-3730278.968811035,-4671440.601348877,-4964541.435241699,-1483707.6663970947,-5777976.989746094,-634428.6799430847,4556317.329406738,6434106.349945068,1303069.9491500854,-6918012.1421813965,-10531975.746154785,-28576299.6673584,-2883460.760116577,-2842090.368270874,-2556922.674179077,2931187.391281128,1068629.3840408325,-1774412.5127792358,-9592035.293579102,-18445253.372192383,-27070419.311523438,-1674134.373664856,-6139218.807220459,-11027501.106262207,2274307.0125579834,605921.20885849,-2380279.779434204,-13383238.792419434,-21894783.02001953,-21216714.85900879,-2178216.2189483643,-11133433.34197998,-10488306.045532227,-4324301.242828369,907084.9418640137,-13323661.804199219,-21996753.692626953,-21265754.69970703,-21964506.149291992,-21087106.704711914,-21393949.508666992,-14377665.519714355,-16887525.55847168,-21685739.517211914,-22386182.78503418,-21199480.056762695,-24924552.91748047,-22965692.5201416,-15715620.994567871,-22457527.16064453,-22564163.208007812
0.02,-6784175.872802734,-19960224.151611328,25564859.39025879,-4260007.381439209,2404667.615890503,-12558595.657348633,-641031.2652587891,-1787.3526085168123,912753.2839775085,5554111.957550049,1676708.9366912842,-6429885.8642578125,-7359340.190887451,-7462711.334228516,-2522825.002670288,-9155583.381652832,-4284527.778625488,1753873.4674453735,4269904.136657715,-550839.364528656,-8851341.247558594,-10769772.52960205,-27062746.047973633,-3727262.7353668213,-6569231.5101623535,-6029833.3168029785,1689409.2559814453,749093.7113761902,-2682157.7548980713,-9757260.3225708,-17511030.197143555,-25681755.06591797,-2622344.0170288086,-7770182.6095581055,-11017320.63293457,1807942.7480697632,228323.35531711578,-2275376.796722412,-10645691.871643066,-18582050.323486328,-17750061.03515625,-3148671.865463257,-11076820.373535156,-10421098.709106445,-2552360.5346679688,632538.4974479675,-10008356.094360352,-18413970.947265625,-17761671.06628418,-18445301.055908203,-18441276.55029297,-18837717.056274414,-10869934.08203125,-12173117.637634277,-18287551.879882812,-18939113.61694336,-17741819.381713867,-20463508.60595703,-18841823.57788086,-11241544.723510742,-18652845.38269043,-18807010.650634766
0.025,-26469503.40270996,-44430591.58325195,13153852.462768555,-13324517.250061035,-5911656.379699707,-24318815.231323242,-6541665.077209473,-5924742.698669434,-4564527.988433838,3017486.810684204,-1798533.0820083618,-8892830.848693848,-9817008.972167969,-10010734.558105469,-1205748.5580444336,-17240602.493286133,-9507819.175720215,-1434507.8468322754,1537277.6985168457,-920612.2756004333,-10054098.129272461,-10496333.122253418,-24545982.360839844,-2860814.5713806152,-10174678.802490234,-9815422.058105469,1692901.2537002563,757006.2875747681,-2135409.8320007324,-9430648.803710938,-14511432.647705078,-23142534.255981445,-1373160.719871521,-6175323.486328125,-8740077.018737793,2020323.0381011963,25324.91832971573,-953025.2814292908,-6895834.445953369,-12831047.058105469,-11446314.811706543,-1969524.9795913696,-8615956.30645752,-7752090.930938721,729048.6693382263,644878.6854743958,-6446609.020233154,-12195849.418640137,-11434845.924377441,-12152824.401855469,-14819298.74420166,-15337027.549743652,-2734518.7664031982,-1838378.0717849731,-12073442.459106445,-12758631.706237793,-11511193.27545166,-12185604.095458984,-10576839.447021484,-839978.7545204163,-12342769.622802734,-12426510.81085205
0.03,-41408718.10913086,-63891551.97143555,5332281.112670898,-20673900.604248047,-12985451.698303223,-33982368.46923828,-11693927.764892578,-11189140.319824219,-8982427.597045898,211514.8901939392,-5702023.983001709,-11930028.915405273,-12838288.307189941,-13243688.583374023,364106.3868999481,-22711040.496826172,-11865037.91809082,-3053703.3081054688,-190601.9002199173,-1217926.8598556519,-11644984.245300293,-11716863.632202148,-24138320.922851562,-1762977.7193069458,-10886337.280273438,-10147223.472595215,3356715.9175872803,972923.6960411072,-2407350.0633239746,-10029707.908630371,-13817073.822021484,-22735078.811645508,199821.78509235382,-3858098.268508911,-6042131.423950195,2430670.4998016357,140791.69929027557,-319629.60958480835,-5643759.250640869,-10265050.888061523,-8493247.032165527,-529895.7824707031,-5793292.045593262,-4811466.693878174,3071373.93951416,725895.7028388977,-5135458.946228027,-9330935.47821045,-8478815.078735352,-9266078.94897461,-12835354.804992676,-13381355.285644531,3696677.2079467773,5166203.498840332,-8985784.530639648,-9720797.538757324,-8502681.732177734,-6492496.967315674,-4764825.820922852,6320080.280303955,-9547351.837158203,-9460552.215576172
0.035,-39608345.03173828,-62124561.30981445,3284696.102142334,-21536972.045898438,-16180313.110351562,-32467823.028564453,-11849297.523498535,-11414690.971374512,-9955333.709716797,-2041933.536529541,-9069579.124450684,-15145744.323730469,-16049213.409423828,-16486701.965332031,1122821.2118148804,-20774459.838867188,-9300665.855407715,-2341092.348098755,-248970.55327892303,-2510547.399520874,-13684820.175170898,-14640329.360961914,-26275913.23852539,-901739.1204833984,-8051375.389099121,-6204350.94833374,5279013.633728027,1129626.1548995972,-4168464.183807373,-11472271.919250488,-16662355.422973633,-25014265.060424805,1109573.6026763916,-2600767.8508758545,-4269547.939300537,2477807.5218200684,409559.1604709625,-1408741.83177948,-7639769.077301025,-12399597.16796875,-10794989.585876465,295925.17018318176,-4078111.171722412,-3202470.541000366,2994804.859161377,711619.4367408752,-6135501.384735107,-11523387.908935547,-10780418.395996094,-11621637.344360352,-12694624.900817871,-13133127.212524414,4095273.017883301,4128179.0733337402,-10953168.869018555,-11734475.135803223,-10587167.739868164,-6731440.544128418,-5066684.722900391,5271339.893341064,-11839917.182922363,-11631801.60522461
0.04,-28801475.524902344,-49240306.85424805,5403793.811798096,-18003555.297851562,-15790097.2366333,-24925300.59814453,-8237951.278686523,-7778121.9482421875,-8839205.741882324,-3552242.9943084717,-10758793.830871582,-17265230.178833008,-18250886.917114258,-18506875.99182129,1602643.7282562256,-15691189.765930176,-5382261.276245117,-971183.717250824,236879.73618507385,-4195163.726806641,-15107885.360717773,-17705497.74169922,-29588039.39819336,-20536.985248327255,-4509978.294372559,-1788171.648979187,5485701.560974121,1174131.7510604858,-5525666.7137146,-12448006.629943848,-20083930.96923828,-28436094.284057617,1659650.5641937256,-1885167.5987243652,-3435640.0966644287,2324426.1741638184,590855.0024032593,-3063525.676727295,-10202647.20916748,-15554418.563842773,-14356306.076049805,920810.4610443115,-3366239.547729492,-2621543.6458587646,1788975.477218628,755338.9072418213,-7328867.435455322,-14850855.827331543,-14309616.088867188,-15181852.340698242,-13232383.728027344,-13564488.410949707,645449.9959945679,-385064.2442703247,-14267749.786376953,-15151444.435119629,-13952702.522277832,-10374589.920043945,-8911739.349365234,651571.6910362244,-15191072.463989258,-15023803.7109375
0.045,-24912582.397460938,-44995014.19067383,7680333.137512207,-16383569.717407227,-14608153.343200684,-22619888.305664062,-6450710.773468018,-5973217.964172363,-8998541.831970215,-5052888.870239258,-10935998.916625977,-17771331.787109375,-18897207.260131836,-19032409.66796875,1265419.4831848145,-14569762.229919434,-5034145.832061768,-1327106.7142486572,-321622.16305732727,-5339577.674865723,-15303320.88470459,-19525943.756103516,-32789875.030517578,-257779.12139892578,-3773392.43888855,-927518.0697441101,3563574.0756988525,1197397.8281021118,-5248114.109039307,-12199471.473693848,-21182615.280151367,-31567977.905273438,1158517.7183151245,-1376039.1473770142,-3228430.0327301025,2395037.4126434326,654517.2333717346,-3598989.248275757,-10454501.152038574,-16213302.612304688,-15170500.755310059,635395.348072052,-3183981.8954467773,-2428097.0096588135,1744114.1605377197,975903.2130241394,-6983959.674835205,-15483653.06854248,-15041501.998901367,-15927768.70727539,-14087811.470031738,-14453927.993774414,-1774956.5839767456,-2150947.8092193604,-15064720.153808594,-16046379.089355469,-14731976.509094238,-13273288.72680664,-11911402.702331543,-1164447.30758667,-15805204.391479492,-15777103.424072266
0.05,-29921506.881713867,-50483379.36401367,8372977.256774902,-18362243.65234375,-13728773.11706543,-27027667.999267578,-8619467.735290527,-8288705.825805664,-10558567.04711914,-6246466.636657715,-10271731.37664795,-16865154.266357422,-18017454.147338867,-18295038.2232666,-1361756.682395935,-17673036.575317383,-7873538.970947266,-3054104.3281555176,-1473350.8825302124,-5723236.083984375,-14668076.515197754,-19889200.21057129,-35185287.47558594,-3073941.946029663,-6003772.735595703,-3034649.610519409,1417077.4221420288,1224038.7201309204,-4645817.756652832,-11426456.451416016,-20563209.533691406,-33864322.662353516,-1663552.165031433,-2171515.703201294,-3734587.6693725586,2658786.0584259033,768463.134765625,-2905877.5901794434,-8572033.882141113,-15316024.780273438,-14226208.686828613,-1934838.6526107788,-3661246.7765808105,-2874854.803085327,2959578.7525177,1194117.3076629639,-5909718.5134887695,-14456894.874572754,-14000393.867492676,-14878784.1796875,-16033929.824829102,-16512384.414672852,-2269054.889678955,-2163672.685623169,-14215664.863586426,-15092182.159423828,-13858453.750610352,-15301365.852355957,-13876210.21270752,-1252726.435661316,-14807651.51977539,-14865593.910217285
0.055,-32116798.400878906,-50948802.94799805,9822052.955627441,-19468873.977661133,-11572842.597961426,-29865612.030029297,-10626165.390014648,-10597604.751586914,-10149565.696716309,-5509046.55456543,-8773006.439208984,-14796094.89440918,-15761960.02960205,-16284002.304077148,-5410495.281219482,-19448860.16845703,-9000995.635986328,-3309964.418411255,-1257088.0651474,-5476691.722869873,-13867897.987365723,-19167150.497436523,-35899108.88671875,-7114685.535430908,-8231000.900268555,-4358008.861541748,1214611.8879318237,1235407.5908660889,-5186788.082122803,-11273039.817810059,-20293336.868286133,-34641613.0065918,-5672363.758087158,-4489194.393157959,-4708383.083343506,2792857.6469421387,1022190.3324127197,-2134969.711303711,-6913743.495941162,-15543604.850769043,-14583291.053771973,-5743048.191070557,-4679915.904998779,-4024108.88671875,3483417.749404907,1222841.6204452515,-6070029.735565186,-14809379.577636719,-14322202.682495117,-15204113.960266113,-18953481.674194336,-19454088.21105957,-3573396.682739258,-5140881.061553955,-14707751.274108887,-15240810.39428711,-14298381.805419922,-18812829.971313477,-17295892.7154541,-4470141.887664795,-15236371.040344238,-15271821.022033691
0.06,-26809913.635253906,-42417407.98950195,12522961.616516113,-17510948.181152344,-8494943.618774414,-27225522.994995117,-9127836.227416992,-9323065.757751465,-7086508.274078369,-3142530.4412841797,-7047676.086425781,-12661350.25024414,-13376935.005187988,-13914475.440979004,-7383662.700653076,-17736242.294311523,-6495833.873748779,-1288639.5454406738,268870.91994285583,-5042988.300323486,-13575203.895568848,-17911062.240600586,-34119571.685791016,-8799235.343933105,-8487882.614135742,-3453115.701675415,2623980.760574341,1283339.6196365356,-6166384.220123291,-12010696.411132812,-20270040.51208496,-32970218.658447266,-7463344.573974609,-6228816.032409668,-5089190.95993042,2755499.6013641357,1267377.8533935547,-1971665.620803833,-6610513.210296631,-16433233.261108398,-15759251.594543457,-7437650.203704834,-5094172.954559326,-4680061.340332031,2682104.1107177734,1179119.1101074219,-7293216.228485107,-16100156.784057617,-15572998.046875,-16525833.129882812,-20679954.528808594,-21101814.27001953,-5831831.932067871,-9785401.344299316,-16125673.294067383,-16372409.82055664,-15583518.028259277,-22543243.408203125,-21015762.329101562,-9379327.774047852,-16557353.973388672,-16533605.575561523
