time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-460956.54368400574,-223449.6921300888,97385.55550575256,-97367.39099025726,111510.0085735321,-646732.9263687134,72242.90072917938,94878.39788198471,66978.84202003479,-279636.7406845093,-281798.8097667694,515549.54051971436,596053.3618927002,1795759.2010498047,-137520.83480358124,256221.53282165527,-99411.4801287651,-53374.81573224068,-87357.61046409607,-113659.73949432373,256947.3385810852,806542.3965454102,1234268.069267273,344774.7826576233,52757.43082165718,-363063.66324424744,-371646.2850570679,-11554.713360965252,-62266.32371544838,420323.7295150757,539392.1136856079,1159676.0749816895,-1140593.7671661377,-72255.79023361206,-621005.8927536011,-134468.77896785736,52180.02572655678,931890.9049034119,512549.63874816895,513813.43603134155,1142622.8284835815,-388245.49317359924,761593.0438041687,708521.7833518982,-17238.201573491096,61562.65735626221,1008593.5592651367,1148667.2163009644,1189967.0362472534,1170625.09059906,883572.6976394653,901754.9753189087,868253.6482810974,61301.22393369675,1091096.9972610474,1162357.5687408447,1155009.7465515137,553160.548210144,1815521.9554901123,360313.7731552124,1072072.8635787964,995477.6763916016
0.005,-11737463.95111084,-1469837.7847671509,7977371.692657471,-1338796.1387634277,6596662.998199463,-20582918.167114258,-6847105.026245117,-6310730.457305908,-6127820.96862793,289784.64007377625,35631.82055950165,12914660.453796387,13970707.893371582,28080574.03564453,-17421600.341796875,-11188993.453979492,-7862752.914428711,-5194924.831390381,448706.4480781555,-52785.61636805534,7022883.892059326,13851048.469543457,17972021.102905273,-8582382.202148438,-10775429.725646973,-9847707.748413086,-5540481.090545654,-545965.4331207275,1482942.5811767578,8029965.400695801,9530208.587646484,16541584.014892578,-5091370.105743408,-4093814.3730163574,-9597264.289855957,-4818533.420562744,-36292.92920231819,10342248.916625977,8117259.0255737305,8548795.700073242,15595514.297485352,2551534.1758728027,-1596961.7366790771,-3359897.3751068115,-1561367.9885864258,-22863.764315843582,11451046.94366455,15269244.194030762,15781187.057495117,15857244.491577148,2760155.9162139893,3443833.112716675,665456.3546180725,301570.95193862915,13958849.906921387,15061812.400817871,15319130.897521973,8513194.08416748,8974658.966064453,7230959.415435791,13538695.335388184,12635762.214660645
0.01,-20760969.161987305,-5649327.754974365,9410552.978515625,-1567202.6872634888,7445374.011993408,-33479587.55493164,-12734027.862548828,-12029315.948486328,-11617317.199707031,-1657151.9374847412,-2011481.523513794,17719110.4888916,19078893.661499023,39967651.3671875,-26596212.38708496,-17292085.647583008,-13213068.008422852,-9123324.394226074,-616188.4665489197,-1204665.184020996,8911868.09539795,19016477.584838867,24795181.274414062,-12738286.972045898,-15583047.866821289,-14706183.433532715,-8795046.80633545,-1124874.9494552612,1187629.8189163208,10463152.885437012,12622578.620910645,22735595.703125,-5991779.804229736,-5178428.173065186,-12893265.724182129,-7094278.812408447,-136292.2340631485,14077866.554260254,10418213.844299316,11128314.018249512,21483839.03503418,4535060.882568359,-1285114.049911499,-4458540.439605713,-1635780.3344726562,-143386.3341808319,15465325.355529785,20971706.39038086,21559705.73425293,21744722.366333008,3998634.8152160645,5028507.709503174,1331665.5158996582,500057.99531936646,19079879.760742188,20820034.02709961,21121881.48498535,11819142.34161377,12702184.677124023,10279109.001159668,18580345.153808594,17375030.517578125
0.015,-26137477.87475586,-11472861.289978027,4998832.225799561,-1048301.6967773438,3153759.479522705,-37923072.814941406,-17197862.62512207,-16691007.614135742,-16116575.241088867,-5898095.13092041,-6230132.579803467,15081068.992614746,16194076.538085938,37612815.856933594,-27922933.57849121,-18333753.58581543,-16131498.336791992,-12010541.915893555,-3214627.981185913,-3563344.2401885986,6480658.531188965,16961328.506469727,22740003.58581543,-12566889.762878418,-14899483.680725098,-15228764.533996582,-10063941.00189209,-1520253.6582946777,-412628.82947921753,8598797.798156738,10728986.740112305,20823242.1875,-4572968.006134033,-4045219.4213867188,-11358755.111694336,-7170561.31362915,-127545.65477371216,12944007.873535156,8443435.668945312,9225051.879882812,19842781.06689453,5338410.377502441,888216.8531417847,-2969347.0001220703,-426183.7899684906,-115069.35954093933,14117754.936218262,19275590.896606445,19685705.184936523,19961290.35949707,4723030.567169189,5713625.431060791,3047780.0369262695,709704.2202949524,17500511.169433594,19407337.188720703,19512165.069580078,11319869.041442871,13384196.281433105,10283519.744873047,17177083.96911621,16199657.440185547
0.02,-27995101.928710938,-15339701.652526855,340740.6806945801,-781147.4800109863,-1307217.7171707153,-37675064.08691406,-20288946.1517334,-19997411.727905273,-19502536.77368164,-9887266.159057617,-10194123.268127441,11225219.7265625,12145415.306091309,32307048.797607422,-27528455.73425293,-18523908.615112305,-18125688.552856445,-14568244.934082031,-5553797.245025635,-5725683.689117432,4394587.03994751,14610013.008117676,20616157.53173828,-12052728.652954102,-13893921.852111816,-15278401.374816895,-10512737.274169922,-1461791.2769317627,-1115454.3161392212,7562416.076660156,9552725.791931152,19068279.266357422,-3585716.724395752,-3703246.831893921,-10074582.09991455,-7103503.227233887,66833.83136987686,12161857.604980469,7649713.039398193,8351092.338562012,18389566.42150879,5252940.1779174805,1798637.5093460083,-1683424.8304367065,552480.8168411255,218270.37632465363,13407747.268676758,17797895.431518555,18182790.756225586,18474578.857421875,5514724.7314453125,6280055.522918701,4932079.315185547,936069.3693161011,16291095.733642578,18126085.28137207,18011940.002441406,10914509.773254395,13726292.610168457,10495651.245117188,16043491.36352539,15362097.74017334
0.025,-28325807.571411133,-16480537.414550781,-1440776.4673233032,-1091226.8161773682,-2923912.286758423,-37134033.203125,-22131687.16430664,-21727895.736694336,-21600873.947143555,-11622159.004211426,-11923270.225524902,10627344.131469727,11657644.271850586,31970300.674438477,-29165172.576904297,-20264316.55883789,-19881437.301635742,-16491537.094116211,-5850818.157196045,-6130716.800689697,5516262.531280518,16111469.268798828,23272909.16442871,-13269553.184509277,-15488361.358642578,-17163299.560546875,-10763434.410095215,-1058314.6810531616,131977.79655456543,9975985.527038574,12056577.682495117,21848320.00732422,-4014354.705810547,-5379082.202911377,-11302496.910095215,-8032392.501831055,270992.1598434448,14277559.280395508,10723560.333251953,11301588.05847168,21154788.970947266,4654371.738433838,150917.6939725876,-2153886.556625366,355684.5188140869,625789.3443107605,15994693.756103516,20549272.537231445,21117300.033569336,21339748.38256836,6505739.212036133,7114286.89956665,5673089.504241943,1027725.5773544312,18965188.98010254,20767787.93334961,20677373.8861084,11793338.775634766,14716873.168945312,11662298.202514648,18535190.58227539,17814664.840698242
0.03,-29885787.963867188,-17724985.122680664,-2291014.4329071045,-1437486.7677688599,-3113472.4617004395,-38183528.900146484,-22964015.96069336,-22231130.599975586,-22476501.46484375,-11419905.662536621,-11682220.458984375,12218677.520751953,13409867.286682129,34751735.68725586,-31798238.75427246,-22326311.111450195,-20789907.455444336,-16766199.111938477,-4148736.9537353516,-4659979.343414307,8054891.586303711,19001085.28137207,27098337.173461914,-14803589.820861816,-17909904.47998047,-19593118.66760254,-10533158.302307129,-747058.093547821,1950649.7383117676,13192143.440246582,15416747.093200684,25564758.30078125,-5220564.365386963,-7547843.933105469,-12763993.263244629,-9180576.32446289,222729.59351539612,16699171.06628418,14559821.128845215,15072391.510009766,24683622.360229492,3879729.5093536377,-2100432.3959350586,-3335268.497467041,-363957.7627182007,667628.1094551086,18655479.431152344,24131929.397583008,24775066.375732422,24903013.229370117,6910515.308380127,7526190.757751465,4721844.19631958,868601.3221740723,22131618.49975586,24035942.07763672,24232858.657836914,11936622.619628906,14887226.104736328,11687646.865844727,21536687.85095215,20491861.34338379
0.035,-33322093.963623047,-20916040.420532227,-4764286.518096924,-1419267.2967910767,-4226657.390594482,-39929706.57348633,-23013893.127441406,-22201335.906982422,-22432281.494140625,-10847122.192382812,-11069883.346557617,12661115.646362305,13859068.870544434,35301681.51855469,-33537410.736083984,-22845813.751220703,-20254100.799560547,-15299740.7913208,-2247123.4798431396,-2842749.59564209,8608137.130737305,18917959.213256836,26599184.036254883,-14965755.462646484,-18509080.88684082,-20297798.15673828,-9634769.439697266,-802666.0680770874,2312548.3989715576,13243211.74621582,15395524.024963379,24995113.372802734,-7343552.589416504,-8725247.383117676,-12371695.518493652,-9382216.453552246,-73559.41832065582,16009197.235107422,14617606.163024902,15165600.776672363,24040695.190429688,2870719.9096679688,-2792890.5487060547,-3804800.271987915,-582765.1023864746,256208.03236961365,17607522.96447754,23621412.27722168,24061117.17224121,24147891.998291016,5555765.628814697,6251601.696014404,2566219.5682525635,576755.5832862854,21269790.649414062,23266368.865966797,23735551.834106445,9956481.93359375,12987295.150756836,9343732.833862305,20844169.61669922,19555999.755859375
0.04,-36009048.46191406,-24229009.6282959,-8307027.816772461,-1303565.9790039062,-6412655.353546143,-40135395.05004883,-22319553.37524414,-21851640.701293945,-21710113.525390625,-10979483.604431152,-11261997.22290039,10591437.339782715,11752792.358398438,32008739.471435547,-34106330.87158203,-21742452.62145996,-18644016.26586914,-13471602.439880371,-1955451.7269134521,-2440303.8024902344,6289888.381958008,15198108.673095703,21594980.239868164,-14151244.163513184,-17252801.8951416,-18919128.41796875,-8498683.92944336,-1067705.512046814,901891.0527229309,9662724.494934082,11566466.331481934,20067567.825317383,-10919985.7711792,-9252788.543701172,-11309911.727905273,-8555281.639099121,-326054.51345443726,12424530.982971191,10494553.565979004,11135396.003723145,19210203.170776367,1124759.316444397,-2348497.8675842285,-3754771.947860718,-488640.81501960754,-170942.0531988144,13465312.004089355,18943630.21850586,19096801.7578125,19232833.862304688,2255162.477493286,2985904.2167663574,-1032.9848155379295,367415.01092910767,16660669.326782227,18511302.947998047,18951351.165771484,6689541.339874268,9882300.37689209,5942017.555236816,16587518.692016602,15364824.295043945
0.045,-35511989.59350586,-25439643.85986328,-11142313.003540039,-1486717.1049118042,-8842725.75378418,-37842868.80493164,-21343088.150024414,-21212959.28955078,-20872310.638427734,-12316735.26763916,-12748471.2600708,6976238.250732422,8187177.658081055,27163730.62133789,-33739669.79980469,-20116628.646850586,-17293092.727661133,-13041697.50213623,-3745143.175125122,-4081236.8392944336,2930749.1779327393,10838177.680969238,16678916.931152344,-13515311.241149902,-15733102.798461914,-16980176.92565918,-7793485.641479492,-1215860.8436584473,-898670.4349517822,5565765.857696533,7305542.945861816,15265872.00164795,-14638662.338256836,-9741017.34161377,-11436522.483825684,-7434750.080108643,-290003.59773635864,9237368.5836792,6142614.841461182,6837982.654571533,14541801.452636719,-991243.0644035339,-2261329.174041748,-3909973.382949829,-883637.9647254944,-136254.6980381012,10045592.308044434,14397056.579589844,14421173.095703125,14692286.491394043,-1081768.9895629883,-362726.0625362396,-2116599.5597839355,318182.43861198425,12571232.795715332,14012673.377990723,14146660.804748535,3845874.309539795,7915407.657623291,3613654.136657715,12574324.607849121,11583381.652832031
