time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,21386285.78186035,20826993.942260742,20634366.989135742,9351237.297058105,9331197.738647461,7709515.09475708,8239998.817443848,6182962.894439697,4353993.892669678,5337205.410003662,2833985.5670928955,8610026.359558105,8251421.928405762,7704714.298248291,7637736.3204956055,4786328.7925720215,2580016.1361694336,2618298.7689971924,2589983.4632873535,1871589.183807373,3291925.4302978516,4985532.760620117,5996183.395385742,3357004.165649414,2851006.9847106934,2384563.684463501,1423387.885093689,1759683.1321716309,2675635.576248169,1274920.94039917,2785090.684890747,860268.8312530518,1727522.373199463,2412610.7692718506,1525305.0327301025,403394.34146881104,86491.59967899323,-291936.0101222992,1221829.6527862549,717395.8420753479,-2442569.4942474365,318855.345249176,517991.24479293823,912677.9437065125,-1960.6093410402536,-7183.85074287653,-1831809.7591400146,-483947.66449928284,-471145.3318595886,1566385.7460021973,-745716.92943573,-644083.1422805786,-782969.4151878357,-14017.077162861824,-560076.8327713013,328917.7417755127,446685.4929924011,-527399.0035057068,-530206.3822746277,620887.279510498,-249289.8404598236,170432.09075927734
0.005,11319332.122802734,7057693.004608154,11632692.337036133,12976236.343383789,10151180.267333984,7481636.524200439,11459670.066833496,15618946.075439453,14508526.802062988,12856383.323669434,8127175.331115723,12187323.570251465,11648715.97290039,9193983.07800293,7403861.045837402,13009850.50201416,10564160.346984863,14721134.185791016,13181839.942932129,10867555.618286133,11949987.411499023,10232955.932617188,7395778.656005859,6693377.494812012,12760475.158691406,12930365.562438965,11218405.723571777,6175834.178924561,7839424.133300781,6218557.357788086,7863660.3355407715,-6362080.097198486,7487776.756286621,14130083.084106445,8077289.581298828,4918443.202972412,895202.0406723022,-1997338.4141921997,5922976.970672607,8032029.151916504,-9009275.436401367,4298488.140106201,5329999.923706055,7692759.5138549805,3457121.1338043213,256198.7042427063,-11224557.876586914,-2310077.19039917,-1405038.3567810059,9148092.269897461,121996.03766202927,1560880.184173584,-529250.1449584961,27139.419689774513,-6452223.300933838,39100.09562969208,730200.1118659973,729621.5891838074,1139396.4290618896,6539552.688598633,577370.5840110779,8149041.175842285
0.01,7402708.053588867,1996741.4140701294,6737980.842590332,13320116.04309082,8772141.456604004,10176255.226135254,14196396.827697754,19305755.615234375,17921758.6517334,14576293.9453125,7896074.7718811035,14652503.967285156,13142128.944396973,8732080.459594727,10129233.360290527,17832134.246826172,14076668.739318848,19417400.360107422,15950371.742248535,12791371.34552002,13481911.659240723,11665001.86920166,8998394.012451172,10060096.740722656,18050582.885742188,17510656.356811523,15334187.507629395,7509600.639343262,8831009.864807129,5762957.0960998535,8957562.446594238,-9913925.170898438,10207466.125488281,18514059.06677246,11056264.877319336,7224207.401275635,1096336.6031646729,-3240318.2983398438,6564334.869384766,9091926.574707031,-13513262.748718262,5516749.858856201,7020225.048065186,10515062.33215332,4566330.432891846,148650.1395702362,-15627278.327941895,-3724990.8447265625,-2557205.6770324707,12231804.847717285,-803040.5044555664,1500209.5699310303,-2057466.5069580078,-163119.64392662048,-9261105.53741455,395101.72605514526,1070001.1253356934,-368746.19126319885,64560.16004085541,8900025.367736816,-290444.19527053833,9385929.107666016
0.015,4233605.38482666,-151791.5427684784,2535875.7972717285,8771155.35736084,3610857.7251434326,13245580.673217773,14492175.102233887,16240518.569946289,13976797.103881836,9782553.672790527,2528421.16355896,13062891.006469727,10458720.207214355,6334742.069244385,13231296.53930664,18069818.4967041,12255185.1272583,16350545.883178711,11239283.561706543,8048788.070678711,8316198.348999023,8660334.587097168,9438372.611999512,11760519.981384277,17663276.67236328,15583596.229553223,13312239.646911621,5370232.582092285,5380631.446838379,983765.6021118164,5964715.480804443,-9832386.016845703,9700810.432434082,15991100.311279297,10195865.631103516,6922875.40435791,894318.1037902832,-3865285.1581573486,3619207.1437835693,5189253.330230713,-14223798.751831055,4523731.708526611,6128427.028656006,9132432.93762207,3673640.727996826,-96921.83881998062,-14860479.354858398,-4220306.873321533,-3293367.624282837,10889802.932739258,-2095455.4080963135,205088.39190006256,-3495582.103729248,-403175.35400390625,-8092818.260192871,1496882.7962875366,1654089.9276733398,-1908870.4586029053,-1781139.612197876,9035886.764526367,-1552832.6034545898,6175620.555877686
0.02,-3485093.593597412,-6893937.587738037,-3594069.242477417,2589500.1888275146,-2290513.753890991,12631320.95336914,11743389.129638672,10948614.120483398,8439023.0178833,3369314.9089813232,-1866934.6570968628,7416905.403137207,4838110.92376709,4134164.810180664,12606677.055358887,15599964.141845703,8430647.850036621,11394173.622131348,5774641.036987305,3161255.359649658,3281919.240951538,4568727.493286133,7958617.687225342,10391976.356506348,14340735.43548584,11551773.071289062,9445803.64227295,2136477.23197937,811726.6893386841,-2166518.211364746,2615266.799926758,-8257729.530334473,8056701.66015625,12551372.528076172,7975291.728973389,5442990.303039551,853227.972984314,-3658986.5684509277,1159205.5559158325,2962047.338485718,-11272486.686706543,3557835.817337036,5092051.982879639,6421464.920043945,2788544.178009033,-31913.73124718666,-12048198.699951172,-3471608.4003448486,-2722266.912460327,8409754.753112793,-1588421.7023849487,64909.54011678696,-2264080.762863159,-373722.5532531738,-4849377.155303955,2484354.4960021973,2207322.835922241,-895956.2182426453,-1015247.2257614136,9907468.795776367,-1204384.207725525,5058774.471282959
0.025,-6816195.964813232,-9978677.749633789,-4207088.947296143,1739128.4704208374,-1502808.4516525269,9501256.942749023,9020303.726196289,9000275.611877441,7367845.058441162,1026428.5802841187,77633.38088989258,3689080.7151794434,2235146.7609405518,4131569.8623657227,9450559.616088867,13539889.335632324,6769256.591796875,9670662.879943848,4266717.433929443,2905741.2147521973,3570406.436920166,3504149.6753692627,6335317.134857178,7265999.794006348,11530079.84161377,9497219.08569336,7740429.401397705,392708.0035209656,-1758104.8011779785,-345203.9659023285,2267932.415008545,-6335250.377655029,6671274.185180664,11514745.712280273,6461666.584014893,4450240.612030029,999072.9689598083,-2423579.454421997,1677020.6689834595,5482062.816619873,-7445706.844329834,2960063.4574890137,4336341.381072998,4757511.615753174,2741668.939590454,283981.2636375427,-9187948.226928711,-2028471.7082977295,-1191984.4150543213,6570860.385894775,-441035.27069091797,873466.6109085083,146806.2400817871,-123646.43812179565,-2667837.619781494,2002371.7880249023,1741490.125656128,1366987.2283935547,1289767.5037384033,10414007.186889648,-284770.2205181122,6458325.386047363
0.03,6658400.058746338,4519962.310791016,9675880.432128906,9508694.648742676,9201290.130615234,8991891.860961914,10062159.538269043,11896986.961364746,11449329.376220703,4167730.8082580566,7332926.273345947,7198665.142059326,6715610.980987549,6084402.084350586,8961249.351501465,13491948.127746582,8450675.010681152,11362979.888916016,5802330.017089844,6108739.852905273,7830637.9318237305,5997878.551483154,6508188.724517822,5035778.999328613,10560226.440429688,9808537.483215332,8620729.446411133,760246.0980415344,-1957165.8372879028,3469273.090362549,4180264.472961426,-4888813.018798828,5049901.008605957,10880273.818969727,5888659.954071045,4574270.248413086,964283.287525177,-772296.3690757751,3240085.1249694824,8439394.9508667,-6261670.112609863,1372195.0054168701,2500229.597091675,4133280.2772521973,2691843.9865112305,422906.0709476471,-6635754.585266113,-1551400.5422592163,-630168.080329895,4329550.743103027,-1836363.5540008545,123248.04812669754,-308774.2030620575,39687.99114227295,-3429816.961288452,-463953.31621170044,-420065.4923915863,766072.5712776184,891633.0933570862,7135027.4085998535,-1693321.3472366333,5145081.043243408
0.035,33566665.64941406,34154811.85913086,34673946.380615234,21725278.854370117,23705373.764038086,13647567.749023438,15467079.162597656,17519971.84753418,17386741.638183594,10377455.711364746,14534809.112548828,15662251.472473145,15176969.528198242,8634971.618652344,13693378.448486328,15443516.731262207,11874736.785888672,14514319.41986084,8259934.425354004,9461096.76361084,11829057.693481445,9173866.271972656,7858811.378479004,4939121.723175049,11065938.949584961,11125286.102294922,10542874.336242676,2527701.3778686523,-783584.9523544312,4637562.7517700195,4957213.401794434,-5949649.333953857,2791864.1567230225,8742953.300476074,6084864.139556885,5589757.442474365,810668.8261032104,127730.8315038681,2613594.7704315186,6367582.79800415,-9150353.43170166,-1127023.9353179932,-185028.89573574066,3686960.458755493,1978848.5765457153,326279.4017791748,-5673388.0043029785,-3585944.414138794,-2772325.277328491,808840.9304618835,-6171032.905578613,-3105324.9835968018,-4530452.728271484,71035.2286696434,-6554989.337921143,-3940455.436706543,-3675301.0749816895,-3534674.4060516357,-3273654.9377441406,763142.1089172363,-5873220.920562744,-340194.0166950226
0.04,57097480.77392578,60585334.77783203,56819175.720214844,31732198.71520996,33186176.300048828,20781682.96813965,22812288.284301758,23906435.012817383,22848760.6048584,17093507.766723633,18326089.85900879,22651815.41442871,21572673.797607422,11259061.813354492,20915447.235107422,19157598.4954834,15483321.189880371,18652107.23876953,11936203.956604004,12240214.347839355,14179727.554321289,10953237.533569336,8574515.342712402,6455421.924591064,12660460.472106934,13188815.116882324,12673241.61529541,5213541.030883789,1536503.1957626343,3047190.9046173096,3237282.0377349854,-10456564.903259277,1088005.542755127,7180447.578430176,7374202.251434326,7039942.741394043,1010116.5771484375,176547.87003993988,-1595.48653755337,258455.39569854736,-14722872.734069824,-2705339.4317626953,-1636761.0692977905,3448752.8800964355,1031013.1311416626,384216.0701751709,-8018301.963806152,-7601870.536804199,-6975412.368774414,-2735595.703125,-10427714.347839355,-6893979.549407959,-9173578.262329102,219550.9970188141,-9963133.811950684,-6979745.864868164,-6795730.113983154,-8012359.619140625,-7732797.145843506,-3578533.64944458,-10161026.954650879,-5048227.787017822
0.045,65099945.068359375,69544036.86523438,64897918.701171875,35948753.356933594,34668025.970458984,25412752.151489258,28534360.885620117,29588153.839111328,27111663.818359375,22444486.618041992,19187656.40258789,25332284.927368164,23741020.20263672,13281000.137329102,25591905.59387207,23442668.914794922,18402740.478515625,23408952.713012695,16775264.739990234,15098902.702331543,16056510.925292969,11883173.942565918,8251567.840576172,8543488.502502441,14804364.204406738,15997573.852539062,14647897.720336914,8316288.948059082,4927642.822265625,2331782.341003418,1267132.28225708,-15460996.627807617,1187949.299812317,8662962.913513184,9283241.271972656,8192399.024963379,1565279.0069580078,634581.7446708679,-1159256.100654602,-3657259.225845337,-19982591.62902832,-2759622.097015381,-1238687.8728866577,3721071.243286133,262469.5301055908,722067.4157142639,-12490904.808044434,-10789966.583251953,-10312332.153320312,-4390160.56060791,-12399884.223937988,-9345006.942749023,-11330791.473388672,497588.6046886444,-11890979.766845703,-8827822.6852417,-9008479.118347168,-9837387.084960938,-9582077.026367188,-2957719.087600708,-12254915.237426758,-5106597.900390625
