time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,7837880.611419678,12003501.892089844,14746754.64630127,743191.7786598206,2754132.9860687256,-672427.4158477783,64435.72789430618,60584.70904827118,57656.53774142265,872861.2065315247,886938.6315345764,641579.806804657,954709.5894813538,2420107.60307312,-259694.30804252625,55890.35898447037,46413.75318169594,77463.99939060211,84092.19980239868,639824.2115974426,831717.2527313232,1783987.045288086,1483287.2152328491,-1152967.8106307983,-1385113.5969161987,38131.073117256165,47218.360006809235,26518.991217017174,321756.66093826294,736168.384552002,812053.2035827637,1267499.327659607,-1358525.276184082,-1323356.9860458374,-529104.5904159546,-381214.6782875061,-1044729.3519973755,-708107.590675354,-164411.7385149002,-691789.5078659058,76119.43036317825,-1368991.9710159302,-1365191.4596557617,-1366152.8825759888,-963431.8351745605,-1263127.5653839111,-794945.0612068176,-44845.67046165466,-403838.51528167725,-159668.59459877014,-1387658.4768295288,-1354511.022567749,-1405408.501625061,-1257296.5621948242,-1199013.590812683,-488641.79849624634,-463353.9319038391,-1267096.1618423462,-1412146.0914611816,-1288172.4834442139,-2129988.431930542,-1630653.2621383667
0.005,-22578620.91064453,873937.18957901,-15983592.03338623,-19874788.284301758,-19398059.844970703,-20257186.889648438,-2548763.2751464844,-3120778.5606384277,-3545175.313949585,-9326497.077941895,-8880624.771118164,-8691216.468811035,-9550171.852111816,-13388738.632202148,3152090.549468994,-2940597.2957611084,-3497544.527053833,-3038601.3984680176,-3812216.281890869,-3752780.1990509033,-4493018.15032959,-6521502.494812012,-15112236.022949219,-14464971.542358398,-3829019.546508789,-3458110.3324890137,-3216554.4033050537,626745.2836036682,-4276517.391204834,-4740212.917327881,-14950049.40032959,11818722.72491455,-16096422.19543457,-15112325.668334961,-3242613.3155822754,2615016.222000122,-5218480.110168457,-4213460.922241211,-8757154.46472168,-19793792.724609375,1201972.1269607544,-16164216.995239258,-16463603.973388672,-15859324.45526123,-10087634.086608887,-17274291.9921875,-13457791.328430176,-8255554.19921875,-14239142.417907715,-13138084.411621094,-16711774.826049805,-15695466.041564941,-16826013.565063477,-17166086.196899414,-18557298.66027832,-17375202.178955078,-16807638.16833496,-17129924.774169922,-16513463.973999023,-18042104.721069336,-18312950.134277344,-14131351.470947266
0.01,-25180898.666381836,5124029.636383057,-23959934.23461914,-22185155.868530273,-20899591.44592285,-22198879.24194336,263076.7524242401,-628907.9189300537,-1175473.4516143799,-7475912.570953369,-7982284.069061279,-7357485.294342041,-9040428.161621094,-18692068.099975586,10426202.774047852,-365787.2676849365,-1029330.0151824951,-285035.640001297,-1495644.8078155518,-2595923.662185669,-4377315.044403076,-7102482.795715332,-18378969.192504883,-18109697.341918945,-2698665.6188964844,-1100817.7995681763,-885749.5784759521,2230027.437210083,-5939176.559448242,-7556363.105773926,-19095674.514770508,18766107.5592041,-21646762.84790039,-20402978.897094727,-4681133.74710083,2723999.261856079,-6417950.630187988,-6697990.417480469,-12737618.446350098,-25774360.65673828,5189335.823059082,-21804866.790771484,-22169519.424438477,-21461807.250976562,-14098920.822143555,-22337261.199951172,-17044477.462768555,-11865569.114685059,-18631196.975708008,-14594209.671020508,-22569166.18347168,-21178514.48059082,-22617130.279541016,-22299903.869628906,-24429231.643676758,-21330682.7545166,-20561157.2265625,-22258974.075317383,-22225997.924804688,-23446920.39489746,-22338905.334472656,-16846494.674682617
0.015,-6461610.317230225,21046277.99987793,-12060069.08416748,-11215377.807617188,-7810682.773590088,-11255269.050598145,5561042.785644531,4620183.944702148,4279274.463653564,1313032.627105713,-696912.2886657715,-624021.4705467224,-3235180.377960205,-15540511.131286621,17461378.09753418,4871598.243713379,4417593.955993652,5241657.257080078,3492396.354675293,1125834.9418640137,-1360492.1102523804,-3838871.955871582,-12511532.7835083,-12671558.380126953,972724.1396903992,4194978.713989258,4229752.063751221,3454791.54586792,-5017335.891723633,-8115175.247192383,-14365352.630615234,19487514.49584961,-18193866.729736328,-17229549.407958984,-4275074.481964111,530696.451663971,-5331863.880157471,-7570924.758911133,-12055734.634399414,-21283794.403076172,8807251.930236816,-18439533.233642578,-18697965.621948242,-18241298.67553711,-12396544.456481934,-18161190.032958984,-13378096.580505371,-11345330.238342285,-15185913.0859375,-8726490.97442627,-19137910.842895508,-17892572.4029541,-19044815.063476562,-18254402.16064453,-20788288.116455078,-16219478.607177734,-15513514.518737793,-18292125.701904297,-18764987.94555664,-19242494.583129883,-16953615.188598633,-12348863.60168457
0.02,1585085.2727890015,27637935.638427734,-5994070.529937744,-7446422.100067139,-4039970.3979492188,-6001785.755157471,6400559.902191162,5513099.193572998,5455590.724945068,2693420.41015625,29149.03312921524,-2029674.5300292969,-5598391.056060791,-15039309.50164795,17685974.12109375,5728423.595428467,5389165.40145874,6139757.6332092285,3353088.617324829,165851.81653499603,-2436894.416809082,-5965081.214904785,-12054805.755615234,-6943295.478820801,3510021.924972534,5182567.119598389,5162352.085113525,2438302.755355835,-4535946.369171143,-9387501.71661377,-12575954.43725586,13967065.811157227,-13027063.369750977,-12224303.245544434,-2549599.8859405518,-1098971.6053009033,-5037938.117980957,-7724103.4507751465,-11259931.564331055,-19408704.75769043,6178725.242614746,-13277404.78515625,-13503173.828125,-13145874.977111816,-8808133.125305176,-14160275.45928955,-11283107.75756836,-11005262.37487793,-13116925.239562988,-7813440.799713135,-13904057.502746582,-12777523.040771484,-13796851.15814209,-14222110.748291016,-17828615.188598633,-14554430.00793457,-13862457.275390625,-14388564.109802246,-13594591.14074707,-15128798.484802246,-13251720.428466797,-9824204.444885254
0.025,-14174072.265625,14371376.991271973,-21005418.77746582,-16662471.771240234,-16640964.50805664,-12102518.081665039,2983377.9335021973,2110304.832458496,2151297.092437744,-4933934.211730957,-7654135.227203369,-11491899.490356445,-14945865.631103516,-21922723.7701416,13003209.114074707,2276994.466781616,1884574.055671692,2537145.3762054443,-1323661.208152771,-5432754.993438721,-8029192.924499512,-12971150.398254395,-21168195.724487305,-7210862.159729004,3952553.0338287354,1814679.6226501465,1907278.4185409546,309339.0166759491,-6187008.857727051,-12560782.432556152,-17604997.634887695,5801074.028015137,-11736839.294433594,-10719274.520874023,-855031.1923027039,-1067234.3969345093,-6759884.834289551,-9005597.114562988,-14225698.471069336,-25678808.212280273,-2913423.538208008,-11889838.218688965,-12230593.68133545,-11667700.76751709,-7655073.642730713,-14955195.426940918,-14730971.336364746,-13638370.513916016,-17244604.110717773,-14579821.586608887,-12587318.420410156,-11309489.250183105,-12610390.663146973,-14841297.149658203,-20320547.103881836,-19649532.318115234,-18837282.180786133,-15071163.177490234,-12378638.26751709,-15839488.983154297,-15404876.708984375,-12331558.227539062
0.03,-26003889.083862305,3057115.5548095703,-37203758.239746094,-20026449.20349121,-23692571.64001465,-15865248.680114746,3334280.252456665,2438429.355621338,2384252.3097991943,-7270153.045654297,-10224699.974060059,-12508578.300476074,-15002945.899963379,-27584434.509277344,12337673.18725586,2503800.392150879,2150578.022003174,2781435.012817383,-1660139.2030715942,-6964600.563049316,-9758368.492126465,-14280366.897583008,-29046524.047851562,-11309178.352355957,4622962.951660156,2106535.6731414795,2296035.5281829834,308500.37932395935,-8074783.3251953125,-14382580.757141113,-20942541.122436523,452715.78431129456,-14199883.460998535,-12901669.5022583,-407355.09991645813,-1166673.183441162,-8519804.000854492,-11418262.481689453,-19086151.123046875,-32397644.04296875,-11407385.82611084,-14239782.333374023,-14686552.047729492,-13887737.274169922,-9911616.325378418,-18224720.001220703,-19425981.521606445,-17646686.553955078,-23477779.388427734,-20947753.90625,-15029196.739196777,-13584882.736206055,-15140813.827514648,-18014682.76977539,-24867177.963256836,-24834741.592407227,-23986368.17932129,-18188045.501708984,-14898678.77960205,-18981235.50415039,-19051624.298095703,-15992509.841918945
0.035,-6431608.6769104,20655454.635620117,-26089567.184448242,-4041593.551635742,-7701685.428619385,-7613384.246826172,10718898.77319336,9811422.348022461,9670108.795166016,3507173.0613708496,653222.6204872131,2457317.82913208,-397468.59669685364,-22698207.85522461,18302291.870117188,9773550.987243652,9606037.139892578,10292586.326599121,5597476.005554199,165425.94134807587,-2685594.081878662,-5749748.706817627,-26708051.681518555,-13379150.390625,6361298.561096191,9431256.294250488,9617793.083190918,2927912.950515747,-7492410.182952881,-11397715.56854248,-15682717.323303223,1245944.2615509033,-16666133.880615234,-15312433.242797852,-1306178.8082122803,-2856805.3245544434,-8426074.028015137,-12308755.874633789,-20375518.798828125,-31280447.006225586,-12069949.15008545,-16687366.485595703,-17099697.11303711,-16233167.64831543,-12455377.578735352,-20465873.71826172,-19932693.481445312,-19212923.049926758,-25323102.951049805,-20936990.73791504,-17428579.330444336,-16049367.904663086,-17451717.376708984,-20337903.97644043,-26606086.73095703,-25024353.02734375,-24372297.286987305,-20413906.09741211,-17297136.306762695,-21074333.19091797,-19938793.182373047,-17323816.299438477
0.04,20167633.056640625,51187747.955322266,1291814.8040771484,11094329.833984375,11745422.36328125,-241138.7264728546,16060552.597045898,15136873.245239258,15027610.778808594,13620779.991149902,11927491.188049316,15322010.040283203,10983689.308166504,-11584226.608276367,21730049.13330078,15156065.940856934,15038700.103759766,15790340.423583984,11328413.009643555,7730549.335479736,5302568.435668945,2685137.2718811035,-18626640.31982422,-12021858.215332031,6235353.469848633,14779664.993286133,14961404.800415039,4341481.685638428,-4916794.776916504,-5733471.870422363,-7032672.882080078,7434602.737426758,-15367930.41229248,-14124845.504760742,-2695101.499557495,-4846284.38949585,-7623040.676116943,-9852771.759033203,-16117731.094360352,-24369783.401489258,-4235007.762908936,-15486746.788024902,-15772637.367248535,-14924666.404724121,-11361280.44128418,-19217067.71850586,-15837535.858154297,-16163602.828979492,-20865890.502929688,-15801404.95300293,-16073488.235473633,-14867472.648620605,-15896794.319152832,-19226446.1517334,-23016351.6998291,-19971633.911132812,-19581155.77697754,-19236881.256103516,-15826694.48852539,-19793909.072875977,-16813268.661499023,-14934491.157531738
0.045,1900678.3962249756,47349243.1640625,2572973.4897613525,-5522963.523864746,2103200.4356384277,-13591091.15600586,8994779.586791992,8017128.944396973,7957147.598266602,5549400.806427002,5634711.265563965,6168879.508972168,4195359.230041504,-5135722.637176514,13393235.206604004,8320374.488830566,7973453.521728516,8765356.063842773,6309703.826904297,5066451.549530029,3771078.8249969482,2468133.4495544434,-12322595.596313477,-12115536.6897583,1626556.7541122437,7788909.912109375,8044940.948486328,1514925.1222610474,-3178361.654281616,-2641321.6590881348,-3028696.5370178223,16705423.355102539,-10557521.82006836,-9433669.090270996,-4077467.918395996,-5316258.430480957,-8526945.114135742,-6059209.34677124,-10081360.816955566,-18568866.729736328,6913240.432739258,-10814085.006713867,-10996157.6461792,-10164332.389831543,-6940308.570861816,-13593967.43774414,-10861119.270324707,-10007430.076599121,-13120826.721191406,-7926378.25012207,-11305376.052856445,-10138221.740722656,-10980762.481689453,-13684238.43383789,-14770423.889160156,-10590146.0647583,-10253098.487854004,-13618937.492370605,-10873943.328857422,-14275166.511535645,-9885005.950927734,-8143732.070922852
