time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-485816.50853157043,-257813.06624412537,-179692.3279762268,-554729.9981117249,172725.33476352692,357265.02537727356,-63945.770263671875,-30907.990410923958,-412027.7166366577,26188.70884180069,63114.188611507416,66106.33432865143,53461.82733774185,2002022.0279693604,464400.2914428711,97870.08911371231,-8216.907270252705,-505629.7779083252,55632.76633620262,83881.29621744156,35632.919520139694,621066.0934448242,3206954.7176361084,508160.2931022644,337530.4341316223,-117710.38919687271,119825.87724924088,-33080.35433292389,282293.97535324097,268284.52944755554,1031582.5939178467,3364672.6608276367,-227277.7110338211,-473553.866147995,-23828.869685530663,80132.99107551575,39500.22533535957,733860.5523109436,773525.2380371094,1398942.7089691162,2512153.6254882812,-539080.798625946,-27822.518721222878,110070.25092840195,-240501.7763376236,-87526.55237913132,205554.47041988373,513205.23023605347,1437591.314315796,935000.6580352783,-10128.811933100224,-3107.6804734766483,-8272.66275882721,25270.92397212982,526213.8247489929,532456.7556381226,419480.8006286621,-235048.63679409027,-267552.82282829285,-156928.85220050812,-255530.08913993835,-675179.0046691895
0.005,-9662157.05871582,-10598420.143127441,-5781134.605407715,-6093252.182006836,644655.5256843567,11044142.723083496,5178442.001342773,5378261.089324951,-1826868.2956695557,628945.4698562622,1224387.288093567,881781.1012268066,826082.2296142578,19874046.325683594,13670678.13873291,5551688.194274902,1585624.4564056396,-1073743.7009811401,-116437.62141466141,406765.1331424713,-1444897.2940444946,-4353600.50201416,50024414.0625,14186486.24420166,7638798.236846924,1427078.8431167603,932908.7138175964,1267823.8153457642,-208086.0286951065,-473721.56381607056,208814.68057632446,54432090.759277344,-1733467.936515808,-671851.7541885376,1744923.1147766113,598252.5944709778,1045540.6904220581,733699.2025375366,3264599.561691284,14613683.700561523,39478569.03076172,-18254735.946655273,-5313709.259033203,-1010992.5270080566,-1866697.1921920776,-3164624.4525909424,-894565.5822753906,1752907.0377349854,6052056.312561035,5712888.240814209,-3508659.3627929688,-2809893.1312561035,-1807597.6371765137,-4001171.112060547,-4983599.662780762,-4844536.781311035,-3884026.288986206,-5712241.172790527,-6562263.011932373,-5436930.6564331055,-13800415.0390625,-20280117.03491211
0.01,-19353454.58984375,-18403116.22619629,-15371404.647827148,-10513159.75189209,613972.1274375916,11519971.84753418,3928482.5325012207,4352399.826049805,-2589448.4519958496,2359784.3647003174,3239009.8571777344,2786675.453186035,2542827.367782593,27477584.838867188,15116575.241088867,5005561.828613281,652011.0964775085,-1097418.3082580566,1888804.4357299805,2536014.0800476074,-147649.42228794098,-4895547.389984131,67938285.82763672,15814804.077148438,8285896.301269531,493960.26134490967,704382.061958313,2810976.982116699,1388432.7411651611,876689.3148422241,964616.3582801819,74193557.73925781,-6939885.61630249,-3634393.2151794434,1074557.900428772,640453.1002044678,1404658.555984497,1770784.9740982056,5012157.917022705,20963983.5357666,54214088.439941406,-29424402.236938477,-10484793.663024902,-3692438.1256103516,-3261760.2348327637,-4277852.535247803,-531510.7107162476,3801100.730895996,8648778.915405273,8013994.216918945,-8114932.060241699,-7264012.813568115,-4217857.837677002,-5842657.089233398,-6468206.405639648,-6167504.31060791,-5422351.837158203,-10191378.593444824,-11184892.654418945,-8529334.06829834,-19331470.489501953,-29280490.87524414
0.015,-23867218.017578125,-19519453.048706055,-22324188.232421875,-11369315.147399902,1471759.31930542,5825082.778930664,-422289.78872299194,166455.29866218567,-1955061.674118042,4797934.532165527,5673224.449157715,5339507.102966309,4824661.731719971,26975452.423095703,9026813.507080078,1488427.996635437,-881359.5175743103,-457813.88878822327,4857617.378234863,5351228.2371521,2809674.7398376465,-1236024.1413116455,61619670.86791992,9694312.09564209,4939795.970916748,-1397795.0811386108,85058.33894014359,3888704.299926758,3988193.5119628906,3374333.620071411,3327161.7889404297,67538032.53173828,-12300351.1428833,-6855067.729949951,-743265.2711868286,298548.51961135864,1174079.418182373,3117950.916290283,5924492.359161377,21134677.88696289,49818786.62109375,-31430582.04650879,-13110596.656799316,-5942685.604095459,-4053412.914276123,-3811615.228652954,597367.0482635498,5870049.953460693,9431219.100952148,8512790.67993164,-11276105.880737305,-10685319.900512695,-5625053.882598877,-5723928.928375244,-4403700.351715088,-3984408.140182495,-4160641.1933898926,-12524386.405944824,-13151729.583740234,-9601916.313171387,-17605873.107910156,-28254646.30126953
0.02,-18923845.291137695,-13448495.864868164,-19615385.055541992,-7952269.077301025,4098899.8413085938,5225331.783294678,-17287.883907556534,530321.0020065308,-164374.2024898529,6411329.26940918,7198241.710662842,7014707.088470459,6330411.911010742,27463632.583618164,7973588.466644287,2083329.439163208,411253.1840801239,357135.23626327515,5976279.258728027,6362523.078918457,4222000.598907471,2731388.0920410156,56348060.607910156,8681598.663330078,5120046.615600586,-902191.4601325989,450929.4629096985,3674392.2233581543,5094303.607940674,4596812.725067139,5946036.338806152,61689201.35498047,-11676640.510559082,-5806013.107299805,-511086.5831375122,192881.777882576,948766.5891647339,3534773.826599121,6484634.3994140625,20761455.535888672,45467720.03173828,-26719043.731689453,-10940780.639648438,-4628831.386566162,-3765436.6493225098,-3260134.45854187,1111006.736755371,6579170.703887939,9821261.405944824,9338143.348693848,-9520434.379577637,-9054072.380065918,-3650280.475616455,-4850622.177124023,-2218907.8330993652,-1797603.3687591553,-2303753.37600708,-11574739.456176758,-12012077.331542969,-9406062.126159668,-14691346.168518066,-25098310.470581055
0.025,-10735552.787780762,-6926652.908325195,-13066777.229309082,-3899733.781814575,6468246.936798096,11599444.389343262,5553435.802459717,5935821.056365967,1160542.7265167236,6530771.732330322,7294497.966766357,7163436.8896484375,6472833.633422852,31451416.015625,14421491.622924805,7064696.311950684,3824067.8310394287,669051.468372345,4979199.8863220215,5347459.79309082,3391540.765762329,4214303.016662598,61938320.15991211,15343887.329101562,10085616.111755371,2120423.7937927246,1811929.9411773682,2638000.249862671,4480068.206787109,4139795.7801818848,7509215.831756592,67408012.39013672,-5730783.939361572,-926307.6782226562,2204266.7865753174,779263.1983757019,1111111.7601394653,3310126.781463623,6988487.720489502,22364891.052246094,49321983.337402344,-20685136.795043945,-5903355.121612549,-404935.747385025,-2381278.9916992188,-2833049.774169922,1213825.4642486572,5839966.773986816,10027256.01196289,10500244.140625,-3948468.9235687256,-3254606.4853668213,1253594.2792892456,-3339333.5342407227,-1946578.3834457397,-1604587.3165130615,-1871591.4487838745,-7609322.547912598,-8282895.088195801,-7526116.371154785,-13625793.45703125,-24065052.032470703
0.03,-9153711.318969727,-6654091.835021973,-12903534.889221191,-3521462.4404907227,6373999.59564209,16259304.04663086,9096994.400024414,9449306.48803711,825136.4231109619,6291192.054748535,7057005.405426025,6919161.796569824,6279702.186584473,33686321.25854492,19146553.03955078,9936681.747436523,5273412.704467773,374723.9112854004,4361853.59954834,4598243.236541748,2693809.986114502,3717718.3628082275,66452751.15966797,20312005.9967041,13612756.729125977,4233656.406402588,2792877.435684204,2237308.0253601074,3982086.181640625,3637469.530105591,7562187.671661377,72085388.18359375,-1803021.5501785278,2258127.9277801514,4299627.780914307,1654445.2905654907,1463536.262512207,3520378.351211548,6992096.900939941,23271011.352539062,52745986.93847656,-18126014.709472656,-3135076.7612457275,2304566.1449432373,-1098310.112953186,-2058094.0246582031,1608780.1456451416,4522737.503051758,8874269.485473633,10015644.073486328,-174757.30180740356,780917.0484542847,4978247.64251709,-1611031.413078308,-3453938.9610290527,-3208414.5545959473,-3525854.1107177734,-3780738.115310669,-4692748.546600342,-4758293.628692627,-13972574.234008789,-24094480.514526367
0.035,-14438975.33416748,-10827987.670898438,-17504508.97216797,-6559422.969818115,4859687.328338623,13776531.219482422,6546281.337738037,7102117.538452148,-412970.3640937805,6914522.647857666,7629527.568817139,7488251.686096191,6870044.708251953,31069679.260253906,16338869.094848633,7299637.317657471,3118452.548980713,64255.65481185913,5522448.0628967285,5502347.946166992,3667024.3740081787,2680801.1531829834,61223724.365234375,17613101.959228516,11393365.859985352,3049080.3718566895,2583954.095840454,3142965.55519104,4199692.249298096,3779730.796813965,6183903.217315674,66475326.53808594,-4161212.44430542,262079.8945426941,3278328.6571502686,1856793.4036254883,1595259.189605713,3855682.849884033,5762916.088104248,20923387.52746582,48511795.04394531,-20191396.713256836,-5267970.561981201,667019.6056365967,-1670733.4518432617,-1765370.0113296509,1335866.6896820068,2801172.0180511475,5894144.058227539,7162727.355957031,-1773372.6501464844,-855945.885181427,3911011.9342803955,-1843266.0102844238,-6366527.557373047,-6228617.191314697,-6874347.20993042,-3948272.466659546,-4711858.27255249,-4389886.856079102,-16047937.393188477,-24812860.4888916
0.04,-18180137.634277344,-12550944.328308105,-17269235.610961914,-9207128.524780273,4315298.080444336,8670859.336853027,1804165.1248931885,2584414.9589538574,-1140038.3710861206,7639000.415802002,8315301.895141602,8138055.801391602,7549221.038818359,26613201.141357422,10992643.356323242,3021465.301513672,76641.68626070023,82555.69636821747,6770315.170288086,6623466.491699219,4770295.6199646,1080329.6566009521,53763454.43725586,12184040.069580078,6610627.174377441,62930.04006147385,1814265.1319503784,4379165.6494140625,3688337.3260498047,3356936.454772949,3726785.182952881,58552009.58251953,-9098537.44506836,-4210182.189941406,377998.7394809723,962185.7404708862,1399516.7016983032,2977706.9091796875,3394895.7920074463,16769412.994384766,41674488.06762695,-24006881.713867188,-9427483.558654785,-3213658.8096618652,-4358620.643615723,-3328878.64112854,-952903.6283493042,299824.0292072296,2456007.719039917,3743829.7271728516,-6006739.616394043,-5342410.564422607,-683795.0348854065,-5273426.055908203,-10047074.317932129,-9994634.628295898,-10565389.633178711,-8045263.290405273,-8481410.026550293,-7976702.2132873535,-20104478.83605957,-27541961.669921875
0.045,-16181814.193725586,-10075160.98022461,-11743703.842163086,-9621178.62701416,4434989.452362061,7060173.988342285,-5748.741328716278,772987.0676994324,-1391885.6382369995,6621747.016906738,7402205.467224121,7103466.987609863,6598818.302154541,23572347.64099121,9713095.664978027,1688237.0710372925,-1059211.6117477417,-165227.13005542755,5972001.075744629,5971025.9437561035,3915485.8589172363,-1453549.7426986694,52942157.74536133,10653939.247131348,4630184.173583984,-1767608.2849502563,1305770.5163955688,4476251.125335693,1759888.5297775269,1640719.6521759033,1250682.1155548096,57725330.3527832,-10628027.91595459,-6342366.695404053,-1256106.972694397,-303807.40761756897,1122787.594795227,1051249.2656707764,1255219.4595336914,14108638.763427734,39887947.08251953,-25478000.64086914,-10847237.586975098,-5162110.805511475,-6984291.553497314,-5959702.491760254,-3942768.096923828,-2106783.866882324,603264.9874687195,2041129.3506622314,-7469019.889831543,-6949601.650238037,-3807637.6914978027,-9033981.323242188,-12264934.539794922,-12168967.247009277,-12383790.969848633,-11304131.507873535,-11706167.221069336,-11732865.333557129,-23065366.744995117,-30691667.556762695
