time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,1021219.6111679077,-103506.23726844788,-154855.05759716034,-729890.763759613,-2409492.9695129395,1311304.5692443848,1254052.758216858,1261237.8597259521,-1441624.5222091675,-929558.3963394165,-1718813.6577606201,-632607.4004173279,-641800.1651763916,-1362197.2799301147,1702674.9849319458,604200.3631591797,566084.9809646606,-380125.3139972687,-848486.602306366,-1226452.5890350342,528817.2364234924,-583468.496799469,-1371902.4658203125,813529.0145874023,1549495.4586029053,1577302.4559020996,301938.41457366943,-635097.086429596,-979620.8739280701,181075.3494501114,-825107.2764396667,-1367370.4862594604,585887.3724937439,841288.5069847107,2831844.3298339844,674780.6072235107,57296.5182363987,-889001.6078948975,-646494.7462081909,-941118.7767982483,-955053.1506538391,715442.419052124,752913.8922691345,783279.7169685364,1389416.217803955,276843.1305885315,128214.62750434875,-543234.9443435669,-571731.448173523,-515694.2009925842,421473.02627563477,357920.76587677,509219.6464538574,228144.89901065826,-541935.2650642395,-571834.5046043396,-536388.8740539551,-121911.6523861885,416276.87215805054,930136.9786262512,-569174.4685173035,-220404.31201457977
0.005,-6972149.37210083,-6331746.578216553,-6874447.345733643,-7431245.803833008,-9557864.18914795,-2651154.9949645996,-3054954.5288085938,-2709250.9269714355,-9204379.081726074,-6667086.124420166,-6311642.169952393,-6093078.61328125,-5970695.018768311,-10688565.254211426,-4214395.046234131,2764.7775132209063,2182453.8707733154,-5094031.810760498,-6127795.696258545,-1052988.886833191,862346.7683792114,-6321240.425109863,-11317834.854125977,-6841287.136077881,-185019.1205739975,8258462.905883789,5157294.750213623,-709743.6785697937,1678691.8640136719,1252426.1474609375,-4294764.518737793,-11328980.445861816,-7065926.551818848,-1467636.8236541748,8724113.464355469,3962644.8154449463,437680.9000968933,-8456423.75946045,-5342600.345611572,-10499326.705932617,-10740463.256835938,-5749320.983886719,-2125071.5255737305,-1318109.0354919434,-2199640.7508850098,-1857733.0112457275,-784703.6719322205,-8254331.588745117,-8614320.755004883,-8166710.85357666,-7420125.961303711,-8113162.994384766,-6259408.473968506,-3080180.6449890137,-8825092.315673828,-9012022.018432617,-8331530.570983887,-10361104.011535645,-6128547.191619873,-1301784.9922180176,-9188896.179199219,-7416582.107543945
0.01,-11630406.379699707,-9161686.897277832,-10613043.785095215,-11043628.692626953,-11777045.249938965,-6279467.582702637,-6945175.1708984375,-6187889.099121094,-13012362.480163574,-9414024.353027344,-7571022.033691406,-8311184.883117676,-8217814.4454956055,-14307948.112487793,-9607783.317565918,-2353502.5119781494,981042.9811477661,-8545042.991638184,-8537487.030029297,-688105.4043769836,859410.4647636414,-9325694.08416748,-15013589.859008789,-13757791.519165039,-3588606.357574463,7162152.290344238,4891971.588134766,-718580.6035995483,2406358.242034912,1733763.2179260254,-4688608.169555664,-14997459.411621094,-13200691.223144531,-6069056.510925293,7986027.240753174,3435436.010360718,737425.5657196045,-8812245.36895752,-6590754.03213501,-14297982.215881348,-14584169.387817383,-10653645.515441895,-6032124.5193481445,-4854376.316070557,-5081409.931182861,-1269047.2602844238,-1481218.5764312744,-10394745.826721191,-10966515.54107666,-10337178.230285645,-13045992.851257324,-14072052.001953125,-11298764.2288208,-2969245.9106445312,-11371976.852416992,-11450796.127319336,-10664800.643920898,-17253778.4576416,-11031153.678894043,-3947921.7529296875,-11807827.949523926,-11067754.745483398
0.015,-14803780.555725098,-10684616.088867188,-13367275.23803711,-12666810.035705566,-11136237.144470215,-10005992.889404297,-10738258.361816406,-9653532.981872559,-12770588.874816895,-9567723.274230957,-6496233.940124512,-8299343.109130859,-8321535.110473633,-13654747.009277344,-14909720.420837402,-5980824.4705200195,-1693455.8153152466,-9293824.195861816,-7570891.380310059,174123.1381893158,297970.86119651794,-9882119.178771973,-14039715.766906738,-18934263.229370117,-7456797.5997924805,1203784.5849990845,1825187.8023147583,131521.65710926056,2588210.105895996,1348568.320274353,-3590803.623199463,-14034714.698791504,-17197273.25439453,-11038822.174072266,2094610.4526519775,437385.6782913208,1023010.8499526978,-5190151.214599609,-5476771.831512451,-13677525.520324707,-13923907.279968262,-13489152.908325195,-9426589.012145996,-8324188.232421875,-7275527.000427246,239782.70590305328,-2995522.2606658936,-9230428.695678711,-9862619.400024414,-9188471.794128418,-15739465.713500977,-16775951.385498047,-14032600.402832031,-1265040.7552719116,-10307037.353515625,-10140680.313110352,-9657175.064086914,-19901908.87451172,-13427142.143249512,-6834701.5380859375,-10657675.743103027,-12027165.412902832
0.02,-18371974.94506836,-13275516.510009766,-16813394.54650879,-13941907.88269043,-11733326.91192627,-13021984.100341797,-13604733.46710205,-12492112.159729004,-10730038.6428833,-8699767.112731934,-5677961.826324463,-8265490.531921387,-8309755.325317383,-13792497.634887695,-19181600.57067871,-8468555.450439453,-2419364.9291992188,-7073502.063751221,-4832522.392272949,1547178.6260604858,-91932.77359008789,-9462850.570678711,-13994889.259338379,-21127897.262573242,-8901507.377624512,-943237.0662689209,1787492.8712844849,2081398.4870910645,4427306.175231934,730269.3724632263,-3944097.7573394775,-14083141.326904297,-19086944.580078125,-12753487.586975098,-1545093.7747955322,-904630.7802200317,1318695.5451965332,-5763312.816619873,-5283931.255340576,-13537533.7600708,-13817659.378051758,-14419216.15600586,-9966517.448425293,-9099373.817443848,-9189697.265625,-1001223.3257293701,-5677155.017852783,-10326809.883117676,-10915726.661682129,-10137783.05053711,-16062938.690185547,-17040990.829467773,-14724533.081054688,-2164865.493774414,-11197763.442993164,-10974247.932434082,-10670651.43585205,-19591156.005859375,-13266969.680786133,-8659593.58215332,-11566227.912902832,-12883048.057556152
0.025,-18813909.53063965,-13361454.010009766,-16835655.212402344,-12560050.964355469,-11493799.209594727,-12809499.740600586,-13189745.903015137,-12292572.975158691,-7825461.864471436,-6116192.34085083,-4325964.450836182,-7150101.661682129,-7106891.632080078,-15438856.12487793,-19535345.07751465,-8087430.953979492,-510386.4073753357,-3713339.328765869,-2093033.5521697998,3048830.270767212,1007146.0008621216,-7775016.307830811,-15752082.824707031,-19959520.33996582,-7007540.225982666,2681392.6696777344,5468055.725097656,3785344.123840332,7019148.826599121,1039076.0898590088,-4628296.852111816,-15879060.745239258,-19114759.44519043,-11003432.273864746,947223.7229347229,462893.9628601074,1433326.9596099854,-11281893.730163574,-6366783.618927002,-14735014.915466309,-15040158.27178955,-13902218.81866455,-7927075.386047363,-7194896.221160889,-10830020.904541016,-4814582.824707031,-7497814.178466797,-13708991.050720215,-14217020.034790039,-13295587.539672852,-15035572.052001953,-16112899.780273438,-13937031.745910645,-5815662.384033203,-14279071.807861328,-14236234.664916992,-13811557.76977539,-18170829.77294922,-11466338.157653809,-8320629.119873047,-14769568.44329834,-13543591.499328613
0.03,-12726859.092712402,-6547995.567321777,-9553956.031799316,-5892376.42288208,-5358878.612518311,-8728285.789489746,-9074311.256408691,-8332358.360290527,-3787785.530090332,-700411.6177558899,191122.94912338257,-3064121.0079193115,-2956763.744354248,-14879940.9866333,-15225151.062011719,-5568916.797637939,1592743.158340454,-1555804.6102523804,-265125.3342628479,4488943.576812744,3418983.9363098145,-4091599.464416504,-15275785.446166992,-16999406.814575195,-3945153.9516448975,5736344.814300537,8225991.249084473,3881405.1151275635,7745988.368988037,2455258.369445801,-2394615.1733398438,-15287265.77758789,-17815570.831298828,-8781771.659851074,5593425.750732422,1831084.0129852295,1210678.3390045166,-14804195.404052734,-6286665.916442871,-14351562.5,-14516700.744628906,-13024354.934692383,-5876829.624176025,-5165771.961212158,-11784190.17791748,-7226976.8714904785,-6483517.169952393,-14892619.132995605,-15329319.00024414,-14441503.524780273,-13852173.805236816,-15086318.016052246,-12685948.371887207,-8176077.842712402,-15312115.669250488,-15426268.577575684,-14881171.226501465,-17083599.090576172,-9882661.819458008,-6843271.732330322,-15848865.509033203,-12477710.723876953
0.035,-3895061.492919922,3804127.6931762695,552303.5526275635,3103041.172027588,4845155.239105225,-3716531.0382843018,-4248625.2784729,-3420964.479446411,311598.12211990356,5158154.010772705,6612162.5900268555,1747416.377067566,1855257.6303482056,-10907371.520996094,-9493454.933166504,-2578146.21925354,2573788.1660461426,-943439.245223999,371107.90610313416,5988310.813903809,4990310.6689453125,-316307.6639175415,-11149271.965026855,-14079327.583312988,-1781270.8616256714,4260068.416595459,7820137.977600098,2979888.916015625,6324850.559234619,3503354.549407959,1873774.0516662598,-11050718.307495117,-15298317.909240723,-7371050.3578186035,6958501.815795898,1415847.3014831543,847182.4526786804,-12912394.523620605,-4671813.011169434,-12063169.479370117,-12017277.717590332,-12465138.43536377,-4928032.875061035,-4233350.75378418,-11740072.250366211,-6171823.978424072,-4297352.313995361,-12983481.407165527,-13383044.242858887,-12772017.478942871,-13162756.91986084,-14318961.143493652,-11858723.640441895,-7080072.87979126,-13419268.608093262,-13516796.112060547,-13065322.875976562,-16616525.650024414,-9579339.027404785,-5975291.728973389,-13936800.003051758,-10219724.655151367
0.04,857417.106628418,9241355.895996094,4904802.322387695,8091424.942016602,10238110.542297363,-631334.125995636,-1405133.2473754883,-402582.1387767792,2116136.5509033203,6721282.482147217,9430971.145629883,2472537.5175476074,2617008.4476470947,-7453618.049621582,-5247407.913208008,623047.1730232239,4073862.075805664,-465335.33930778503,-217989.2212152481,7098964.214324951,3995915.412902832,-15236.031264066696,-7501198.291778564,-10822342.872619629,202693.372964859,2461092.472076416,7376746.17767334,2680348.8731384277,4659138.202667236,2390841.484069824,3136177.7782440186,-7505253.314971924,-10649295.806884766,-4878116.130828857,5702860.355377197,630976.6173362732,691744.6255683899,-10500865.936279297,-4649436.950683594,-11352437.973022461,-11255953.788757324,-10821744.918823242,-3460249.185562134,-2792225.8377075195,-10696395.874023438,-4032074.451446533,-4693921.5660095215,-11929837.226867676,-12325503.3493042,-11997029.304504395,-12066772.4609375,-12886453.628540039,-10890483.856201172,-4964839.935302734,-12342461.585998535,-12410445.213317871,-12082479.476928711,-15369367.599487305,-9013875.007629395,-4820993.900299072,-12954632.759094238,-8265301.704406738
0.045,267593.47319602966,6184880.73348999,1321505.7849884033,6354800.224304199,5330168.724060059,627539.6347045898,-264111.1612319946,735943.078994751,315835.6845378876,2009783.5063934326,5107956.409454346,-2165872.33543396,-1927859.5447540283,-8667006.492614746,-1948497.0569610596,4163119.316101074,6977435.58883667,210794.29984092712,-2087757.1105957031,6496772.289276123,1118838.1910324097,-4427393.436431885,-8713586.807250977,-6176809.310913086,3131799.9362945557,5139595.031738281,9399438.858032227,2985388.5173797607,3317102.4322509766,-1015937.4475479126,-1098440.170288086,-8942911.148071289,-3988112.449645996,-658299.5057106018,6513677.12020874,995739.996433258,762116.014957428,-12507286.071777344,-8354603.7673950195,-14061697.959899902,-14091217.041015625,-6375809.192657471,-494119.22693252563,210500.28502941132,-8664856.910705566,-3448538.5417938232,-7980028.6293029785,-13727165.222167969,-14133406.639099121,-13817144.393920898,-9305785.179138184,-9912964.820861816,-8539176.940917969,-4494153.4996032715,-13962791.442871094,-14149473.190307617,-13746686.935424805,-11972137.451171875,-5984323.501586914,-843898.9520072937,-14762823.104858398,-6209013.46206665
