time,Fp1,Fpz,Fp2,AF3,AF4,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,CB1,O1,Oz,O2,CB2
0.0,-4133447.6470947266,-4142787.456512451,-2490188.1217956543,-3890656.4712524414,-2282848.834991455,-6109466.552734375,-5188001.1558532715,-4258805.751800537,-4228467.4644470215,-2517857.313156128,-1265812.7546310425,-2250030.517578125,558229.5656204224,35050.98447203636,-6030078.411102295,-5043196.678161621,-2633521.08001709,-2620747.5662231445,-2141686.201095581,-2376249.5517730713,-2326369.047164917,-188044.4884300232,-259501.24859809875,-6254716.396331787,-2903969.0494537354,-1684387.20703125,-438026.93486213684,-143206.08973503113,-1044583.6782455444,1135797.7390289307,-1110254.0493011475,-742009.0436935425,-3274635.5533599854,1037830.4719924927,-3212383.74710083,-430255.59186935425,-122667.51378774643,20471.863448619843,178136.06560230255,-624589.1451835632,-50217.25222468376,-3268933.2962036133,-3139330.1486968994,-491086.9896411896,-1198854.923248291,-899266.0045623779,-1073519.9451446533,-617600.3217697144,-12245.76961249113,-1663986.325263977,-3253598.213195801,-3266260.862350464,-3273267.0307159424,-2088977.8137207031,-2966884.3746185303,-2952261.209487915,-2899142.026901245,-3248651.2660980225,-3254698.2765197754,-2046934.3662261963,-3002233.2668304443,-3115135.669708252
0.005,-5269455.909729004,-2395552.87361145,-2747258.6631774902,-1071054.220199585,-4208916.187286377,12889379.501342773,9113814.353942871,3395600.5573272705,2570521.831512451,-1422168.493270874,-2823036.9091033936,-4236479.759216309,-8159415.245056152,-11379916.191101074,10790153.503417969,8890306.47277832,3484765.2912139893,2600222.587585449,-879979.8488616943,-3104288.5780334473,-5185105.800628662,-15580544.471740723,-17837251.663208008,8325064.659118652,10739566.802978516,3370413.064956665,-1313455.1048278809,-5318360.328674316,-7727216.2437438965,-16047800.064086914,-13657614.707946777,-12663997.650146484,-7372552.394866943,-2236811.637878418,-2207887.887954712,-2636301.5174865723,-5268329.620361328,3185927.8678894043,-13274580.001831055,-2870656.0134887695,-21778554.916381836,-7352550.029754639,-7661686.897277832,-4481198.310852051,-5502436.16104126,-5476639.270782471,-7421456.813812256,-9238356.590270996,-22001493.453979492,-23627059.936523438,-7829547.40524292,-7522469.520568848,-7036385.536193848,-2909857.2731018066,-6956325.531005859,-8574645.99609375,-8857563.972473145,-8199195.861816406,-7733402.252197266,-2625590.5628204346,-8073768.615722656,-6714341.163635254
0.01,-7015504.837036133,-2299982.5477600098,-2795628.070831299,-231881.21616840363,-5055726.528167725,16871902.465820312,12507099.151611328,5415732.860565186,4307140.350341797,-765503.7045478821,-3010785.5796813965,-4811797.618865967,-9610546.112060547,-15365777.015686035,12908374.786376953,11447185.516357422,5336326.122283936,4053812.9806518555,-591703.8917541504,-4122665.8821105957,-6756244.18258667,-20107185.36376953,-24553140.64025879,9472815.51361084,13536489.486694336,4494393.825531006,-1562729.1202545166,-7772703.647613525,-11015697.479248047,-20923139.572143555,-17112976.07421875,-19685216.903686523,-11583390.235900879,-3413173.9139556885,-3305411.8156433105,-4531812.1910095215,-7752497.19619751,4188190.460205078,-19631610.870361328,-2739209.6519470215,-31811773.3001709,-11453391.075134277,-11973497.39074707,-6893248.081207275,-8870552.062988281,-10087542.533874512,-11812278.747558594,-13142489.433288574,-31146192.55065918,-33183387.756347656,-12149197.578430176,-11769559.860229492,-11113027.572631836,-6691366.672515869,-10254969.596862793,-12560220.718383789,-12930182.456970215,-12804901.123046875,-12117567.06237793,-6069532.39440918,-11866939.544677734,-9790677.070617676
0.015,-7385810.375213623,-1991521.4776992798,-2053225.5172729492,428916.21589660645,-4410518.169403076,11462080.001831055,9295134.544372559,4870838.165283203,3933687.210083008,236420.4227924347,-2143386.3639831543,-4237780.570983887,-6491953.372955322,-13915340.423583984,6184394.836425781,7290590.286254883,5023371.21963501,3860340.356826782,-79641.23785495758,-4277071.475982666,-6757925.510406494,-16737825.393676758,-22721424.102783203,3061783.0753326416,8667690.27709961,3317245.9602355957,-733472.6452827454,-7197124.95803833,-10513121.604919434,-17172483.444213867,-14102179.527282715,-22262918.47229004,-13730521.202087402,-4391475.677490234,-4838757.038116455,-5086486.339569092,-7236030.101776123,3492274.9996185303,-19205745.697021484,-2598425.86517334,-31869939.80407715,-13549360.275268555,-14156735.42022705,-7826587.677001953,-10050746.91772461,-12194851.875305176,-13008547.78289795,-11384681.701660156,-29375854.4921875,-32146492.00439453,-14173574.447631836,-13921388.626098633,-13385072.708129883,-10356553.077697754,-12031739.234924316,-14160824.7756958,-14436595.916748047,-14988965.034484863,-14297650.337219238,-9434778.213500977,-13617902.755737305,-11630175.590515137
0.02,-4302276.611328125,948503.4346580505,-719269.9313163757,3406327.00920105,-3408443.4509277344,12641589.164733887,11279243.469238281,8173287.391662598,7359592.914581299,1985589.861869812,-2225923.2997894287,-4402581.691741943,-7458680.152893066,-15131212.23449707,6963313.102722168,9126731.872558594,7217772.006988525,6326089.859008789,1882123.1126785278,-2718492.9847717285,-6360180.377960205,-16875244.140625,-23194000.244140625,4415349.006652832,7241814.136505127,4100210.189819336,796940.3266906738,-5563505.172729492,-8729190.826416016,-17617330.55114746,-14122871.398925781,-24482845.306396484,-11458412.170410156,-7788765.430450439,-3305104.0172576904,-3464116.096496582,-5607976.43661499,3124217.5102233887,-17651424.407958984,-5580883.979797363,-31663572.311401367,-11459146.499633789,-12241165.161132812,-7714549.541473389,-8024612.4267578125,-9204175.94909668,-11251812.934875488,-6308967.113494873,-27534236.907958984,-30842796.325683594,-11937727.928161621,-11759794.235229492,-11351830.48248291,-8263287.544250488,-11062933.921813965,-12943819.999694824,-13246875.762939453,-12823249.816894531,-12119249.34387207,-7304934.501647949,-12592479.705810547,-10917419.43359375
0.025,478501.46889686584,5017009.735107422,-174733.53445529938,7068892.478942871,-3946355.5812835693,22456365.58532715,19646301.26953125,14437503.814697266,13551907.539367676,3018481.731414795,-4734245.300292969,-6723705.291748047,-15062254.905700684,-22041728.973388672,17710378.646850586,18530202.865600586,11414241.790771484,10661400.79498291,3721550.703048706,-1006815.6719207764,-7182455.062866211,-24328649.520874023,-30325113.29650879,15205886.840820312,12222368.240356445,7080054.759979248,1679798.3646392822,-4923799.991607666,-8278470.993041992,-25774082.18383789,-20059871.673583984,-28106975.555419922,-6230868.339538574,-11863506.317138672,1406802.5350570679,-580414.4740104675,-4899757.385253906,3751701.1165618896,-18415292.739868164,-9211653.709411621,-34736946.10595703,-6484388.35144043,-7462419.9867248535,-6060325.622558594,-3589584.3505859375,-2973460.912704468,-8478851.318359375,-842976.9277572632,-29863460.540771484,-33245147.705078125,-6949630.260467529,-6654365.539550781,-6230649.471282959,-709592.9980278015,-7071393.966674805,-9059861.183166504,-9650514.602661133,-7876161.575317383,-7045096.397399902,18995.44708430767,-8722888.946533203,-7094376.087188721
0.03,2920869.827270508,6817385.673522949,-892337.5606536865,7732378.959655762,-6057903.289794922,27918619.15588379,24341444.01550293,16887308.12072754,15985567.092895508,2087665.08102417,-8382224.082946777,-10145426.750183105,-22684247.970581055,-28971300.12512207,25204505.920410156,24832057.95288086,12775221.824645996,12042729.377746582,3016197.919845581,-1387331.3665390015,-9308576.583862305,-31497459.411621094,-37541076.66015625,22341573.71520996,16219108.581542969,8441884.994506836,877331.554889679,-5694354.057312012,-9537957.191467285,-32844150.54321289,-25596378.326416016,-30807973.861694336,-2925319.6716308594,-12681795.120239258,5095276.355743408,1230713.129043579,-5598399.1622924805,4223689.556121826,-20175136.56616211,-7912669.658660889,-36974151.611328125,-3163651.22795105,-4135919.0940856934,-3274398.0884552,75430.18460273743,939348.2804298401,-7103882.312774658,2738065.719604492,-32050476.07421875,-35256752.014160156,-3771994.5907592773,-3265804.7676086426,-2791517.734527588,5045202.255249023,-2871598.482131958,-5073060.989379883,-5982863.903045654,-4700261.116027832,-3762357.234954834,5532531.73828125,-4602972.030639648,-2842177.391052246
0.035,2042655.9448242188,6457212.448120117,-1057397.961616516,5572816.371917725,-7245302.677154541,22171152.114868164,20303453.44543457,13711920.738220215,12934016.227722168,716614.842414856,-10066807.746887207,-11968027.114868164,-23917072.296142578,-29709320.068359375,21288419.723510742,21999298.095703125,9970694.541931152,9276000.022888184,584931.9100379944,-3402501.344680786,-10805969.23828125,-31272974.014282227,-37918300.62866211,18215843.200683594,14053070.068359375,6439738.2736206055,-964267.2538757324,-6857273.578643799,-10982000.350952148,-31994594.57397461,-25383127.212524414,-30313354.4921875,-4736053.943634033,-10553854.942321777,4346068.859100342,645212.4118804932,-6747203.826904297,3779505.0144195557,-20759651.18408203,-1688014.1496658325,-36320056.9152832,-4671832.56149292,-5479008.197784424,-2106580.2574157715,-115944.2588686943,-506717.14544296265,-7872767.448425293,3198690.176010132,-31721084.594726562,-34849872.58911133,-5465293.407440186,-4809575.55770874,-4394234.180450439,3437543.8690185547,-2982318.639755249,-5201304.4357299805,-6142898.082733154,-6279786.586761475,-5431595.325469971,3882757.9021453857,-4600071.430206299,-2896344.4232940674
0.04,868637.8002166748,7110754.013061523,882741.9877052307,4421159.744262695,-5835417.747497559,13808899.879455566,14495990.753173828,10693285.942077637,9935262.680053711,1340464.8303985596,-8554401.397705078,-10998614.311218262,-20588167.190551758,-25606727.600097656,13232259.750366211,16592439.651489258,7262490.749359131,6674739.360809326,-148737.1325492859,-4243080.139160156,-9938872.337341309,-26291877.74658203,-33426494.598388672,10308011.054992676,9585083.0078125,3770033.836364746,-2147630.214691162,-7296029.567718506,-11218208.312988281,-27186523.4375,-21818063.735961914,-27780145.6451416,-9728693.008422852,-10197632.789611816,804390.9072875977,-1132792.592048645,-7189454.078674316,3230551.242828369,-20242769.241333008,2527988.6722564697,-35798156.73828125,-9449556.350708008,-10227679.252624512,-4616668.701171875,-3646919.4889068604,-4256531.715393066,-9124853.134155273,1552215.576171875,-32131740.57006836,-35259033.203125,-10359972.00012207,-9647531.509399414,-9364065.170288086,-2667339.563369751,-8405193.328857422,-10531248.092651367,-11216037.75024414,-10947174.072265625,-10357438.087463379,-2125515.937805176,-9916141.510009766,-8500612.258911133
0.045,1544334.6500396729,9472088.813781738,3314677.7153015137,5629961.4906311035,-3704380.2738189697,12139051.43737793,14243308.067321777,11928694.725036621,10971858.978271484,3444509.0293884277,-6072550.7736206055,-8892537.117004395,-18785943.98498535,-22851255.416870117,10645714.75982666,16204866.409301758,7826303.482055664,7367031.574249268,1980595.588684082,-2560953.140258789,-7351634.0255737305,-23683759.689331055,-30851339.34020996,8014371.871948242,8160554.885864258,3085648.775100708,-1947637.0811462402,-6762418.746948242,-10217525.482177734,-25433650.970458984,-19964429.85534668,-25851062.774658203,-13351514.81628418,-14007597.923278809,-1235732.913017273,-1947020.7691192627,-6593331.813812256,3529558.4201812744,-19618562.698364258,-111908.06329250336,-36701438.903808594,-13205017.08984375,-14187952.041625977,-8584819.793701172,-6700026.512145996,-5353698.253631592,-8841217.041015625,951388.7763023376,-34934333.80126953,-37712200.16479492,-14135532.37915039,-13399762.153625488,-13175319.67163086,-6159829.616546631,-14262784.957885742,-16361282.348632812,-16820907.592773438,-14550429.344177246,-14154482.8414917,-5582012.176513672,-15869797.706604004,-14621958.73260498
